Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Advertising,11,26.625,1350.8410000000001,1583.556,2165.072608779757,1917.289418849413,952.7726087797573,1866.1849999999997,662.3489999999999,154.19399999999996,85.05867824404855,-46.04699999999998
Aerospace/Defense,21,34.10526315789474,13638.993,1872.619,21542.911,10968.438,9220.281,13899.322,2923.859,1513.7530000000002,1088.9830000000002,605.2510000000001
Air Transport,12,48.4,23321.9,5960.350000000001,42034.62538237133,24071.13538237133,23253.94738237133,39217.2,13108.260000000002,6806.08,4373.155523525734,3291.3140000000003
Apparel,8,49.714285714285715,71606.90000000001,5276.099999999999,73219.73348731242,7161.872487312412,2849.7754873124113,13518.1,6824.47,3393.4080000000004,2701.942502537518,1504.5910000000001
Auto & Truck,4,12,78.706,239.773,5.045000000000005,53.443,18.668000000000003,70.60000000000001,-3.1000000000000014,-77.53,-81.41,-123.05
Auto Parts,14,41.42857142857143,25137.940000000002,16293.966999999999,33294.60435454276,22392.05935454275,9947.79735454275,54738.32,7711.96,5489.435,2913.3999290914503,1716.035
Bank (Money Center),13,156.30769230769232,763653,484168.80000000005,2367320.382468363,2062023.7824683627,1972068.782468363,196432.80000000002,196432.80000000002,5.04,2.363506327448194,53899.399999999994
Banks (Regional),9,61.888888888888886,11930.21,14160.14,45538.888999999996,46377.589,40549.638999999996,4178.39,4178.39,1.17,1.08,1055.3860000000002
Beverage (Alcoholic),14,64.21428571428571,7853.957,3761.1699999999996,9482.94328860276,4921.79328860276,2036.560288602761,2673.7819999999997,1141.049,511.96,411.3101422794478,183.57800000000003
Beverage (Soft),9,12.2,73.46,103.14999999999999,126.021,79.94099999999999,93.82999999999998,127.83399999999999,27.59,-68.46,-73.93699999999998,-99.27499999999999
Broadcasting,12,30.454545454545453,3446.102,3326.66,6080.769185579784,4520.970185579783,2833.4601855797832,5282.1,1138.5100000000002,880.4489999999998,618.3147628840434,-192.70700000000002
Brokerage & Investment Banking,21,22.11111111111111,3446.2199999999993,1734.3039999999996,3530.4539999999997,1336.2269999999999,920.7669999999999,2157.709,1657.9410000000003,30.261,14.449000000000005,-87.861
Building Materials,8,50.625,2893.44,2692.8800000000006,4996.271533915814,4132.086533915815,2398.280533915815,5904.96,1864.9299999999998,627.72,507.1868932168369,143.93399999999997
Business & Consumer Services,68,33.91525423728814,107075.35200000001,25564.656000000006,126418.95327977506,31392.97627977506,23486.59327977507,37455.35599999999,12546.539000000004,5741.326000000001,4236.028544044989,3455.955
Cable TV,2,46.5,2241.1,2410.9,5700.254952634689,4553.154952634689,3761.5549526346895,2667.8,1185.8,1111.6800000000003,641.729009473062,320.90000000000003
Chemical (Basic),19,25.764705882352942,10750.220000000001,5468.200999999999,14698.932999999997,9217.005000000001,5421.428999999999,11034.942000000001,3034.236,1513.264,863.0610000000003,475.043
Chemical (Diversified),1,189,3760,4052.1,4771.2,3877.3,1268.9,3512.7,1317.5,431.4,255.7,361.1
Chemical (Specialty),50,20.2972972972973,31214.487,28647.671000000002,46377.63355748235,30805.299557482365,16246.211557482353,33556.181000000004,10629.279999999993,6757.400999999998,4841.818288503529,2103.6259999999997
Coal & Related Energy,85,19.591549295774648,44050.223000000005,15316.925000000003,39432.57083401233,13982.781834012325,1484.261834012324,14666.932999999997,9261.483999999999,7452.683999999999,6167.838433197535,4232.645999999999
Computer Services,19,22.125,29160.109,6591.346999999999,31113.266,2186.681000000001,3598.332,18228.039999999997,4588.24,2173.1850000000004,1878.7839999999999,1006.9100000000001
Computers/Peripherals,5,9,41.470000000000006,34.81,32.650000000000006,19.009999999999998,8.434000000000001,22.146,2.476,-19.25,-20.38,-20
Construction Supplies,9,77.57142857142857,10642.7,5355.4,12470.397844096575,7178.177844096574,2409.0178440965747,6403.82,1642.1779999999999,670.952,365.787631180685,564.4810000000001
Diversified,6,68.6,13570.39,8428.15,17603.672,11661.488,4346.380000000001,2370.519,1713.3,1100.9299999999998,946.67,1342.5200000000002
Drugs (Biotechnology),92,16.864864864864863,107989.67800000001,18132.550999999996,117931.78576516254,22929.71807734982,12937.823765162513,14551.804999999998,7206.732000000001,2792.9779999999996,2069.5998469674973,976.0079999999999
Drugs (Pharmaceutical),165,13.743801652892563,15574.666999999992,11609.373000000001,38604.119029542664,18597.150698960453,25739.721029542674,13303.112999999998,7467.893,1812.2829999999994,-95.40780590853508,-5714.511
Education,17,24.8,5455.82,1342.49,6245.201974156437,1182.6361677321459,1153.5609741564383,1821.86,1097.74,230.62,213.95120516871233,85.699
Electrical Equipment,33,26.814814814814813,2882.63,1618.237,2351.0360722453697,788.7060722453709,411.90107224537064,1259.615,289.442,-288.80199999999996,-323.67481444907406,-379.84499999999997
Electronics (Consumer & Office),6,8.666666666666666,192.19,12.138,203.24999999999997,12.937000000000001,16.896,38.253,11.018,-16.12,-17.871,-23.441000000000003
Electronics (General),45,23.27777777777778,6949.412000000001,2642.5110000000004,7519.613998988301,2763.983998988299,1181.8899989882996,8912.086000000001,1223.68,518.114,359.4740002023402,118.51800000000004
Engineering/Construction,44,44.357142857142854,51216.899999999994,17482.373,61368.38933015002,13227.071330150004,12832.087330150001,50724.70999999999,8986.829,3393.225,2390.4825339699996,860.5579999999993
Entertainment,35,23.84,3345.3169999999996,1535.0799999999997,6333.00736590862,3932.788365908621,3446.7483659086215,3863.7900000000004,2093.1740000000004,473.37200000000007,234.43252681827585,-127.70800000000003
Environmental & Waste Services,35,23.076923076923077,56317.170000000006,14491.010999999999,71428.57694850297,16462.356948502966,15713.239948502965,16569.626000000004,4826.622000000001,3980.296,1664.3604102994068,442.14099999999996
Farming/Agriculture,30,53.107142857142854,4500.976999999998,3515.457999999999,7150.404537979176,5399.892537979176,3044.695537979176,8108.208,2046.7040000000002,406.154,211.30649240416471,-96.31200000000001
Financial Svcs. (Non-bank & Insurance),85,24.014084507042252,86122.89900000002,46223.208999999995,292759.0474527985,248716.87745279868,232561.16845279853,27402.520999999993,23984.52,4683.0470000000005,4338.2917094402865,3997.8900000000003
Food Processing,70,38.74074074074074,25994.29499999999,15013.849000000002,40777.27308310365,30245.539209977105,15815.436083103657,53214.888000000006,9260.71,4011.4060000000004,2703.9723833792686,1155.1209999999999
Food Wholesalers,5,53.8,3536.617,1702.214,4859.7093432537295,3044.929,1777.6503432537288,15855.983,2082.5429999999997,505.94999999999993,421.35493134925423,334.66499999999996
Furn/Home Furnishings,5,57.8,2932.3,886.2,3434.5699999999997,1115.09,644.47,2625.6,658.2,80.39999999999999,42.91999999999999,-11.800000000000011
Green & Renewable Energy,24,25.31578947368421,18829.592000000004,9056.95,32131.12360769016,22932.520607690167,14572.88060769016,5308.170000000001,2755.424,2105.18,971.3668784619681,344.807
Healthcare Products,54,26.204545454545453,33642.003000000026,10857.677,38068.33314823123,10072.720148231201,5633.717148231205,8523.439,4943.622000000001,1158.597,635.1727703537592,2.079000000000068
Healthcare Support Services,35,22.482758620689655,20582.149999999998,11291.724,26155.13397664955,6377.7509766495505,6613.931976649549,20787.642000000003,4905.086,1626.5060000000003,1147.6930046700897,338.40599999999984
Heathcare Information and Technology,55,15.325581395348838,10186.592999999999,1912.069,9963.313165615913,1357.3661656159086,231.11716561590882,658.2619999999998,211.71700000000004,-238.368,-318.85343312318173,-287.1480000000001
Homebuilding,4,61.5,347.3,425.77000000000004,445.94609064898157,488.8960906489816,151.86609064898158,988.3000000000001,229.95999999999998,13.964,6.094781870203683,1.4699999999999989
Hospitals/Healthcare Facilities,15,24.928571428571427,17721.459000000003,6107.615999999999,31362.224181168134,23513.316181168142,13890.684181168139,14133.222,1972.442,1231.423,571.9371637663721,740.1660000000002
Hotel/Gaming,31,33.785714285714285,38079.310000000005,13018.321,39938.11385334283,8060.683853342841,6122.018853342843,13387.688,8735.294999999996,2488.828000000001,1922.2592293314312,-560.1910000000001
Household Products,8,50.8,145.22899999999998,118.101,147.083,103.92399999999999,13.581,97.705,44.272999999999996,5.113,1.2680000000000002,-1.1080000000000003
Information Services,4,23.25,13066.52,4914.758,17264.582,4044.7000000000003,5554.569,6485.6,1652.64,1524.795,1062.28,216.87399999999997
Insurance (General),4,46.5,7598.999999999999,2035.23,8491.92145700703,1154.6944570070323,1287.6514570070324,1728.2,826.4499999999999,510.072,421.4317085985935,206.171
Insurance (Life),11,93.63636363636364,139481.3,103457.7,153053.71000000002,106347.70999999998,50081.71000000001,125721.2,63527.799999999996,33573.29,31863.02,18009.11
Insurance (Prop/Cas.),8,116.875,90244.70000000001,47175.299999999996,115064.0974421456,79663.69744214558,36439.9974421456,82508.2,22720.18,11890.06,10871.340511570877,6744.161000000001
