Industry_Name,Number_of_Firms,Beta,ROE,Cost_of_Equity,_ROE_COE_,BV_of_Equity,Equity_EVA,ROC,Cost_of_Capital,_ROC_WACC_,BV_of_Capital,EVA,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_
Advertising,11,1.1198166189149052,-0.029078226472571845,0.09031156447008565,-0.11938979094265749,1583.556,-189.06041978599092,0.04534395597694975,0.06809454627985773,-0.022750590302907978,1664.3570188494132,-37.86510465361229,0.5864008594373392,0.3520858660788466,0.050855,0.11239237487307564,0.036595258,0.4135991405626608
Aerospace/Defense,21,1.1750041362906547,0.3232109681681111,0.09285019026937011,0.23036077789874101,1872.619,431.3779695479625,0.09350468762281135,0.07093445938747614,0.022570228235335207,11109.9804,250.75479331810075,0.5966503135663888,0.5367777187435866,0.053524,0.05052783487202549,0.0385158704,0.4033496864336112
Air Transport,12,1.0472397031185858,0.5522014646790876,0.08697302634345494,0.46522843833563265,5960.350000000001,2772.924322433789,0.16126010665755422,0.061820891918877796,0.09943921473867642,23812.190782371334,2367.8655526065545,0.5007294834280824,0.2593943956041297,0.050855,0.12266504022660933,0.036595258,0.4992705165719176
Apparel,8,0.8460471542895533,0.2851710543772863,0.07771816909731946,0.20745288527996683,5276.099999999999,1094.542168025633,0.3388019955934532,0.07614421937091732,0.2626577762225359,6764.757287312411,1776.816105770672,0.9617257221241631,0.3437370863725106,0.050855,0.1510736936509072,0.036595258,0.038274277875836926
Auto & Truck,4,1.1070314495987092,-0.5131937290687442,0.08972344668154063,-0.6029171757502848,239.773,-144.56325998117305,-0.6164519475361939,0.07990621585992705,-0.696358163396121,140.95999999999998,-98.1586467123172,0.8082855793127529,0.510895276406939,0.053524,0.01580068143100511,0.0385158704,0.19171442068724712
Auto Parts,14,0.9936506085468217,0.10531720114567558,0.08450792799315379,0.02080927315252179,16293.966999999999,339.065610041176,0.1041934126737988,0.07092333300543399,0.0332700796683648,20914.37155454275,695.8228078334199,0.7164717601907616,0.31985672421828043,0.050855,0.25738333258272006,0.036595258,0.28352823980923836
Bank (Money Center),13,1.0657566718210356,0.11132357144863525,0.08782480690376764,0.023498764544867615,484168.80000000005,11377.3686311711,8.984097662639923e-07,0.04788068390204089,-0.047879785492274625,1972691.8824683633,-94452.06417493666,0.27914132383409895,0.17156697628197956,0.045043,0.2501455856254211,0.032412942800000004,0.720858676165901
Banks (Regional),9,0.7765552449147827,0.07453217270450718,0.07452154126608,1.0631438427180506e-05,14160.14,0.15054265653025578,1.682816513308822e-05,0.04198546314978249,-0.0419686349846494,46701.82600000001,-1960.0118885106094,0.22732935073803284,0.19548639249410268,0.045043,0.27230922227337695,0.032412942800000004,0.7726706492619672
Beverage (Alcoholic),14,0.5154204160235258,0.04880874834160648,0.06250933913708219,-0.013700590795475712,3761.1699999999996,-51.53025108221938,0.07653225987328754,0.05631217837979988,0.02022008149348766,4836.148288602761,97.7873125101387,0.7940896083413583,0.2447193755450586,0.045043,0.10009863710672658,0.032412942800000004,0.20591039165864164
Beverage (Soft),9,2.0667191896337958,-0.9624333494910324,0.13386908272315462,-1.096302432214187,103.14999999999999,-113.08359588289338,-0.552688723706346,0.08335571185734317,-0.6360444355636892,134.10080000000002,-85.29406764463918,0.43911769980273774,0.7124191223270709,0.060879,0,0.043808528400000005,0.5608823001972623
Broadcasting,12,1.042007897637629,-0.0579280720001443,0.08673236329133094,-0.14466043529147524,3326.66,-481.236083666739,0.11699357219170492,0.06410952949100107,0.05288404270070385,4568.946385579783,241.62435575222776,0.5487806152972792,0.412638066110821,0.050855,0.13480448646237025,0.036595258,0.4512193847027209
Brokerage & Investment Banking,21,1.01284635725937,-0.05066066848718565,0.08539093243393102,-0.13605160092111668,1734.3039999999996,-235.95483568389628,0.04640156359932801,0.07510250089944115,-0.02870093730011314,585.758,-16.811803631039673,0.7891527957376562,0.42615252459721153,0.050855,0.0696043261945346,0.036595258,0.21084720426234382
Building Materials,8,0.5567154751216625,0.05344983809155994,0.06440891185559648,-0.010959073764036542,2692.8800000000006,-29.51147055769873,0.10569368400192938,0.05180338134970095,0.05389030265222843,3982.4135339158156,214.6134706290539,0.5467862449377852,0.41992783345825113,0.050855,0.17107487744372063,0.036595258,0.4532137550622148
Business & Consumer Services,68,0.7000339091806403,0.13518488181495575,0.07100155982230946,0.06418332199264629,25564.656000000006,1640.8245476792372,0.11066330036110522,0.06481226158973369,0.04585103877137153,31909.13947977506,1463.0671914482684,0.8201114939774622,0.3722529698519828,0.050855,0.14052191842924447,0.036595258,0.17988850602253778
Cable TV,2,0.6828081562726964,0.1331038201501514,0.07020917518854403,0.06289464496160738,2410.9,151.63269953793923,0.12294721141397333,0.0465242214049425,0.07642299000903083,4003.6549526346894,305.9712824448077,0.3733514615922301,0.19598386058834938,0.045043,0.23295003868631964,0.032412942800000004,0.6266485384077699
Chemical (Basic),19,1.3503732178936936,0.08687372684361824,0.1009171680231099,-0.014043441179491661,5468.200999999999,-76.79235910113746,0.09675528466545184,0.07935371037357282,0.017401574291879024,8539.5972,148.6024350985221,0.664757193283134,0.48057799953041136,0.050855,0.0337809749087315,0.036595258,0.33524280671686596
Chemical (Diversified),1,0.5856745088280281,0.08911428641938748,0.0657410274060893,0.02337325901329819,4052.1,94.7107828477856,0.07468297962473135,0.05733163239790326,0.017351347226828087,3024.5000000000005,52.47914968754156,0.7476784187396845,0.176414485199587,0.045043,0.12890624999999997,0.032412942800000004,0.2523215812603154
Chemical (Specialty),50,1.0561873779470168,0.07343096058314827,0.08738461938556277,-0.013953658802414504,28647.671000000002,-399.73982661782475,0.1551813917624225,0.07065641987102386,0.08452497189139863,30066.989757482348,2541.411464110166,0.6576912676958254,0.5659550001040776,0.053524,0.03892223140186529,0.0385158704,0.3423087323041746
Coal & Related Energy,85,1.2556746127358038,0.2763378419624042,0.09656103218584697,0.17977680977655722,15316.925000000003,2753.6279120867944,0.4215392064111967,0.09466896689507091,0.32687023951612576,14433.084034012323,4717.745635153979,0.9674035659034481,0.6312514479106739,0.053524,0.016831868175257454,0.0385158704,0.032596434096551885
Computer Services,19,0.8667549116200352,0.15276240197944368,0.07867072593452162,0.07409167604492206,6591.346999999999,488.3639466236688,0.7063777402761309,0.07404897050105143,0.6323287697750795,2373.4972000000007,1500.8305645405962,0.8901555785270734,0.4579516681565841,0.050855,0.1084126814536826,0.036595258,0.10984442147292663
Computers/Peripherals,5,0.9728123459695743,-0.5745475438092502,0.08354936791460042,-0.6580969117238507,34.81,-22.908353497107242,-0.47315819038154083,0.0759385046964588,-0.5490966950779996,46.286,-25.415489628380293,0.8309955113818532,0.6018354115008157,0.053524,0,0.0385158704,0.16900448861814682
Construction Supplies,9,0.7159136620113569,0.1054040781267506,0.07173202845252241,0.03367204967422818,5355.4,180.3272948253616,0.04211480464845631,0.06524666706062429,-0.023131862412167983,6815.3788440965745,-157.65240570844244,0.8154252280908603,0.29810535129664417,0.050855,0.21531423110758982,0.036595258,0.18457477190913973
Diversified,6,0.4442687730754023,0.15928999839822502,0.05923636356146851,0.10005363483675651,8428.15,843.2670424494094,0.0981935807542841,0.05272934362823102,0.045464237126053075,9072.4068,412.4700540592164,0.7574127479450816,0.21151877435662847,0.045043,0.05896721164554044,0.032412942800000004,0.24258725205491843
Drugs (Biotechnology),92,0.8351922495295203,0.05382629283656779,0.07721884347835793,-0.02339255064179014,18132.550999999996,-424.16661753234234,0.0985861102338638,0.07307807948698705,0.025508030746876742,22400.5520867481,571.3939713757845,0.8930117336725655,0.5717968167722113,0.053524,0.006493114919597571,0.0385158704,0.1069882663274345
Drugs (Pharmaceutical),165,1.1103730590091783,-0.49223252625270975,0.0898771607144222,-0.582109686967132,11609.373000000001,-6757.9284829146745,-0.0037014779933940683,0.061175446843267256,-0.06487692483666133,20392.20485414101,-1322.9835415759067,0.37697924967115615,0.6866086968536945,0.060879,0.012260091226392517,0.043808528400000005,0.6230207503288439
Education,17,0.7985043115310388,0.06383585725033333,0.07553119833042779,-0.011695341080094457,1342.49,-15.700878446616008,0.15878186269113273,0.06873555719052546,0.09004630550060727,1222.2571741564382,110.05974290439958,0.8254661096603425,0.3868594120854755,0.050855,0.09962801729368363,0.036595258,0.17453389033965747
Electrical Equipment,33,1.0560009854950718,-0.23472766968002828,0.0873760453327733,-0.32210371501280155,1618.237,-521.240149471171,-0.3012938876284501,0.08126726748136598,-0.3825611551098161,1015.6430722453706,-388.54558689747137,0.8749742943038501,0.5754508215090308,0.053524,0.030338365331506873,0.0385158704,0.12502570569614985
Electronics (Consumer & Office),6,0.8659598563191171,-1.9312077772285388,0.07863415339067939,-2.0098419306192183,12.138,-24.39546135385607,-0.5858218199636673,0.0753922409268582,-0.6612140608905255,29.7954,-19.701137429857564,0.9191911462269114,0.500816676661013,0.053524,0.00230566534914361,0.0385158704,0.08080885377308858
Electronics (General),45,0.8724992812029604,0.044850522854966365,0.07893496693533618,-0.03408444408036981,2642.5110000000004,-90.06851841126213,0.12536188753275648,0.07306002514013533,0.05230186239262115,2965.019998988298,155.07606797845565,0.8546493539244575,0.625035109242851,0.053524,0.018739871459420337,0.0385158704,0.1453506460755425
Engineering/Construction,44,0.8444261017343344,0.04922432440950661,0.07764360067977938,-0.02841927627027277,17482.373,-496.83638814695735,0.16339125046102693,0.06941964679726575,0.09397160366376117,12452.13733015,1170.147313955581,0.7996519872514907,0.34721141564668145,0.050855,0.14961215553848778,0.036595258,0.20034801274850927
Entertainment,35,0.9717594561821101,-0.08319305834223627,0.08350093498437706,-0.16669399332661333,1535.0799999999997,-255.88861527581756,0.06466172508569812,0.060672503646724135,0.003989221438973983,3706.739965908621,14.787006540704363,0.49253309851685645,0.6326428804170271,0.053524,0.02773047864455219,0.0385158704,0.5074669014831436
Environmental & Waste Services,35,0.8488786974896554,0.030511397720973367,0.07784842008452414,-0.04733702236355077,14491.010999999999,-685.9613117774602,0.10136776313010584,0.06884915387276652,0.03251860925733932,14710.123748502965,478.3527663046755,0.781852693053713,0.49374739388254957,0.050855,0.10619555082713,0.036595258,0.21814730694628703
Farming/Agriculture,30,0.6808224751089781,-0.027396714738164994,0.070117833855013,-0.09751454859317799,3515.457999999999,-342.80829996827623,0.035626495059733566,0.05659140044386193,-0.020964905384128367,5371.790937979175,-112.61908875805159,0.596497790931889,0.4888739521859135,0.050855,0.07883150631485163,0.036595258,0.40350220906811096
Financial Svcs. (Non-bank & Insurance),85,1.0942634724129003,0.08649096604262159,0.08913611973099342,-0.002645153688371829,46223.208999999995,-122.26749177473191,0.013608352105064829,0.050794183488804115,-0.037185831383739286,290988.2836527985,-10820.641250556664,0.2702453865622133,0.39253951045421004,0.050855,0.08818592954734313,0.036595258,0.7297546134377867
Food Processing,70,0.6703807977892956,0.07693703326841769,0.0696375166983076,0.00729951657011009,15013.849000000002,109.59383955663083,0.1185132574385699,0.0571385668857448,0.0613746905528251,21703.07757416639,1332.0196701584202,0.6217283471240725,0.44726382580719326,0.050855,0.05304816147699359,0.036595258,0.37827165287592746
Food Wholesalers,5,0.46476867924558557,0.19660571467512308,0.06017935924529694,0.13642635542982615,1702.214,232.22685218162607,0.11003831333499696,0.05089134708166962,0.05914696625332734,3112.3663432537287,184.0870270724201,0.6654947467950795,0.21101763079444058,0.045043,0.17749736123299345,0.032412942800000004,0.3345052532049205
