Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Advertising,11,3823,914.1999999999999,1546.5,239131.5720638242,404525.2419565786,11.338000000000001,0.006075496266447326
Aerospace/Defense,21,42102,8478,4967.900000000001,201368.10602821718,117996.76974965562,74.988,0.005395083299746563
Air Transport,12,83331,21618,37006.1,259423.26385138783,444085.6343977631,168.95299999999997,0.0043081352059810485
Apparel,8,82407,5706.200000000001,3151.2999999999997,69244.11761136798,38240.68343708665,133.858,0.009902131216665064
Auto & Truck,4,106,0,0,0,0,7.728,0.10946175637393767
Auto Parts,14,241625,23101.600000000002,54214.32,95609.31195033628,224373.80237972064,15.555,0.00028417021201966006
Bank (Money Center),13,582355,762982.7,196272.30000000002,1310167.6812253695,337032.0508967898,3165.594,0.016115404352022675
Banks (Regional),9,12793,8991,3181.4,702806.2221527398,248682.87344641602,41.667,0.009972022716883775
Beverage (Alcoholic),14,8066,5962.6,1656.1,739226.3823456484,205318.62137366724,12.411,0.0046417396781039
Beverage (Soft),9,204,8.25,38.9,40441.17647058824,190686.27450980392,5.016,0.03923838728350831
Broadcasting,12,15581,423.3,1360.1000000000001,27167.704255182594,87292.21487709391,10.583,0.0020035591904734858
Brokerage & Investment Banking,21,6512,2814.9300000000003,1383.1,432268.12039312045,212392.50614250614,60.367,0.02797735931953753
Building Materials,8,17803,2351.6,5188.1,132090.0971746335,291417.1768803011,10.709,0.0018135601257248143
Business & Consumer Services,68,181533,19589.14,17794.42,107909.5260916748,98023.05916830548,185.15000000000003,0.004943218267635744
Cable TV,2,4533,250.6,463.4,55283.47672622987,102228.10500772115,4.93,0.0018479646150386083
Chemical (Basic),19,18235,5566.5,5139.518999999999,305264.60104195226,281849.1362763915,75.23500000000001,0.0068178881230186806
Chemical (Diversified),1,5800,3760,3512.7,648275.8620689656,605637.9310344828,1.87,0.0005323540296637915
Chemical (Specialty),50,31581,1817.9599999999998,2931.4300000000003,57564.99160887875,92822.58319875876,-39.416999999999994,-0.0011746569134312391
