Industry_Name,Number_of_firms,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Quarter_1,Quarter_2,Quarter_3,Quarter_4,2018_12_31_00_00_00,2019_12_31_00_00_00,2020_12_31_00_00_00,2021_12_31_00_00_00,2022_12_31_00_00_00,2023_12_31_00_00_00,2019,2020_0,2021_0,2022_0,2023_0
Advertising,11,1405.1100000000001,1136.4499999999998,1136.7299999999998,1126.001,0.09078841137746885,-0.19120211229014117,0.0002463812750230776,-0.19863854075481646,1466.84,1443.7749999999999,1496.26,1824.7,1288.1599999999999,1350.8410000000001,-0.01572427803986809,0.03635261727069672,0.2195073048801679,-0.29404285635994964,0.04865932803378481
Aerospace/Defense,21,14684.45,14589.100000000002,13574.729999999998,13185.689999999999,0.213221929198393,-0.006493263281906914,-0.06952930612580654,-0.10206442869838517,10379.13,13888.31,11662.13,14198.470000000001,12103.679999999997,13638.993,0.3380996287742808,-0.160291640955595,0.2174851420795345,-0.1475363190540956,0.1268467937024116
Air Transport,12,25477.4,26078.6,21879.699999999997,20708.399999999998,0.056460909445259944,0.023597384348481354,-0.16100941001434133,-0.18718550558534242,21465.89,29777.700000000004,25124.569999999996,24465.78,24115.800000000003,23321.9,0.3872101273229298,-0.15626223650584192,-0.02622094626893101,-0.014304878078687744,-0.03292032609326667
Apparel,8,54459.3,55832.3,55439,54401.50000000001,0.137338168440152,0.025211488212298017,-0.007044309476772481,-0.0010613430580267424,27177.2,40090.78,54938.17,64093.049999999996,47883.119999999995,71606.90000000001,0.4751622683720176,0.3703442537161912,0.16663969695386638,-0.25291244526512624,0.49545184190169755
Auto & Truck,4,138.16,126.03999999999999,122.09299999999999,90.609,-0.16615366045023838,-0.08772437753329476,-0.031315455410980686,-0.34417342211928204,42.95,122.3,605.6,391,165.69,78.706,1.847497089639115,3.95175797219951,-0.3543593130779392,-0.5762404092071611,-0.5249803850564306
Auto Parts,14,22944.460000000003,23631.239999999998,22997.99,22283.99,0.0024540933376848706,0.029932279949059337,-0.026797154952511892,-0.02878559791775448,20292.63,22672.84,29693.71,34186.84,22888.290000000005,25137.940000000002,0.11729430832770316,0.3096599279137504,0.1513158847446141,-0.33049413166001873,0.0982882513285177
Bank (Money Center),13,696964.7999999999,702907.7999999999,672763.6,652230.7,0.04122829911622583,0.008526972954731704,-0.042884998573070265,-0.06418415965913915,586698.3000000002,652257.9999999999,669306.7000000001,835866.8999999999,669367.9,763653,0.11174346337802521,0.026137969944408868,0.24885482246031576,-0.19919319690730652,0.14085691889318253
Banks (Regional),9,10171.5,10044,10409.4,10017.8,-0.05859541306480576,-0.012535024332694267,0.03637992831541226,-0.01511084894066761,9339.3,9932.7,10636.75,12955.3,10804.6,11930.21,0.06353795252320849,0.07088203610297295,0.21797541542294407,-0.16600927805608512,0.10417877570664325
Beverage (Alcoholic),14,8398.384000000002,7516.400000000001,7758.039999999999,7139.510000000001,-0.06761533597174918,-0.10501829875842794,0.03214836890000505,-0.1498947892832717,10253.22,11270.18,8295.289999999999,9602.429999999998,9007.423999999999,7853.957,0.09918445132358422,-0.263961178969635,0.15757616671629315,-0.06196410700208166,-0.12805736690090297
Beverage (Soft),9,147.95,122.01500000000001,91.8,90.3,0.3788443616029822,-0.17529570800946248,-0.2476334876859404,-0.3896586684690774,43.65,62.624,613.1499999999999,617.3000000000001,107.3,73.46,0.4346849942726232,8.790974706182931,0.006768327489195425,-0.8261785193584967,-0.3153774464119292
Broadcasting,12,3765.9900000000002,3517.182,3290.02,3114.8300000000004,0.03712224525720487,-0.06606708992854482,-0.064586364879611,-0.1729053980493841,4299.202,4720.162,5573.4800000000005,6530.172,3631.192,3446.102,0.09791584577789081,0.18078150707539287,0.171650746032999,-0.4439362393517352,-0.05097224272360157
Brokerage & Investment Banking,21,3084.8599999999997,2747.3900000000003,3004.0900000000006,2938.539,0.06385855039676636,-0.10939556414229479,0.0934341320307639,-0.0474319742224929,1659.25,1707.6000000000001,3328.8400000000006,4173.21,2899.69,3446.2199999999993,0.029139671538345624,0.9494260951042401,0.2536529241417429,-0.3051655679920253,0.18847876842007216
Building Materials,8,2544.4,2996.8000000000006,2634.2999999999997,2656.8399999999997,-0.10183593432854798,0.17780223235340387,-0.12096235985050752,0.04419116491117725,3780.62,3864.2419999999997,4591.663,4916.67,2832.8900000000003,2893.44,0.022118594304637806,0.18824416276206302,0.07078198029777028,-0.42381937368178046,0.021373932627105185
