Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Advertising,11,0.0786,4.099537567320887e-05,0.028,1.5003871534708512e-05,0.028,0.029,0.02,0.014,0.2,-0.32512147770404887
Aerospace/Defense,21,1524.2864000000002,0.13897023441259368,508.9190000000001,0.03661466365050037,505.26399999999995,504.94199999999995,523.638,493.6790000000001,492.691,0.00650238241837342
Air Transport,12,316.2734,0.013139114336568648,104.921,0.002675382230245913,108.36000000000001,107.974,104.80000000000001,89.80000000000001,97.5,0.014779209864470122
Apparel,8,4.0518,0.0005657459005557487,0.727,5.377974715381599e-05,0.798,0.827,3.656,3.6390000000000002,3.899,-0.2853124196153608
Auto & Truck,4,55.327999999999996,1.0352712235465824,14.318000000000001,0.20280453257790368,18.769,20.705,22.815,22.229000000000003,20.929,-0.07311303203564534
Auto Parts,14,2193.1692,0.0979440597791674,737.851,0.013479606242939132,731.726,728.251,727.34,710.254,713.682,0.006683117471157685
Beverage (Alcoholic),14,0,0,0,0,0,0,0,0,0.086,-1
Beverage (Soft),9,0.5078,0.00635218473624298,0.087,0.0006805701143670698,0.14,0.198,0.31,0.32999999999999996,0.35200000000000004,-0.243872004857157
Broadcasting,12,23.792199999999998,0.005262631475847438,7.771,0.0014711951685882508,7.936,7.761,8.471,8.136999999999999,8.679,-0.021859043162495206
Brokerage & Investment Banking,21,110.12000000000002,0.08241114720777236,42.691,0.019785337133042504,43.511,30.123,24.429000000000002,23.874,22.834,0.1333155984285841
Building Materials,8,37.413999999999994,0.009054505440026258,12.84,0.0021744431799707365,12.389999999999999,12.07,12.530000000000001,12.040000000000001,12.690000000000001,0.0023529671997084556
Business & Consumer Services,68,514.1462,0.016377746264575714,88.23799999999999,0.0023558179503086287,312.82300000000004,98.157,86.158,411.46199999999993,80.605,0.01826011924988502
Chemical (Basic),19,118.59320000000001,0.01286678264794258,36.485,0.00330631552028094,37.775999999999996,40.008,45.866,47.681,49.367999999999995,-0.05868763531381915
Chemical (Diversified),1,53.800000000000004,0.01387563510690429,19.7,0.005608221595923364,17.2,17.5,16.6,16,15.5,0.0491242015562674
Chemical (Specialty),50,765.4292,0.02484732208403678,250.576,0.007467357504121221,259.38200000000006,267.407,266.652,201.21300000000005,195.85899999999995,0.05050757384186255
Coal & Related Energy,85,88.01219999999999,0.006294326911824892,43.112,0.0029394011686015072,29.91,18.275,16.844,16.348,33.74,0.050244989936444995
