Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_
Advertising,11,1.1198166189149052,0.705318100931018,0.11239237487307564,0.7428071490721064,0.06014072823323278,0.7903386936597029,0.41869005793038255,0.3520858660788466,12.776581582193849
Aerospace/Defense,21,1.1750041362906547,0.6760235891315437,0.05052783487202549,0.7904679165065789,0.05758551212081363,0.8387688503022181,0.451079722493169,0.5367777187435866,0.45271128895488394
Air Transport,12,1.0472397031185858,0.9970863172542258,0.12266504022660933,0.6097453755375482,0.0975016506456268,0.6756193803276717,0.2668211428019957,0.2593943956041297,3.0306305693380824
Apparel,8,0.8460471542895533,0.039797498387898526,0.1510736936509072,0.8224923871404126,0.016612909344989192,0.8363872120718708,0.3793227277046553,0.3437370863725106,0.5115687902884188
Auto Parts,14,0.9936506085468217,0.3957284230347733,0.25738333258272006,0.7734096906207245,0.05105017408927538,0.8150164207875469,0.2760585812174218,0.31985672421828043,0.19638658188314284
Banks (Regional),9,0.7765552449147827,3.39890404276203,0.27230922227337695,0.22535947324062025,0.13225952689002593,0.25970838081682873,0.17928144557161294,0.19548639249410268,0.39179822373924433
Beverage (Alcoholic),14,0.5154204160235258,0.25930372277347086,0.10009863710672658,0.43436929522939194,0.041208562515700146,0.4530383545863745,0.3238483361640583,0.2447193755450586,0.4371876175221484
Broadcasting,12,1.042007897637629,0.82222179888459,0.13480448646237025,0.6546629449991463,0.03165714330475186,0.6760652391585499,0.3305139811732703,0.412638066110821,0.156086843411765
Brokerage & Investment Banking,21,1.01284635725937,0.26718172374369603,0.0696043261945346,0.8495151947043472,0.19155839025854673,1.050805876971164,0.41081070655970675,0.42615252459721153,1.6874939887373865
Building Materials,8,0.5567154751216625,0.8288682446899935,0.17107487744372063,0.34872011250424506,0.05583231353704368,0.36934129128123555,0.35125372690032236,0.41992783345825113,0.4417773533549273
Business & Consumer Services,68,0.7000339091806403,0.21934640270689995,0.14052191842924447,0.6046024482272447,0.031732002698965416,0.6244164321370974,0.36807916058562423,0.3722529698519828,0.11663936426784943
Cable TV,2,0.6828081562726964,1.6784413692537994,0.23295003868631964,0.30926994024106297,0.050377708261786794,0.32567679058477794,0.18691831766205633,0.19598386058834938,0.06043291515845967
Chemical (Basic),19,1.3503732178936936,0.5043086560089002,0.0337809749087315,0.9908083598994673,0.09106776927943465,1.0900794651257923,0.5143806793716998,0.48057799953041136,0.43663327726449574
Chemical (Diversified),1,0.5856745088280281,0.3374734042553192,0.12890624999999997,0.47123664074153426,0.05124381077372785,0.4966888712745434,0.2,0.176414485199587,0.5138989948718496
Chemical (Specialty),50,1.0561873779470168,0.5204702405483183,0.03892223140186529,0.7683987123145887,0.022820249868177527,0.7863432620364176,0.5122493755446118,0.5659550001040776,0.963386941300992
Coal & Related Energy,85,1.2556746127358038,0.03369476322542848,0.016831868175257454,1.2259493239821568,0.134006435391625,1.415656390629835,0.5079983923920596,0.6312514479106739,2.4590975098200385
