Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Advertising,11,37.253,169.88400000000001,0.21928492383037837,413.064,-0.030200000000007776,0.15025455675616298,5.411191865475731,1.1212648361287967
Aerospace/Defense,21,865.3389999999999,424.4729999999999,2.0386196530756964,0.176,4.876199999999471,0.03208201090671901,0.44454195471670493,1.2510662935102927
Air Transport,12,4106.25,3475.6650000000004,1.1814285899245178,102.42,3.2341999999998734,0.018773374947727007,0.20437689974517181,1.646937921773805
Apparel,8,952.1879999999999,145.50699999999995,6.543932594308179,0.501,-1.8368000000000393,0.05957532493471714,0.42166171944633285,1.998312640921171
Auto Parts,14,3174.717,1773.144,1.79044510767315,1732.8799999999999,15.600399999999354,0.057547498717534604,1.4317520515565136,2.6172586566728775
Beverage (Alcoholic),14,242.422,103.93699999999997,2.332393661544975,138.445,-0.017200000000002547,0.10356596012689144,0.9128954624214621,0.5528742793725412
Broadcasting,12,75.85399999999998,321.54099999999994,0.23590770694872504,20.649,-0.4257999999999811,-0.042684500482762525,-0.46785349886663236,1.1560871050426478
Brokerage & Investment Banking,21,32.186,127.98100000000002,0.2514904556145052,25.525,13.736800000000006,-0.026200567361029697,-18.710888968731155,3.683618490912629
Building Materials,8,279.47900000000004,113.89500000000005,2.4538302822775355,112.1,0.4959999999999809,0.047109548582886254,0.745983955938305,1.4827591232580482
Business & Consumer Services,68,2820.3740000000003,3177.9540000000015,0.887481064861228,2065.7480000000005,-109.60299999999916,0.04267920988389486,0.4985003633649587,1.173812788769822
Cable TV,2,618.8000000000001,503.7,1.2285090331546558,73.2,0,0.07058250243646455,0.3629883293161958,0.6663411386748996
Chemical (Basic),19,959.027,671.034,1.429177955215384,181.09099999999998,-7.654800000000137,0.04181528095027592,0.717066993998418,1.2922087238494107
Chemical (Diversified),1,319.5,209.5,1.5250596658711217,0,3.1399999999999864,0.0322088422011558,0.5079495134257318,1.1614151099355263
Chemical (Specialty),50,2844.0160000000005,1939.8229999999999,1.4661213935498243,505.725,12.473400000000765,0.04238835760243399,0.44671947384585237,1.1160472421968797
Coal & Related Energy,85,1157.3899999999999,1233.362,0.9384025128064589,88.124,20.08860000000095,0.0021981828102712936,0.007771371429103903,1.0162022867348792
Computer Services,19,145.81,546.5640000000001,0.26677571153606894,127.48599999999998,1.4855999999999767,-0.01491012747393577,-0.19723146928340554,7.679823679589759
Construction Supplies,9,539.8190000000001,310.428,1.7389507389797314,28.147000000000002,0,0.040216308390929184,0.9627171262839208,0.9396132110171596
Diversified,6,273.60799999999995,169.58300000000003,1.6134164391477914,85.227,0.004599999999982174,0.07983762205660444,0.20485101002573441,0.2612888787129783
