Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_
Advertising,11,0.11660877975714357,952.6560000000002,952.7726087797573,55.038000000000004,0.05777321509548042,0.014797949397933698,0
Aerospace/Defense,21,0,9220.281,9220.281,608.5210000000001,0.06599809702112115,0.006201646370058051,0
Air Transport,12,454.7473823713299,22799.2,23253.94738237133,1314.288,0.05764623320116495,0.006309765325911395,0
Apparel,8,992.7674873124113,1857.008,2849.7754873124113,85.035,0.04579140208335128,0.07596462267774441,1168.1
Auto & Truck,4,0,18.668000000000003,18.668000000000003,0.166,0.008892221984143989,1,0
Auto Parts,14,1530.7453545427506,8417.052,9947.79735454275,274.80199999999996,0.032648247866355104,0.002223038876070101,1673
Bank (Money Center),13,13.382468362804502,1972055.4000000001,1972068.782468363,0,0,0.384930614385846,0
Banks (Regional),9,0,40549.638999999996,40549.638999999996,0.018,4.4390037603047464e-07,0.06385702016749799,0
Beverage (Alcoholic),14,7.354288602761244,2029.2059999999997,2036.560288602761,136.511,0.06727311076352033,0.011902037426322707,0
Beverage (Soft),9,0,93.82999999999998,93.82999999999998,12.592,0.1342001492060109,0.06512287905319727,0
Broadcasting,12,246.3261855797832,2587.134,2833.4601855797832,200.713,0.07758121535258707,0.00592280671485069,0
Brokerage & Investment Banking,21,0,920.7669999999999,920.7669999999999,5.859,0.006363173310946201,0.30189923576127375,0
Building Materials,8,33.19053391581565,2365.0899999999992,2398.280533915815,128.87300000000002,0.054489681153782756,0.018675408574657555,43.95
Business & Consumer Services,68,10.657279775059578,23475.93600000001,23486.59327977507,774.1679999999999,0.032977087686727365,0.006679679113094071,0
Cable TV,2,5.754952634689744,3755.7999999999997,3761.5549526346895,193.43,0.05150167740561266,0.004500818330605565,0
Chemical (Basic),19,0,5421.428999999999,5421.428999999999,292.048,0.0538691920525013,0.0004194936020644924,0
Chemical (Diversified),1,0,1268.9,1268.9,96.9,0.07636535582000158,0,0
Chemical (Specialty),50,0.513557482354372,16245.697999999999,16246.211557482353,763.8450000000001,0.047018293704585684,0.29617150553335636,0.128
Coal & Related Energy,85,0.07783401232427423,1484.1839999999997,1484.261834012324,105.34800000000001,0.07098041752235575,0.04025465230166503,0
Computer Services,19,0,3598.332,3598.332,126.90899999999999,0.035268841229769796,0.08544026957263663,0
Computers/Peripherals,5,0,8.434000000000001,8.434000000000001,1.016,0.12046478539245908,0.26786650358203734,0
Construction Supplies,9,0.30184409657476863,2408.716,2409.0178440965747,104.22999999999999,0.04327201712447627,0,0
Diversified,6,0,4346.380000000001,4346.380000000001,181.957,0.04186403397770097,0.0005480395186097367,0
Drugs (Biotechnology),92,58.53076516251531,12879.292999999998,12937.823765162513,479.93600000000004,0.037264157279440734,0.007741078609050517,68.211
Drugs (Pharmaceutical),165,324.5190295426801,25415.201999999994,25739.721029542674,1684.4340000000002,0.0662766323871831,0.006781371280395474,147.36700000000002
Education,17,0.7889741564381438,1152.7720000000002,1153.5609741564383,68.71199999999999,0.059605889109034554,0.032142499805449636,0.691
Electrical Equipment,33,24.95907224537075,386.9419999999999,411.90107224537064,49.593,0.12816649523701232,0.2450873527067491,26.4
Electronics (Consumer & Office),6,0,16.896,16.896,2.7270000000000003,0.16139914772727273,0.746690734055355,0
Electronics (General),45,2.7099989882990485,1179.1800000000005,1181.8899989882996,105.668,0.0896114248884818,0.04998781750247669,0
Engineering/Construction,44,205.1223301500031,12626.964999999998,12832.087330150001,739.4739999999999,0.05856308305281594,0.020876066003591983,22.2
Entertainment,35,14.74236590862074,3432.0060000000008,3446.7483659086215,221.44200000000004,0.06452261447095371,0.1390402621511389,12.615
Environmental & Waste Services,35,185.20294850296887,15528.036999999997,15713.239948502965,760.646,0.04898532892470569,0.001540660638692116,272.4
Farming/Agriculture,30,30.47253797917665,3014.2229999999995,3044.695537979176,170.09899999999993,0.056432121976376655,0.18174072280245376,15.200000000000001
Financial Svcs. (Non-bank & Insurance),85,1.2364527985919267,232559.93199999994,232561.16845279853,2853.188,0.012268613838431983,0.17859386664746527,1.11
Food Processing,70,32.08308310365828,15783.353,15815.436083103657,791.2279999999998,0.050130539436075455,0.07266552836273954,0
Food Wholesalers,5,0.025343253728806303,1777.625,1777.6503432537288,96.703,0.0544001125096688,0.5975406002890911,0.017
Furn/Home Furnishings,5,0,644.47,644.47,43.09,0.06686114171334585,0.021971611899669452,0
Green & Renewable Energy,24,9.72560769015945,14563.155,14572.88060769016,582.1610000000001,0.03997492301633815,0.0017037670809450097,0
Healthcare Products,54,113.43114823120322,5520.286000000002,5633.717148231205,283.48699999999997,0.0513536798636882,0.0051222793588272825,4.82
Healthcare Support Services,35,3.8399766495494987,6610.092,6613.931976649549,310.286,0.04694125286002071,0.009186271073355644,0
Heathcare Information and Technology,55,85.00716561590878,146.11000000000004,231.11716561590882,13.590999999999998,0.09301895831907463,0.1601329177365538,80.8
Homebuilding,4,0.44609064898156703,151.42000000000002,151.86609064898158,3.084,0.020367190595694095,0.0021183102536720295,0
Hospitals/Healthcare Facilities,15,9.204181168137438,13881.480000000001,13890.684181168139,600.7819999999999,0.04327939095831279,0.016964261098909177,0
Hotel/Gaming,31,2.1088533428419396,6119.910000000001,6122.018853342843,355.802,0.05813843667635635,0.041377812211522015,1.44
Household Products,8,0,13.581,13.581,3.819,0.28120167881599295,0.19530225348754024,0
Information Services,4,0,5554.569,5554.569,297.807,0.053614780912794494,1.621214317719003e-05,0
Insurance (General),4,0.05645700703234979,1287.595,1287.6514570070324,75.37,0.05853548670195209,0.00029436906455168827,0
Insurance (Life),11,0,50081.71000000001,50081.71000000001,3801.223,0.07590042352787074,0.025386076151064297,0
Insurance (Prop/Cas.),8,292.5974421455976,36147.4,36439.9974421456,1970.192,0.054504390357259444,0.18865826297838126,0
Investments & Asset Management,195,0.14607801820966415,238631.67099999997,238631.81707801818,15606.553000000002,0.06540017481585671,0.011920105497462788,0
Machinery,30,0.018328378561591308,1263.8969999999997,1263.9153283785613,85.90199999999997,0.06796598140513031,0.01570137071709948,0
Metals & Mining,1275,489.59572964884137,63638.96299999998,64128.55872964882,3019.962000000005,0.047454607329161,0.026885810551063725,1.366
Office Equipment & Services,1,0,7.87,7.87,1.04,0.13214739517153748,0.19345238095238096,0
Oil/Gas (Integrated),4,627.9863493243465,21973.1,22601.086349324345,1055.6,0.04804055868311708,0.11207954895880003,169.3
Oil/Gas (Production and Exploration),228,301.5836942462265,45053.877000000015,45355.46069424624,2349.692000000001,0.05215293680497241,0.006759668927167805,57.099999999999994
Oil/Gas Distribution,7,855.6588770892122,120141.7,120997.35887708921,5564,0.046311979937024364,0.012093847468776432,0
Oilfield Svcs/Equip.,33,34.58504357674974,13357.251,13391.83604357675,953.3229999999999,0.07137119756153416,0.0025942235660328175,10.56
Packaging & Container,6,0,4244.1,4244.1,196.621,0.04632807898023138,0.00020326539884856136,0
