Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Apparel,8,135.37,1504.5910000000001,0.0899712945245585,1070.5700000000002,0.711535560162197,1018.8560000000002,585.528,653.1299999999999,1.7400636690303455,1.5599589668213072,0.6771647577315032,0.016612909344989192
Bank (Money Center),13,32049.240000000005,53899.399999999994,0.5946121849222813,35349.3,0.655838469444929,22756.222000000005,48816.409999999996,75230.58999999997,0.46615926898352433,0.30248628915445186,0.42219805786335296,0.13466332810626747
Banks (Regional),9,509.976,1055.3860000000002,0.48321277712609406,543.146,0.5146420361839175,493.472,1245.8410000000001,1377.5290000000005,0.3960954889107036,0.3582298448889278,0.46757489676762803,0.13225952689002593
Business & Consumer Services,68,1851.9075999999995,3455.955,0.535859870860587,5241.4619999999995,1.5166464841122063,5168.040999999999,3464.8240000000014,5558.540999999999,1.4915738865812511,0.929747752152948,1.4954017051726656,0.031732002698965416
Cable TV,2,116.10000000000001,320.90000000000003,0.3617949516983484,240.7,0.7500779058896851,238,141.73999999999995,284.14,1.6791308028785106,0.8376152600830576,0.741664069803677,0.050377708261786794
Chemical (Diversified),1,338.4,361.1,0.9371365272777623,338.4,0.9371365272777623,338.4,240.00000000000003,201.20000000000005,1.4099999999999997,1.681908548707753,0.9371365272777623,0.05124381077372785
Chemical (Specialty),50,1064.105,2103.6259999999997,0.5058432439986956,3344.91,1.5900687669766396,3249.442,1180.384999999999,2248.0499999999993,2.7528662258500427,1.4454491670558933,1.5446861752041476,0.022820249868177527
Coal & Related Energy,85,2012.8400000000001,4232.645999999999,0.4755512272937545,2705.737,0.6392542631724932,1207.7929999999997,4663.248999999999,1796.2469999999994,0.2590024680217591,0.6723980610684388,0.28535176341229573,0.134006435391625
Computer Services,19,93.63699999999999,1006.9100000000001,0.09299440863632298,785.03,0.779642669156131,608.893,1506.189,1222.2890000000002,0.4042606870718084,0.49815796427849707,0.6047144233347568,0.050221407056581235
Diversified,6,318.76,1342.5200000000002,0.2374340791943509,320.825,0.2389722313261627,-243.20499999999998,1226.3310000000004,1481.602,-0.1983192139805647,-0.16415002139575943,-0.181155587998689,0.017475136422469006
Education,17,82.97149999999999,85.699,0.9681734909392175,107.893,1.258976184086162,76.261,125.17400000000005,140.47300000000007,0.609239938006295,0.542887245235739,0.8898703602142382,0.0551003189896283
Financial Svcs. (Non-bank & Insurance),85,3111.0154999999995,3997.8900000000003,0.7781643566981581,4675.045999999999,1.1693783470780834,4358.945999999999,3575.4700000000003,5746.764999999999,1.219125317790388,0.7585043063358253,1.0903116393897778,0.08135022314487009
Food Wholesalers,5,151.6,334.66499999999996,0.45299030373657245,157.10999999999999,0.4694545291560217,157.10999999999999,538.438,398.19199999999955,0.29178846961024296,0.3945584039860172,0.4694545291560217,0.08553540321546771
Green & Renewable Energy,24,659.4567999999999,344.807,1.9125388985722445,326.184,0.9459900756075138,41.097000000000094,415.53799999999995,1021.0190000000007,0.09890070222217967,0.04025096496735131,0.1191884155484085,0.03806152361628764
Healthcare Support Services,35,562.2379999999998,338.40599999999984,1.6614303528897245,661.2299999999998,1.9539547171149452,514.5339999999998,1246.4099999999996,436.72199999999975,0.4128127983568809,1.1781728422199935,1.5204635851610195,0.03827566047542267
Hospitals/Healthcare Facilities,15,383.66399999999993,740.1660000000002,0.5183485866683958,435.8639999999999,0.5888733067987449,-90.543,1019.182,1032.6989999999992,-0.08883889236662343,-0.08767607986451045,-0.12232796426747511,0.007905791093242952
Information Services,4,256.5,216.87399999999997,1.1827143871556758,341.2,1.5732637383918775,337.2,524.781,951.1509999999998,0.6425537509932715,0.35451784206713766,1.5548198493134264,0.07284788768261619
Insurance (General),4,151.46,206.171,0.7346329018145132,155.05,0.7520456320239026,-107.697,336.76599999999996,734.238,-0.3197977230480512,-0.1466785974030219,-0.5223673552536487,0.0444183055799673
Insurance (Life),11,6218.493000000001,18009.11,0.34529707464722026,7059.89,0.39201770659405155,6612.9580000000005,19661.914,17294.174,0.3363333803616474,0.38238067918132435,0.3672007111956116,0.19259717388956843
Insurance (Prop/Cas.),8,1861.0500000000002,6744.161000000001,0.275949817923979,2370.25,0.35145216728960055,1923.35,4824.749000000002,6740.349,0.39864249933001683,0.2853487260081043,0.28518743843748684,0.09172852155491709
Investments & Asset Management,195,7042.3952,6847.96,1.0283931565020823,8624.001,1.259353296456171,-1252.4969999999958,5637.744999999998,14012.054000000004,-0.22216276188440523,-0.08938710912761223,-0.18290074708380244,0.05016970622758939
Metals & Mining,1275,15716.292,13970.819999999987,1.1249369757823817,16019.166,1.1466160182437404,9461.020999999993,686.5129999999867,8085.855999999976,13.781269983234369,1.1700704291543185,0.6771986898406824,0.07665316304844931
Oil/Gas (Integrated),4,3637.1000000000004,13109,0.27745060645358155,8779.9,0.6697612327408651,8584.654,13461.600000000002,9082.100000000002,0.6377142390206215,0.9452278658019619,0.654867190479823,0.037547267254295136
Oil/Gas (Production and Exploration),228,9291.698600000002,23111.936,0.4020303015723132,13930.268,0.602730467927914,12418.498000000001,11443.992000000017,8404.93700000002,1.0851543762001916,1.477524221775841,0.5373196775899691,0.033302150179097746
Packaging & Container,6,307.33,823.4000000000001,0.3732450813699295,310.33,0.37688851105173665,295.53,821.486,734.0909999999998,0.35975050092150074,0.40257951670841907,0.3589142579548214,0.07165107815129337
Power,19,2768.9000000000005,5172.429999999999,0.5353189893338336,2856.6220000000008,0.5522785228606286,2767.5990000000006,21.13500000000147,3200.9969999999994,130.94861603973544,0.8646053089084436,0.5350674634552813,0.0168246730680448
Real Estate (Operations & Services),34,221.963,138.19900000000007,1.606111476928197,336.49,2.4348222490756073,-256.303,330.34700000000004,703.3879999999999,-0.7758599291048502,-0.3643835265884548,-1.8545937380154696,0.02314450824027245
Recreation,17,63.757000000000005,1228.604,0.05189385676751826,488.17,0.3973371403641857,462.09700000000004,612.4489999999998,662.6819999999999,0.754506905881143,0.6973133418442029,0.37611549368226055,0.08158755619503341
Restaurant/Dining,22,2175.178,2462.623,0.883276896220006,2408.138,0.9778752167912018,2077.299,2215.6740000000004,2499.316,0.9375472203943358,0.8311470018196979,0.8435310642351671,0.03182127500262072
Retail (Building Supply),10,176.65,370.95000000000005,0.47620973176978026,213.98000000000002,0.5768432403288852,210.46500000000003,534.919,340.119,0.39345209274675236,0.6187981265380647,0.567367569753336,0.06076254786238188
Retail (Distributors),33,717.688,2158.2850000000003,0.3325269832297402,1059.375,0.4908411076387038,1018.41,1613.5840000000007,738.4680000000017,0.6311478051344086,1.3790848080079268,0.4718607598162429,0.04468132326437429
Retail (General),10,2071.5383,3119.3600000000006,0.6640908070886334,2912.94,0.9338261694706604,2884.437,3270.6390000000006,1921.4669999999996,0.8819184874882245,1.501163954416079,0.9246887181986047,0.01749772122700299
Retail (Grocery and Food),12,2985.9499999999994,9194.99,0.3247366228783282,8323.715999999999,0.9052447039094114,8245.414999999999,7268.262999999998,4854.483999999997,1.134440924881227,1.698515228395027,0.8967290883404984,0.021331380340050398
Retail (Special Lines),41,806.9010999999999,931.6109999999999,0.8661352216751412,843.28,0.905184674719384,802.404,1108.818,301.0459999999998,0.7236570834889045,2.6653866850913164,0.8613079922843334,0.041104388648624916
Shipbuilding & Marine,9,310.84,433.11000000000007,0.7176929648357229,333.43199999999996,0.7698552330816649,333.35999999999996,251.77100000000013,227.24900000000025,1.3240603564350135,1.4669371482382743,0.7696889935582183,0.024281100017516204
Software (Entertainment),38,408.69,1195.289,0.34191731037431117,500.6,0.4188108482551082,-675.3260000000001,1469.156,1636.101999999999,-0.4596693611842447,-0.41276521879442757,-0.5649897221508774,0.018189819899073534
Steel,52,4831.5447,7062.973999999999,0.6840666127328234,5415.076000000001,0.7666849686831639,5210.7970000000005,4151.642000000001,2421.4760000000006,1.2551171319685077,2.151909413927703,0.737762449642318,0.07833311018386889
Telecom (Wireless),3,755.5,456.1880000000001,1.6561154611695175,755.5,1.6561154611695175,755.5,111.24699999999999,4573.597000000001,6.791194369286363,0.16518726945115625,1.6561154611695175,0.030795288588140193
Telecom. Services,22,5657.9,5192.604999999999,1.089607239526211,6047.74,1.1646832370265023,5414.32,6594.673999999996,9980.640000000001,0.8210140486095299,0.5424822456275348,1.042698221798115,0.01983958915726339
Transportation,45,257.40439999999995,277.75199999999995,0.9267418416429044,236.303,0.8507697514329331,-26.599000000000046,287.93899999999996,416.14499999999987,-0.09237720489409232,-0.06391762486633278,-0.09576528701863551,0.036358395577962284
Transportation (Railroads),3,2260.7,6903.3,0.3274810597830023,5719.0599999999995,0.8284530586820795,5631.86,4861.4800000000005,7285.880000000001,1.1584661461118835,0.7729828105870532,0.8158214187417612,0.003283836528482502
Trucking,3,170.16000000000003,674.8,0.252163604030824,469.26000000000005,0.6954060462359218,451.26000000000005,811.7699999999998,909.6699999999996,0.5558963745888617,0.4960700034078295,0.6687314759928868,0.008358222405314244
Total Market,4589,139679.4853,211170.3719999997,0.6614539908089009,182967.23099999988,0.8664436647391052,129165.03699999981,138833.1409999998,195147.3779999999,0.9303616994446592,0.66188456295836,0.611662686278736,0.07776857022118333
Total Market (without financials),4243,88651.9744,120498.15499999971,0.7357122970057112,124057.77899999992,1.0295409004395149,94266.01299999985,55714.46199999979,74963.30599999987,1.691948725987881,1.2574954071529345,0.7823025423086359,0.03847504455108157
