Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Advertising,11,46.77,0,0.01190257602808708,0.0346228756752275,1350.8410000000001,-0.029078226472571845,0.2888629999999999,0.3520858660788466
Aerospace/Defense,21,23.54,0,0.03889295515414266,0.0017259338720974488,13638.993,0.3232109681681111,0.15338333333333334,0.5367777187435866
Air Transport,12,118.69,0,0.0360615851298296,0.0050892079976331255,23321.9,0.5522014646790876,0.1459111111111111,0.2593943956041297
Apparel,8,135.37,0,0.0899712945245585,0.0018904602768727594,71606.90000000001,0.2851710543772863,0.40452333333333335,0.3437370863725106
Auto & Truck,4,0,0,0,0,78.706,-0.5131937290687442,0.006464999999999999,0.510895276406939
Auto Parts,14,662.2360000000001,0,0.3859105437826152,0.02634408388276844,25137.940000000002,0.10531720114567558,0.21222307692307696,0.31985672421828043
Bank (Money Center),13,32049.240000000005,0,0.5946121849222813,0.041968328547128085,763653,0.11132357144863525,0.35137692307692303,0.17156697628197956
Banks (Regional),9,509.976,0,0.48321277712609406,0.04274660714270746,11930.21,0.07453217270450718,0.1872666666666667,0.19548639249410268
Beverage (Alcoholic),14,208.59000000000003,0,1.1362472627439018,0.026558586964507195,7853.957,0.04880874834160648,0.15071916666666665,0.2447193755450586
Beverage (Soft),9,0,0,0,0,73.46,-0.9624333494910324,0.033854999999999996,0.7124191223270709
Broadcasting,12,226.01,0,0.007344610580770612,0.06558424562012384,3446.102,-0.0579280720001443,0.25769,0.412638066110821
Brokerage & Investment Banking,21,83.88119999999998,0.3171151581045575,0.009743513809439204,0.024340059543499833,3446.2199999999993,-0.05066066848718565,0.12114599999999999,0.42615252459721153
Building Materials,8,217.31099999999998,0,1.5097961565717621,0.07510471964167219,2893.44,0.05344983809155994,0.2541399999999999,0.41992783345825113
Business & Consumer Services,68,1851.9075999999995,0.00837244795582674,0.535859870860587,0.017295367845253495,107075.35200000001,0.13518488181495575,0.18438079365079368,0.3722529698519828
Cable TV,2,116.10000000000001,0,0.3617949516983484,0.051804917228146896,2241.1,0.1331038201501514,0.29745,0.19598386058834938
Chemical (Basic),19,191.07,0,0.4022162204263614,0.017773589749791166,10750.220000000001,0.08687372684361824,0.2036030769230769,0.48057799953041136
Chemical (Diversified),1,338.4,0,0.9371365272777623,0.09,3760,0.08911428641938748,0.39799999999999996,0.176414485199587
Chemical (Specialty),50,1064.105,0.0005892275668284614,0.5058432439986956,0.034090100535690365,31214.487,0.07343096058314827,0.12167375,0.5659550001040776
Coal & Related Energy,85,2012.8400000000001,0.10239263925597662,0.4755512272937545,0.04569420681479864,44050.223000000005,0.2763378419624042,0.13329555555555556,0.6312514479106739
Computer Services,19,93.63699999999999,0,0.09299440863632298,0.0032111334014560777,29160.109,0.15276240197944368,0.2014035714285715,0.4579516681565841
Construction Supplies,9,190.6,0.059706190975865686,0.33765529752108564,0.017908989260244108,10642.7,0.1054040781267506,0.16331666666666667,0.29810535129664417
Diversified,6,318.76,0,0.2374340791943509,0.023489376502812374,13570.39,0.15928999839822502,0.124738,0.21151877435662847
Drugs (Biotechnology),92,1086.32,0,1.1130236637404611,0.010059479943999831,107989.67800000001,0.05382629283656779,0.14259075757575757,0.5717968167722113
Drugs (Pharmaceutical),165,50.623999999999995,0,0.0016218248887430503,0.0032504065737007422,15574.666999999992,-0.49223252625270975,0.07654747252747256,0.6866086968536945
Education,17,82.97149999999999,0.046642521829784934,0.9681734909392175,0.0152078880901496,5455.82,0.06383585725033333,0.23003666666666672,0.3868594120854755
Electrical Equipment,33,6.324000000000001,0.07953826691967109,0.001722358515843163,0.0021938299400200514,2882.63,-0.23472766968002828,0.060889545454545446,0.5754508215090308
