Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Advertising,11,46.77,66.60799999999999,13.185,-53.42299999999999,-0.03373609774456981,245.194,182.029,-63.16499999999999,-0.06630410137552273,107.81400000000002
Aerospace/Defense,21,23.54,16.931,176.99,160.059,0.0854733397450309,1909.7969999999998,1179.0470000000003,-730.7499999999995,-0.0792546344303389,-11.745000000000005
Air Transport,12,118.69,878.8000000000001,141.97,-736.83,-0.12362193495348425,5104.610000000001,1692.601,-3412.0090000000005,-0.14965476858837154,391.71000000000015
Apparel,8,135.37,935.2,51.714,-883.4860000000001,-0.16745057902617466,293.026,360.628,67.60199999999998,0.036403720393234695,471.5400000000004
Auto & Truck,4,0,0.065,0.5329999999999999,0.4679999999999999,0.001951846121122895,0.241,1.08,0.8390000000000001,0.04494321834154703,11.04
Auto Parts,14,662.2360000000001,73.386,438.22299999999996,364.837,0.022390925426570462,431.528,2181.1839999999997,1749.6559999999997,0.20787040403219556,250.98099999999977
Bank (Money Center),13,32049.240000000005,14612.800000000001,12593.077999999998,-2019.7220000000034,-0.004171524476587511,132692.80000000002,159106.97999999998,26414.179999999964,0.013394238316022948,0
Banks (Regional),9,509.976,33.17,49.674,16.503999999999998,0.0011655251996096083,3805.0119999999997,3936.7000000000003,131.68800000000056,0.0032475751510389664,0.03300000000000003
Beverage (Alcoholic),14,208.59000000000003,14.6,6.987000000000001,-7.612999999999999,-0.0020241042016181134,220.95900000000003,463.72299999999996,242.76399999999992,0.11963497052541731,-1.7759999999999536
Beverage (Soft),9,0,1.4849999999999999,4.802,3.3169999999999997,0.0321570528356762,24.875999999999998,48.76,23.884,0.2545454545454546,3.254999999999999
Broadcasting,12,226.01,135.3,2.165,-133.13500000000002,-0.0400206212838102,856.5870000000001,793.9440000000001,-62.64300000000003,-0.02421328002337723,32.78999999999999
