Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Advertising,11,0.04534395597694975,6.327843245597816,0.2869294455574262
Aerospace/Defense,21,0.09350468762281135,0.9072504680811883,0.08483217161358088
Air Transport,12,0.16126010665755422,0.18258618569979565,0.029443867780145048
Apparel,8,0.3388019955934532,0.4805025585732287,0.16279522573237
Auto Parts,14,0.1041934126737988,1.7626657026228827,0.18365815495933752
Bank (Money Center),13,8.984097662639923e-07,8272.34727038142,0.007431957577637947
Banks (Regional),9,1.682816513308822e-05,-233.0926155115511,-0.003922521025131822
Beverage (Alcoholic),14,0.07653225987328754,1.5309851442941496,0.11716975292526248
Broadcasting,12,0.11699357219170492,-0.36441533623696004,-0.04263425194780321
Brokerage & Investment Banking,21,0.04640156359932801,308.33879041350235,14.307401993511998
Building Materials,8,0.10569368400192938,0.7998155826961796,0.08453545545730902
Business & Consumer Services,68,0.11066330036110522,0.6072432422653211,0.06719954131105861
Cable TV,2,0.12294721141397333,0.4864776143719339,0.05981106610235155
Chemical (Basic),19,0.09675528466545184,0.512731373335794,0.04960946998401281
Chemical (Diversified),1,0.07468297962473135,0.5577836976136903,0.04165694852389054
Chemical (Specialty),50,0.1551813917624225,0.45270173199070324,0.07025088482357651
Coal & Related Energy,85,0.4215392064111967,-0.07770995402000312,-0.0327577923478427
Computer Services,19,0.7063777402761309,-0.26873069260010124,-0.18982537938169908
Construction Supplies,9,0.04211480464845631,1.509317719747749,0.06356462091962997
Diversified,6,0.0981935807542841,0.21801730217064794,0.021407899566524675
Drugs (Biotechnology),92,0.0985861102338638,7.753338690011285,0.7643715027739336
Education,17,0.15878186269113273,0.17005420932680407,0.027001524115377748
Electronics (General),45,0.12536188753275648,1.036398578916663,0.12992488208925934
Engineering/Construction,44,0.16339125046102693,0.8091998621384435,0.1322161773476909
Entertainment,35,0.06466172508569812,-0.7055965733680905,-0.045625091648538084
Environmental & Waste Services,35,0.10136776313010584,2.0777719506508507,0.2106190949319534
Farming/Agriculture,30,0.035626495059733566,0.0331914949051176,0.001182496629262344
Financial Svcs. (Non-bank & Insurance),85,0.013608352105064829,0.6883012687342818,0.009366646019298956
Food Processing,70,0.1185132574385699,0.3864663718613369,0.045801388619752706
Food Wholesalers,5,0.11003831333499696,-0.6015264384287522,-0.0661909547111078
Furn/Home Furnishings,5,0.028825423443224137,-15.697797118697444,-0.45249564907227763
Green & Renewable Energy,24,0.047337299979252775,0.03461194379742132,0.0016384359664035706
Healthcare Products,54,0.06620576225137631,4.871473329850117,0.32251960508997735
Healthcare Support Services,35,0.16806814604981107,-0.6472404085519265,-0.10878049551384458
Hospitals/Healthcare Facilities,15,0.04205049881204344,-0.4630094538347902,-0.019469778488444726
Hotel/Gaming,31,0.1757374501071264,0.05595689410137888,0.009833721885290827
Information Services,4,0.19671759919446558,0.7295948654124947,0.1435241503085552
Insurance (General),4,0.4236227816452569,0.9219944279726375,0.39057784423919617
Insurance (Life),11,0.2573014954293477,-0.04038649416895889,-0.010391505344821753
Insurance (Prop/Cas.),8,0.11681206808802223,0.26908991367800467,0.03143294931835511
Investments & Asset Management,195,0.09048521029551009,1.0211328461138771,0.0923974203202669
Machinery,30,0.1827470222825713,0.12096868970873018,0.02210666783369477
Metals & Mining,1275,0.1795699296908071,1.2110154953059775,0.2174619673465723
Oil/Gas (Integrated),4,0.18255928863730955,0.04006721148759081,0.007314641626855216
Oil/Gas (Production and Exploration),228,0.16220449924637576,0.6096380472833042,0.0988860341811267
Oil/Gas Distribution,7,0.05962179562866687,1.013840954404816,0.0604470181834965
Oilfield Svcs/Equip.,33,0.09750527756125121,0.38818926311552576,0.037850501846376915
Packaging & Container,6,0.161403594126279,0.2467247684258728,0.03982226438390975
Power,19,0.06909616950989025,0.8216253327472407,0.056771163265123326
Precious Metals,682,0.06272011690000642,2.7098243611764223,0.16996050071147042
R.E.I.T.,53,0.04178103975420076,0.3786016815998845,0.015818371909932034
Real Estate (Development),13,0.04049551199847496,1.037278885237404,0.042005139542896024
Real Estate (General/Diversified),3,0.04359625477375562,1.3373962031623547,0.058305465606519453
Real Estate (Operations & Services),34,0.057654980186710905,0.38957475424066046,0.02246092473698805
Recreation,17,0.26744408217454746,0.7352605014969372,0.19664106998204586
