Industry_Name,Number_of_Firms,ROE,Retention_Ratio,Fundamental_Growth_
Advertising,12,0.2545537966103889,0.9218864417122452,0.23466969378149402
Aerospace/Defense,22,-0.062448545408130544,0.9994812304483838,-0.062416149004230086
Air Transport,12,-0.3537456143300715,0.9970779220779221,-0.35271194208040574
Apparel,9,0.3772968281489446,0.9288538097904203,0.3504535962479887
Auto & Truck,4,-0.26434049792353165,1,-0.26434049792353165
Auto Parts,19,0.0756925526328781,0.5065025158477285,0.03833846833948936
Bank (Money Center),13,0.13628767490782984,0.5430249922793493,0.07400761361459476
Banks (Regional),6,0.0758698473242124,0.5696885475907422,0.04322218312806192
Beverage (Alcoholic),17,0.05952186922440594,0.19066931879827465,0.011348994258617469
Broadcasting,13,0.027854728823560954,-1.291425930205686,-0.03597231908159434
Brokerage & Investment Banking,19,0.0822284872869393,0.3439112817231821,0.028279304457009675
Building Materials,9,0.07685367805154308,0.11049226682661417,0.008491737101877799
Business & Consumer Services,75,0.08510080666132011,0.22222102276782507,0.018911188294645494
Cable TV,5,0.1751542136264552,0.4759353899112936,0.08336208895691297
Chemical (Basic),19,0.08483125049075234,0.6185308004034298,0.05247074126526889
Chemical (Diversified),1,0.16795247646968062,0.6493645689787169,0.10906238749164224
Chemical (Specialty),48,0.2917731718064586,0.8593852646601728,0.2507455644736315
Coal & Related Energy,82,0.2162209136725705,0.734060949752239,0.158719329246784
Computer Services,21,0.16679244157907294,0.9132712077521896,0.1523267345648565
Construction Supplies,24,0.15435199631685292,0.8155817039937212,0.1258866641709315
Diversified,4,0.05566745804624057,0.3996871741397289,0.022249568998043805
Drugs (Biotechnology),98,0.05000107049153289,-0.7387604977010016,-0.03693881572190771
Drugs (Pharmaceutical),193,-0.3993508704212535,0.9990593211689691,-0.39897520951129445
Education,15,0.032146378493460276,-0.19960914174040445,-0.006416711021141801
Electrical Equipment,30,-0.22246646209801627,0.999174006895526,-0.22228270633434657
Electronics (General),47,0.0017870137166958986,-8.539301310043662,-0.01525984857204728
Engineering/Construction,34,0.06841922166927422,0.5718386025526161,0.03912475210709544
Entertainment,41,-0.08188783085293244,0.9996606334841629,-0.08186004086508643
Environmental & Waste Services,36,0.05567581059367714,0.5935078851214479,0.033044032597875625
Farming/Agriculture,30,0.02919970595637859,-0.4262704750004882,-0.012446972527900087
Financial Svcs. (Non-bank & Insurance),81,0.12257568522070454,0.5510559240913888,0.06754605749043054
Food Processing,72,0.02756668237716859,-0.26652608697316205,-0.007347239984818769
Food Wholesalers,6,0.21598264344641255,0.5697936680310751,0.12306554264037925
Furn/Home Furnishings,5,0.254647070999793,0.8334417167940172,0.2122334920306355
Green & Renewable Energy,26,0.09460650662741339,0.1924096417350898,0.01820320404598901
Healthcare Products,67,0.008396337436051704,-1.7948291187998917,-0.015069990921495222
Healthcare Support Services,45,0.10473228553731947,0.49595082963730075,0.05194206390204427
Heathcare Information and Technology,55,0.04601545284470481,0.8127561173865516,0.037399340793846235
Homebuilding,4,-0.06145007923930271,0.9887351017016269,-0.06075785034624499
Hospitals/Healthcare Facilities,20,0.09423563873108823,0.6496943547907601,0.06122436250368953
Hotel/Gaming,34,0.31264896060820707,0.8971072138270729,0.2804796379571589
Household Products,46,-0.3467006681835446,0.9721219960771582,-0.3370353455958719
Information Services,23,0.04240405699111601,0.312383206677464,0.013246315299018756
Insurance (General),5,0.13067115453497843,0.3433978922945038,0.04487219905100098
Insurance (Life),10,0.11037761838476834,0.5192287359133845,0.05731123126705321
Insurance (Prop/Cas.),9,0.06652546915844855,0.0012629259444840724,8.401674096917967e-05
Investments & Asset Management,179,0.08011258454063123,0.5173333827686587,0.04144491436274491
Machinery,32,0.022471589671686734,-0.2618778411057525,-0.005884811389435648
Metals & Mining,1251,0.29835082669189333,0.49931887965464494,0.1489722005278333
Office Equipment & Services,2,-1.1965973534971646,1,-1.1965973534971646
Oil/Gas (Integrated),4,0.22205707675947287,0.8020346150614726,0.17809746208045968
