Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Advertising,11,327.37999999999994,78.84999999999994,0.11450696737366386,0,0
Aerospace/Defense,21,440.988,4.613999999999919,0.01772904458352899,7.77,0.01761952706196087
Air Transport,12,3125.5699999999997,10.636999999999716,0.05540833905634027,0,0
Apparel,8,346.76099999999997,-361.029,0.03151541866235265,362.5,1.0453886105992312
Auto Parts,14,4050.545,890.8700000000003,0.09073329970306201,9.610000000000001,0.002372520241103358
Bank (Money Center),13,57910.100000000006,8737.400000000001,0.006617497673509639,0,0
Banks (Regional),9,1566.77,-212.14000000000033,0.007256111844444656,129.5,0.08265412281317615
Beverage (Alcoholic),14,409.59,81.20999999999998,0.05964741922499569,0,0
Beverage (Soft),9,5.333,-7.142999999999999,0.02890514905149051,11.79,2.2107631726982935
Broadcasting,12,1064.2459999999999,-384.11400000000026,0.13083436804642073,328.38,0.30855648036262295
Brokerage & Investment Banking,21,861.6080000000001,-154.48299999999995,0.11698441525714609,88.153,0.102312188373367
Building Materials,8,549.275,56.793000000000006,0.08607005634844524,11.5,0.020936689272222475
Business & Consumer Services,68,13265.333999999999,605.8170000000027,0.20967872211773944,84.208,0.006347974351795439
Cable TV,2,1714,45.90000000000009,0.22437785545039204,0,0
Chemical (Basic),19,734.72,122.17000000000019,0.05023574672136404,0,0
Chemical (Diversified),1,1281,-569.9000000000001,0.18825223742413333,0,0
Chemical (Specialty),50,12396.403999999999,-71.51000000000204,0.21590700681791758,423.478,0.034161358406841216
Coal & Related Energy,85,56.97,0.07000000000000028,0.002218847970394795,0,0
Computer Services,19,7254.63,153.94899999999961,0.45403899076410675,190.34,0.02623703758840906
Construction Supplies,9,179.04000000000002,16.910000000000025,0.017401902895748958,2,0.011170688114387844
Diversified,6,3218.9,2083.6400000000003,0.19437954525005327,0,0
Drugs (Biotechnology),92,8236.086000000001,6888.2260000000015,0.20075412661081504,8.639,0.0010489205673665863
Drugs (Pharmaceutical),165,13936.637000000002,-1787.8190000000031,0.3298242514206162,3281.4369999999994,0.23545400515203194
Education,17,1105.511,-29.30899999999997,0.3353920832480071,4.25,0.003844376039677579
Electrical Equipment,33,61.31899999999999,-21.440000000000012,0.026950042280436206,24,0.3913958153264079
Electronics (General),45,601.4070000000002,23.604000000000042,0.0793808681135358,2.33,0.0038742482212544907
Engineering/Construction,44,15264.085000000003,326.25900000000183,0.32390594183722315,104.83800000000001,0.006868279362962142
Entertainment,35,779.832,-138.05399999999997,0.1209402431143425,198.73500000000004,0.25484335087557325
Environmental & Waste Services,35,14884.613000000001,656.7360000000008,0.3843327242377026,3.46,0.00023245481760258058
Farming/Agriculture,30,650.381,-44.377000000000066,0.07998581759847619,19.147,0.029439666902938432
Financial Svcs. (Non-bank & Insurance),85,5393.661000000002,170.6329999999998,0.011437652631564998,289.106,0.05360106984847581
Food Processing,70,4459.091,-68.6880000000001,0.12913494155134145,173.40200000000002,0.03888729788201228
Food Wholesalers,5,109,-1.5,0.017945042402159595,0,0
Furn/Home Furnishings,5,264.38,90.30000000000001,0.12283032893514216,0,0
Green & Renewable Energy,24,900.529,138.07299999999998,0.030027980975577517,4.67,0.005185840766926995
Healthcare Products,54,5555.249999999999,103.72999999999865,0.28267203266493435,2.52,0.00045362494937221557
Healthcare Support Services,35,10377.372000000001,-203.54199999999764,0.4678286361451546,341.574,0.03291526987757594
Heathcare Information and Technology,55,275.586,-5.492999999999938,0.10517168738150409,15.1,0.054792333427677746
Homebuilding,4,32.69,-0.7899999999999991,0.036261785912368276,0,0
Hospitals/Healthcare Facilities,15,628.5699999999999,-1.4200000000000728,0.028564583442966397,19.37,0.030815979127225293
Hotel/Gaming,31,6155.86,-706.420000000001,0.25090722592153947,782.11,0.12705129746290528
Household Products,8,22.9,-0.3000000000000007,0.1436231929505472,0,0
Information Services,4,4445.1,340.10000000000036,0.3422553062430815,0,0
Insurance (General),4,2549.117,887.0130000000001,0.3865695611294774,15.02,0.005892236409705791
Insurance (Life),11,26847.033999999996,1161.7339999999967,0.013614264416601336,125.7,0.004682081454510022
Insurance (Prop/Cas.),8,7610.3,-44.100000000000364,0.02781592214188047,137,0.018001918452623417
Investments & Asset Management,195,41806.13899999999,8434.063999999984,0.07246271559895835,131.43400000000003,0.0031438923360035727
Machinery,30,1224.1309999999999,76.56099999999992,0.24965589311466035,0,0
Metals & Mining,1275,4124.167,425.93499999999995,0.014213527721761824,23.875999999999998,0.005789290297895307
Office Equipment & Services,1,2.92,-0.52,0.26306306306306304,0,0
