Industry_Name,Number_of_Firms,CAGR_in_Net_Income_Last_5_years,CAGR_in_Revenues_Last_5_years,Expected_Growth_in_Revenues_Next_2_years,Expected_Growth_in_Revenues_Next_5_years,Expected_Growth_in_EPS_Next_5_years
Aerospace/Defense,21,0.26039999999999996,0.14580833333333332,0.4797666666666667,0.07624535947836919,0.20800000000000002
Air Transport,12,0.01652222222222223,0.06833333333333332,0.14619000000000004,0.11375541736340455,0.15180000000000002
Apparel,8,-0.043680000000000004,0.11032857142857143,0.08414666666666666,0.052915959525900114,0.1675
Auto Parts,14,-0.017082222222222224,0.5504769230769232,0.09122375,0.06409249990957272,0.1382
Bank (Money Center),13,0.011802499999999999,0.03665,0.03827384615384616,0.0611195516331799,0.06712599999999999
Banks (Regional),9,0.10014285714285714,0.1067875,0.084885,0.03200857267306175,0.12451
Beverage (Alcoholic),14,0.024880000000000003,0.1817276923076923,0.032928,0.08973875640066946,0.2317
Broadcasting,12,0.592175,0.052360999999999984,-0.007927142857142857,0.015759447263781978,-0.005349999999999996
Brokerage & Investment Banking,21,0.2146,0.23139166666666663,0.09465,0.12241011524115719,0.179
Building Materials,8,-0.06953333333333334,0.037489999999999996,-0.0005000000000000004,0.016724564759333482,0.023850000000000003
Business & Consumer Services,68,0.06235181818181818,0.16681188679245287,0.15025828571428573,0.10328290821823383,0.30793076923076923
Cable TV,2,0.0226,0.02215,0.01618,0.01466902045626095,0.008800000000000002
Chemical (Basic),19,0.17066666666666666,0.190867,1.8352418181818186,0.9557095738875384,0.11199999999999999
Chemical (Diversified),1,0.21899999999999997,0.0694,-0.0565,0.012532428843117227,-0.0739
Chemical (Specialty),50,0.1949285714285714,0.20653000000000002,0.14007124999999998,0.07948171841877971,0.1331
Coal & Related Energy,85,0.4106666666666666,0.29838888888888887,-0.073675,0.05029876578942498,0.03300000000000001
Computer Services,19,0.31725000000000003,0.18706666666666666,0.06542636363636363,0.06328591712619867,0.1085
Construction Supplies,9,0.011785714285714274,0.6378777777777779,0.01778,0.07787601444061347,0.08642000000000001
Diversified,6,0.4513333333333333,-0.07406666666666667,0.34893333333333326,-0.07083138568617742,-0.10099999999999999
Drugs (Biotechnology),92,-0.10340000000000002,0.37341549999999996,1.842699444444445,0.5477317565557281,0.10670000000000002
Drugs (Pharmaceutical),165,0.5233166666666667,0.5874512500000002,1.0746611111111113,0.26058450023006874,0.30884
Education,17,0.009400000000000002,0.6645363636363636,0.0567125,0.09474388796008075,0.1895
Electronics (General),45,0.22355,0.18194285714285716,0.15284545454545456,0.15541050026194955,0.07575
Engineering/Construction,44,0.15635714285714283,0.15087400000000004,0.2542703571428572,0.17899554135603,0.12332500000000002
Entertainment,35,-0.002852000000000004,0.33337294117647054,0.08924916666666667,0.10124594331348528,1.6853333333333333
Environmental & Waste Services,35,0.14195,0.33581333333333335,0.6998899999999999,0.3643598694951047,0.151
Farming/Agriculture,30,0.100796,0.14548200000000003,0.045398999999999995,0.058591654309591554,0.207425
Financial Svcs. (Non-bank & Insurance),85,0.0814596875,0.15625898305084743,0.10716042553191486,0.03985368543116255,0.081
Food Processing,70,-0.005607692307692302,0.15267511627906977,0.0748747619047619,0.06258761849318363,0.21000000000000005
Food Wholesalers,5,0.28800000000000003,0.04095999999999999,-0.010733333333333336,0.012456449413136098,-0.121785
Furn/Home Furnishings,5,0.056999999999999995,0.002524999999999995,0.046085,0.06515756876154355,0.12
Green & Renewable Energy,24,0.11737500000000001,0.17134499999999997,0.5261666666666667,0.17698704427240136,0.162675
Healthcare Products,54,0.056966666666666665,0.14227499999999998,0.4341052631578947,0.4237081888920502,0.08366
Healthcare Support Services,35,0.008814999999999996,0.295523125,0.1343529411764706,0.053144055301699106,0.19186666666666666
Heathcare Information and Technology,55,0.24480000000000002,0.2637129032258065,0.8892055555555556,0.15652504313339435,0.20010000000000003
Hospitals/Healthcare Facilities,15,-0.02001,0.049833333333333334,0.09118333333333334,0.06853902759232273,0.07291
Hotel/Gaming,31,-0.054389230769230766,0.09351500000000001,0.15627777777777782,0.0906137885685265,0.20942
Information Services,4,0.0819,0.02296666666666667,-0.01526666666666667,0.00978517346714508,0.05203333333333334
Insurance (General),4,0.1406666666666667,0.21600000000000003,0.122,0.0927307032298702,0.09975
Insurance (Life),11,0.14906363636363637,0.04025,0.252175,0.16515410365807007,0.1535
Insurance (Prop/Cas.),8,0.0667,0.1562,0.12811250000000002,0.018723435570852043,0.4617
Investments & Asset Management,195,0.08664979166666666,0.16509812499999993,0.09096434782608698,0.05874526089958788,0.06575454545454544
Machinery,30,0.2021,0.12728047619047625,0.8137545454545454,0.8425366355574244,0.1903
Metals & Mining,1275,0.3008862068965517,0.3833985555555556,1.3255076666666668,0.4950065719340498,0.20495454545454547
Oil/Gas (Production and Exploration),228,0.402696551724138,0.2935829838709678,1.1812607692307693,0.1299666840840107,0.020050000000000005
Oil/Gas Distribution,7,-0.047774000000000004,0.12253333333333336,-0.05565,0.05090121139735271,0.08215999999999998
Oilfield Svcs/Equip.,33,0.11625916666666669,0.03240416666666666,0.18875263157894737,0.02132794252882675,0.133975
Packaging & Container,6,0.0069799999999999975,0.038288333333333334,0.021221666666666663,0.035149872609562594,0.0161
Power,19,0.13201000000000002,0.04349833333333332,0.04496153846153847,0.028695633567343712,0.14777272727272728
Precious Metals,682,0.08440769230769231,0.5131622807017543,0.43685225352112644,0.38103857281628656,0.21956470588235294
Publishing & Newspapers,6,0.00387,-0.00752,-0.0177,0.014506793097218695,-0.015
R.E.I.T.,53,0.10878571428571428,0.09958902439024386,0.035093250000000006,0.03134277050114938,0.027517878787878793
Real Estate (Development),13,-0.03855714285714286,-0.056479999999999995,0.11755,0.17984642755561953,0.07219999999999999
Real Estate (Operations & Services),34,0.011196428571428574,0.14968074074074078,0.1351092307692308,0.1263251449736192,0.10842857142857143
Recreation,17,0.05482333333333331,0.11447249999999996,0.87969,0.0766613137988365,0.5840000000000001
Reinsurance,0,0,0,0,0,0
Restaurant/Dining,22,0.053366666666666666,0.28432421052631585,0.0920875,0.06622379925127198,0.13675
Retail (Automotive),10,0.1633857142857143,0.1038,0.08975714285714287,0.06406063673377638,-0.015775
Retail (Building Supply),10,0.10508571428571428,0.1256125,0.03825142857142857,0.0737433048001091,0.14972
Retail (Distributors),33,0.19667222222222222,0.14652592592592592,0.08206684210526316,0.03984892341459417,0.13801875
Retail (General),10,0.04518333333333333,0.06784555555555555,0.03253444444444445,0.05282247067327428,0.16074
Retail (Grocery and Food),12,0.09428888888888887,0.054978,0.03214545454545454,0.030839283870471444,0.06883333333333332
Retail (REITs),18,-0.07028999999999999,0.020025,0.05710277777777777,0.031864272132605696,0.021257142857142856
Retail (Special Lines),41,0.2508795,0.18647096774193547,0.07884538461538461,0.07816177747870005,0.05910000000000001
Rubber& Tires,0,0,0,0,0,0
Semiconductor,10,0.136,0.22826666666666667,1.074,0.13442651150066198,0.215
Shipbuilding & Marine,9,0.01876875,0.08368874999999999,0.06676666666666668,0.050450430449589634,0.16635000000000003
Software (Entertainment),38,0.1792428571428572,0.11302199999999996,0.1693785714285714,0.14077656126677565,0.1835
Software (Internet),20,0.007850000000000001,0.2870666666666667,0.25839999999999996,0.14454290238893963,-0.9119999999999999
Software (System & Application),229,0.2621791666666667,0.25615801526717563,0.16891636363636367,0.129437342494202,0.2737
Steel,52,0.10175916666666666,0.46660740740740747,6.034201874999999,0.5926298546675418,-0.009962500000000003
Telecom (Wireless),3,-0.129,-0.16153333333333333,0.16699999999999998,0.04293874298835876,0.138
Telecom. Services,22,-0.028942499999999996,0.22716350000000002,0.08981533333333333,0.0295329038075359,0.14352857142857145
Transportation,45,0.22460909090909087,0.18715107142857143,0.22156000000000003,0.07363038149564834,0.12966
Transportation (Railroads),3,-0.006799999999999997,0.0548,0.1261,0.06725084419759024,0.10953333333333333
Utility (General),6,0.30725,0.03134833333333333,-0.004886,0.0012308193186147398,0.054720000000000005
Total Market,4589,0.13036171717171707,0.24589800856531022,0.4654452988403208,0.18799605987847867,0.1340058782201405
Total Market (without financials),4243,0.13342254357943845,0.25314558116235836,0.49529714644872325,0.19841630461046242,0.13757070723275713
