Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Advertising,11,0.034483,0.08456749999999999,0.2888629999999999,0.18336181818181818
Aerospace/Defense,21,0.03794187500000001,0.12617785714285715,0.15338333333333334,0.12346950000000001
Air Transport,12,0.03483499999999999,0.15298714285714288,0.1459111111111111,0.11623909090909093
Apparel,8,0.16023166666666666,0.13178285714285712,0.40452333333333335,0.2963575
Auto & Truck,4,0.05815000000000001,0.009134999999999999,0.006464999999999999,0.27335
Auto Parts,14,0.07716846153846155,0.10708583333333331,0.21222307692307696,0.27879499999999996
Bank (Money Center),13,0.0028007692307692304,0.026080909090909096,0.35137692307692303,0.015296153846153848
Banks (Regional),9,0.009192222222222223,0.15352500000000002,0.1872666666666667,0.05392222222222221
Beverage (Alcoholic),14,0.023726000000000004,0.30713000000000007,0.15071916666666665,0.1670366666666667
Beverage (Soft),9,0.04089142857142858,0.257075,0.033854999999999996,0.26494999999999996
Broadcasting,12,0.16953000000000004,0.28248875,0.25769,0.24333272727272728
Brokerage & Investment Banking,21,0.0868615789473684,0.14518176470588234,0.12114599999999999,0.28342857142857136
Building Materials,8,0.030385714285714287,0.13981,0.2541399999999999,0.27930714285714286
Business & Consumer Services,68,0.08320568965517242,0.1578663793103448,0.18438079365079368,0.26064149253731345
Cable TV,2,0.00095,0.14185,0.29745,0.005385
Chemical (Basic),19,0.10029562499999999,0.12364583333333334,0.2036030769230769,0.1891427777777777
Chemical (Diversified),1,2e-05,0.0034799999999999996,0.39799999999999996,0.00133
Chemical (Specialty),50,0.06436475,0.13521,0.12167375,0.16722333333333328
Coal & Related Energy,85,0.0543043548387097,0.15359194029850745,0.13329555555555556,0.1354369879518072
Computer Services,19,0.10756874999999999,0.15358000000000005,0.2014035714285715,0.26374444444444445
Computers/Peripherals,5,0.11256000000000001,0.14557499999999998,0.10004999999999999,0.42546000000000006
Construction Supplies,9,0.047975714285714295,0.30790333333333336,0.16331666666666667,0.18804555555555552
Diversified,6,0.07862599999999999,0.240425,0.124738,0.2219666666666667
Drugs (Biotechnology),92,0.0315540506329114,0.10720047619047618,0.14259075757575757,0.1554035164835165
Drugs (Pharmaceutical),165,0.05099954198473283,0.11686902173913051,0.07654747252747256,0.16343621794871802
Education,17,0.07890636363636364,0.15803769230769232,0.23003666666666672,0.24220750000000002
Electrical Equipment,33,0.06904074074074075,0.18574545454545452,0.060889545454545446,0.20062451612903223
Electronics (Consumer & Office),6,0.07053999999999999,0.08664999999999999,0.38476666666666665,0.293755
Electronics (General),45,0.04186891891891892,0.13019612903225805,0.128955,0.18011302325581394
Engineering/Construction,44,0.044996052631578944,0.1948035294117647,0.21206675675675674,0.17479545454545453
Entertainment,35,0.09303159999999998,0.2501333333333334,0.14760368421052633,0.2326232258064516
Environmental & Waste Services,35,0.10219148148148147,0.12118578947368423,0.16485047619047616,0.27892843750000007
Farming/Agriculture,30,0.06286399999999999,0.22971708333333335,0.14433285714285715,0.15309599999999998
Financial Svcs. (Non-bank & Insurance),85,0.06381328358208956,0.18849492753623184,0.19497911764705886,0.1909
Food Processing,70,0.055109361702127664,0.23560558139534876,0.1460879545454546,0.1838765671641791
Food Wholesalers,5,0.004131999999999999,0.004465,0.4068333333333334,0.078756
Furn/Home Furnishings,5,0.0108725,0.250775,0.28417499999999996,0.13323600000000002
Green & Renewable Energy,24,0.06415772727272727,0.21018066666666663,0.15990312500000003,0.17761260869565215
Healthcare Products,54,0.04913425000000001,0.132261,0.1497741025641025,0.1562117647058823
Healthcare Support Services,35,0.049928571428571426,0.12313481481481484,0.1923203846153846,0.18484090909090914
Heathcare Information and Technology,55,0.08107949999999998,0.12246512195121953,0.14300333333333332,0.24305962962962963
Homebuilding,4,0.004523333333333333,0.37504999999999994,0.2529,0.23532500000000003
Hospitals/Healthcare Facilities,15,0.002791666666666667,0.10326,0.2853384615384615,0.115362
Hotel/Gaming,31,0.07217260869565217,0.18237692307692308,0.19985039999999998,0.21474310344827582
Household Products,8,0.08703142857142857,0.09875,0.07812250000000001,0.19635000000000002
Information Services,4,0.023125,0.1673,0.47800000000000004,0.062465
Insurance (General),4,0.029542500000000006,0.0286375,0.2541333333333334,0.214725
Insurance (Life),11,0.007754,0.157319,0.34697272727272727,0.05326818181818182
Insurance (Prop/Cas.),8,0.01358125,0.0218375,0.40736249999999996,0.018803749999999998
Investments & Asset Management,195,0.12765460431654674,0.15409160000000002,0.1613343298969072,0.36218872222222226
Machinery,30,0.08336,0.1835863157894737,0.1259515,0.17853038461538465
Metals & Mining,1275,0.04010830800405268,0.1558412387387388,0.07160884816753928,0.157067664
Office Equipment & Services,1,0.00127,0.318,0.0131,0.44170000000000004
Oil/Gas (Integrated),4,0.00046,0.2833275,0.39002499999999996,0.0038325000000000004
Oil/Gas (Production and Exploration),228,0.04654150000000001,0.18271932885906028,0.11551765822784808,0.1530311363636363
Oil/Gas Distribution,7,0.004314285714285714,0.0132075,0.42328714285714286,0.02106571428571429
Oilfield Svcs/Equip.,33,0.018484482758620687,0.17923846153846149,0.2732262962962963,0.0895875
Packaging & Container,6,0.0011975,0.37623000000000006,0.2794,0.04974166666666667
Paper/Forest Products,18,0.03307769230769231,0.2250853846153846,0.2896470588235294,0.12878722222222222
Power,19,0.043598124999999995,0.1319176923076923,0.22177647058823524,0.13612263157894736
Precious Metals,682,0.03564861456483133,0.1472275377969763,0.13081106290672462,0.13036173913043483
Publishing & Newspapers,6,0.0038624999999999996,0.195562,0.24077500000000002,0.09128333333333333
R.E.I.T.,53,0.020284324324324317,0.14109324324324327,0.295942,0.04796924528301887
Real Estate (Development),13,0.0484325,0.4356363636363636,0.20038888888888887,0.1898153846153846
Real Estate (General/Diversified),3,0.14353333333333335,0.19543333333333332,0.13453333333333334,0.3028
Real Estate (Operations & Services),34,0.10396645161290323,0.2616636,0.26024959999999997,0.1634909090909091
Recreation,17,0.14176,0.2209254545454545,0.17215500000000003,0.2470124999999999
Reinsurance,0,0,0,0,0
Restaurant/Dining,22,0.07680111111111111,0.14231235294117647,0.18183777777777782,0.18991090909090905
Retail (Automotive),10,0.04575333333333333,0.1678725,0.15727777777777777,0.32012499999999994
Retail (Building Supply),10,0.09953374999999999,0.18098750000000002,0.17255000000000004,0.295049
Retail (Distributors),33,0.05243520000000001,0.21713478260869565,0.17454068965517244,0.1895528125
Retail (General),10,0.09933,0.13031874999999998,0.2763555555555556,0.19488999999999998
Retail (Grocery and Food),12,0.011388181818181818,0.170947,0.22317333333333333,0.049790833333333326
Retail (REITs),18,0.013542142857142857,0.14146666666666666,0.3145055555555556,0.021512222222222217
Retail (Special Lines),41,0.06627357142857143,0.16172466666666668,0.17618638888888885,0.2635392500000001
Rubber& Tires,0,0,0,0,0
Semiconductor,10,0.0726957142857143,0.15280571428571432,0.160678,0.10584666666666667
Semiconductor Equip,2,0.00645,0.0857,0.0387,0.0687
Shipbuilding & Marine,9,0.0011757142857142858,0.3054,0.21977777777777774,0.06654444444444445
Shoe,1,4e-05,0,0,0.0032700000000000003
Software (Entertainment),38,0.06213566666666666,0.1651732,0.13349576923076922,0.21164138888888892
Software (Internet),20,0.10130214285714287,0.09308187500000001,0.188061875,0.18765578947368422
Software (System & Application),229,0.06972191489361702,0.14577335443037978,0.17755193103448275,0.2021896875
Steel,52,0.02936125000000001,0.27295909090909093,0.15022205128205132,0.1459286274509804
Telecom (Wireless),3,0.0008500000000000001,0.4307333333333333,0.3143,0.10566999999999999
Telecom. Equipment,18,0.07532,0.226873,0.09077500000000001,0.18946249999999995
Telecom. Services,22,0.023757894736842106,0.1851436842105263,0.2747333333333334,0.16853681818181815
Tobacco,2,0.0326,0.1033,0.00187,0.03696
Transportation,45,0.08153606060606063,0.20378793103448284,0.16617392857142857,0.1869697727272727
Transportation (Railroads),3,0.0004933333333333334,1e-05,0.648,0.006156666666666667
Trucking,3,0.0544,0.10053500000000001,0.3516,0.0909
Utility (General),6,0.07946600000000001,0.2773183333333334,0.22576000000000002,0.12454666666666667
Utility (Water),6,0.08097800000000001,0.10176,0.09056000000000002,0.20483333333333334
Total Market,4589,0.05223798509522492,0.16115102240454335,0.1442130801551391,0.17141606155920075
Total Market (without financials),4243,0.04882111465894136,0.16183425833063025,0.14067190812366323,0.16298458064148927
