Industry_Name,Number_of_firms,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Advertising,11,0.018716793886994057,952.6560000000002,952.7726087797573,0.00012238888763446685,0.4135694554844222,0.4135991405626608,0.4016974366412884,0.40172685332521296,84.963,85.05867824404855,0.045316390628205985,0.04536424346884858,0.045527640614408546,0.045578910045921794,0.11660877975714357,0
Aerospace/Defense,21,0.0015442479856211692,9220.281,9220.281,0,0.4033496864336112,0.4033496864336112,0.7246143196715475,0.7246143196715475,1088.9830000000002,1088.9830000000002,0.10786480841111319,0.10786480841111319,0.07834792229433926,0.07834792229433926,0,0
Air Transport,12,0.0029901675795314304,22799.2,23253.94738237133,0.019555707033037797,0.49433339621127853,0.4992705165719176,0.7288005886869557,0.7326863881882727,4448.635,4373.155523525734,0.1693899662548168,0.16329314420359134,0.11343581387758433,0.11151116151907159,454.7473823713299,0
Apparel,8,0.029462498428033522,1857.008,2849.7754873124113,0.34836691231725003,0.04053365413938749,0.038274277875836926,0.3391031495897055,0.32585339769197635,2662.196,2701.942502537518,0.3918225572218928,0.33927673272432934,0.1969356640356263,0.19987590730483706,992.7674873124113,1168.1
Auto & Truck,4,0.05182719546742209,18.668000000000003,18.668000000000003,0,0.19171442068724712,0.19171442068724712,0.12863393626184325,0.12863393626184325,-81.41,-81.41,-0.9356743568374194,-0.9356743568374194,-1.1531161473087816,-1.1531161473087816,0,0
Auto Parts,14,0.007587847051206541,8417.052,9947.79735454275,0.15387781837390588,0.2864214344093186,0.28352823980923836,0.3555841149095334,0.3523372492144463,2909.371,2913.3999290914503,0.12568295283252093,0.11556626039409502,0.05315053512785924,0.053224138575890714,1530.7453545427506,1673
Bank (Money Center),13,0.01766609242448308,1972055.4000000001,1972068.782468363,6.786004870506687e-06,0.7208573106695143,0.720858676165901,0.7925242308882947,0.792525346709758,0,2.363506327448194,0,8.984097662639923e-07,0,1.2032136829736143e-05,13.382468362804502,0
Banks (Regional),9,0.00335918858699164,40549.638999999996,40549.638999999996,0,0.7726706492619672,0.7726706492619672,0.7388066561114457,0.7388066561114457,1.08,1.08,1.682816513308822e-05,1.682816513308822e-05,0.00025847276103953916,0.00025847276103953916,0,0
Beverage (Alcoholic),14,0.04334496978437285,2029.2059999999997,2036.560288602761,0.0036111322821711597,0.20531949134098057,0.20591039165864164,0.3540529538959581,0.3548807488125303,409.74799999999993,411.3101422794478,0.07636125783017311,0.07653581642262672,0.15324659976018987,0.15383084420474363,7.354288602761244,0
Beverage (Soft),9,0.012993413332916127,93.82999999999998,93.82999999999998,0,0.5608823001972623,0.5608823001972623,0.7414870834419921,0.7414870834419921,-73.93699999999998,-73.93699999999998,-0.5534496567933946,-0.5534496567933946,-0.5783829028271038,-0.5783829028271038,0,0
