Industry_Name,Number_of_firms,Gross_Margin,Net_Margin,Pre_tax_Pre_stock_compensation_Operating_Margin,Pre_tax_Unadjusted_Operating_Margin,After_tax_Unadjusted_Operating_Margin,Pre_tax_Lease_adjusted_Margin,After_tax_Lease_Adjusted_Margin,Pre_tax_Lease_R_D_adj_Margin,After_tax_Lease_R_D_adj_Margin,EBITDA_Sales,EBITDASG_A_Sales,EBITDAR_D_Sales,COGS_Sales,R_D_Sales,SG_A_Sales,Stock_Based_Compensation_Sales,Lease_Expense_Sales
Advertising,11,0.3549214038265231,-0.02467440259138295,0.05160313688085587,0.045527640614408546,0.04041068096338727,0.045578910045921794,0.04045618810173436,0.045562727298766495,0.04044000535457906,0.28463148080174266,0.49174867443474274,0.2846464846732774,0.6450785961734768,1.5003871534708512e-05,0.20711719363300002,0.006075496266447326,0.018716793886994057
Aerospace/Defense,21,0.21035982906216577,0.04354536142122616,0.08374300559408583,0.07834792229433926,0.0743891714140846,0.07834792229433926,0.0743891714140846,0.07869874516181434,0.07473999428155968,0.08526430281995051,0.17675437694011262,0.12187896647045088,0.7896401709378342,0.03661466365050037,0.09149007412016211,0.005395083299746563,0.0015442479856211692
Air Transport,12,0.3342477280376978,0.0839252674846751,0.11774394908356538,0.11343581387758433,0.09952120520515229,0.11151116151907159,0.09783264040561873,0.11159363043577139,0.09791510932231855,0.12499668512795409,0.16642276858113278,0.1276720673582,0.6657522719623021,0.002675382230245913,0.04142608345317871,0.0043081352059810485,0.0029901675795314304
Apparel,8,0.5048394374949142,0.11130195811541563,0.20683779525229137,0.1969356640356263,0.16718386585817013,0.19987590730483706,0.169679915716469,0.19974003022151915,0.16954403863315107,0.214264060777772,0.519602089050976,0.2143178405249258,0.4951605625050858,5.377974715381599e-05,0.30533802827320405,0.009902131216665064,0.029462498428033522
Auto & Truck,4,-0.04390934844192636,-1.7429178470254956,-1.0436543909348441,-1.1531161473087816,-1.1348961264122077,-1.1531161473087816,-1.1348961264122077,-1.249028328611898,-1.230808307715324,-1.4593484419263454,-0.5429461756373938,-1.2565439093484418,1.0439093484419264,0.20280453257790368,0.9164022662889516,0.10946175637393767,0.05182719546742209
Auto Parts,14,0.14088777295320717,0.0313497929786665,0.0534347053398789,0.05315053512785924,0.0394704732680959,0.053224138575890714,0.039525132415383454,0.05350913818859347,0.039810132028086205,0.08350005992145905,0.13758838415208943,0.09697966616439818,0.8591122270467928,0.013479606242939132,0.05408832423063038,0.00028417021201966006,0.007587847051206541
Bank (Money Center),13,1,0.2743910385638243,0.016115404352022675,0,0,1.2032136829736143e-05,9.022350916136597e-06,1.2032136829736143e-05,9.022350916136597e-06,0,0.5022272247811974,0,0,0,0.5022272247811974,0.016115404352022675,0.01766609242448308
Banks (Regional),9,1,0.2525819753541436,0.010230495477923315,0.00025847276103953916,0.00018808824450200983,0.00025847276103953916,0.00018808824450200983,0.00025847276103953916,0.00018808824450200983,0.00028001215779283403,0.4370032476623771,0.00028001215779283403,0,0,0.43672323550458425,0.009972022716883775,0.00335918858699164
Beverage (Alcoholic),14,0.42675468680692746,0.06865855181910868,0.15788833943829378,0.15324659976018987,0.13790682398295484,0.15383084420474363,0.1384325863548716,0.1538244113691572,0.13842615351928517,0.18848881472012302,0.44391053571308364,0.18848881472012302,0.5732453131930726,0,0.2554217209929606,0.0046417396781039,0.04334496978437285
Beverage (Soft),9,0.21582677534928113,-0.7765930816527684,-0.5391445155435954,-0.5783829028271038,-0.5783829028271038,-0.5783829028271038,-0.5783829028271038,-0.5797831562808016,-0.5797831562808016,-0.5933476226981867,0.1212509973872367,-0.5926670525838196,0.7841732246507189,0.0006805701143670698,0.7145986200854234,0.03923838728350831,0.012993413332916127
