Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Advertising,11,0.3520858660788466,0.24092816848889287,0.5864008594373392,0.4135991405626608
Aerospace/Defense,21,0.5367777187435866,0.37122579890705776,0.5966503135663888,0.4033496864336112
Air Transport,12,0.2593943956041297,0.162119042431394,0.5007294834280824,0.4992705165719176
Apparel,8,0.3437370863725106,0.33324322107476767,0.9617257221241631,0.038274277875836926
Auto & Truck,4,0.510895276406939,0.43386720229284287,0.8082855793127529,0.19171442068724712
Auto Parts,14,0.31985672421828043,0.24929336291113563,0.7164717601907616,0.28352823980923836
Bank (Money Center),13,0.17156697628197956,0.08432135757800875,0.27914132383409895,0.720858676165901
Banks (Regional),9,0.19548639249410268,0.09116084259647891,0.22732935073803284,0.7726706492619672
Beverage (Alcoholic),14,0.2447193755450586,0.20515114126854203,0.7940896083413583,0.20591039165864164
Beverage (Soft),9,0.7124191223270709,0.416430717853558,0.43911769980273774,0.5608823001972623
Broadcasting,12,0.412638066110821,0.2714594562384251,0.5487806152972792,0.4512193847027209
Brokerage & Investment Banking,21,0.42615252459721153,0.35563480043234086,0.7891527957376562,0.21084720426234382
Building Materials,8,0.41992783345825113,0.2756736034438601,0.5467862449377852,0.4532137550622148
Business & Consumer Services,68,0.3722529698519828,0.3195248919820339,0.8201114939774622,0.17988850602253778
Cable TV,2,0.19598386058834938,0.10659171310005514,0.3733514615922301,0.6266485384077699
Chemical (Basic),19,0.48057799953041136,0.3560905240069612,0.664757193283134,0.33524280671686596
Chemical (Diversified),1,0.176414485199587,0.1416457561694768,0.7476784187396845,0.2523215812603154
Chemical (Specialty),50,0.5659550001040776,0.41641337934405387,0.6576912676958254,0.3423087323041746
Coal & Related Energy,85,0.6312514479106739,0.6148315303979233,0.9674035659034481,0.032596434096551885
Computer Services,19,0.4579516681565841,0.41807223485569955,0.8901555785270734,0.10984442147292663
Computers/Peripherals,5,0.6018354115008157,0.521656385476864,0.8309955113818532,0.16900448861814682
Construction Supplies,9,0.29810535129664417,0.2548010788362445,0.8154252280908603,0.18457477190913973
Diversified,6,0.21151877435662847,0.17139356152705035,0.7574127479450816,0.24258725205491843
Drugs (Biotechnology),92,0.5717968167722113,0.5232856623150631,0.8930117336725655,0.1069882663274345
Drugs (Pharmaceutical),165,0.6866086968536945,0.37491883564421125,0.37697924967115615,0.6230207503288439
Education,17,0.3868594120854755,0.3336641584521237,0.8254661096603425,0.17453389033965747
Electrical Equipment,33,0.5754508215090308,0.5184932468744081,0.8749742943038501,0.12502570569614985
Electronics (Consumer & Office),6,0.500816676661013,0.4686500764628989,0.9191911462269114,0.08080885377308858
Electronics (General),45,0.625035109242851,0.5532515285934667,0.8546493539244575,0.1453506460755425
Engineering/Construction,44,0.34721141564668145,0.2925550452078428,0.7996519872514907,0.20034801274850927
Entertainment,35,0.6326428804170271,0.39191712065773576,0.49253309851685645,0.5074669014831436
Environmental & Waste Services,35,0.49374739388254957,0.40928394283042313,0.781852693053713,0.21814730694628703
Farming/Agriculture,30,0.4888739521859135,0.3380432163334412,0.596497790931889,0.40350220906811096
Financial Svcs. (Non-bank & Insurance),85,0.39253951045421004,0.19114875942660908,0.2702453865622133,0.7297546134377867
Food Processing,70,0.44726382580719326,0.31737247716727884,0.6217283471240725,0.37827165287592746
Food Wholesalers,5,0.21101763079444058,0.1564707977622655,0.6654947467950795,0.3345052532049205
Furn/Home Furnishings,5,0.3453975048502055,0.296395028009377,0.8198178803781065,0.18018211962189348
Green & Renewable Energy,24,0.4114712993548191,0.27498143386179885,0.5637185073438221,0.4362814926561779
Healthcare Products,54,0.538131340416862,0.47712945741541424,0.8565598001266714,0.14344019987332857
Healthcare Support Services,35,0.5214993778948086,0.42233019850594977,0.7568057052362085,0.24319429476379156
Heathcare Information and Technology,55,0.6068322211288956,0.5960803940768753,0.9778149745057488,0.0221850254942512
Homebuilding,4,0.3151637447628105,0.24075778261361183,0.695760402210944,0.3042395977890559
Hospitals/Healthcare Facilities,15,0.21333765703806248,0.1421036830088298,0.560590242124329,0.4394097578756711
Hotel/Gaming,31,0.4097646529361175,0.36489174734437857,0.8614969501560619,0.13850304984393808
Household Products,8,0.7006998405785497,0.6530922400336814,0.9144827151942573,0.08551728480574272
Information Services,4,0.45929856254347545,0.3528995234986714,0.7017054695351062,0.2982945304648939
Insurance (General),4,0.22514627991593608,0.19936836527870988,0.855102738839641,0.14489726116035895
Insurance (Life),11,0.17124234613047803,0.1359554813658589,0.7358044166950082,0.2641955833049919
Insurance (Prop/Cas.),8,0.16780989831341742,0.13027195696833913,0.712356755173315,0.28764324482668496
Investments & Asset Management,195,0.46142094113158083,0.24766815197734407,0.3612825045906808,0.6387174954093192
Machinery,30,0.517206097709194,0.4580581632230687,0.8552742192495537,0.14472578075044631
Metals & Mining,1275,0.6648701719035058,0.5795554827708789,0.837323395588753,0.16267660441124696
Office Equipment & Services,1,0.3039048723343728,0.13642939951422292,0.18698347107438018,0.8130165289256198
Oil/Gas (Integrated),4,0.3984047833385884,0.34233730155073067,0.8212965591855702,0.1787034408144298
Oil/Gas (Production and Exploration),228,0.5509005573544684,0.47767055934188096,0.8313780264262987,0.1686219735737014
Oil/Gas Distribution,7,0.2417831222767132,0.15838824893570883,0.5447754035042156,0.45522459649578445
