Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Advertising,11,113.55,24.96,46.649,1.8689503205128204,0.11239237487307564,0.21981505944517835,4.74075531077892,0.41082342580361075,6.117099396800427
Air Transport,12,3959.924,664.513,67.37,0.10138251621864433,0.12266504022660933,0.16780953371832388,0.16320344141646295,0.017012952773841114,0.017124219090365142
Apparel,8,2100.592,593.9390000000001,573.628,0.9658028854815056,0.1510736936509072,0.28274838712134487,0.2830008774271578,0.2730792081470367,0.2744366333971549
Auto Parts,14,2365.069,581.65,863.293,1.4842138743230466,0.25738333258272006,0.24593362815207506,0.24623764207930998,0.3650181030659148,0.36546932475470434
Bank (Money Center),13,72203.4,18055.999999999996,19308.7,1.069378599911387,0.2501455856254211,0.25007132628103385,0.25007132628103385,0.2674209247763956,0.2674209247763956
Banks (Regional),9,1542.8010000000002,484.915,432.9069999999999,0.8927482136044459,0.27230922227337695,0.3143081965853016,0.31447213793345374,0.28059808102276307,0.28122695863386576
Beverage (Alcoholic),14,306.997,77.806,68.636,0.8821427653394339,0.10009863710672658,0.2534422160477138,0.31084790698897075,0.22357221731808452,0.2577481026395936
Building Materials,8,257.399,68.165,127.86399999999999,1.875801364336536,0.17107487744372063,0.26482231865702666,0.30458544090089856,0.4967540666436155,0.5718451334755522
Business & Consumer Services,68,5014.943,1163.193,1184.7460000000005,1.0185291692780136,0.14052191842924447,0.2319454079537893,0.25924916720383046,0.236243163681023,0.26055375474677883
Cable TV,2,422.2,82.2,73.95,0.8996350364963503,0.23295003868631964,0.19469445760303175,0.19469445760303175,0.1751539554713406,0.1751539554713406
Chemical (Basic),19,768.925,155.89999999999998,318.46399999999994,2.042745349583066,0.0337809749087315,0.20275059336086093,0.21644471928209852,0.4141678317131059,0.4579843534284399
Chemical (Diversified),1,204.8,26.4,202.6,7.674242424242425,0.12890624999999997,0.12890624999999997,0.12890624999999997,0.9892578124999999,0.9892578124999999
Chemical (Specialty),50,3484.84,1160.268,2141.9600000000005,1.8460907307622036,0.03892223140186529,0.3329472802194649,0.35492940682958446,0.61465088784564,0.6487514632768616
Coal & Related Energy,85,6825.101000000001,1999.3,913.352,0.4568358925623968,0.016831868175257454,0.29293339395270485,0.32228203639210573,0.13382248848771613,0.147741143396025
Computer Services,19,1809.774,473.859,404.949,0.8545769944223915,0.1084126814536826,0.26183324547705955,0.31845812335990065,0.2237566679596458,0.27472869668574407
Construction Supplies,9,763.104,182.824,29.948,0.16380781516649892,0.21531423110758982,0.2395794020212186,0.2415247286907842,0.03924497840399212,0.03961564307295056
Diversified,6,1441.38,29.02,84.35000000000001,2.9066161268090975,0.05896721164554044,0.02013348318972096,0.018299178604468617,0.05852030692808281,0.05911664937904741
Drugs (Biotechnology),92,2916.0830000000005,444.20500000000004,532.1469999999999,1.1979761596560143,0.006493114919597571,0.15232934042000862,0.3027912029561881,0.1824869182392956,0.3604120837442159
Education,17,190.26,54.553000000000004,37.536,0.6880648177002181,0.09962801729368363,0.2867286870598129,0.3377423738848447,0.19728792179123306,0.2525397957398711
Electronics (General),45,341.663,74.97399999999999,88.97799999999998,1.1867847520473764,0.018739871459420337,0.219438452510222,0.35700187533146344,0.2604262094520038,0.4864817578908809
Engineering/Construction,44,1950.582,517.7830000000001,490.7300000000001,0.9477522437005462,0.14961215553848778,0.2654505168201081,0.3494188212502794,0.25158132290772706,0.36564339467997914
Environmental & Waste Services,35,1235.2779999999998,369.052,302.56,0.8198302678213368,0.10619555082713,0.2987602790626888,0.45815058479532145,0.24493271959834148,0.3761387595974061
Financial Svcs. (Non-bank & Insurance),85,6562.435,1705.721,2092.2609999999995,1.2266138483374476,0.08818592954734313,0.25992196494136705,0.2860100824634947,0.31882388168416137,0.37998316078220257
Food Processing,70,2128.2299999999996,445.43100000000004,374.931,0.8417263279834586,0.05304816147699359,0.20929645761971222,0.28137755140111603,0.17617033873218593,0.2797687714622138
Food Wholesalers,5,490.56,149.95,215.60000000000002,1.4378126042014008,0.17749736123299345,0.3056710697977821,0.30891093188302793,0.4394977168949772,0.4441560314370179
Furn/Home Furnishings,5,120.46,31.481,37.784,1.2002160033035798,0.18434650566784047,0.2613398638552217,2.1544397463002127,0.31366428690021586,3.994080338266387
Green & Renewable Energy,24,641.74,150.452,133.32500000000002,0.8861630287400634,0.04084346542566287,0.2344438557671331,0.23436965717556926,0.20775547729610125,0.25611939495695
Healthcare Products,54,689.42,162.86,132.66900000000004,0.8146199189487906,0.020969363388493027,0.23622755359577619,0.9436741633820236,0.1924356705636623,0.5126709946672853
Healthcare Support Services,35,1098.9189999999999,260.59499999999997,402.1669999999999,1.5432644525029258,0.08344693291897498,0.2371375870287073,0.380724501723586,0.3659660084137229,0.7485630579318456
Hospitals/Healthcare Facilities,15,743.191,159.112,174.899,1.0992194177686159,0.16916764742775173,0.21409301242883724,0.10033881003374,0.23533519647035553,0.24659815268869661
Household Products,8,9.889000000000001,1.43,1.7040000000000002,1.1916083916083917,0.03811300639658848,0.14460511679644047,1.2297185430463575,0.17231267064415007,0.3526490066225166
Information Services,4,655.7,173,283.92,1.641156069364162,0.07001780799740974,0.26384017080982153,0.20470456732597628,0.4330028976666158,0.4694646264555023
Insurance (General),4,362.4,112.19999999999999,105.6,0.9411764705882354,0.22404613371581228,0.3096026490066225,0.31002130901382324,0.2913907284768212,0.29148081084661925
Insurance (Life),11,22844.950000000004,3448.0899999999997,2302.055,0.667631935361316,0.21953333801098004,0.15093445159652347,0.15093445159652347,0.10076866003208584,0.10076866003208584
Insurance (Prop/Cas.),8,8977.27,1906.62,903.85,0.474058805635103,0.2943003733087344,0.2123830518632056,0.2123830518632056,0.10068205590340938,0.10068205590340938
Investments & Asset Management,195,11192.01,2249.6409999999987,2165.3059999999996,0.9625117963266142,0.06431559261834097,0.20100419853091614,0.20467945666595136,0.19346891219718348,0.19936359978602508
Machinery,30,266.044,59.098,88.67599999999999,1.5004907103455276,0.0834663745849932,0.22213618799897764,0.46382098641312164,0.3333132865240336,0.636802343951972
Metals & Mining,1275,31813.455000000005,10627.795,12140.965000000004,1.142378546067176,0.011805182678529503,0.33406604218246644,0.4053999871143939,0.38162987955882194,0.46450027033756464
Oil/Gas (Integrated),4,16843.7,3793,6154.2,1.62251515950435,0.16535381804521007,0.2251880525062783,0.22172681774194503,0.3653710289306981,0.3653710289306981
Oil/Gas (Production and Exploration),228,31570.362,7003.936999999999,7675.335000000001,1.095860085549028,0.055311144236134126,0.2218516531422731,0.20007645817469694,0.24311837159168465,0.2553485790130794
Oil/Gas Distribution,7,6094.9,2208.9,868.95,0.3933858481597175,0.21889221751269616,0.3624177591100757,0.3646393747897145,0.14257001755566132,0.14473478198589548
Oilfield Svcs/Equip.,33,1492.8899999999999,253.45600000000002,627.385,2.475321160280285,0.08285234647280017,0.16977540207249028,0.13714021195411202,0.4202486452451286,0.4897496705780966
Packaging & Container,6,1079.1,252.28000000000003,322.24,1.2773109243697478,0.18854184351283462,0.23378741543879164,0.236066731069332,0.29861921972013716,0.29932377201456495
Power,19,6842.539999999999,1351.4919999999997,749.3499999999999,0.5544612916687631,0.18109162028295223,0.1975132041610279,0.19966401265268247,0.10951342630075966,0.11049421518142004
Precious Metals,682,10787.900999999996,2784.8700000000003,2212.2819999999997,0.7943932750900399,0.030121002995958417,0.2581475302748886,0.40593829876923354,0.205070662031474,0.33151954914293214
Real Estate (Development),13,336.38,91.291,53.65,0.5876811514826216,0.16255600936614323,0.2713924727986206,0.315677573699645,0.1594922409180094,0.2070149714462108
Real Estate (General/Diversified),3,43.9,13.11,15.245,1.1628527841342486,0.19894231568448176,0.2986332574031891,0.3496013529838125,0.3472665148063781,0.36832568253201253
Real Estate (Operations & Services),34,888.4129999999998,207.722,231.52500000000003,1.1145906548174966,0.1537692228094246,0.23381242732828095,0.36050069331404105,0.260605146480297,0.581592512208356
Recreation,17,1101.42,242.64999999999998,314.65799999999996,1.2967566453739954,0.07471254166696871,0.22030651340996166,0.2424436851777115,0.285683935283543,0.3082259410619198
Restaurant/Dining,22,3009.075,90.07199999999999,679.7659999999998,7.5469180211386435,0.12066255922786748,0.02993345130978789,0.029879762794798207,0.22590530312471438,0.22769435043236622
Retail (Automotive),10,588.47,172.17300000000003,191.42000000000002,1.111788724132123,0.26940806736679423,0.2925773616327086,0.2945696248011087,0.32528421159957177,0.32749918732570277
Retail (Building Supply),10,515.96,132.76999999999998,125.722,0.946915718912405,0.23983407610140578,0.25732614931390024,0.25973551315556775,0.24366617567253274,0.2470417166100096
Retail (Distributors),33,3036.2780000000002,793.283,728.8299999999999,0.9187515678515736,0.15139736730712527,0.26126823696644375,0.26448782378571994,0.2400406023427367,0.24353430992541888
Retail (General),10,4648.74,1373.8999999999999,1595.755,1.1614782735279134,0.21156207514396103,0.29554244806119506,0.2979839359880065,0.34326613232832986,0.3477241923323325
Retail (Grocery and Food),12,13407.200000000003,3375.6099999999997,3779.2,1.1195606127485107,0.21929782175965515,0.2517759114505638,0.25219202235354765,0.281878393698908,0.2823480190363768
Retail (Special Lines),41,1574.8509999999999,458.26,544.2620000000001,1.1876707545934624,0.1551392276896382,0.29098625838253905,0.30764411343421594,0.3455958690695184,0.3919470607679185
Semiconductor,10,551.7,86,76.72,0.892093023255814,0.015588181982961755,0.15588181982961755,0.5283752093802343,0.13906108392242159,0.5140368509212728
Shipbuilding & Marine,9,591.47,153.515,197.22699999999998,1.2847409047975766,0.2277090470285087,0.259548244205116,0.259548244205116,0.33345224609870316,0.33345224609870316
