Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Advertising,11,0.7903386936597029,1.1198166189149052,0.19801101474943447,3.9913875228598115,5.655324883476481
Aerospace/Defense,21,0.8387688503022181,1.1750041362906547,0.23064849073751614,3.6365676949378285,5.09434998916962
Air Transport,12,0.6756193803276717,1.0472397031185858,0.31629134847812906,2.1360665841114193,3.3109969910890573
Apparel,8,0.8363872120718708,0.8460471542895533,0.25960544960249393,3.221762922745039,3.2589730130280965
Auto & Truck,4,18.251721063063087,1.1070314495987092,0.12391750177837321,147.28929167492691,8.933616589355053
Auto Parts,14,0.8150164207875469,0.9936506085468217,0.3268182155199422,2.493791294622056,3.04037707006631
Bank (Money Center),13,0.4308878826311056,1.0657566718210356,0.5927732358514439,0.7269017164922933,1.7979163149804
Banks (Regional),9,0.25970838081682873,0.7765552449147827,0.3750085200797118,0.6925399475233927,2.070766938174413
Beverage (Alcoholic),14,0.4530383545863745,0.5154204160235258,0.19320706204126575,2.344833308886055,2.667710023526163
Beverage (Soft),9,1.4295578672441376,2.0667191896337958,0.13032960609364194,10.968788367372175,15.857633975728094
Broadcasting,12,0.6760652391585499,1.042007897637629,0.25450691844402623,2.6563727355303195,4.094222286797277
Brokerage & Investment Banking,21,1.050805876971164,1.01284635725937,0.1732690972793299,6.064589089866053,5.84551067191482
Building Materials,8,0.36934129128123555,0.5567154751216625,0.21549089077974892,1.7139531510811543,2.583475677821926
Business & Consumer Services,68,0.6244164321370974,0.7000339091806403,0.1957952908152477,3.189128959829255,3.5753357819069906
Cable TV,2,0.32567679058477794,0.6828081562726964,0.2897777478867205,1.123884746016078,2.3563167332628274
Chemical (Basic),19,1.0900794651257923,1.3503732178936936,0.3221361036608066,3.3839096355172664,4.191933789934859
Chemical (Diversified),1,0.4966888712745434,0.5856745088280281,0.22583179581272428,2.1993752894142196,2.593410315497428
Chemical (Specialty),50,0.7863432620364176,1.0561873779470168,0.17135605255742709,4.588943607771823,6.163700448182613
Coal & Related Energy,85,1.415656390629835,1.2556746127358038,0.22464358864419653,6.301788531663965,5.58963031312954
Computer Services,19,0.8381593909820481,0.8667549116200352,0.22721113732754109,3.688900996845861,3.8147553936607697
Computers/Peripherals,5,1.2970725450972436,0.9728123459695743,0.10838772147185816,11.966969389923158,8.97530027164706
Construction Supplies,9,0.6443346592301047,0.7159136620113569,0.2258817179815439,2.852531249486739,3.169418350491968
Diversified,6,0.36747596563917784,0.4442687730754023,0.13349446495788778,2.7527430875512477,3.3279939600158817
Drugs (Biotechnology),92,0.7884349601206241,0.8351922495295203,0.15245556135777039,5.1715723132617555,5.478266860790724
Drugs (Pharmaceutical),165,0.5427996678076321,1.1103730590091783,0.15215611095201476,3.567386576926996,7.297590954853959
Education,17,0.7334703727132922,0.7985043115310388,0.18171304022000928,4.03642122670581,4.39431485249627
Electrical Equipment,33,1.341814147513078,1.0560009854950718,0.17601181323801354,7.623432330070925,5.99960290203411
Electronics (Consumer & Office),6,0.837822050788078,0.8659598563191171,0.10490334082520396,7.98660980858661,8.254835827984065
Electronics (General),45,0.8405985644192873,0.8724992812029604,0.1665385874016627,5.047470244189755,5.239021747546356
Engineering/Construction,44,0.7466892937358499,0.8444261017343344,0.2423775064267557,3.0806872500006213,3.483929322416362
Entertainment,35,0.598477006481285,0.9717594561821101,0.1804669215751585,3.3162698252822977,5.384695697695516
Environmental & Waste Services,35,0.7128970369770732,0.8488786974896554,0.1796856517330246,3.9674677977977315,4.724243083977079
Farming/Agriculture,30,0.48323233438321095,0.6808224751089781,0.14314666288132966,3.3757848395237584,4.756118385193432
Financial Svcs. (Non-bank & Insurance),85,0.4047224491877297,1.0942634724129003,0.26831779466714917,1.5083697661192834,4.078236681135311
Food Processing,70,0.478053652065237,0.6703807977892956,0.15223876659523214,3.140157154164758,4.403482849882014
Food Wholesalers,5,0.3732400724927242,0.46476867924558557,0.18320973472513727,2.0372283877419632,2.53681214015653
Furn/Home Furnishings,5,0.773238321339636,0.8599273455830797,0.1959253748459768,3.9465961055197845,4.3890555077875755
Green & Renewable Energy,24,0.5585152978528767,0.8364686753377879,0.21569807900091192,2.589338303057003,3.8779607088399315
Healthcare Products,54,0.8448681011506062,0.9175766199335182,0.1707685768698557,4.947444762009629,5.373216997836855
Healthcare Support Services,35,0.6827572878905992,0.808461119000931,0.19466443966133257,3.5073549595315203,4.153101205373981
Heathcare Information and Technology,55,0.8533827036727075,0.8294851542967823,0.15186002552842,5.619534836131055,5.462169200949774
Homebuilding,4,0.45222511295556234,0.5311372522646399,0.13121094890598503,3.446550129590097,4.047964416789708
Hospitals/Healthcare Facilities,15,0.5150746289030197,0.7992320313923995,0.29009653392082946,1.7755283799550299,2.755055431343136
Hotel/Gaming,31,1.0360534088515423,1.0444267949249149,0.24268032250558583,4.26921061483135,4.303714385004887
