Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Local_Currency_
Advertising,11,1.1198166189149052,0.09031156447008565,0.5864008594373392,0.3520858660788466,0.050855,0.11239237487307564,0.036595258,0.4135991405626608,0.06809454627985773,0.06809454627985767
Aerospace/Defense,21,1.1750041362906547,0.09285019026937011,0.5966503135663888,0.5367777187435866,0.053524,0.05052783487202549,0.0385158704,0.40334968643361124,0.07093445938747614,0.07093445938747611
Air Transport,12,1.0472397031185858,0.08697302634345494,0.5007294834280824,0.2593943956041297,0.050855,0.12266504022660933,0.036595258,0.49927051657191757,0.061820891918877796,0.06182089191887785
Apparel,8,0.8460471542895533,0.07771816909731946,0.9617257221241631,0.3437370863725106,0.050855,0.1510736936509072,0.036595258,0.038274277875836926,0.07614421937091732,0.07614421937091742
Auto & Truck,4,1.1070314495987092,0.08972344668154063,0.8082855793127529,0.510895276406939,0.053524,0.01580068143100511,0.0385158704,0.1917144206872471,0.07990621585992705,0.07990621585992708
Auto Parts,14,0.9936506085468217,0.08450792799315379,0.7164717601907616,0.31985672421828043,0.050855,0.25738333258272006,0.036595258,0.28352823980923836,0.07092333300543399,0.07092333300543396
Bank (Money Center),13,1.0657566718210356,0.08782480690376764,0.27914132383409895,0.17156697628197956,0.045043,0.2501455856254211,0.032412942800000004,0.720858676165901,0.04788068390204089,0.04788068390204092
Banks (Regional),9,0.7765552449147827,0.07452154126608,0.22732935073803284,0.19548639249410268,0.045043,0.27230922227337695,0.032412942800000004,0.7726706492619672,0.04198546314978249,0.041985463149782465
Beverage (Alcoholic),14,0.5154204160235258,0.06250933913708219,0.7940896083413583,0.2447193755450586,0.045043,0.10009863710672658,0.032412942800000004,0.20591039165864167,0.05631217837979989,0.05631217837979996
Beverage (Soft),9,2.0667191896337958,0.13386908272315462,0.43911769980273774,0.7124191223270709,0.060879,0,0.043808528400000005,0.5608823001972623,0.08335571185734317,0.08335571185734314
Broadcasting,12,1.042007897637629,0.08673236329133094,0.5487806152972792,0.412638066110821,0.050855,0.13480448646237025,0.036595258,0.4512193847027208,0.06410952949100107,0.06410952949100102
Brokerage & Investment Banking,21,1.01284635725937,0.08539093243393102,0.7891527957376562,0.42615252459721153,0.050855,0.0696043261945346,0.036595258,0.21084720426234382,0.07510250089944115,0.07510250089944126
Building Materials,8,0.5567154751216625,0.06440891185559648,0.5467862449377852,0.41992783345825113,0.050855,0.17107487744372063,0.036595258,0.45321375506221484,0.05180338134970096,0.05180338134970097
Business & Consumer Services,68,0.7000339091806403,0.07100155982230946,0.8201114939774622,0.3722529698519828,0.050855,0.14052191842924447,0.036595258,0.1798885060225378,0.06481226158973369,0.06481226158973374
Cable TV,2,0.6828081562726964,0.07020917518854403,0.3733514615922301,0.19598386058834938,0.045043,0.23295003868631964,0.032412942800000004,0.6266485384077699,0.0465242214049425,0.04652422140494261
Chemical (Basic),19,1.3503732178936936,0.1009171680231099,0.664757193283134,0.48057799953041136,0.050855,0.0337809749087315,0.036595258,0.335242806716866,0.07935371037357282,0.07935371037357286
Chemical (Diversified),1,0.5856745088280281,0.0657410274060893,0.7476784187396845,0.176414485199587,0.045043,0.12890624999999997,0.032412942800000004,0.25232158126031545,0.057331632397903266,0.057331632397903176
