Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Advertising,11,0.1758228685794817,0.06277512679611079,0.10944574090993124,0.11125906595541173
Aerospace/Defense,21,0.14365585601945188,0.40881152332466286,0.21845130287650008,0.296363376573332
Air Transport,12,0.06241445080219903,0.02489672898626113,0.0786678804198158,-0.02469753067531595
Apparel,8,0.0512284270718518,0.2426161960630562,0.05337761963589558,0.2575326414215015
Auto & Truck,4,0.17281869688385268,0.2352691218130311,0.13652974504249288,0.18559490084985836
Auto Parts,14,0.19292395163022907,0.12731280390044852,0.1956209653493202,0.1195005071401534
Beverage (Alcoholic),14,0.16734348574416316,0.4507547735754074,0.13630692404990385,0.376651125634027
Beverage (Soft),9,0.21649952281865548,0.162789242298606,0.3207988485066571,0.10053663344650099
Broadcasting,12,0.16824369095624844,0.006364514113704776,0.10098256375305276,0.035354499157532054
Brokerage & Investment Banking,21,1.4579704677507483,0.00016359944737682423,1.524277833572553,-0.2598014838886989
Building Materials,8,0.13659465940497478,0.18991339484094727,0.09164837695767628,0.12877411532000213
Business & Consumer Services,68,0.35930586269157355,0.014895466485487417,0.1318683501499759,0.23377537781245494
Cable TV,2,0.03174900667216432,0,0.1089287053002474,-0.05139440737686485
Chemical (Basic),19,0.10922232305344243,0.10864615328290805,0.15121166925933996,0.025968509848080832
Chemical (Diversified),1,0.10473425000711703,0.15016938537307484,0.19460813619153358,0.474193640219774
Chemical (Specialty),50,0.2353739241065602,0.19443747189228713,0.018145420064339265,0.21391069502217785
Coal & Related Energy,85,0.061009619393502384,0.06413051726628875,0.05237332167536322,0.04439333022111714
Computer Services,19,0.19080444194768065,0.017598930000153612,0.14027629959117935,0.06784728363554171
Computers/Peripherals,5,0.17267226587194073,0.5281766458954212,0.1191637315993859,0.5450645714801768
Construction Supplies,9,0.14259036012879814,0.13217392119078925,0.11915060073518619,0.12717612300158343
Diversified,6,0.14501086049088832,0.043617452549420614,0.24747787298899523,0.002658067705848383
Drugs (Biotechnology),92,0.12464735474396478,0.380903056356239,0.07119336742074266,0.42479630533806634
Drugs (Pharmaceutical),165,0.19684355082904295,0.18936327158913857,0.10260184965729452,0.1988794652800439
Education,17,0.12521324360818065,0.0008123566025929545,0.10041935165160881,0.0054356536726202845
Electrical Equipment,33,0.21590962317851087,0.3164427225779305,0.1679767230463276,0.2931340131706911
Electronics (Consumer & Office),6,0.15857579797662927,0.21551250882283743,0.19697801479622515,0.1753065119075628
Electronics (General),45,0.20811132208553643,0.28094286792115775,0.16585163114449294,0.23438777408566297
Engineering/Construction,44,0.2609743850679482,0.03225891286514995,0.15289071145010003,0.1183748512312835
Entertainment,35,0.1602721680008489,0.054873582674006605,0.13585184495016553,0.06354641427199713
Environmental & Waste Services,35,0.13625817504873072,0.0030834129871126843,0.12247790022538825,-0.008478163598864542
Farming/Agriculture,30,0.15556816006693464,0.14257626346043417,0.12852482324084435,0.1500887742396347
Food Processing,70,0.060384248107409375,0.11674678334378905,0.0773314603236598,0.09787343722305684
Food Wholesalers,5,0.09163317089832905,0.0919365264203424,0.10844436450266125,0.050175192544038426
Furn/Home Furnishings,5,0.15546922608165753,0.2720901889092017,0.18990326020719075,0.22921960694698348
Green & Renewable Energy,24,0.14034704992492703,0.00036943051936919876,0.07980057157174696,0.054105652230429686
Healthcare Products,54,0.17585143743036113,0.2142364132599529,0.10819951899696827,0.21597784650069052
Healthcare Support Services,35,0.10611737492881583,0.060981904537320754,0.10686945638182527,0.020736551072026342
Heathcare Information and Technology,55,0.23067562763762767,0.05212969911676508,0.13161020991641628,0.126912992091295
Homebuilding,4,0.12431447940908631,0.20034402509359506,0.07097035313164017,0.13849134878073463
Hospitals/Healthcare Facilities,15,0.04396782276539631,0.0017296834366572604,0.04245408442604241,-0.17349603650179699
Hotel/Gaming,31,0.15221321261744372,0.02657292282282049,0.14147670606007548,-0.053017518782929485
Household Products,8,0.12680006140934444,0.1827132695358477,0.11601248656670589,0.15215188577861932
Information Services,4,0.1429365054890835,0.0009744665104230911,0.037607777229554704,0.09299818058467989
Insurance (General),4,0.4501921073949774,0,0.46823862978821895,0.5635412567989815
Insurance (Life),11,0.017879005291072628,0,0.044784730021666996,0.5815689796152123
