Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Advertising,75,15.945205479452055,42426.589999999975,16388.91,41140.32089939311,14199.178069955618,3668.87189939313,29507.02400000001,4208.632000000002,867.8790000000002,687.4194201213734,444.058
Aerospace/Defense,67,19.6875,128842.5,36987.399999999994,120032.93900000003,44190.699,8722.548999999999,45368.03999999999,7981.021000000001,3762.92,2434.6669999999995,1926.9059999999997
Air Transport,16,29.8125,86222.09999999999,37527.4,196022.13464190628,149519.37464190627,124449.73464190627,73445,4809.99,4778.6759999999995,-1177.7049283812544,-4730.92
Apparel,212,27.849514563106798,144784.75999999998,75018.50999999998,148642.34314811273,82034.47407940372,29052.00914811271,104663.53000000007,26536.886999999995,9200.050000000007,6199.97677037746,4592.311
Auto & Truck,37,36.57575757575758,243789.74999999997,143590.9,217528.27896334193,143797.2236046566,55928.9059633419,344267.98,51718.87000000002,17288.892,7219.448007331619,7936.250000000001
Auto Parts,210,24.13235294117647,223622.0560000001,86025.75800000003,228364.1751756404,103827.57917564044,39635.43417564049,157183.64,25501.215,12515.269000000002,6933.924764871898,6549.925000000003
Bank (Money Center),27,42.074074074074076,1213410.6,2667102,4270343.7,5978195.769999999,4495581.200000002,611077,610141.7,3880.7,3796.7,274749.8
Banks (Regional),37,25.5,131483.99999999997,283762.29999999993,967119.3839573779,1154161.3109573778,953746.9839573778,61250.500000000015,61250.500000000015,2.531,0.9542085244055063,28642.8
Beverage (Alcoholic),45,42.19512195121951,619345.25,96290.63,579752.7303190549,63699.970319055115,5845.480319055112,79048.87,54377.65199999999,32411.901,30336.49033618898,23398.888
Beverage (Soft),5,25.6,76487.69999999998,4945.9,73303.51792427292,2122.017924272925,1291.227924272925,9652.1,4699.400000000001,2490.39,1996.414415145415,1685.8900000000003
Broadcasting,7,22.857142857142858,4900.7,5485.81,4957.778323661526,5473.288323661527,1472.768323661526,2396.1200000000003,572.6999999999999,186.02100000000002,-140.7426647323052,-96.55000000000001
Brokerage & Investment Banking,105,23.11111111111111,391144.0780000003,360394.35,1068980.3075281375,1063970.3995281379,808259.1035281378,80339.829,52090.96699999997,-1.592999999999999,-27.73070562749663,18392.709
Building Materials,65,26.3125,49998.93,26803.199999999993,56798.08471086244,35537.286710862434,13856.244710862436,32701.950000000004,7724.681,3824.51,2430.572257827514,2068.7280000000005
Business & Consumer Services,124,23.308943089430894,52957.88800000003,21286.970000000016,55079.40740699998,21551.629406999964,12803.046406999967,42434.96299999998,7107.835999999999,1985.7639999999992,1345.5399186000068,896.3040000000001
Cable TV,11,22,24251.6,13354.299999999997,24816.954572907387,14398.396572907386,4366.094572907387,5104.099999999999,1094.1299999999999,691.2,-200.86891458147744,-188.01999999999998
Chemical (Basic),284,24.17081850533808,338377.9949999997,175352.41600000008,445252.7805169732,304091.9255169732,167775.29551697313,327387.19999999984,39501.931000000004,24846.108000000007,10991.881896605351,8029.401999999994
Chemical (Diversified),5,32.4,20204.5,9556,22767.8,12354.952000000001,4555.400000000001,11057.6,2510.1,2052.7,1568.3,1303.2
Chemical (Specialty),244,23.21900826446281,317158.7929999996,141375.00000000012,355316.29278350144,196651.48978350146,84301.68178350147,181494.8,38477.36,29758.558000000015,21645.793843299725,15736.796000000004
Coal & Related Energy,39,22.736842105263158,215396.98000000004,148946.12999999998,211474.1679999999,178354.57700000002,57214.52999999999,184702.24000000002,63246.22,54144.45100000001,42043.279,25128.982
Computer Services,150,20.93243243243243,101595.02000000005,38719.87,101396.31207012004,39432.90443242501,15040.282070120043,101888.63400000002,12240.984999999997,2435.941000000003,1997.809785975992,1348.0729999999996
Computers/Peripherals,63,19.885245901639344,162352.40799999994,58634.31399999999,172561.60259941715,70450.94370655564,42196.00659941711,211970.23999999996,38098.23900000001,11221.047000000004,7659.897880116577,4669.4439999999995
Construction Supplies,55,26.849056603773583,81014.80000000003,117125.09999999999,137855.28233713948,183110.58033713955,87180.9443371395,125641.21,20691.721,14480.539999999999,6139.177932572102,3759.6490000000003
Diversified,15,43.642857142857146,68958.59999999999,207382.7,423017.05498136167,633329.3049813617,396457.07498136157,207923.1,95562.48,67487.328,58898.70300372767,13329.380000000001
Drugs (Biotechnology),126,15.864,214989.26999999996,57593.65200000002,204321.72621034159,48576.38567077705,9980.281210341567,29341.354999999996,15953.405,1644.0530000000006,189.61495793168612,153.94300000000015
Drugs (Pharmaceutical),274,32.934865900383144,464746.54499999987,164442.93000000002,459884.7165715912,178186.34957159127,53557.08057159131,174670.79899999997,76755.04800000001,25132.499000000003,18629.59708568174,15254.388999999997
Education,52,19.80392156862745,21774.642999999993,12340.44,24374.061005089756,15634.531120877156,8020.928005089755,7733.309999999999,3759.349999999999,2360.296,1763.4431989820494,1108.7100000000003
Electrical Equipment,334,24.553846153846155,539197.862,191564.36500000002,538317.777626768,233737.0276267685,106113.84362676842,336325.8789999999,64979.09399999995,34923.956999999995,24885.572874646285,20785.574000000022
Electronics (Consumer & Office),29,29.5,29253.709999999995,16415.199999999997,29782.16513792584,17477.000137925843,8439.43613792584,42716.04,6668.955999999999,1123.065,495.4321724148319,819.85
Electronics (General),442,21.25925925925926,670944.1749999993,246863.21,703602.2932833836,314774.4332833831,131875.62528338307,368851.14999999997,58771.74699999999,34043.34200000002,13508.394743323388,14734.86499999999
Engineering/Construction,345,28.425655976676385,450120.18000000034,482784.5299999998,765006.2263878979,968948.3023878983,602819.798387898,1478714.5100000002,175676.1760000001,84237.50899999992,63273.431322420416,38396.694999999985
Entertainment,112,16.71171171171171,109413.23099999999,48632.871999999996,104226.80546754207,35314.76797605332,10510.433467542052,26917.415999999997,12884.301,2659.6940000000004,1061.2553064915894,-1090.9039999999998
Environmental & Waste Services,120,20.663793103448278,63702.35200000002,45104.79,102308.07112384205,89101.32412384207,48188.226123842076,35182.369999999995,8751.014000000001,5743.255999999997,3536.412575231586,711.52
Farming/Agriculture,52,22.11764705882353,45633.71000000001,20425.59999999999,67742.1541660449,41906.2929598225,29927.224166044914,53579.09999999999,4685.509999999999,2357.603,543.0167667910172,-1655.057
Financial Svcs. (Non-bank & Insurance),115,20.136363636363637,138756.54999999993,80891.32,273338.835631643,234825.67363164315,187608.09263164306,29033.002000000004,15618.591,2152.1280000000015,1518.091873671389,1938.9399999999994
Food Processing,231,25.978070175438596,370977.99,138431.3779999999,418722.37730002037,195679.59730002048,101793.12930002049,301021.9690000001,55386.71500000002,27567.557000000004,17097.46473999589,12192.238000000003
Food Wholesalers,14,30.53846153846154,2226.7499999999995,3137.7999999999997,2670.7870000000003,4191.519,855.027,3163.7399999999993,650.55,248.084,213.087,180.65599999999998
Furn/Home Furnishings,103,23.821782178217823,193441.80000000002,81986.89999999997,184179.27208500946,78742.78708500938,40655.54108500941,180865.7,52241.21999999999,19122.288999999997,15569.711782998118,14975.833000000002
Green & Renewable Energy,41,23.682926829268293,181834.09999999992,83345.39000000003,321622.5131358283,245525.01513582826,151077.19313582833,35220.350000000006,19638.638,23000.325999999997,14346.783772834331,8651.975
Healthcare Products,140,19.58273381294964,221051.22999999998,58181.49999999999,207291.58486566404,47371.14186566404,9039.617865664039,36653.979999999996,18192.006000000005,6671.414999999999,5148.95882686719,5262.414000000002
