Industry_Name,Number_of_Firms,Beta,ROE,Cost_of_Equity,_ROE_COE_,BV_of_Equity,Equity_EVA,ROC,Cost_of_Capital,_ROC_WACC_,BV_of_Capital,EVA,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_
Advertising,75,1.7949418488410294,0.027095029504707758,0.13985522608974996,-0.1127601965850422,16388.91,-1848.016713414564,0.04011424146399753,0.13221916390643842,-0.0921049224424409,14939.916469955624,-1376.039847761808,0.9204070911058289,0.4519306194129396,0.058554999999999996,0.09006554307512636,0.04391625,0.07959290889417109
Aerospace/Defense,67,0.7235453537559065,0.05209628143638104,0.07953560341645755,-0.02743932198007651,36987.399999999994,-1014.9091778058817,0.06724578268621362,0.07727709692965821,-0.010031314243444597,35912.044400000006,-360.24500250093485,0.9365932766832366,0.26765826007493715,0.058554999999999996,0.060054728823262134,0.04391625,0.06340672331676339
Air Transport,16,1.1567164742602705,-0.1260657546219562,0.10392313750085323,-0.22998889212280943,37527.4,-8630.885150249518,-0.006841639936839239,0.06590041067034133,-0.07274205060718057,155592.23664190626,-11318.098351889961,0.40927208018365513,0.22922473798380963,0.052743,0.07265391037078761,0.03955725,0.5907279198163449
Apparel,212,0.7903134796092789,0.06121570529726598,0.0832946489020024,-0.022078943604736424,75018.50999999998,-1656.329451601355,0.06678752369834133,0.07671363838998424,-0.00992611469164291,82710.43674811273,-820.9932813576434,0.8328776513134585,0.32623783588446403,0.058554999999999996,0.09806312805357482,0.04391625,0.16712234868654152
Auto & Truck,37,1.5863767149170944,0.05526986738017522,0.12811300904983242,-0.07284314166965719,143590.9,-10459.612271173579,0.05015577595483451,0.1124014991867554,-0.062245723231920895,159727.2389633419,-9942.33750911107,0.8133953130692589,0.3386790627312019,0.058554999999999996,0.07203099121620204,0.04391625,0.18660468693074106
Auto Parts,210,1.251946174470747,0.07613911405465326,0.10928456962270305,-0.03314545556804979,86025.75800000003,-2851.3629394968048,0.06288426824091965,0.09944286776704352,-0.036558599526123864,107573.30557564051,-3932.729398241189,0.8494423305897338,0.3304561936767735,0.058554999999999996,0.07211837140551243,0.04391625,0.1505576694102662
Bank (Money Center),27,1.1119225535747335,0.10301435790607183,0.10140123976625749,0.0016131181398143374,2667102,4302.3506169350985,0.0005995316927995965,0.05270180430268237,-0.052102272609882774,5574552.359999999,-290446.84673878533,0.21254376298105737,0.16197408037684946,0.052743,0.119730077964868,0.03955725,0.7874562370189426
Banks (Regional),37,0.6892061493811948,0.10093941302280114,0.07760230621016127,0.02333710681263987,283762.29999999993,6622.191104500356,7.798446379644281e-07,0.04416669835217984,-0.044165918507541875,1105381.323957378,-48820.181473660305,0.12115761708215644,0.16899427598889075,0.052743,0.09660658404697933,0.03955725,0.8788423829178436
Beverage (Alcoholic),45,1.2575636114264244,0.24300275115034556,0.1096008313233077,0.13340191982703786,96290.63,12845.354903354968,0.4196408130042685,0.10898668605727853,0.31065412694698996,60601.605119055115,18826.138729846305,0.9906500847892099,0.290074507434938,0.058554999999999996,0.16140673625728907,0.04391625,0.009349915210790111
Beverage (Soft),5,0.8932358167566484,0.3408661719808327,0.08908917648339931,0.2517769954974334,4945.9,1245.2638420307555,0.7169379434239372,0.08826688427231781,0.6286710591516195,2418.711924272925,1520.5741872153114,0.9833987436091933,0.20773896972974443,0.052743,0.13617917219978976,0.03955725,0.016601256390806646
Broadcasting,7,1.13558409713981,-0.017599953334147555,0.1027333846689713,-0.12033333800311886,5485.81,-660.1258289508895,-0.024817482792258243,0.08914203872826848,-0.11395952152052673,5600.202723661527,-638.1964228064181,0.7689219983734966,0.3553530195197216,0.058554999999999996,0.032278271932098555,0.04391625,0.2310780016265034
Brokerage & Investment Banking,105,1.1232288766851894,0.05103495379436442,0.10203778575737617,-0.051002831963011745,360394.35,-18381.132473468842,-1.5454689128398725e-05,0.06287058901283978,-0.06288604370196818,1013108.024128138,-63710.35548013672,0.3261155915074784,0.2957426258483064,0.058554999999999996,0.08312215679158276,0.04391625,0.6738844084925216
Building Materials,65,1.3213522325854916,0.07718212750716336,0.11319213069456319,-0.03601000318739983,26803.199999999993,-965.1833174325149,0.061119824791150426,0.09815962064646072,-0.037039795855310295,35513.00511086243,-1315.3944595149355,0.7830051397775701,0.2889188084011628,0.058554999999999996,0.09182767841013136,0.04391625,0.21699486022242992
Business & Consumer Services,124,1.009699365036438,0.04210575765362564,0.09564607425155147,-0.05354031659792583,21286.970000000016,-1139.7111132105501,0.05418908421509298,0.08557475536761441,-0.03138567115252144,22601.042806999965,-709.3488972445609,0.805309238342618,0.37176218396266136,0.058554999999999996,0.10535689400435128,0.04391625,0.194690761657382
Cable TV,11,1.261494446339274,-0.014079360206075947,0.10982213732890114,-0.12390149753497709,13354.299999999997,-1654.6177685313442,-0.015134612331950723,0.09976712272049947,-0.11490173505245019,13034.827372907386,-1497.72428125623,0.8474337420233422,0.2857384525460136,0.058554999999999996,0.027782573974933226,0.04391625,0.1525662579766578
Chemical (Basic),284,1.146322020693728,0.045790084808412276,0.10333792976505689,-0.05754784495664461,175352.41600000008,-10091.153648741052,0.03785834697945564,0.08364134758436068,-0.04578300060490503,273580.20931697317,-12525.322888649029,0.6685286875333529,0.27763797662034645,0.058554999999999996,0.0933266400804478,0.04391625,0.33147131246664713
Chemical (Diversified),5,1.1227956925814424,0.13637505232314776,0.1020133974923352,0.03436165483081255,9556,328.3599735632447,0.1223763922881686,0.09132451160480805,0.031051880683360553,11182.686,347.24343139148647,0.8160170275324213,0.2770739317025301,0.058554999999999996,0.1329740682449717,0.04391625,0.18398297246757864
Chemical (Specialty),244,1.0267107825963844,0.11131243854995573,0.09660381706017644,0.014708621489779292,141375.00000000012,2079.431363117549,0.11084774117424946,0.08554008652817532,0.025307654646074138,173920.28038350155,4401.514391894039,0.7900124991657933,0.2778594693552718,0.058554999999999996,0.09899415257804105,0.04391625,0.20998750083420675
Coal & Related Energy,39,1.1535580850965175,0.1687118826115187,0.10374532019093394,0.06496656242058477,148946.12999999998,9676.518051949532,0.2407771811007528,0.09118865253111541,0.1495885285696374,138813.60299999997,20764.9226182198,0.7901243054631113,0.32755740268961075,0.058554999999999996,0.2076282815910011,0.04391625,0.20987569453688873
Computer Services,150,0.8752407393207376,0.03481605181009129,0.08807605362375753,-0.05326000181366624,38719.87,-2062.220346424921,0.04163859526058547,0.08238158641808145,-0.04074299115749598,43991.57664408729,-1792.3484182143552,0.8710486293328417,0.359581245402913,0.058554999999999996,0.07187617771511967,0.04391625,0.1289513706671584
Computers/Peripherals,63,1.322055560827115,0.07963671238653872,0.11323172807456658,-0.03359501568802786,58634.31399999999,-1969.8206986867515,0.08558526184191607,0.09893273496819566,-0.013347473126279583,83465.7247065556,-1114.0565174862006,0.7937113974603381,0.37299988085117214,0.058554999999999996,0.08527985444510773,0.04391625,0.20628860253966186
Construction Supplies,55,1.2144217303388105,0.032099430438052995,0.10717194341807504,-0.07507251298002204,117125.09999999999,-8792.87559003638,0.0316649997969707,0.07438460323523156,-0.04271960343826087,165820.45893713948,-7083.784247745019,0.4816697373603587,0.2720081843488048,0.058554999999999996,0.13792174510883476,0.04391625,0.5183302626396413
Diversified,15,1.1206068176652615,0.06427431024863695,0.10189016383455422,-0.03761585358591728,207382.7,-7800.877279452207,0.09006150424903471,0.048792844551308626,0.041268659697726084,542643.6179813617,22394.17480761569,0.14816561561395958,0.23716649610730173,0.052743,0.16996201930888238,0.03955725,0.8518343843860404
Drugs (Biotechnology),126,1.4329456547287516,0.0026729161054068963,0.11947484036122871,-0.11680192425582181,57593.65200000002,-6727.0493785201625,-0.001744783453259183,0.11612284905571642,-0.1178676325089756,59854.992563346736,-7054.96626728402,0.9556371910925393,0.37289992152097584,0.058554999999999996,0.05275616786924671,0.04391625,0.04436280890746066
Drugs (Pharmaceutical),274,0.8903832044996318,0.09276403065793096,0.08892857441332927,0.003835456244601687,164442.93000000002,630.7136627490981,0.0921685436493964,0.08427738432632052,0.00789115932307588,185641.57277159134,1464.9272277270125,0.8966685202857149,0.31072424657232417,0.058554999999999996,0.09995410389051763,0.04391625,0.10333147971428512
Education,52,0.9145880325255413,0.08984363604539224,0.09029130623118797,-0.00044767018579573714,12340.44,-5.524447067601146,0.10866487647817473,0.07780720289922607,0.030857673578948655,14620.520282176887,451.15524242181266,0.7308013327309753,0.4288800416157304,0.058554999999999996,0.07684838873793984,0.04391625,0.2691986672690247
Electrical Equipment,334,0.931587947945435,0.10850438702417342,0.091248401469328,0.01725598555484542,191564.36500000002,3305.6319152631363,0.10207305774530688,0.08346519147059334,0.018607866274713544,231113.06615293917,4300.521029312917,0.8355618800937389,0.3159022435173042,0.058554999999999996,0.09249125744930765,0.04391625,0.16443811990626112
Electronics (Consumer & Office),29,1.0925357226722,0.04994456357522298,0.10030976118644486,-0.05036519761122188,16415.199999999997,-826.7547918277293,0.01408191483184025,0.08768334272538304,-0.07360142789354279,23140.96813792584,-1703.2082977903199,0.7761015727622083,0.34559256858684334,0.058554999999999996,0.05994166633442939,0.04391625,0.22389842723779177
