Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Advertising,75,73209,2177.5299999999997,3796.589000000001,29744.02054392219,51859.593765793834,36.913000000000004,0.0012509902726889704
Aerospace/Defense,67,253845,3605.5,10018.730000000001,14203.549410073076,39467.90364198626,69.887,0.0015404456529310062
Air Transport,16,383638,7144.6,9926.7,18623.285493095053,25875.173992148848,88.764,0.0012085778473687793
Apparel,212,953645,68776.78999999998,45496.31,72119.90835164028,47707.80531539514,173.6080000000001,0.0016587248681560805
Auto & Truck,37,1358466,26159.699999999997,29618.88,19256.794060359254,21803.180940855345,627.3480000000001,0.0018222664797347696
Auto Parts,210,851197,10867.000000000002,27882.60000000001,12766.727326341614,32756.929359478483,194.76299999999998,0.0012390793342106083
Bank (Money Center),27,2465615,57496.9,17088.100000000002,23319.49635283692,6930.562962993006,3.1279999999999997,5.118831178394866e-06
Banks (Regional),37,273196,17656.8,12385.699999999999,64630.5216767449,45336.31531940438,0,0
Beverage (Alcoholic),45,304119,43221.8,12943.099999999999,142121.34065941293,42559.32710550803,154.246,0.0019512739397792786
Beverage (Soft),5,48753,66191.99999999999,8212.8,1357701.0645498736,168457.32570303365,6.26,0.0006485635250360025
Broadcasting,7,32273,668.6,870.4200000000001,20717.008025284293,26970.532643386116,11.809,0.004928384221157537
Brokerage & Investment Banking,105,342243,8374.789999999997,2289.8189999999995,24470.303264055063,6690.623329038138,83.357,0.0010375551085626533
Building Materials,65,238969,7328.500000000001,9765.800000000001,30667.157664801714,40866.38852738222,58.772000000000006,0.0017972016959233318
Business & Consumer Services,124,226486,5986.520000000001,4301.963,26432.185653859404,18994.38817410348,101.209,0.0023850380168824476
Cable TV,11,69759,31.1,114.5,445.8206109605929,1641.3652718645624,0,0
Chemical (Basic),284,804957,2606.87,8534.800000000001,3238.5208153975927,10602.8023857175,485.958,0.0014843524731571677
Chemical (Diversified),5,44452,1504.4,4327,33843.24664806983,97340.95203815351,2.287,0.00020682607437418608
Chemical (Specialty),244,545356,7030.05,13594.5,12890.75392954327,24927.753614152956,491.2300000000001,0.00270657892126937
Coal & Related Energy,39,664434,2641.88,3761.94,3976.136079731019,5661.871608015243,45.079,0.00024406309311679163
Computer Services,150,542028,7639.45,27718.252999999997,14094.198085707749,51138.04637398805,114.30699999999997,0.0011218817596474985
Computers/Peripherals,63,436113,68562.65,93491.47,157213.038822507,214374.41672227153,1160.0010000000002,0.005472471041217864
Construction Supplies,55,553107,3099.2,5819.5,5603.255789566937,10521.472337178882,41.769000000000005,0.0003324466550425613
Diversified,15,648367,33776.99999999999,73966.29999999999,52095.49529818759,114080.91405022153,68.11,0.00032757303060602694
Drugs (Biotechnology),126,161716,39764.000000000015,4456.984,245887.8527789459,27560.562962230084,486.865,0.016593132798400075
Drugs (Pharmaceutical),274,955157,64045.25000000001,59221.689999999995,67052.06578604356,62002.047830880154,493.377,0.002824610655155932
Education,52,164442,13416.899999999998,6418.65,81590.46958806143,39032.911300032836,89.683,0.011596974646044193
Electrical Equipment,334,1172657,13720.240000000002,19158.81,11700.13055821097,16337.948777860875,750.3680000000003,0.002231074225483554
Electronics (Consumer & Office),29,192887,1167.31,9774.04,6051.781613068792,50672.36257497913,35.773,0.0008374605885751583
Electronics (General),442,2240447,27560.290000000005,29420.570000000003,12301.246135257832,13131.562585501913,1065.5620000000001,0.0028888672300465927
Engineering/Construction,345,3018360,28600.480000000014,61030.58999999999,9475.503253422394,20219.78491631217,303.696,0.00020537838639319227
Entertainment,112,107241,20475.480000000003,8340.726,190929.58849693683,77775.53361121214,264.472,0.009825311612377652
Environmental & Waste Services,120,495718,4707.589999999999,10351.869999999999,9496.50809532839,20882.57840142984,28.862000000000005,0.0008203540580125787
Farming/Agriculture,52,247991,2124.02,5778.4,8564.907597453133,23300.845595203053,48.961000000000006,0.0009138078093883625
Financial Svcs. (Non-bank & Insurance),115,124836,24799.760000000006,16682.170000000002,198658.72024095617,133632.68608414242,183.68400000000003,0.006326731214360816
Food Processing,231,1420888,59709.81000000002,87772.34999999999,42022.88287324548,61772.88428081593,428.5339999999998,0.001423597093008184
Food Wholesalers,14,10692,1616.9499999999996,3046.2399999999993,151229.89150766924,284908.3426861204,2.182,0.0006896900503834072
Furn/Home Furnishings,103,782575,60249.79999999999,61864.399999999994,76989.17036705745,79052.35919879883,373.765,0.002066533344907298
Green & Renewable Energy,41,70036,4317.8,3896.2500000000005,61651.15083671255,55632.10348963391,20.570999999999998,0.0005840657460814556
Healthcare Products,140,296740,24252.03,6821.580000000001,81728.21325065714,22988.407359978435,416.9409999999998,0.011375053950485046
Healthcare Support Services,75,478971,10847.94,7654.599999999999,22648.42756659589,15981.343338114415,160.08300000000006,0.0007021082620387875
Heathcare Information and Technology,45,148741,56015.1,9652.45,376594.8864132956,64894.34654869875,500.875,0.028338464950545244
Homebuilding,4,2388,209.7,696.2,87814.0703517588,291541.03852596314,0,0
Hospitals/Healthcare Facilities,25,126354,5783.799999999997,3567.7799999999997,45774.56985928421,28236.383493993064,45.656,0.005264590165446687
Hotel/Gaming,80,305661,70158.48000000003,20536.080000000005,229530.36206778107,67185.80388076989,246.79899999999995,0.007891234810590411
Household Products,34,77103,5712.8099999999995,4682.38,74093.22594451577,60728.895114327584,12.957,0.0011444515694805848
Information Services,3,583,132.2,90.4,226758.14751286447,155060.03430531733,0.9770000000000001,0.008300764655904843
Insurance (General),6,109277,4268.4,3970.2,39060.36951966104,36331.524474500584,19.156,0.00028802861882187933
Insurance (Life),8,624600,9991.4,57759.4,15996.477745757285,92474.22350304194,203.2,0.0004813627113038983
Insurance (Prop/Cas.),3,341361,26645.6,63466.7,78056.95436795651,185922.5277638629,0,0
Investments & Asset Management,42,20278,6320.540000000001,2859.8109999999997,311694.4471841405,141030.22980570074,2.765,0.00045374865311317527
Machinery,421,989070,32280.329999999998,24238.380000000005,32637.052989171647,24506.23312809003,495.60800000000035,0.0027527183488044427
Metals & Mining,129,655576,14250.369999999997,33315.77300000001,21737.174637265547,50819.08581156114,206.64299999999997,0.0005315001433169946
Office Equipment & Services,10,32232,0,0,0,0,4.604,0.0006432862931395835
Oil/Gas (Integrated),4,785223,0,0,0,0,14.9,1.6758103302122398e-05
Oil/Gas (Production and Exploration),15,42274,3500.2,1596.41,82797.93726640489,37763.40067180773,9.716,0.00014634423338802415
Oil/Gas Distribution,21,41235,1584.1599999999999,910.89,38417.848914756876,22090.214623499454,10.518,0.000382119926366166
Oilfield Svcs/Equip.,56,201698,2121.02,8810.779999999999,10515.820682406369,43683.031066247546,12.66,0.00022022033165947327
Packaging & Container,22,44512,1121.7900000000002,1526.1499999999999,25201.968008626893,34286.25988497483,4.2860000000000005,0.00045367699595120294
Paper/Forest Products,47,136411,3711.4099999999994,11210.710000000001,27207.556575349492,82183.32832396214,52.897000000000006,0.0013505291744888188
Power,101,815148,114758.61999999998,126535.90000000002,140782.55727794213,155230.58389396776,64.54899999999999,0.00016900948955201448
Precious Metals,19,117953,784.0999999999999,2667.5,6647.563012386288,22614.939848922877,45.84100000000001,0.0005938914979757084
Publishing & Newspapers,41,114611,4421.239999999999,1378.95,38576.05290940659,12031.567650574552,32.305,0.0015903569380275242
R.E.I.T.,9,1524,1604.6,600.9,1052887.1391076115,394291.3385826772,44.050000000000004,0.03221677759087253
Real Estate (Development),206,1496631,135649.60999999993,420156.1099999999,90636.64323403694,280734.60325223784,413.29400000000004,0.000531538612060977
Real Estate (General/Diversified),56,267707,60644.17999999999,36905.470000000016,226531.91735740937,137857.69516673085,53.667,0.000774485209853642
Real Estate (Operations & Services),125,1230329,65230.42999999998,44572.31100000002,53018.688497141804,36227.960976291724,116.98000000000003,0.0021617909637950835
Recreation,62,146573,2356.34,3465.2000000000007,16076.22140503367,23641.461933643994,8.887,0.0007378716550012042
Reinsurance,1,51550,2474.2,24266,47996.12027158099,470727.4490785645,0,0
Restaurant/Dining,48,784872,33648.020000000004,21857.890000000003,42870.71012853052,27848.98684116646,1366.089,0.022930567207530946
Retail (Automotive),28,140991,8128.02,53469.4,57649.21165180756,379239.809633239,30.064000000000004,0.0003723761271874543
Retail (Building Supply),7,4172,236.97000000000003,591.94,56800.09587727709,141883.98849472674,0.9139999999999999,0.0011361941226194618
Retail (Distributors),136,288784,12333.77,51785.97899999999,42709.326001440524,179324.26657986589,141.52599999999995,0.00027548823630718536
Retail (General),58,324207,2761.68,16830.100000000002,8518.261481090785,51911.58735005722,15.920000000000002,0.00031319470401920094
Retail (Grocery and Food),29,477679,6432.91,13192.949999999999,13467.014459501046,27618.861201769385,31.946999999999996,0.0007841958047107713
Retail (REITs),2,1332,0,0,0,0,19.95,0.010959731912322144
Retail (Special Lines),71,435720,57178.810000000005,44827.85999999999,131228.33471036446,102882.26383916274,463.1419999999999,0.004908577945091653
Rubber& Tires,15,107361,828.8,2631.8999999999996,7719.74925717905,24514.488501411124,5.708000000000001,0.00032616210965400995
Semiconductor,173,552962,12390.379999999997,14894.099999999999,22407.290193539517,26935.123932566792,909.9969999999998,0.005376646876798932
Semiconductor Equip,59,144833,13296.3,4601.5,91804.35398010122,31771.07427174746,249.75399999999996,0.005032765346917719
Shipbuilding & Marine,56,227565,23309.370000000003,24014.859999999997,102429.50365829545,105529.67284072681,46.32300000000001,0.0005076461996507199
Shoe,21,517884,5229.229999999999,11841.65,10097.29978141823,22865.448633284675,40.394999999999996,0.002481535154620619
Software (Entertainment),33,154187,353530.1720000001,84148.21699999999,2292866.2727726726,545754.29186637,4689.472,0.046387823093562104
Software (Internet),19,23300,1629,315.09999999999997,69914.16309012876,13523.60515021459,12.661999999999999,0.0006012288582254679
Software (System & Application),189,533556,31903.86,9240.860000000002,59794.77318219643,17319.381658157723,748.7670000000002,0.015394314749073743
Steel,111,682436,5835.210000000001,21048.9,8550.560052517747,30843.771430581037,114.31800000000001,0.00031767174769730506
Telecom (Wireless),8,698781,1354.6,1500.1999999999998,1938.5186489043062,2146.881497922811,65.46799999999999,0.00034741539882086355
Telecom. Equipment,125,439718,11482.960000000001,18499.730000000007,26114.37330288958,42071.80511145781,319.80100000000004,0.003983286193360415
Telecom. Services,16,594924,6520.650000000001,7563.8,10960.475623777156,12713.892866988052,154.442,0.0010844602731338348
Tobacco,2,17737,5106.6,1546.5,287906.6358459717,87190.61848114112,52,0.031366871757751234
Transportation,141,1244546,46635.60000000001,54121.060000000005,37471.97773324571,43486.58868374492,1778.7220000000004,0.006927451312511852
Transportation (Railroads),10,175082,25184.4,6729.7,143843.4562090906,38437.41789561463,14.504999999999999,0.0004954468756617913
Trucking,7,12381,1392.5,1732.1999999999998,112470.72126645666,139907.9234310637,26.353,0.008280597014925374
Utility (General),4,4617,201.9,455.8,43729.69460688759,98722.11392679228,0.959,0.0005755611571239946
Utility (Water),38,199950,10275.09,10820.300000000001,51388.297074268565,54115.028757189306,7.577,0.0003249992493748365
Total Market,7504,41771761,2162482.7119999956,2215317.025000001,51769.00997781721,53033.84324639799,23102.748999999996,0.0018275661832871755
Total Market (without financials),7161,37470355,2006928.5219999957,2038815.125000001,53560.435229396564,54411.41737248022,22607.458999999995,0.002015988915334036
