Industry_Name,Number_of_firms,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Quarter_1,Quarter_2,Quarter_3,Quarter_4,2018_12_31_00_00_00,2019_12_31_00_00_00,2020_12_31_00_00_00,2021_12_31_00_00_00,2022_12_31_00_00_00,2023_12_31_00_00_00,2019,2020_0,2021_0,2022_0,2023_0
Advertising,75,50726.799999999996,44511.170000000006,41431.350000000006,40793.71000000002,0.20516511280919247,-0.12253148237223699,-0.06919207021518414,-0.19581542695379905,27842.340000000004,37560.84000000001,57151.630000000005,56124.27000000001,42091.162000000004,42426.589999999975,0.34905471307368585,0.5215748636079489,-0.017976040228423806,-0.25003635682032044,0.00796908386610884
Aerospace/Defense,67,128967.5,135373.9,128146,126381,0.07239581211214574,0.04967453040494685,-0.05339212359250933,-0.02005544032411266,54665.600000000006,63514.3,143465.7,174659.50000000003,120261.10000000002,128842.5,0.16186962184627984,1.258793688980277,0.21743036837376462,-0.311454000498112,0.07135640701773038
Air Transport,16,124411.7,101249.1,93012.49999999999,89574.6,0.02825280408088715,-0.18617702354360555,-0.08134985891232638,-0.28001466100053285,80655.7,100034.8,98059.1,105328.19999999998,120993.3,86222.09999999999,0.24026944158937313,-0.019750126955819347,0.07412978499700662,0.14872655186360362,-0.2873812020996205
Apparel,212,177576.55999999994,153294.10599999997,149126.06400000007,148289.02300000002,0.041601824357705874,-0.13674357696759065,-0.02718983859692492,-0.16492907059355089,107713.74,129395.83999999994,173452.41999999987,216136.51000000007,170484.11000000013,144784.75999999998,0.2012937253873084,0.34047910659260716,0.24608529532191148,-0.21122021448389228,-0.15074337426520357
Auto & Truck,37,264842.50000000006,249795.69999999998,245335.9,256187.1,0.03837366906209727,-0.05681414425554843,-0.01785379011728383,-0.032681310590256696,152184.5,151626.5,319323.29999999993,349556.2000000001,255055.09999999995,243789.74999999997,-0.0036666020521143317,1.1059860908218546,0.09467802694009553,-0.27034594151097924,-0.04416829932042132
Auto Parts,210,211759.17999999996,216153.951,217367.39999999994,218830.75600000005,0.07070432706078633,0.020753626832140437,0.005613818273439541,0.03339442474229504,104878.37499999999,119237.11999999998,184186.84000000005,256013.50000000006,197775.58999999997,223622.0560000001,0.13690853810425652,0.5447105733516548,0.3899662972664062,-0.2274798399303165,0.1306858242718434
Bank (Money Center),27,1256004.0999999999,1258531.9000000001,1207303.4000000001,1235429.9,0.021111990579784745,0.002012573048129518,-0.0407049674307024,-0.016380679012114707,1372896.0999999996,1541130.2000000002,1440732.5,1420441.6999999997,1230035.5999999999,1213410.6,0.12253957163983542,-0.06514550165845834,-0.014083669244637886,-0.13404710661479446,-0.013515868971597067
Banks (Regional),37,156664.30000000005,144478,145458,144593.19999999998,-0.07187636258507235,-0.07778606868316551,0.006783039632331622,-0.07705073842604893,108273.09999999999,148540.40000000002,168146.30000000002,184526.6,168796.8,131483.99999999997,0.37190493298889593,0.13199035413934523,0.09741695178543908,-0.08524407863148198,-0.22105158391628288
Beverage (Alcoholic),45,787020.7800000001,648296.0899999999,657151.73,638401.4700000001,0.0670265754865238,-0.1762656000010575,0.01365986952042264,-0.1888378474581065,222748.69999999998,469476.6,900317.2099999998,913514.4000000003,737583.1100000001,619345.25,1.1076513577857021,0.9177041198645468,0.01465837801767722,-0.19258731991526368,-0.16030445708009788
Beverage (Soft),5,77175.3,72850,75749.00000000001,74196.2,0.027506580410148862,-0.05604513361140162,0.03979409746053553,-0.03860172879146573,1866.3000000000002,1274.7,80838.8,86389.3,75109.3,76487.69999999998,-0.3169908374859348,62.41790225151016,0.06866133589316026,-0.13057172589660992,0.018351921799297566
