Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Advertising,75,1284.6124,0.09047089864434775,418.895,0.014196450309594077,407.84900000000005,446.35299999999995,456.498,445.136,469.65500000000003,-0.022615954951385908
Aerospace/Defense,67,6498.838400000001,0.14706348953656517,2190.388,0.048280419431829105,2179.0389999999998,2173.542,2210.9100000000003,1883.65,1872.3999999999999,0.03186880632935152
Air Transport,16,671.022,0.00448785986168732,233.71999999999997,0.0031822452175097006,230.55999999999997,222.70000000000002,209.33,177.51,190.32999999999998,0.0419280405749467
Apparel,212,4763.8766000000005,0.05807164187325558,1548.8290000000002,0.014798172773266859,1593.7759999999996,1630.2179999999994,1602.6649999999997,1604.1499999999996,1653.1480000000004,-0.0129518311972463
Auto & Truck,37,37883.206,0.2634487999862413,13136.958,0.03815910500883644,12828.687999999998,12267.166999999996,12310.168999999998,10994.648999999996,10725.019,0.041404256064224265
Auto Parts,210,20127.498400000008,0.1938550292687767,6805.197,0.04329456297105729,6769.408000000004,6783.093000000004,6514.193999999999,6156.207999999999,6149.046,0.02048492136933855
Beverage (Alcoholic),45,1101.1418,0.017286378541225257,357.8950000000001,0.004527515700097929,368.64700000000005,380.23199999999997,372.74499999999995,355.46,357.73900000000003,8.719921295585742e-05
Beverage (Soft),5,135.40400000000002,0.06380907458469938,47.769999999999996,0.004949182043285916,48.42,46.760000000000005,36.84,30.53,28.69,0.10735007297215504
Broadcasting,7,127.5324,0.023300873708528333,41.154,0.0171752666811345,42.624,43.364,42.513999999999996,46.276,44.908,-0.017307440343868552
Brokerage & Investment Banking,105,460.3226,0.00043264605876643683,149.659,0.0018628244777568546,176.211,157.757,158.14899999999997,58.905,148.43100000000004,0.0016491922284316285
Building Materials,65,3508.3424,0.0987228549141775,1155.9589999999998,0.035348320207204756,1163.4850000000001,1195.4989999999998,1168.29,1184.9,1251.77,-0.015799506814719533
Business & Consumer Services,124,2758.202400000001,0.12798115390310755,919.4929999999999,0.021668288010525668,910.0310000000003,945.0710000000001,938.5630000000002,841.084,857.957,0.013950096945323232
Cable TV,11,553.2398000000001,0.03842370900111189,180.574,0.03537822534824945,186.44400000000002,190.64699999999996,186.69400000000002,172.224,176.805,0.004227558160217804
Chemical (Basic),284,21154.526799999996,0.06956622331893925,7248.463999999998,0.022140340245434157,6970.008000000004,7047.496,6924.554999999999,6658.684000000001,6685.337,0.01630610958543688
Chemical (Diversified),5,697.64,0.056466427388791145,239.6,0.02166835479670091,219.3,238.4,235.1,227.6,233.89999999999998,0.004827051387201964
Chemical (Specialty),244,14790.101599999998,0.0752097104185826,4758.732000000001,0.026219660287787865,4910.768,5171.227999999996,5037.664999999998,4924.761999999997,4870.819999999999,-0.004645387563585346
Coal & Related Energy,39,6026.973999999999,0.03379209046034181,2023.497,0.010955454573804844,2015.7819999999997,2029.9519999999995,2022.6529999999996,1819.0950000000003,1683.789,0.03743997739826832
Computer Services,150,9615.455399999997,0.24384344847024178,3194.102000000001,0.03134895301471998,3178.8729999999996,3283.5759999999987,3189.5029999999997,3161.5409999999997,3269.3540000000016,-0.004646457205480736
Computers/Peripherals,63,23356.519,0.33152883085974355,7790.5109999999995,0.03675285266460047,7774.8820000000005,7752.102000000002,7970.771999999998,7532.661999999999,7238.272000000001,0.014813437473488511
Construction Supplies,55,4792.8616,0.026174684123525135,1604.9620000000002,0.012774168602801582,1524.231,1576.1049999999998,1521.0520000000001,2072.1549999999997,1540.0020000000004,0.008297508106204887
