Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_
Advertising,75,1.7949418488410294,0.08647576671594706,0.09006554307512636,1.68561801609219,0.10749737166784386,1.8886420751971904,0.49902813804981255,0.4519306194129396,0.33301684880107
Aerospace/Defense,67,0.7235453537559065,0.06769931505520305,0.060054728823262134,0.6885829102204255,0.12744596194633712,0.7891578976087175,0.22742281939890216,0.26765826007493715,0.33699491061573794
Air Transport,16,1.1567164742602705,1.4433623704584588,0.07265391037078761,0.5554402775359623,0.06953800931624829,0.5969510663490896,0.2708209145718064,0.22922473798380963,10.486601910708757
Apparel,212,0.7903134796092789,0.20065654111739878,0.09806312805357482,0.6869349815773826,0.14493151318599237,0.8033683759495198,0.33576969587996985,0.32623783588446403,0.2206913387648115
Auto & Truck,37,1.5863767149170944,0.22941450968854069,0.07203099121620204,1.3534934395639324,0.2742250953175654,1.8648942403928366,0.33236381870214393,0.3386790627312019,0.5924831792525714
Auto Parts,210,1.251946174470747,0.17724295574690752,0.07211837140551243,1.1050494953666823,0.1325444338800002,1.2738975211253816,0.29374835220928147,0.3304561936767735,0.18036626837019518
Bank (Money Center),27,1.1119225535747335,3.704913406887991,0.119730077964868,0.2942617702564492,0.25199687622602646,0.39339644568833004,0.18404479432899226,0.16197408037684946,0.5375551704057012
Beverage (Alcoholic),45,1.2575636114264244,0.009438161217923463,0.16140673625728907,1.2487243650210609,0.07267862077355423,1.3465928781483756,0.26721818163494493,0.290074507434938,0.5101070197653342
Beverage (Soft),5,0.8932358167566484,0.0168815106778335,0.13617917219978976,0.8820678385306027,0.05754013483391472,0.9359208504599398,0.24038200665645557,0.20773896972974443,0.8920079955055921
Broadcasting,7,1.13558409713981,0.30052203229365726,0.032278271932098555,0.9267112385671343,0.222122387389021,1.1913329597654687,0.42876897433314903,0.3553530195197216,1.629443651231731
Brokerage & Investment Banking,105,1.1232288766851894,2.066397394179996,0.08312215679158276,0.4405168003826995,0.10873980993933212,0.49426284859947983,0.3379044498015437,0.2957426258483064,0.8601535460580139
Building Materials,65,1.3213522325854916,0.2771308248168998,0.09182767841013136,1.0939721743352855,0.11051711990382379,1.2298968297366202,0.2837383908071456,0.2889188084011628,0.4286897397281504
Business & Consumer Services,124,1.009699365036438,0.24175900683577034,0.10535689400435128,0.8547218380250948,0.16242967190659333,1.0204776952530432,0.36207830606097424,0.37176218396266136,0.22664185075354765
Cable TV,11,1.261494446339274,0.18003325854407082,0.027782573974933226,1.1114244256128578,0.1328108380749228,1.281640124682372,0.2757248772032086,0.2857384525460136,0.8360595288758732
Chemical (Basic),284,1.146322020693728,0.49582212199399456,0.0933266400804478,0.835592927038264,0.12032028861809371,0.9498831406781163,0.2684970863083337,0.27763797662034645,0.6961273780811005
Chemical (Diversified),5,1.1227956925814424,0.22546462421737734,0.1329740682449717,0.960394460481721,0.08045670620640633,1.044425495747563,0.2890646221244311,0.2770739317025301,0.6854680000802936
Chemical (Specialty),244,1.0267107825963844,0.2658027576221151,0.09899415257804105,0.8560545396174484,0.11494078470585306,0.9672285479033638,0.26622526623578113,0.2778594693552718,0.6841395197473068
Coal & Related Energy,39,1.1535580850965175,0.2656236405914325,0.2076282815910011,0.9619254750926939,0.2242654464589553,1.2400188578705584,0.2917988313428149,0.32755740268961075,0.6357390024256728
Computer Services,150,0.8752407393207376,0.1480415287099706,0.07187617771511967,0.7877733599569725,0.1306550395080082,0.9061688923935842,0.378181579668774,0.359581245402913,0.38685782168659416
