Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Advertising,75,300.40299999999996,178.78899999999996,1.6802096325836602,42.144000000000005,-26.203199999999924,0.004661764602218104,0.28578428066062406,1.9750461161773587
Aerospace/Defense,67,2490.688999999999,1328.253,1.8751615844270626,16.133,126.47980000000098,0.028765818404321634,0.5857390460528883,1.2633098660348054
Apparel,212,5802.196999999998,2982.9750000000013,1.9451041326192797,41.94999999999999,-67.96240000000489,0.026687515699116874,0.6151833890660656,1.2654210776173693
Auto & Truck,37,30020.15299999999,10060.776999999998,2.983880171481785,452.51900000000006,1311.8196000000007,0.06310117658923725,4.493815778013173,2.1553492205484814
Auto Parts,210,16663.539999999994,5578.393000000001,2.987157771064174,375.1439999999999,330.8072000000084,0.07501479288811484,1.9800132353957751,1.461177000733475
Beverage (Alcoholic),45,3593.3010000000013,2075.0789999999993,1.731645397596912,1357.952,-9.0695999999989,0.03627002384727326,0.126394344989145,1.3044022488299483
Beverage (Soft),5,772.1899999999999,493.69,1.5641191841033846,-7.04,9.521999999999935,0.02911097066959521,0.18245435948036193,3.9905951193015525
Building Materials,65,3352.047,1396.2500000000007,2.4007498657117265,126.104,-36.82980000000043,0.06253667441849793,0.9652680764841953,0.9208443469628369
Business & Consumer Services,124,1662.5489999999993,718.9460000000003,2.312481048646211,206.329,20.95180000000005,0.027592431269469933,1.1092231115316156,1.8775665955934158
Chemical (Basic),284,38337.73800000001,13832.907000000001,2.7714881622496277,740.242,391.2479999999996,0.07830581342214975,2.713770715311496,1.196677204163863
Chemical (Diversified),5,2227.8,484.4,4.599091659785302,25,8.740000000000009,0.16071661119953695,1.3205369611399123,0.9888143152727351
Chemical (Specialty),244,27763.014999999996,8094.692999999998,3.429779857000136,2479.4930000000004,-224.31660000001648,0.12079408556057794,1.2134881048671713,1.0435516755136107
Coal & Related Energy,39,18109.558,11648.628,1.5546515864357588,4056.148,109.24280000001454,0.05753217069809232,0.32148772055649266,1.3305773786449449
Computer Services,150,1359.5959999999995,429.33499999999987,3.1667485762865826,172.984,-22.467400000000907,0.010607440276410012,0.6541708281292025,2.316094165579183
Computers/Peripherals,63,5658.723000000001,3518.519,1.6082684220264267,529.196,136.77300000000014,0.013238523483296532,0.47145463656885633,2.5396082133742177
Construction Supplies,55,11328.293,8325.231,1.3607181590516828,421.5399999999999,-41.74699999999939,0.0269247247778018,0.7097128451349355,0.7576942604388103
Diversified,15,8381.570000000002,8569.576000000001,0.9780612249660894,-2441.9700000000003,-16.860000000000582,-0.012729879460242755,-0.05249758136451457,0.38316694992834427
Drugs (Pharmaceutical),274,10586.668999999994,6501.308000000005,1.6283906253941491,502.214,342.82099999999264,0.02822679021465965,0.312985251904765,0.9409034646291781
Education,52,1539.885,603.4279999999998,2.551895172249217,-34.477999999999994,-39.188400000000684,0.11156808662784753,0.5504975559299131,0.528935349135781
Electrical Equipment,334,32234.255999999994,10029.535999999996,3.213932927704732,903.495,1006.5424000000203,0.07170057050531049,1.114320996369506,1.4552438968441366
Electronics (Consumer & Office),29,1366.4159999999997,627.63,2.1771043449165903,54.018,-139.86599999999999,0.015285546132085272,1.575169031737937,1.8459054843946863
Electronics (General),442,30317.711000000014,20521.872000000014,1.4773365217364183,1044.115,-312.26799999999275,0.028541827780664396,0.9213398118635052,1.0912504707317912
Engineering/Construction,345,53952.43900000005,20879.378000000008,2.5840060465402765,1346.789,677.7786000000197,0.023735229730044407,0.6852782512989822,1.6889037107531721
Entertainment,112,1177.6709999999996,1596.9189999999999,0.7374644549911421,179.08500000000004,-125.06640000000016,-0.013568516383593448,-0.5461453633860859,0.595352465193302
Environmental & Waste Services,120,4568.8110000000015,2206.2179999999994,2.070879215018644,240.20300000000006,-2.65880000000152,0.07390454935241716,0.9643762878268068,0.423593028695588
Farming/Agriculture,52,4511.548000000001,1814.7010000000007,2.4861109350796626,129.285,-2.897800000000416,0.05269282612063285,6.0699793424834185,1.2881101234215588
Financial Svcs. (Non-bank & Insurance),115,4805.511000000001,1717.516,2.7979424936943826,139.30300000000003,11.73200000000088,0.1115637301302842,2.7626609121885477,0.1293736896365434
Food Processing,231,18099.848000000005,10458.645999999999,1.730611017908055,411.56199999999995,-8.216799999987416,0.026724119926276938,0.581105641271409,1.6824928475502288
Food Wholesalers,14,51.107,35.66,1.433174425126192,-1.062,2.0002000000000066,0.005179060226187997,0.09459011076596668,0.9201732929920717
Furn/Home Furnishings,103,6488.725999999999,3540.327999999999,1.832803627234539,256.69100000000003,107.54559999999401,0.018315438471749997,0.25274452359533095,2.3154437108225085
Green & Renewable Energy,41,17835.065,8459.973000000002,2.1081704397874548,9329.814,36.291000000004715,0.5321127416394216,1.5385379278928597,0.20092787188546948
Healthcare Products,140,4215.903999999999,1513.025,2.7864073627335957,287.0810000000001,112.80680000000302,0.08465020169705996,0.7193577602526571,0.7561617932459628
Healthcare Support Services,75,2354.518999999999,1405.0870000000002,1.6757104720205926,378.60000000000014,-53.073600000001534,0.00559184189698938,0.18995572844343434,3.516050725275837
Heathcare Information and Technology,45,2755.7829999999994,761.1179999999999,3.620704016985539,185.446,97.54200000000083,0.1288648659046753,1.1735634365903267,0.675272175527678
Homebuilding,4,3.936,13.186,0.2984984074017898,0,-0.8612000000000073,-0.011448369565217399,-0.8430273434445033,1.4436958614051978
