Industry_Name,Number_of_firms,Book_Debt_to_Capital,Market_Debt_to_Capital_Unadjusted_,Market_D_E_unadjusted_,Market_Debt_to_Capital_adjusted_for_leases_,Market_D_E_adjusted_for_leases_,Interest_Coverage_Ratio,Debt_to_EBITDA,Effective_tax_rate,Institutional_Holdings,Std_dev_in_Stock_Prices,EBITDA_EV,Net_PP_E_Total_Assets,Capital_Spending_Total_Assets
Advertising,75,0.18874527488790319,0.0823679362282053,0.08976139727468081,0.07959290889417109,0.08647576671594706,4.5512049989066545,4.55527910519366,0.09006554307512636,0.06984265306122449,0.4519306194129396,0.02109558168304912,0.08037360267303617,0.010855062905798327
Aerospace/Defense,67,0.13985635005131475,0.06349309990467425,0.0677977918776801,0.06340672331676339,0.06769931505520305,9.670548655272256,2.336312153656559,0.060054728823262134,0.11263955223880597,0.26765826007493715,0.03134906161049676,0.1482952850772142,0.022511609704248536
Air Transport,16,0.7431428633883191,0.5913466950198736,1.4470620641343694,0.5907279198163449,1.4433623704584588,-0.271702570396379,-11.19138803920045,0.07265391037078761,0.13119999999999998,0.22922473798380963,0.024378246919561898,0.7348084942617207,0.0401343048391482
Apparel,212,0.2675611575391159,0.1677190361507672,0.2015173282049851,0.16712234868654152,0.20065654111739878,5.350204657435142,3.0186747083011336,0.09806312805357482,0.07340282051282054,0.32623783588446403,0.06189387091962575,0.24616235273395326,0.04251236311623064
Auto & Truck,37,0.24755351609695242,0.18678757382252004,0.22969099808338947,0.18660468693074106,0.22941450968854069,4.509760341310284,3.72428597344684,0.07203099121620204,0.08956142857142856,0.3386790627312019,0.07947882492516543,0.1974158050730562,0.06624833549698585
Auto Parts,210,0.2809205941698438,0.15154106037209047,0.17860741786579398,0.1505576694102662,0.17724295574690752,5.294210322032499,3.3001999311941024,0.07211837140551243,0.09214185000000003,0.3304561936767735,0.05480399449858633,0.288540706168735,0.0789167122496193
Bank (Money Center),27,0.6057828137716048,0.7874562370189426,3.704913406887991,0.7874562370189426,3.704913406887991,1.490480116201468,1149.9414743950483,0.119730077964868,0.1093740740740741,0.16197408037684946,0.0009087558924121259,0.006636914051460743,0.0011110429627649535
Beverage (Alcoholic),45,0.05237312043545424,0.009380815763744572,0.009469648794432508,0.009349915210790111,0.009438161217923463,148.82905924199684,0.1947500863411651,0.16140673625728907,0.12630146341463416,0.290074507434938,0.05590642235037476,0.15836633652143756,0.027152922454031687
Beverage (Soft),5,0.1855800635962072,0.01658320208286458,0.01686284199943259,0.016601256390806646,0.0168815106778335,73.8030773783104,0.5577176590674349,0.13617917219978976,0.06614,0.20773896972974443,0.03397367644173267,0.3212823543518852,0.06613820511502817
Broadcasting,7,0.21157500719838754,0.23069557163712856,0.2998755279857979,0.2310780016265034,0.30052203229365726,-2.75706325153974,7.243597893279196,0.032278271932098555,0.06621666666666667,0.3553530195197216,0.03752104024340801,0.4480442651998564,0.03483492950397321
Brokerage & Investment Banking,105,0.6744062276886618,0.6738814024863791,2.0663691295870765,0.6738844084925216,2.066397394179996,-0.3199339378641987,10352.474620592484,0.08312215679158276,0.08625786666666667,0.2957426258483064,-1.4902051878613008e-06,0.008646273929502526,0.002324709829766143
Building Materials,65,0.32315732919021145,0.2176221978226398,0.27815487251427184,0.21699486022242992,0.2771308248168998,4.665000355147042,3.55631738516281,0.09182767841013136,0.07393360655737703,0.2889188084011628,0.06733519306978632,0.32047911953363734,0.05732140750126971
Business & Consumer Services,124,0.3903525755170896,0.1947619486978434,0.24186878449533328,0.194690761657382,0.24175900683577034,3.1590163778825024,6.734348158173221,0.10535689400435128,0.0756236904761905,0.37176218396266136,0.036052748086531354,0.14108550572787426,0.03139748059688165
Cable TV,11,0.237784502182408,0.15265524602822436,0.18015718550528628,0.1525662579766578,0.18003325854407082,-1.4033801243103567,5.887398291406941,0.027782573974933226,0.03513909090909091,0.2857384525460136,0.027851926712820014,0.3695348923335213,0.057600846024384936
Chemical (Basic),284,0.4526283339596369,0.3315749391148434,0.4960540208886812,0.33147131246664713,0.49582212199399456,2.4403954002467074,4.66160555656772,0.0933266400804478,0.07683347985347984,0.27763797662034645,0.0558022523096919,0.49551781464302114,0.08351040151399308
Chemical (Diversified),5,0.31352980852616075,0.18398297246757864,0.22546462421737734,0.18398297246757864,0.22546462421737734,20.108988331837416,1.434636097376626,0.1329740682449717,0.11652500000000002,0.2770739317025301,0.09015803020054639,0.5814760488782097,0.12714955111265844
Chemical (Specialty),244,0.3407776234442523,0.2104460265274965,0.2665378601059315,0.20998750083420675,0.2658027576221151,9.000002910550883,2.0673856623288773,0.09899415257804105,0.08342650862068962,0.2778594693552718,0.08375230352336324,0.37804381544810184,0.0902959473035959
Coal & Related Energy,39,0.23881921380972246,0.20999363988283826,0.2658125940298698,0.20987569453688873,0.2656236405914325,15.368234611214724,0.8287124311651738,0.2076282815910011,0.07638258064516126,0.32755740268961075,0.2560334035691775,0.4452871064238441,0.05431399835764376
Computer Services,150,0.25480020659469826,0.12927160565164025,0.1484637534398832,0.1289513706671584,0.1480415287099706,3.4799846532149767,4.488592673560399,0.07187617771511967,0.08198563636363634,0.359581245402913,0.024023960539269338,0.05940927295059532,0.01609441897508695
Computers/Peripherals,63,0.3663324708790938,0.2056236179474907,0.25884910804649114,0.20628860253966186,0.2599037927384306,3.3826901189631657,3.543754570210405,0.08527985444510773,0.0813624,0.37299988085117214,0.06502632585099731,0.06987495365266855,0.02352167808099602
Construction Supplies,55,0.3911579338269365,0.5181507668606503,1.0753379505966805,0.5183302626396413,1.0761113319682265,1.9481967976629053,4.541329365598032,0.13792174510883476,0.07129211538461538,0.2720081843488048,0.10504160416998985,0.3735652012376632,0.03911564264116296
Diversified,15,0.5444207004773164,0.8482567769269922,5.590080135037544,0.8518343843860404,5.749204232414255,1.5380961956172103,7.44524383290278,0.16996201930888238,0.06438461538461539,0.23716649610730173,0.1595380782057913,0.03739730091832488,0.004522355757804041
Drugs (Biotechnology),126,0.13833950857492255,0.04445990827459551,0.04652856396042464,0.04436280890746066,0.046422229399362906,0.509793746859228,3.354399537503035,0.05275616786924671,0.11569134453781516,0.37289992152097584,0.00804639345258619,0.21774597643068302,0.05419791721117714
Drugs (Pharmaceutical),274,0.21712386033275147,0.10340651492761982,0.11533266374255667,0.10333147971428512,0.11523933022803069,8.825347231600029,2.1450349595111127,0.09995410389051763,0.10187787644787644,0.31072424657232417,0.054649563454426245,0.22616350348451988,0.03480794370583521
Education,52,0.34625812404144934,0.26927564985195673,0.36850510017546567,0.2691986672690247,0.3683609419033762,5.463128425804212,3.743108719169477,0.07684838873793984,0.0873659523809524,0.4288800416157304,0.09683638682561459,0.5039425935521185,0.0485625208731941
Electrical Equipment,334,0.307746095770099,0.1647056013202412,0.19718269580230624,0.16443811990626112,0.1967994517507349,7.161935430005987,3.1823054161430635,0.09249125744930765,0.09366810725552047,0.3159022435173042,0.06487609819234659,0.21817728710049275,0.055863655594137494
Electronics (Consumer & Office),29,0.3235888833011026,0.2238981361379044,0.2884906563987953,0.22389842723779177,0.28849113968538836,1.3055095867019428,7.380639165762251,0.05994166633442939,0.07122136363636364,0.34559256858684334,0.037709313436377484,0.13345940774942966,0.031048981558066183
Electronics (General),442,0.3111733705791448,0.1644147212312556,0.19676593809015494,0.16426553659592488,0.19655230673011387,3.1418898738919876,3.47763543017383,0.06621163827207736,0.09953614457831322,0.32306019905464456,0.04838435338397723,0.3115850432416835,0.0537085811711488
Engineering/Construction,345,0.4770808429202211,0.5725293368434637,1.339341821999626,0.5725110744781902,1.3392418851069898,3.1503296458583945,7.291021852474094,0.09692525961632584,0.08013396694214871,0.3183133236538304,0.11011349462832624,0.07683358139172172,0.02263218681285239
Entertainment,112,0.17949978406783765,0.08785959464963794,0.09632244568300886,0.08764269766278494,0.09606181420181306,1.6870345240598108,3.6861124051477367,0.06698569250299105,0.08387045454545455,0.4216681331660082,0.025518329839134067,0.09736152369063185,0.015993952108226454
Environmental & Waste Services,120,0.48218508374231256,0.43078227081091064,0.7567970017810328,0.4306727781002852,0.7564591355095031,1.7155154714981098,7.475688167754798,0.1004761945544854,0.07453106796116503,0.2807677994428052,0.056136880862976,0.122189713013011,0.03530320596351373
Farming/Agriculture,52,0.5889633928123118,0.39799486188238437,0.6611153903550685,0.39606741891623426,0.6558139622232098,0.48486042569693294,11.95095547268952,0.04638944040317779,0.07123122448979591,0.30219741295541724,0.03480259860383545,0.47853493745880443,0.0683604130522073
Financial Svcs. (Non-bank & Insurance),115,0.675805085164992,0.5748784881607074,1.3522686388498424,0.5748419654741526,1.352066570058445,1.1989075735823387,88.193443989539,0.11456682836500678,0.066907,0.37169911441294223,0.00787348052839536,0.09895257221272313,0.012585043126229127
Food Processing,231,0.3933107591178471,0.2178098827513685,0.2784615631779124,0.21531164900837055,0.2743912901679706,5.581701328192643,3.277818410514654,0.13769876624070523,0.08455167464114834,0.28285751742665766,0.06583731487617026,0.3537601692330153,0.05519004868108098
Food Wholesalers,14,0.1814370506524419,0.27744609684607296,0.38397979117548003,0.27744609684607296,0.38397979117548003,5.417374281791835,3.05903208841218,0.06988925232230545,0.018179999999999998,0.41450978500565505,0.09288797646536395,0.11419112954690493,0.010192046904913848
Furn/Home Furnishings,103,0.30604700578144606,0.17434186388233747,0.21115502440527326,0.17366938426799935,0.21016936921083967,11.104275906767189,2.185948192884438,0.10521334412252216,0.08995011363636365,0.2954489457064705,0.10382432715432792,0.162522387827438,0.03883664696721398
Green & Renewable Energy,41,0.5878864815540796,0.45534153989689635,0.8360129755639898,0.45380615272245706,0.8308518211701128,4.347723826895864,6.592400556595549,0.14879571450299234,0.0930444736842105,0.2931018480289313,0.07151342042491425,0.6673900462067446,0.06133067654006146
