Industry_Name,Number_of_firms,Lease_Debt_My_Estimate_,Conventional_Debt,Total_Debt_with_leases,Interest_expense,Book_interest_rate,Short_term_Debt_as_of_Total_Debt,Lease_Debt_Accounting_
Advertising,75,2.847899393132593,3666.0239999999976,3668.87189939313,150.913,0.04116530606455389,0.7288077557545183,142.225
Aerospace/Defense,67,0,8722.548999999999,8722.548999999999,251.76100000000008,0.028863237111078438,0.6621428959374321,12.903
Air Transport,16,0.104641906262259,124449.63,124449.73464190627,4334.740000000001,0.034831280735828626,0.32575293478299006,319.1
Apparel,212,16.14114811271793,29035.86799999999,29052.00914811271,1158.2769999999996,0.03989124761140256,0.5600432637994192,140.62
Auto & Truck,37,7.394963341910625,55921.51099999999,55928.9059633419,1599.4830000000002,0.028602285084893368,0.4280561113841013,74.8
Auto Parts,210,6.756175640490255,39628.678,39635.43417564049,1308.8119999999997,0.03302689027375578,0.4870566395647191,311.98199999999997
Bank (Money Center),27,0,4495581.200000002,4495581.200000002,2547.3,0.0005666230653335767,0.14509691564874716,0
Banks (Regional),37,7.8839573779841885,953739.0999999999,953746.9839573778,0,0,0.30031233831637594,0
Beverage (Alcoholic),45,1.658319055110951,5843.822000000001,5845.480319055112,203.825,0.034878714649419496,0.3254741358295549,21.256999999999998
Beverage (Soft),5,1.4279242729253383,1289.7999999999997,1291.227924272925,27.035999999999998,0.020961389362691894,0.9800358331200408,0
Broadcasting,7,3.168323661526074,1469.6,1472.768323661526,51.144999999999996,0.03480198693522047,0.45545400999410995,0
Brokerage & Investment Banking,105,12.08852813753765,808247.0150000002,808259.1035281378,96.273,0.00011911333814205298,0.4998626320968654,1.033
Building Materials,65,0.738710862435255,13855.506000000001,13856.244710862436,520.9110000000001,0.03759595643782335,0.4037199884232797,52.004000000000005
Business & Consumer Services,124,41.00040699996498,12762.046000000002,12803.046406999967,421.42200000000014,0.03302150767988143,0.4399304659246463,46.87600000000001
Cable TV,11,0.09457290738737356,4366,4366.094572907387,143.19,0.03279661016949152,0.3547385745327609,3.13
Chemical (Basic),284,33.24551697319839,167742.04999999993,167775.29551697313,4503.285000000001,0.026846488402878125,0.42971468304163596,111.495
Chemical (Diversified),5,0,4555.400000000001,4555.400000000001,77.99,0.0171203406945603,0.07813054127598082,0
Chemical (Specialty),244,13.025783501463593,84288.656,84301.68178350147,2405.0429999999988,0.028533412610114446,0.48070996166730945,245.64299999999997
Coal & Related Energy,39,0,57214.52999999999,57214.52999999999,2735.725999999999,0.047815231550447056,0.17279177666227882,40.595000000000006
Computer Services,150,8.531070120039658,15031.751000000004,15040.282070120043,573.4100000000001,0.038146587180695045,0.7199001303195893,51.382
Computers/Peripherals,63,213.15059941710933,41982.856,42196.00659941711,2262.4649999999997,0.05389021175691334,0.23556668820183005,41.907000000000004
Construction Supplies,55,80.65533713949844,87100.289,87180.9443371395,3151.948,0.036187572236413584,0.3745424088426475,17.990000000000002
Diversified,15,11033.374981361616,385423.69999999995,396457.07498136157,32176.309999999998,0.08348295654885779,0.22879189140565823,60.3
Drugs (Biotechnology),126,8.430210341568454,9971.850999999999,9980.281210341567,366.1519999999998,0.03671855907193157,0.3351483061803819,31.161
Drugs (Pharmaceutical),274,10.474571591337735,53546.60599999997,53557.08057159131,2110.4790000000007,0.03941387060087435,0.5018520331722307,53.707
Education,52,4.20400508975581,8016.723999999999,8020.928005089755,322.552,0.04023488896461947,0.15967824055724417,7.378
Electrical Equipment,334,23.27562676848902,106090.56799999993,106113.84362676842,3473.4399999999987,0.03274032805630752,0.3492362228570523,229.70300000000003
Electronics (Consumer & Office),29,0.014137925840259413,8439.422,8439.43613792584,379.48399999999987,0.0449656386420776,0.5881648460920962,0
Electronics (General),442,92.47628338306095,131783.149,131875.62528338307,4289.1010000000015,0.03254665738788805,0.32686696147259,235.82699999999994
Engineering/Construction,345,28.523387897759676,602791.2750000003,602819.798387898,20081.854,0.03331477218212887,0.2459813050619871,73.52799999999999
Entertainment,112,4.458467542051949,10505.975,10510.433467542052,627.8519999999997,0.059761421476826254,0.5085164122579188,33.031
Environmental & Waste Services,120,2.197123842073779,48186.029,48188.226123842076,2060.3369999999995,0.042757974515808296,0.18592017209464254,23.810000000000006
Farming/Agriculture,52,1.1761660449155897,29926.048,29927.224166044914,1119.1530000000007,0.03739728680512712,0.48737964591139954,243.152
Financial Svcs. (Non-bank & Insurance),115,1.1906316430540755,187606.902,187608.09263164306,1265.6230000000003,0.006746143060344338,0.2534371482175334,29.134999999999998
Food Processing,231,42.33130002053804,101750.79799999995,101793.12930002049,3060.55,0.030078879577927257,0.5345451608705694,1552.3439999999998
Food Wholesalers,14,0,855.027,855.027,39.33399999999999,0.046003225629132165,0.07082531800967867,0
Furn/Home Furnishings,103,61.24608500942122,40594.29499999999,40655.54108500941,1400.9660000000003,0.034511401171026634,0.5009312663688141,251.947
Green & Renewable Energy,41,2.02613582831691,151075.16700000002,151077.19313582833,3299.771000000001,0.021841915289757718,0.12017556723026741,940.4
Healthcare Products,140,47.155865664039084,8992.462,9039.617865664039,347.3189999999999,0.038623349200697196,0.4854652150270028,5.987
Healthcare Support Services,75,3.289867415529443,39400.013999999996,39403.303867415525,1768.336,0.0448816084177026,0.7976503220400213,110.006
Heathcare Information and Technology,45,1.5873419247072889,6385.9169999999995,6387.504341924707,215.51000000000005,0.03374769825539544,0.48730004213038913,2.177
Homebuilding,4,0,184.031,184.031,6.223,0.03381495508908825,0.9947835273919837,0
Hospitals/Healthcare Facilities,25,0.08976031081556357,3609.1569999999992,3609.246760310815,150.91199999999995,0.04181364235471053,0.2611249006343181,7.42
Hotel/Gaming,80,23.623743441916304,55790.36600000002,55813.98974344194,3062.628,0.05489528425033094,0.044744573174965975,1229.2050000000002
Household Products,34,1.654175052323808,2263.2769999999996,2264.9311750523234,71.167,0.031444228876977946,0.43314718352794446,0.193
Information Services,3,0,1.9969999999999999,1.9969999999999999,0.012,0.006009013520280421,1,0
Insurance (General),6,2.237831424765318,16988.229,16990.466831424765,1088.74,0.0640879046309065,0.858206797987681,2.373
Insurance (Life),8,0,358906.7,358906.7,10525.6,0.029326841766955034,0.21550778333250364,0
Insurance (Prop/Cas.),3,0,23951.8,23951.8,1389.58,0.05801568149366645,0.7298546416016334,0
Investments & Asset Management,42,0.10096082254312932,246678.225,246678.32596082255,91.03700000000003,0.0003690516258579371,0.26128845627022107,0.01
Machinery,421,29.667228453188727,57475.502000000044,57505.16922845323,1963.241,0.034157874775934946,0.4269263509736344,461.83599999999996
Metals & Mining,129,1.0094305383390747,108781.708,108782.71743053834,4178.981000000002,0.03841621056363632,0.4681700691522024,20.589
Office Equipment & Services,10,0,1333.35,1333.35,65.548,0.049160385495181314,0.644268486916951,134.99699999999999
Oil/Gas (Integrated),4,0,128798.29999999999,128798.29999999999,5955.4,0.04623818792639344,0.4218425630807717,8.62
Oil/Gas (Production and Exploration),15,0,22772.601,22772.601,670.4680000000002,0.02944187183536919,0.10294231755325067,14.350000000000001
Oil/Gas Distribution,21,0,22087.090000000004,22087.090000000004,718.196,0.0325165515239898,0.19546025079990692,38.9
Oilfield Svcs/Equip.,56,11.816726339920933,11214.989000000001,11226.805726339922,486.67400000000004,0.04339496008422299,0.6745673123748003,2.327
Packaging & Container,22,0.5927470105702923,3735.734999999999,3736.3277470105695,143.43699999999998,0.038395924764470714,0.4743844433597076,49.28
Paper/Forest Products,47,1.135756229308754,29397.756000000005,29398.891756229314,856.5420000000001,0.029136305505767176,0.489236493028341,6.951999999999999
Power,101,8.49583103437908,449295.412,449303.9078310344,13663.694,0.030411381098189357,0.16498776462709475,98.92999999999998
Precious Metals,19,0.050494319781137165,33313.16799999999,33313.21849431977,1131.5880000000002,0.03396818939585693,0.358850265231255,1.44
Publishing & Newspapers,41,0,2305.354,2305.354,81.55300000000001,0.03537547812613595,0.4605548144641909,30.123
R.E.I.T.,9,0,9830.8,9830.8,356.20000000000005,0.036233063433291295,0,0
Real Estate (Development),206,111.86747962119989,1107284.234,1107396.1014796211,22338.331000000002,0.020173980911210195,0.09634844006778381,1901.696
Real Estate (General/Diversified),56,0.9035381843859795,172348.85,172349.7535381844,5781.893,0.03354761578043602,0.09016541542768189,155.742
Real Estate (Operations & Services),125,97.34022079627175,56763.996000000014,56861.336220796285,2140.1000000000004,0.03770171500963392,0.0445870475407358,29
Recreation,62,8.422062884136267,4084.566999999999,4092.9890628841354,199.07600000000002,0.048738581102966375,0.3612754713254775,18.693
Reinsurance,1,0,9222.6,9222.6,415.6,0.04506321427796934,0.6754810335349093,0
Restaurant/Dining,48,2409.532769700905,12896.243999999999,15305.776769700904,383.75000000000006,0.02975672606690755,0.1357809652031145,1920.2
Retail (Automotive),28,2.0503632930231106,20948.708000000002,20950.758363293025,952.329,0.04546003505323573,0.6243574696268793,3.135
Retail (Building Supply),7,0,232.42,232.42,10.273000000000001,0.04420015489200586,0.18312660056940927,0
Retail (Distributors),136,1.178200676687993,121216.42000000004,121217.59820067673,4469.4940000000015,0.03687201783388752,0.32919686756442157,83.081
Retail (General),58,1349.37736966406,28300.585000000003,29649.962369664063,1269.087,0.04484313663480807,0.5080949635540289,2397.95
Retail (Grocery and Food),29,19.92826474899448,12471.72,12491.648264748994,487.16400000000004,0.039061492721132296,0.665890439053956,3047.3039999999996
Retail (REITs),2,0,9259.4,9259.4,322.3,0.03480787092036201,0,0
Retail (Special Lines),71,73.15236313675268,29629.806999999997,29702.95936313675,1462.1670000000004,0.04934784084148778,0.6960724483359713,403.79999999999995
Rubber& Tires,15,0,7666.528000000001,7666.528000000001,186.55100000000002,0.024333179243589794,0.5629160169676242,16.371
Semiconductor,173,1.356170164544892,56970.17499999998,56971.531170164526,1613.5379999999996,0.028322503836437224,0.2790833473790041,787.337
Semiconductor Equip,59,0.13792612460019882,18543.212999999996,18543.350926124596,517.272,0.02789548930921519,0.19000492366563573,5.5409999999999995
Shipbuilding & Marine,56,633.2483704638144,56842.73900000001,57475.98737046382,2134.483,0.03755067115960052,0.15605480696375704,146.26200000000003
Shoe,21,0.299796116417383,2582.1569999999997,2582.456796116417,147.21500000000003,0.05701241249079744,0.5771599128774638,0
Software (Entertainment),33,4.413388614557334,52991.093,52995.50638861456,1695.05,0.031987451174105806,0.0863037123684602,3.6800000000000006
Software (Internet),19,0.03280615910807683,5776.21,5776.242806159108,147.19400000000002,0.02548279927495711,0.3263751586921684,4.073
Software (System & Application),189,6.8438196330062055,11330.665000000003,11337.508819633009,453.11199999999985,0.039989885854007666,0.6160031606960715,78.58300000000001
Steel,111,0.09521855573984794,94962.84900000003,94962.94421855577,3578.8070000000007,0.03768639039041467,0.46621820972352107,75.691
Telecom (Wireless),8,0,21250.228999999996,21250.228999999996,679.1179999999999,0.03195814972158653,0.372771031615797,0
Telecom. Equipment,125,4.45082283895681,20495.238000000005,20499.68882283896,864.143,0.042163111255404784,0.48636567416539733,114.92699999999999
Telecom. Services,16,94.51655056371237,38489.1,38583.61655056371,1409.0529999999999,0.036609143887490224,0.08207373139439847,2.146
Transportation,141,78.09641805467254,101726.72800000003,101804.8244180547,3598.5030000000006,0.03537421354985486,0.30271617724994543,605.5590000000002
Transportation (Railroads),10,3.70333137986745,22997.399999999998,23001.103331379865,806.0600000000001,0.03505004913598929,0.03369598499636391,0
Trucking,7,0.28175472839166105,1671.8999999999999,1672.1817547283915,60.769999999999996,0.03634786769543633,0.6540205387467636,0
Utility (General),4,0,1384.6,1384.6,45.728,0.033026144734941504,0.37852070533790794,0
Utility (Water),38,0.002830043769790791,51112.68,51112.68283004377,1825.049,0.035706384404026556,0.1250207832576118,0
Total Market,7504,16799.90470817685,12688068.212000042,12704868.116708219,213583.85800000024,0.016833441815673582,0.2350116696786379,19426.850999999988
Total Market (without financials),7161,16776.402798769996,5596369.041000039,5613145.443798809,196579.70500000028,0.035126294131037614,0.2644835593663678,19394.29999999999
