Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Aerospace/Defense,67,961.08,1926.9059999999997,0.49876849208004964,963.293,0.49991696533198826,-3092.8210000000004,499.69100000000066,2035.6270000000004,-6.1894670906620215,-1.5193456365041336,-1.6050710309688179,0.12744596194633712
Apparel,212,3714.4820000000004,4592.311,0.8088480941295136,3844.6550000000007,0.8371939531098832,1121.252,410.5640000000021,182.40600000001723,2.7310041796163183,6.147012707914729,0.24415855110858128,0.14493151318599237
Bank (Money Center),27,79020.3132,274749.8,0.2876082646829953,59585.89800000001,0.21687330800604773,32756.239000000005,239735.61000000002,383481.51000000024,0.13663484953278324,0.08541804010315904,0.11922206676765554,0.25199687622602646
Banks (Regional),37,6174.546599999999,28642.8,0.2155706355523901,4321.704,0.15088273492814946,483.92199999999957,26151.98,6084.6900000000605,0.018504220330544746,0.07953108539629707,0.016895066124820186,0.10883544770284478
Beverage (Alcoholic),45,10408.643600000001,23398.888,0.44483496822584057,10444.481,0.44636655382939566,9675.072,16314.923999999995,18290.676999999996,0.5930197406987616,0.5289619405558363,0.4134842647223236,0.07267862077355423
Beverage (Soft),5,841.619,1685.8900000000003,0.49921347181607334,841.619,0.49921347181607334,771.619,1362.6280000000004,1696.9080000000004,0.5662726730993344,0.4547205859127306,0.45769237613367414,0.05754013483391472
Brokerage & Investment Banking,105,17907.622300000003,18392.709,0.973626141749973,19805.159000000003,1.076794016585594,11245.920000000004,60138.73400000001,59433.473,0.18699961326089773,0.18921862432639608,0.6114335849058453,0.10873980993933212
Coal & Related Energy,39,21371.880000000005,25128.982,0.850487297893723,21102.025,0.8397485023468122,19284.427,20042.286,13943.440999999999,0.962186998030065,1.3830464804204357,0.767417756915103,0.2242654464589553
Diversified,15,4977.83,13329.380000000001,0.3734479773252769,5354.108,0.40167719728899615,5041.617,5045.969999999999,3304.6900000000605,0.9991373313753353,1.5255945338291663,0.3782334212093886,0.09109839285429723
Drugs (Pharmaceutical),274,7360.334199999999,15254.388999999997,0.482505998765339,8747.37,0.5734329968902722,5599.047999999998,8024.562000000008,8249.99499999998,0.6977387675489319,0.678672896165393,0.3670450517552685,0.1127117506376208
Electronics (Consumer & Office),29,714.4584000000001,819.85,0.8714501433188999,761.5380000000001,0.9288747941696653,551.2670000000002,1126.0920000000003,1080.6589999999997,0.4895399310180696,0.5101211390457122,0.6723998292370558,0.20987850075056963
Furn/Home Furnishings,103,8056.9333,14975.833000000002,0.5379956694228627,9049.282,0.6042590084972234,6945.414999999999,11236.449000000002,11866.235000000008,0.618114762056945,0.5853090723384455,0.4637748698185936,0.21323637751986643
Healthcare Products,140,2797.8711000000008,5262.414000000002,0.5316706553304243,3389.926000000001,0.6441769879754804,903.6990000000005,1243.2410000000036,2691.3480000000045,0.7268896376486923,0.33577931950829065,0.1717270819057566,0.09908809155812713
Homebuilding,4,22.19,7.909999999999997,2.805309734513276,22.19,2.805309734513276,6.190000000000001,9.665999999999995,17.93300000000002,0.6403889923443,0.34517370211342185,0.7825537294563848,0.24286802530107077
Household Products,34,409.64,498.111,0.822386978002895,462.12,0.9277450206881599,72.30799999999999,40.86799999999994,484.34100000000035,1.7693060585299036,0.1492915115590048,0.1451644312211535,0.1595456445657453
Insurance (Prop/Cas.),3,2311.5499999999997,6706,0.3446987772144348,2311.5499999999997,0.3446987772144348,2311.5499999999997,1087.0119999999997,4176.011999999999,2.126517462548712,0.5535304975177275,0.3446987772144348,0.052539160524282036
Office Equipment & Services,10,143.689,227.36500000000007,0.6319750181426339,166.519,0.7323862511820199,98.474,63.8070000000001,37.090000000000146,1.5433102951086848,2.6550013480722465,0.43310975743847985,0.14303330191643107
Oil/Gas (Integrated),4,17289.5,31697.359999999997,0.5454555205859416,17972,0.566987282221611,17972,8067.080000000002,6048.580000000016,2.227819731550945,2.971275902773866,0.566987282221611,0.1280352536489508
Oil/Gas (Production and Exploration),15,8865.4,18678.828999999994,0.47462290061116796,8990.207,0.4813046363880735,8971.107,9300.488999999998,6030.410999999996,0.9645844428180069,1.4876443744879089,0.4802820883471872,0.18726530609311914
Publishing & Newspapers,41,1178.1009999999997,2267.770000000001,0.5194975680955296,1248.9809999999998,0.5507529423177833,1160.1159999999998,2186.254000000001,1895.030000000001,0.5306409959684462,0.6121887252444548,0.5115668696560935,0.2266899896270617
Real Estate (General/Diversified),56,6401.513999999998,5309.226000000001,1.205733943139734,7589.939999999999,1.429575610456213,7156.597999999999,291.9700000000007,504.3790000000081,24.511415556392716,14.188929356693844,1.3479550503218356,0.11230530839473817
Reinsurance,1,263.6,471.1,0.5595414986202505,263.6,0.5595414986202505,263.6,547.8000000000001,699.6000000000001,0.48119751734209565,0.3767867352773013,0.5595414986202505,0.1260601190069079
Restaurant/Dining,48,476.1608,2614.911,0.18209445751690975,792.733,0.30315869259030226,669.4029999999999,3514.992000000001,687.0390000000007,0.19044225420712185,0.974330423745958,0.2559945634860995,0.062456834235382085
Retail (Building Supply),7,124.57639999999999,104.914,1.1874144537430658,112.35,1.0708770993385057,112.35,142.234,122.65400000000002,0.7898955242768957,0.915991325191188,1.0708770993385057,0.05573212894838592
Shipbuilding & Marine,56,16717.1592,18557.178000000004,0.9008459799221624,16749.652,0.9025969358056486,16094.970999999998,19079.726000000006,11729.658000000018,0.8435640532783328,1.3721602965747146,0.8673178109300883,0.3160647515748659
Shoe,21,553.1378,513.239,1.0777392209087773,396.41299999999995,0.7723750533377236,288.679,406.9200000000001,230.87300000000027,0.7094244568957041,1.2503800790911004,0.5624650503956246,0.11689723935619069
Software (Entertainment),33,1947.1405999999997,26992.215,0.07213711805422414,8088.303999999999,0.29965321482508933,7469.587999999999,25407.481,24797.539,0.2939916790649179,0.3012229560360808,0.27673119823623216,0.05335370783743218
Steel,111,7041.380000000002,5183.304999999999,1.3584730205920745,7963.929000000002,1.536457723402347,6158.052000000002,423.8999999999943,3240.846999999965,14.527133757961984,1.900136600092528,1.1880551115552729,0.1666835621283181
Telecom (Wireless),8,14213.16,19285.28,0.7369952627081381,14321.985999999999,0.7426382194087926,13860.876999999999,9217.517999999996,2496.7279999999955,1.503753721988935,5.551616756010276,0.7187283254378468,0.18089619561148368
Telecom. Services,16,5040.634299999999,7971.102000000001,0.6323635427071437,3731.334,0.4681076719379578,3711.417,28166.024000000005,26077.749000000007,0.13176929054665293,0.14232121798549402,0.4656090211867819,0.08328326854623888
Tobacco,2,0.635,245.3,0.002588666938442723,9.235,0.037647778230737866,9.235,285.28,285.219,0.032371704991587216,0.03237862835224862,0.037647778230737866,0.022811117255189788
Transportation,141,6771.350399999998,9654.539999999995,0.7013643736521886,8857.96,0.917491667132769,6436.275,6157.304999999998,4438.394999999968,1.0453071595446388,1.4501356909423444,0.6666578625185666,0.1363605443276023
Transportation (Railroads),10,2704.6200000000003,3946.7000000000003,0.6852864418374846,2729.2200000000003,0.691519497301543,2728.8840000000005,2203.949000000001,2987.5490000000027,1.2381792863627967,0.9134189932951721,0.6914343628854487,0.140932170710866
Utility (General),4,89.39999999999999,142.57,0.6270603913866872,89.39999999999999,0.6270603913866872,89.39999999999999,97.29000000000002,340.03,0.9189022510021582,0.262917977825486,0.6270603913866872,0.12932182960096428
Total Market,7504,504086.7439999993,798823.6939999987,0.6310362947246281,546579.9069999994,0.6842309649868752,297353.3259999999,332582.1279999978,531681.1990000112,0.8940748794535401,0.5592699658352854,0.3722389911984763,0.1603796454322562
