Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Advertising,75,1718.249,0.006169070955373755,3.86942471478951,0.040499342511382624,42426.589999999975,0.027095029504707758,0.06984265306122449,0.4519306194129396
Aerospace/Defense,67,961.08,0,0.49876849208004964,0.007459339891728273,128842.5,0.05209628143638104,0.11263955223880597,0.26765826007493715
Air Transport,16,3078.9800000000005,0,0.011375048430652174,0.03570987020729025,86222.09999999999,-0.1260657546219562,0.13119999999999998,0.22922473798380963
Apparel,212,3714.4820000000004,0.009296047201197906,0.8088480941295136,0.025655200174383,144784.75999999998,0.06121570529726598,0.07340282051282054,0.32623783588446403
Auto & Truck,37,4444.1179999999995,0,0.5599770672546857,0.018229306195194837,243789.74999999997,0.05526986738017522,0.08956142857142856,0.3386790627312019
Auto Parts,210,3455.0045999999998,0,0.5274876582556286,0.015450196021809219,223622.0560000001,0.07613911405465326,0.09214185000000003,0.3304561936767735
Bank (Money Center),27,79020.3132,0.0020893361885586654,0.2876082646829953,0.065122484672542,1213410.6,0.10301435790607183,0.1093740740740741,0.16197408037684946
Banks (Regional),37,6174.546599999999,0,0.2155706355523901,0.046960440814091446,131483.99999999997,0.10093941302280114,0.08953513513513514,0.16899427598889075
Beverage (Alcoholic),45,10408.643600000001,0.3624007262579343,0.44483496822584057,0.016805882663990725,619345.25,0.24300275115034556,0.12630146341463416,0.290074507434938
Beverage (Soft),5,841.619,0,0.49921347181607334,0.011003324717568971,76487.69999999998,0.3408661719808327,0.06614,0.20773896972974443
Broadcasting,7,104.19999999999999,0,0.0038747523439571926,0.02126226865549819,4900.7,-0.017599953334147555,0.06621666666666667,0.3553530195197216
Brokerage & Investment Banking,105,17907.622300000003,0.0020438224230360275,0.973626141749973,0.04578267525246794,391144.0780000003,0.05103495379436442,0.08625786666666667,0.2957426258483064
Building Materials,65,1518.4199999999998,0,0.7339872617376472,0.030369049897667807,49998.93,0.07718212750716336,0.07393360655737703,0.2889188084011628
Business & Consumer Services,124,919.7116,0,1.0261156928899122,0.017366848164337662,52957.88800000003,0.04210575765362564,0.0756236904761905,0.37176218396266136
Cable TV,11,326.48999999999995,0,0.005833031221954285,0.013462616899503536,24251.6,-0.014079360206075947,0.03513909090909091,0.2857384525460136
Chemical (Basic),284,10305.000999999997,0,1.2834082787236216,0.030454110941818203,338377.9949999997,0.045790084808412276,0.07683347985347984,0.27763797662034645
Chemical (Diversified),5,688.3,0,0.5281614487415592,0.034066668316464155,20204.5,0.13637505232314776,0.11652500000000002,0.2770739317025301
