Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Advertising,75,1718.249,25.251999999999995,324.755,299.503,0.01827473578169628,4132.096999999999,3758.371,-373.72599999999875,-0.10194314057954858,-6.205000000000155
Aerospace/Defense,67,961.08,10.312999999999999,4056.1140000000005,4045.8010000000004,0.10938322239465334,8846.666000000001,10382.602,1535.9359999999997,0.17608797611799026,363.04699999999997
Air Transport,16,3078.9800000000005,14.059,7452.200000000001,7438.1410000000005,0.19820560443835705,53266.869999999995,41410.3,-11856.569999999992,-0.09527203897673293,-236.2440000000006
Apparel,212,3714.4820000000004,154.058,2723.4030000000007,2569.3450000000007,0.034249480561530765,25165.954999999994,24937.79700000001,-228.1579999999849,-0.007857798499427844,-768.0969999999961
Auto & Truck,37,4444.1179999999995,981.672,2737.26,1755.5880000000002,0.012226317963046407,35676.935000000005,32872.91099999999,-2804.024000000012,-0.05014213582318998,374.28199999999924
Auto Parts,210,3455.0045999999998,417.1470000000001,5901.763000000001,5484.616000000001,0.06375550913483377,28530.05600000001,35013.94599999999,6483.889999999978,0.1636161064974203,1501.7840000000006
Bank (Money Center),27,79020.3132,163.25,26829.659000000003,26666.409000000003,0.009998271157233583,1951286.8999999994,2095032.7999999998,143745.90000000037,0.03197493129475679,-55.39999999999999
Banks (Regional),37,6174.546599999999,715.3,3837.782,3122.482,0.011003864854492654,735682.2899999999,715615,-20067.28999999992,-0.021040649376752953,0
Beverage (Alcoholic),45,10408.643600000001,36.211,769.409,733.198,0.0076144272812422135,2445.0449999999996,4420.798,1975.7530000000002,0.3380926044633118,556.4430000000004
Beverage (Soft),5,841.619,0,70,70,0.014153136941709296,1797.42,2131.7,334.27999999999975,0.2591719646456814,-36.62000000000006
Broadcasting,7,104.19999999999999,0,9.203,9.203,0.0016776009376919723,382.21299999999997,407.78000000000003,25.567000000000064,0.01739725095264022,-38.96700000000001
Brokerage & Investment Banking,105,17907.622300000003,2313.490000000001,8559.239,6245.748999999998,0.017330318857662442,301688.568,300983.30700000003,-705.2609999999986,-0.0008725810141098986,11.207
Building Materials,65,1518.4199999999998,76.338,1028.561,952.223,0.035526466989016244,8577.231999999998,9474.958,897.7260000000024,0.06479200398744026,362.8449999999998
Business & Consumer Services,124,919.7116,101.79400000000001,763.6839999999999,661.8899999999999,0.031093669037913774,7936.737999999999,8124.150000000002,187.412000000003,0.014685106134236075,345.9329999999999
Cable TV,11,326.48999999999995,13.8,0.206,-13.594000000000001,-0.0010179492747654317,2008.95,2519.3,510.35000000000014,0.11689189189189192,64.21400000000003
Chemical (Basic),284,10305.000999999997,1800.9590000000005,7928.274000000001,6127.3150000000005,0.0349428604394022,96583.24299999997,119886.98700000002,23303.74400000005,0.13892607131008627,2619.335
Chemical (Diversified),5,688.3,38.6,23.972,-14.628,-0.0015307660108832147,2476.6,3536.7000000000003,1060.1000000000004,0.23271282434034338,47.581
Chemical (Specialty),244,8206.964500000002,965.8990000000002,5284.980999999999,4319.0819999999985,0.030550535809018533,58814.11399999999,74999.32000000004,16185.20600000005,0.1920211659324601,1579.6549999999988
Coal & Related Energy,39,21371.880000000005,18.745,1817.5980000000002,1798.8530000000003,0.012077205362771095,34319.349,28220.504,-6098.845000000001,-0.10659608669336272,715.3310000000004
Computer Services,150,1042.8327000000006,344.75100000000003,1958.5419999999995,1613.7909999999995,0.04167862650365302,29025.794999999984,30697.04500000001,1671.2500000000255,0.11118132544904616,-90.34899999999993
Computers/Peripherals,63,2138.062,735.7220000000001,1825.455,1089.7329999999997,0.018585243446354635,43592.267,40833.543999999994,-2758.7230000000054,-0.06571070343570731,131.0970000000002
Construction Supplies,55,5140.9219,2091.656,1450.7659999999998,-640.8900000000001,-0.005471841646239791,61874.77600000001,64933.659999999996,3058.8839999999836,0.03511910276210431,811.5309999999995
Diversified,15,4977.83,376.27799999999996,312.491,-63.78699999999998,-0.0003075811048848336,225209.81999999998,223468.54000000004,-1741.2799999999406,-0.00451783323132423,134.01200000000063
Drugs (Biotechnology),126,1849.6379999999992,514.555,3290.0019999999995,2775.4469999999997,0.04819015470663327,5578.262,6621.119999999999,1042.8579999999993,0.10458018275644104,163.00400000000008
Drugs (Pharmaceutical),274,7360.334199999999,1765.886,3148.322000000003,1382.4360000000029,0.008406782827331054,45591.48100000001,45816.91399999998,225.43299999997544,0.004210033405291374,1037.1830000000007
Education,52,470.96659999999997,30.363999999999997,262.83899999999994,232.47499999999994,0.018838469292829098,2459.852,2204.433,-255.41899999999987,-0.03186077006018916,-297.8389999999996
Electrical Equipment,334,8224.720400000004,772.591,14555.680999999995,13783.089999999995,0.07195017716369113,56396.941999999966,75446.51000000004,19049.568000000072,0.1795594873240766,2088.063
Electronics (Consumer & Office),29,714.4584000000001,56.548,210.27099999999996,153.72299999999996,0.009364674204395925,8672.045,8626.612,-45.4330000000009,-0.0053834255473894895,-8.51600000000002
Electronics (General),442,12480.199500000008,2321.286,11206.902999999998,8885.616999999998,0.03599409162669479,112868.24299999996,115123.33899999999,2255.096000000034,0.01711217266480735,1886.9709999999986
Engineering/Construction,345,33018.75449999998,10472.712000000001,22302.984000000008,11830.272000000006,0.02450424830306806,316951.711,375880.0860000001,58928.37500000012,0.09775917045249219,-7526.169000000016
Entertainment,112,1333.3436999999997,400.53299999999996,711.639,311.10600000000005,0.00639703120967234,4332.2620000000015,4095.598,-236.66400000000158,-0.022526609857723968,106.8149999999996
Environmental & Waste Services,120,2124.488,476.951,1526.9929999999997,1050.0419999999997,0.023280055178175083,21873.780000000002,23358.911,1485.1309999999976,0.03082078002318883,279.6469999999999
Farming/Agriculture,52,1097.853,131.63299999999998,727.014,595.3810000000001,0.0291487642957857,17383.891000000003,18133.848000000005,749.9570000000022,0.025060342080584854,771.1020000000001
Financial Svcs. (Non-bank & Insurance),115,4136.081700000001,1416.6979999999999,1849.4089999999997,432.7109999999998,0.00534928840325513,91254.51200000002,90229.01299999996,-1025.4990000000544,-0.005466211472326611,49.16499999999991
Food Processing,231,9315.125600000007,931.4009999999998,4205.307,3273.906,0.023650028247208535,123660.87700000002,132309.99000000002,8649.112999999998,0.08500290091090983,-253546.99499999997
Food Wholesalers,14,13.818999999999999,0,135.2,135.2,0.04308751354452164,875.1700000000002,929.62,54.44999999999982,0.06368219950948896,-31.236999999999988
Furn/Home Furnishings,103,8056.9333,995.0979999999997,2103.8669999999997,1108.769,0.01352373366964723,27737.90499999999,28367.690999999995,629.7860000000037,0.015514150448973281,883.5709999999995
Green & Renewable Energy,41,6956.308199999998,327.511,3752.6040000000003,3425.0930000000003,0.04109517035075364,69117.89500000002,81286.54999999999,12168.65499999997,0.0805470233238264,204.23700000000002
