Industry_Name,Number_of_Firms,ROE,Retention_Ratio,Fundamental_Growth_
Advertising,75,0.027095029504707758,-2.86942471478951,-0.07774714730875941
Aerospace/Defense,67,0.05209628143638104,0.5012315079199503,0.02611229770137938
Air Transport,16,-0.1260657546219562,0.9886249515693478,-0.12463175055768475
Apparel,212,0.06121570529726598,0.19115190587048636,0.011701498736778419
Auto & Truck,37,0.05526986738017522,0.44002293274531434,0.024320009137069283
Auto Parts,210,0.07613911405465326,0.4725123417443714,0.03597667108030599
Bank (Money Center),27,0.10301435790607183,0.7123917353170047,0.07338657719127352
Banks (Regional),37,0.10093941302280114,0.7844293644476099,0.0791798396051907
Beverage (Alcoholic),45,0.24300275115034556,0.5551650317741594,0.13490663006358974
Beverage (Soft),5,0.3408661719808327,0.5007865281839267,0.17070118684162647
Broadcasting,7,-0.017599953334147555,0.9961252476560428,-0.01753175787371253
Brokerage & Investment Banking,105,0.05103495379436442,0.026373858250027027,0.0013459886371692462
Building Materials,65,0.07718212750716336,0.26601273826235283,0.020531429083094587
Business & Consumer Services,124,0.04210575765362564,-0.026115692889912223,-0.0010996210357791583
Cable TV,11,-0.014079360206075947,0.9941669687780457,-0.013997234858408765
Chemical (Basic),284,0.045790084808412276,-0.2834082787236216,-0.01297728911816078
Chemical (Diversified),5,0.13637505232314776,0.47183855125844076,0.0643470071159481
Chemical (Specialty),244,0.11131243854995573,0.47848567777074824,0.05326140760389033
Coal & Related Energy,39,0.1687118826115187,0.14951270210627698,0.025224569446685167
Computer Services,150,0.03481605181009129,0.22642712968808,0.007883298678430453
Computers/Peripherals,63,0.07963671238653872,0.5421163633186306,0.04317236490564211
Construction Supplies,55,0.032099430438052995,-0.3673941104608436,-0.011793141692088206
Diversified,15,0.06427431024863695,0.6265520226747231,0.04027119909230616
Drugs (Biotechnology),126,0.0026729161054068963,0.9946512687577718,0.0026586193955260512
Drugs (Pharmaceutical),274,0.09276403065793096,0.5174940012346609,0.048004829395827446
Education,52,0.08984363604539224,0.5752120933336942,0.05167914596238061
Electrical Equipment,334,0.10850438702417342,0.6043063136,0.06556988613200591
Electronics (Consumer & Office),29,0.04994456357522298,0.12854985668110008,0.006420366489595005
Electronics (General),442,0.059688379649604294,0.15301568762251871,0.009133258455158154
Engineering/Construction,345,0.07953174265960843,0.14006258872020116,0.011139421762333613
Entertainment,112,-0.022431412234917975,0.9957168105343512,-0.02233533424633375
Environmental & Waste Services,120,0.01577482125512612,-1.9858443894760511,-0.03132634028447976
Farming/Agriculture,52,-0.08102856219645937,0.9949007543718579,-0.08061537765492444
Financial Svcs. (Non-bank & Insurance),115,0.023969691680145646,-1.1331664208278762,-0.027161649729538363
Food Processing,231,0.08807423704183608,0.2359790220630532,0.020783672326082015
Food Wholesalers,14,0.057574096500732995,0.9235065538924807,0.05317005545286506
Furn/Home Furnishings,103,0.18266129101112505,0.4620043305771373,0.0843903074759505
Green & Renewable Energy,41,0.10380868096003867,0.19598609566023972,0.020345058076997446
Healthcare Products,140,0.09044823526378663,0.46832934466957565,0.0423595627476088
Healthcare Support Services,75,0.06393985617903533,0.18618183366273555,0.01190443966754439
Heathcare Information and Technology,45,0.09037708041908134,0.7195567497349619,0.06503143823688944
Homebuilding,4,0.013605091159270721,-1.8053097345132758,-0.02456140350877194
Hospitals/Healthcare Facilities,25,0.07775945574724191,0.5940799758200546,0.046195335590102075
Hotel/Gaming,80,-0.03701749094049444,0.9960292966459051,-0.03687050546505684
Household Products,34,0.0466162113396273,0.17761302199710505,0.008279646170086922
Information Services,3,0.07188881869867339,-0.13532513181019357,-0.009728363866077084
Insurance (General),6,0.06805057804674638,0.1087543255522746,0.007400794718916327
Insurance (Life),8,0.06322453762948396,0.18083971487009676,0.011433507357709583
Insurance (Prop/Cas.),3,0.10311878188824546,0.6553012227855652,0.06757386386352525
Investments & Asset Management,42,-0.017632338709124996,0.9973033033710909,-0.017584789640768313
Machinery,421,0.0814390394690948,0.4539209023119606,0.03696688227923088
Metals & Mining,129,0.08549174948589018,0.38628591310391225,0.03302425851300801
Office Equipment & Services,10,0.07249928254838814,0.3680249818573661,0.026681547144542603
Oil/Gas (Integrated),4,0.1047203749632044,0.4545444794140584,0.047600068321694736
Oil/Gas (Production and Exploration),15,0.20787676408625858,0.525377099388832,0.10921369134597506
Oil/Gas Distribution,21,0.10567161078982769,0.40996063844020547,0.043321201024402664
Oilfield Svcs/Equip.,56,0.05798177900371524,0.5107453103121722,0.02961392170970433
Packaging & Container,22,0.062023469234241006,0.182016639580857,0.01128930344516322
Paper/Forest Products,47,-0.0037612189943277896,0.9838361975968137,-0.003700423393708364
Power,101,0.08055323965685679,-0.007534406044496844,-0.0006069208157744247
Precious Metals,19,0.12004178469444941,0.4019944992472988,0.04825613712699725
Publishing & Newspapers,41,0.08538715026499814,0.4805024319044704,0.04102873335572405
R.E.I.T.,9,-0.007086614173228346,0.9747563039392614,-0.006907721838939647
Real Estate (Development),206,-0.06669599993611375,0.9732310185491794,-0.06491061595097998
Real Estate (General/Diversified),56,0.019423509604514815,-0.20573394313973403,-0.003996075220549329
Real Estate (Operations & Services),125,0.008359683772333705,-1.6178580440656534,-0.013524781636915192
Recreation,62,0.025108551024359074,-0.1034555556915393,-0.0025976190988344365
Reinsurance,1,0.035503538295739726,0.4404585013797495,0.015637835271420066
Restaurant/Dining,48,0.0869795497964892,0.8179055424830902,0.07114105586123246
Retail (Automotive),28,0.021359648650128113,-1.03095778423349,-0.022020896044341935
Retail (Building Supply),7,0.11425677662459297,-0.18741445374306576,-0.021413371377541575
Retail (Distributors),136,0.06561845102753036,-0.5077932205381182,-0.033320604573992434
Retail (General),58,0.016205372557336308,-0.9290938169061291,-0.01505631144368143
Retail (Grocery and Food),29,-0.045570847403987626,0.9944995117685701,-0.0453201854941457
