Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Advertising,75,0.04011424146399753,0.9538147079473225,0.03826155350651118
Aerospace/Defense,67,0.06724578268621362,0.7045785859036875,0.04737993847303906
Apparel,212,0.06678752369834133,0.9152692641780672,0.061128567671656094
Auto & Truck,37,0.05015577595483451,2.9004177603033647,0.14547270336119847
Auto Parts,210,0.06288426824091965,2.856732822118921,0.17964355307876564
Bank (Money Center),27,0.0005995316927995965,18.77679916021434,0.011257286185881343
Banks (Regional),37,7.798446379644281e-07,2816.6217569396213,0.0021965273743233104
Beverage (Alcoholic),45,0.4196408130042685,0.3717562908145476,0.15600411211686802
Beverage (Soft),5,0.7169379434239372,0.21152035672950945,0.15164696954595205
Building Materials,65,0.061119824791150426,1.1796950320554933,0.07210275366622233
Business & Consumer Services,124,0.05418908421509298,2.0763049264811833,0.11251306251730127
Chemical (Basic),284,0.03785834697945564,4.059967691197864,0.15370366557874815
Chemical (Diversified),5,0.1223763922881686,1.7692909600210447,0.21651944459544578
Chemical (Specialty),244,0.11084774117424946,1.7088616221915227,0.18942345079929399
Coal & Related Energy,39,0.2407771811007528,0.279911773012049,0.06739636766275493
Computer Services,150,0.04163859526058547,1.9092224838506646,0.0794973422674675
Computers/Peripherals,63,0.08558526184191607,1.1449702365732264,0.09799257749832017
Construction Supplies,55,0.0316649997969707,1.6404120080450526,0.05194364590169488
Diversified,15,0.09006150424903471,0.11552523936659631,0.010404376836085466
Drugs (Pharmaceutical),274,0.0921685436493964,0.5125983221563174,0.0472454408302719
Education,52,0.10866487647817473,0.50052091900216,0.05438904383811222
Electrical Equipment,334,0.10207305774530688,1.5729665471725893,0.1605575052009837
Electronics (Consumer & Office),29,0.01408191483184025,-0.9458907670469912,-0.013319953221779776
Electronics (General),442,0.036394765128753885,1.5387373746987913,0.05600198534699787
Engineering/Construction,345,0.06603691040429276,1.5027498958204415,0.09923696023035476
Entertainment,112,0.019134058359366195,-0.3741667874618305,-0.007159329147431233
Environmental & Waste Services,120,0.038268034633900265,2.697395879514062,0.10322403893858398
Farming/Agriculture,52,0.0123795453963144,7.242858780133182,0.08966329906775307
Financial Svcs. (Non-bank & Insurance),115,0.006042017375360703,1.5949122750404192,0.009636487677970281
Food Processing,231,0.082357593155122,1.0056814188324597,0.08282550113586956
Food Wholesalers,14,0.05822660032722845,3.451617688218245,0.20097596361427597
Furn/Home Furnishings,103,0.17972884138410758,0.31309448786261734,0.05627210954729875
Green & Renewable Energy,41,0.06987528095661097,1.4875667292276162,0.10394414314648652
