Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Advertising,75,940.2879999999999,-279.65200000000016,0.033977308447543125,335.457,0.35675984379254017
Aerospace/Defense,67,723.14,-253.5580000000001,0.006535960708675508,278.113,0.38459081229084274
Air Transport,16,3405.2599999999998,373.48,0.01629991077617073,0,0
Apparel,212,1771.5269999999994,9.358999999999696,0.012979876259666246,117.64399999999999,0.06640824554184048
Auto & Truck,37,1085.5189999999998,412.28899999999976,0.00239551833397893,36.199999999999996,0.033348103533885634
Auto Parts,210,3151.447999999999,-245.3290000000011,0.014924914813157244,331.70700000000005,0.10525542544252679
Bank (Money Center),27,4266.63,-379.0099999999993,0.00011733282533650043,52.4,0.012281355542899197
Banks (Regional),37,2555.6730000000007,-587.3869999999993,0.0006014889462264567,384.9,0.15060612214473443
Beverage (Alcoholic),45,2891.5099999999993,930.7819999999995,0.021849810746457674,7.574,0.0026193926356817034
Beverage (Soft),5,354.1,-29.199999999999932,0.030328725354163456,0,0
Broadcasting,7,60.19,-1.1599999999999966,0.006543031383504908,0,0
Brokerage & Investment Banking,105,6269.137,706.1790000000001,0.0035299046547923848,142.116,0.022669148879662388
Building Materials,65,390.56800000000004,-79.24500000000006,0.006678876365682197,94.459,0.24185033080027035
Business & Consumer Services,124,1241.1380000000001,113.41700000000014,0.023439072335944694,60.712,0.04891639769308489
Cable TV,11,172.058,-4.40900000000002,0.007080022549677186,0,0
Chemical (Basic),284,5790.95,517.0299999999988,0.012614321680832033,191.37500000000003,0.033047254768215927
Chemical (Diversified),5,182.34799999999998,9.393999999999977,0.01040733743885943,1.29,0.007074385241406542
Chemical (Specialty),244,5035.670000000001,-89.92799999999988,0.016377925558816248,276.997,0.055006980203230145
Coal & Related Energy,39,210.36100000000002,2.6590000000000487,0.0006309125274350869,30.33,0.14418071790873782
Computer Services,150,4657.363,-153.77099999999882,0.05513222416149203,118.25800000000001,0.02539162182548365
Computers/Peripherals,63,12480.721,112.28499999999985,0.05187875454952057,31.125,0.0024938463090393576
Construction Supplies,55,9330.574999999999,-526.0470000000023,0.032217690461975965,106.29100000000001,0.01139168807924485
Diversified,15,43307.95,-2246.5999999999985,0.023367216051549945,1526.3899999999999,0.03524503006953689
Drugs (Biotechnology),126,3400.408,14.4050000000002,0.03949989835804684,139.10399999999998,0.04090803221260507
Drugs (Pharmaceutical),274,10281.633,-410.88199999999597,0.033805014841595385,793.5910000000001,0.07718530704217902
Education,52,2193.0710000000004,-232.05600000000004,0.06916169468102921,78.95,0.03599974647423635
Electrical Equipment,334,4582.996000000001,-44.42299999999614,0.00794257234084478,443.0649999999999,0.09667584261474367
Electronics (Consumer & Office),29,692.725,-27.60699999999997,0.015740744948691616,15.889999999999999,0.022938395467176728
Electronics (General),442,10148.800000000003,-561.9089999999942,0.01797885231473296,605.7589999999999,0.05968774633454199
Engineering/Construction,345,8210.42,-853.8199999999961,0.003444140111107477,859.9389999999999,0.1047375164729697
