Industry_Name,Number_of_Firms,CAGR_in_Net_Income_Last_5_years,CAGR_in_Revenues_Last_5_years,Expected_Growth_in_Revenues_Next_2_years,Expected_Growth_in_Revenues_Next_5_years,Expected_Growth_in_EPS_Next_5_years
Air Transport,16,-0.0035333333333333284,0.0009043749999999995,0.5672285714285714,0.13060633422934953,0.013999999999999999
Apparel,212,0.000888522727272726,-0.01182070175438597,0.12290956521739135,0.11508389534675206,0.1408625
Auto & Truck,37,0.05053333333333334,-0.006073333333333335,0.25092499999999995,0.08638019370696548,0.06373749999999997
Auto Parts,210,0.013346261682242995,0.07880476190476186,0.255042,0.1942020655279686,0.2644866666666667
Bank (Money Center),27,0.022698,0.038856,0.02672124999999999,0.1238762772347417,0.04916875
Banks (Regional),37,0.026310000000000004,0.05560033333333335,0.06694631578947369,0.15840918814147864,0.10205
Beverage (Alcoholic),45,0.17091071428571428,0.06145190476190477,0.15816666666666665,0.1206582847300527,0.20659166666666665
Beverage (Soft),5,-0.0733,-0.05143333333333334,0.15763333333333332,0.13332039385790595,0.2025
Chemical (Basic),284,0.07446959183673468,0.11546908212560383,0.18974500000000008,0.15163978108449583,0.25057187500000005
Chemical (Specialty),244,0.05878100917431193,0.08859165680473373,0.14876309523809528,0.13783359026956585,0.16133333333333333
Computer Services,150,-0.005990781249999986,0.01861099099099099,0.25857916666666664,0.15686966118392384,0.26899999999999996
Computers/Peripherals,63,0.05628058823529413,-0.039482926829268294,0.20144199999999998,0.0878236270693512,0.25780000000000003
Construction Supplies,55,-0.09597703703703704,0.03519113636363635,0.06621136363636364,0.015307220057822812,0.11506250000000001
Drugs (Biotechnology),126,0.0489257142857143,0.10875702127659574,0.42281462962962985,0.7396849064714595,0.16455555555555557
Drugs (Pharmaceutical),274,0.08332683870967741,0.04414947619047619,0.9874086021505374,0.7297526293235748,0.13886470588235295
Education,52,0.10425523809523808,0.045083870967741906,0.16646411764705885,0.08405288929939995,0.054000000000000006
Electrical Equipment,334,0.13532687500000004,0.11018478260869563,0.2731831858407079,0.17300583242886713,0.2589730769230769
Electronics (General),442,0.0636480838323354,0.07155492857142862,0.2071255244755244,0.2049736485784631,0.24848529411764708
Engineering/Construction,345,0.03233805555555557,0.038256538461538495,0.22949210526315797,0.28406608935928135,0.24502380952380948
Entertainment,112,-0.07444454545454544,-0.012642705882352934,0.30188174999999984,0.15179186126309582,0.313
Financial Svcs. (Non-bank & Insurance),115,-0.017445526315789467,0.0036588541666666614,0.23121666666666674,0.1475886109980452,0.08831666666666667
Food Processing,231,0.013768240740740718,0.07244887573964491,0.13473049382716043,0.05517633155044662,0.14591129032258068
Furn/Home Furnishings,103,0.026238297872340433,0.02055181818181819,0.09118500000000003,0.08508578521885746,0.14704
Green & Renewable Energy,41,0.0969310344827586,0.02374555555555556,0.12614200000000003,0.1102451813917742,0.144
Healthcare Products,140,0.15727948717948717,0.14958545454545458,0.3236058461538462,0.38224972022603526,0.09096874999999999
Healthcare Support Services,75,0.06847692307692309,0.07620133333333333,0.12713636363636363,0.1515227279244918,0.1399923076923077
Heathcare Information and Technology,45,0.25800999999999996,0.197861,0.24555999999999997,0.20860831725647877,0.24364999999999995
Hotel/Gaming,80,-0.10241807692307693,-0.04035986666666666,0.7846818181818181,0.20329141061990716,0.372
Insurance (General),6,0.038525000000000004,0.13976666666666668,0.11779999999999999,0.11218085214809081,0.09820000000000001
Insurance (Life),8,-0.07177,0.28081666666666666,0.06898333333333333,0.014515205146674454,0.65875
Insurance (Prop/Cas.),3,0.011533333333333335,-0.06496666666666667,0.07395,0.06819583125822437,0.119
Machinery,421,0.10596596858638739,0.09020507092198576,0.28235798319327743,0.1362583269963994,0.2692428571428572
Metals & Mining,129,0.13656317460317463,0.11814217821782177,0.13512571428571432,0.09619851722378692,0.24025
Oil/Gas (Integrated),4,0.18515,0.15615,0.047040000000000005,-0.020327175860134827,0.019219999999999998
Oil/Gas (Production and Exploration),15,0.193,0.1383357142857143,0.07162666666666667,-0.028012662242571595,0.21600000000000003
Power,101,0.07435333333333335,0.1129486813186813,0.09096488372093027,0.036353347111268856,0.08048999999999999
Real Estate (Development),206,-0.11137739726027399,0.02298083769633508,0.009252127659574458,0.04571313920296134,-0.037800769230769235
Real Estate (General/Diversified),56,-0.076475,-0.002862830188679243,0.18139999999999998,0.009125499432783096,0.07345714285714286
Real Estate (Operations & Services),125,-0.08182500000000001,0.02998905405405405,0.11783709677419356,0.07483270974112326,0.11978461538461538
Restaurant/Dining,48,0.041890909090909076,-0.040190810810810815,0.20795833333333333,0.1655967976991896,0.47300000000000003
Retail (General),58,-0.091284,-0.10153469387755103,0.64110625,0.037456491623544474,0.429
Retail (Grocery and Food),29,0.06458888888888889,-0.03915999999999999,0.06962222222222222,0.05295274912726222,0.138
Retail (REITs),2,-0.424,0.014349999999999998,0.0526,0.04836388362059263,0.0131
Retail (Special Lines),71,0.034262499999999994,-0.03225,0.16651583333333336,0.11288896924779168,0.20299000000000006
Semiconductor,173,0.24879183673469385,0.15258829268292687,0.20525678571428566,0.19022669493482314,0.23028799999999994
Semiconductor Equip,59,0.4238127272727274,0.3566304347826086,0.40561052631578953,0.19881136708716995,0.26503333333333334
Software (Entertainment),33,0.05265999999999999,0.011238888888888885,0.1365,0.10116401811240072,0.0825
Software (Internet),19,0.0703,0.07778181818181817,0.1509625,0.1333704880923896,0.08955
Software (System & Application),189,-0.010005357142857134,0.123559375,0.22160048192771084,0.200520334897478,0.2978
Telecom (Wireless),8,-0.079825,-0.006750000000000003,0.059525,0.049485210174923466,0.12384999999999999
Telecom. Equipment,125,0.06725285714285717,0.015039444444444447,0.22046666666666653,0.04890685617386281,0.33549999999999996
Telecom. Services,16,0.07569999999999999,0.05748266666666666,0.06563333333333332,0.04387562665089654,0.15750000000000003
Transportation,141,0.005235270270270265,0.028303557692307687,0.1286804347826087,0.08590253245746318,0.19180588235294116
Transportation (Railroads),10,-0.03439999999999999,0.00613142857142857,0.19676,0.07795153779601005,0.126685
Total Market,7504,0.05396399364069952,0.05536704388422043,0.23278743969530222,0.21021690162869044,0.18776357019064124
Total Market (without financials),7161,0.055559341731526095,0.057220927933232135,0.2350813341126943,0.2033,0.175
