Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Advertising,75,0.2279993478260869,0.22178293103448277,0.06984265306122449,0.334688591549296
Aerospace/Defense,67,0.117399696969697,0.3468393220338983,0.11263955223880597,0.23652614035087713
Air Transport,16,0,0.5836000000000001,0.13119999999999998,0.034042222222222224
Apparel,212,0.1371435779816514,0.3647080503144652,0.07340282051282054,0.28808235897435897
Auto & Truck,37,0.13887111111111114,0.39647999999999994,0.08956142857142856,0.13848676470588234
Auto Parts,210,0.15688057377049183,0.29168767045454547,0.09214185000000003,0.2953373846153846
Bank (Money Center),27,0.00023444444444444446,0.43372925925925926,0.1093740740740741,0.03438411764705882
Banks (Regional),37,0.00012142857142857142,0.46247027027027016,0.08953513513513514,0.008748
Beverage (Alcoholic),45,0.06491125000000002,0.447986046511628,0.12630146341463416,0.08247128205128204
Beverage (Soft),5,0.46440000000000003,0.268775,0.06614,0.5266000000000001
Broadcasting,7,0.19880333333333333,0.3686666666666667,0.06621666666666667,0.26519
Brokerage & Investment Banking,105,0.09110157894736842,0.47992666666666667,0.08625786666666667,0.22015250000000006
Building Materials,65,0.15200424242424243,0.3669183673469389,0.07393360655737703,0.28221622950819664
Business & Consumer Services,124,0.20266861538461542,0.33976263736263723,0.0756236904761905,0.3095253703703702
Cable TV,11,4e-05,0.5112818181818182,0.03513909090909091,0.023384000000000002
Chemical (Basic),284,0.12191668711656437,0.30738477732793557,0.07683347985347984,0.24707536398467428
Chemical (Diversified),5,0.07811399999999999,0.32323999999999997,0.11652500000000002,0.23334600000000003
Chemical (Specialty),244,0.1280310869565218,0.2990363981042654,0.08342650862068962,0.25467644144144147
Coal & Related Energy,39,0.05411099999999999,0.5020444444444444,0.07638258064516126,0.15485125
Computer Services,150,0.17502136363636364,0.258741081081081,0.08198563636363634,0.29261661870503597
Computers/Peripherals,63,0.10966900000000003,0.2699216666666666,0.0813624,0.2996996666666667
Construction Supplies,55,0.11791949999999997,0.4702772727272727,0.07129211538461538,0.17511863636363637
Diversified,15,0.10771714285714283,0.5126642857142858,0.06438461538461539,0.09263846153846154
Drugs (Biotechnology),126,0.1110657471264368,0.2614595652173915,0.11569134453781516,0.2174255833333334
Drugs (Pharmaceutical),274,0.1063833536585366,0.2957052719665273,0.10187787644787644,0.2225483858267717
Education,52,0.20292580645161287,0.23816310344827585,0.0873659523809524,0.4207856250000001
Electrical Equipment,334,0.12249865979381443,0.2890107746478871,0.09366810725552047,0.25752687697160886
