Industry_Name,Number_of_firms,Lease_Expense_Sales,Total_Debt_without_leases,Total_Debt_with_Leases,Lease_Debt_as_of_Total_Debt,Market_Debt_to_Capital_without_leases,Market_Debt_to_Capital_with_leases,Book_Debt_to_Capital_without_leases,Book_Debt_to_Capital_with_leases,Operating_income_before_lease_adj_,Operating_income_after_lease_adj_,ROIC_without_leases_,ROIC_with_leases_,Pre_tax_Operating_Margin_before_lease_adj_,Pre_tax_Operating_Margin_after_lease_adj_,Lease_Debt_My_Estimate_,Lease_Debt_Accounting_
Advertising,75,0.0014870018745367195,3666.0239999999976,3668.87189939313,0.0007762329869308507,0.0823679362282053,0.07959290889417109,0.18874527488790319,0.1831014525165473,686.836,687.4194201213734,0.045777531518762835,0.04580686109392408,0.02327703396994559,0.023296806215407327,2.847899393132593,142.225
Aerospace/Defense,67,0.0014724241999433964,8722.548999999999,8722.548999999999,0,0.06349309990467425,0.06340672331676339,0.13985635005131475,0.13968158286776935,2434.6669999999995,2434.6669999999995,0.07780361425204901,0.07780361425204901,0.053664804562859665,0.053664804562859665,0,12.903
Air Transport,16,0.005045081353393696,124449.63,124449.73464190627,8.408367166338872e-07,0.5913466950198736,0.5907279198163449,0.7431428633883191,0.7426539088330322,-1177.7600000000002,-1177.7049283812544,-0.0070499826041893286,-0.007049648187924699,-0.01603594526516441,-0.01603519543033909,0.104641906262259,319.1
Apparel,212,0.013306765021206523,29035.86799999999,29052.00914811271,0.0005555948998372974,0.1677190361507672,0.16712234868654152,0.2675611575391159,0.2667230988797233,6197.019000000001,6199.97677037746,0.07172192840709048,0.07174130126831699,0.05920896228132184,0.05923722208086671,16.14114811271793,140.62
Auto & Truck,37,0.0016008924210726774,55921.51099999999,55928.9059633419,0.00013222077590356563,0.18678757382252004,0.18660468693074106,0.24755351609695242,0.24732922755722184,7213.284999999997,7219.448007331619,0.05494000032670825,0.05498360361516663,0.02095252948008699,0.020970431253384703,7.394963341910625,74.8
Auto Parts,210,0.00185439782409925,39628.678,39635.43417564049,0.00017045796976894296,0.15154106037209047,0.1505576694102662,0.2809205941698438,0.27937407448665674,6929.1259999999975,6933.924764871898,0.07353017495142307,0.07357541328949213,0.044082997441718466,0.04411352711307549,6.756175640490255,311.98199999999997
Bank (Money Center),27,0.004194284844626781,4495581.200000002,4495581.200000002,0,0.7874562370189426,0.7874562370189426,0.6057828137716048,0.6057828137716048,3796.7,3796.7,0.0005995316927995965,0.0005995316927995965,0.006213128623724997,0.006213128623724997,0,0
Banks (Regional),37,0.001322013697847364,953739.0999999999,953746.9839573778,8.266298620700557e-06,0.8788415027287937,0.8788423829178436,0.74813587510777,0.7481374327179858,0,0.9542085244055063,0,7.798446379644281e-07,0,1.5578787510395933e-05,7.8839573779841885,0
Beverage (Alcoholic),45,0.001939243407274513,5843.822000000001,5845.480319055112,0.00028369252218763926,0.009380815763744572,0.009349915210790111,0.05237312043545424,0.05220806614346063,30335.083000000006,30336.49033618898,0.42755138122313596,0.4275592999185392,0.38375100112120525,0.38376880449004497,1.658319055110951,21.256999999999998
Beverage (Soft),5,0.003999958558241212,1289.7999999999997,1291.227924272925,0.0011058653906740636,0.01658320208286458,0.016601256390806646,0.1855800635962072,0.18574735487493238,1995.34,1996.414415145415,0.7553492079087732,0.7552833038374938,0.20672599745133183,0.20683731158456864,1.4279242729253383,0
Broadcasting,7,0.007775069696008546,1469.6,1472.768323661526,0.0021512709165614993,0.23069557163712856,0.2310780016265034,0.21157500719838754,0.21193447259679016,-141.01,-140.7426647323052,-0.024948969919903998,-0.02488725369382425,-0.058849306378645466,-0.05873773631216516,3.168323661526074,0
Brokerage & Investment Banking,105,0.004290001662811605,808247.0150000002,808259.1035281378,1.4956253613191522e-05,0.6738814024863791,0.6738844084925216,0.6744062276886618,0.674409231194532,-30.801000000000002,-27.73070562749663,-2.7888367825616307e-05,-2.51081096891031e-05,-0.0003833839377477391,-0.00034516759585705154,12.08852813753765,1.033
Building Materials,65,0.0026607893413083923,13855.506000000001,13856.244710862436,5.331248674153044e-05,0.2176221978226398,0.21699486022242992,0.32315732919021145,0.32235111162911234,2430.0500000000006,2430.572257827514,0.06895729880121765,0.06897052689244415,0.074309024385396,0.07432499462042826,0.738710862435255,52.004000000000005
Business & Consumer Services,124,0.0027465323818003577,12762.046000000002,12803.046406999967,0.003202394625200165,0.1947619486978434,0.194690761657382,0.3903525755170896,0.39024454489202587,1331.2790000000005,1345.5399186000068,0.06014691460524789,0.060665609727566294,0.03137222011952741,0.031708285420208975,41.00040699996498,46.87600000000001
Cable TV,11,0.004887247506906213,4366,4366.094572907387,2.1660755581022e-05,0.15265524602822436,0.1525662579766578,0.237784502182408,0.2376598078900222,-200.95,-200.86891458147744,-0.015652541868167308,-0.015646107353102016,-0.03937031014282636,-0.03935442381251885,0.09457290738737356,3.13
Chemical (Basic),284,0.0012755171857665797,167742.04999999993,167775.29551697313,0.00019815501960975584,0.3315749391148434,0.33147131246664713,0.4526283339596369,0.45251248672810734,10989.795999999997,10991.881896605351,0.03947881871020745,0.03948111139746628,0.033568190815034926,0.033574562159441046,33.24551697319839,111.495
Chemical (Diversified),5,0.0007458218781652438,4555.400000000001,4555.400000000001,0,0.18398297246757864,0.18398297246757864,0.31352980852616075,0.31352980852616075,1568.3,1568.3,0.12968534127283857,0.12968534127283857,0.14183005353783823,0.14183005353783823,0,0
Chemical (Specialty),244,0.0016029715451902746,84288.656,84301.68178350147,0.00015451392221231875,0.2104460265274965,0.20998750083420675,0.3407776234442523,0.34015746828803056,21645.394000000015,21645.793843299725,0.12256771941961649,0.12255995043804563,0.11926178601260211,0.1192639890691068,13.025783501463593,245.64299999999997
Coal & Related Energy,39,0.0014714656411313686,57214.52999999999,57214.52999999999,0,0.20999363988283826,0.20987569453688873,0.23881921380972246,0.23868996990767052,42043.279,42043.279,0.25088298030955347,0.25088298030955347,0.22762733684226027,0.22762733684226027,0,40.595000000000006
Computer Services,150,0.0011967772578048302,15031.751000000004,15040.282070120043,0.0005672147689961221,0.12927160565164025,0.1289513706671584,0.25480020659469826,0.2542598125506601,1995.458,1997.809785975992,0.05388891385151058,0.05393903639076506,0.01958469675822722,0.019607778684872658,8.531070120039658,51.382
Computers/Peripherals,63,0.0011047824449318924,41982.856,42196.00659941711,0.005051440091016901,0.2056236179474907,0.20628860253966186,0.3663324708790938,0.3672768906750578,7653.217999999998,7659.897880116577,0.11687835985861085,0.11656555466797139,0.036105153251701744,0.03613666654392889,213.15059941710933,41.907000000000004
Construction Supplies,55,0.0028427217471082935,87100.289,87180.9443371395,0.0009251486979493394,0.5181507668606503,0.5183302626396413,0.3911579338269365,0.39132916521207833,6140.614999999999,6139.177932572102,0.032890905520643644,0.032866737665453914,0.048874210937637406,0.04886277307081093,80.65533713949844,17.990000000000002
Diversified,15,0.003221065865216515,385423.69999999995,396457.07498136157,0.027829935893766866,0.8482567769269922,0.8518343843860404,0.5444207004773164,0.5513731494852581,49490.259999999995,58898.70300372767,0.0777076289208044,0.0905896455037804,0.23802194176597016,0.28327157013207127,11033.374981361616,60.3
Drugs (Biotechnology),126,0.002091348542015187,9971.850999999999,9980.281210341567,0.0008446866540026017,0.04445990827459551,0.04436280890746066,0.13833950857492255,0.1380670035411299,186.66199999999995,189.61495793168612,0.004347202871761118,0.004415059711063827,0.006361737554383564,0.006462379052763111,8.430210341568454,31.161
Drugs (Pharmaceutical),274,0.0018912548742620685,53546.60599999997,53557.08057159131,0.00019557771782082242,0.10340651492761982,0.10333147971428512,0.21712386033275147,0.2169862781415929,18625.710000000003,18629.59708568174,0.10886314975979476,0.1088784629497284,0.10663322150372717,0.10665547528457658,10.474571591337735,53.707
Education,52,0.006868986242630907,8016.723999999999,8020.928005089755,0.0005241295130797982,0.26927564985195673,0.2691986672690247,0.34625812404144934,0.34616955923591514,1762.1430000000003,1763.4431989820494,0.11519292536479617,0.11524361287091696,0.22786400648622654,0.22803213617222765,4.20400508975581,7.378
Electrical Equipment,334,0.0014877297027743736,106090.56799999993,106113.84362676842,0.00021934580798294143,0.1647056013202412,0.16443811990626112,0.307746095770099,0.30733178670752864,24876.552999999985,24885.572874646285,0.11849020937435517,0.11851869348910897,0.07396562249079855,0.07399244134480146,23.27562676848902,229.70300000000003
Electronics (Consumer & Office),29,0.0010467262414774405,8439.422,8439.43613792584,1.6752216154258488e-06,0.2238981361379044,0.22389842723779177,0.3235888833011026,0.32358924997254757,495.4199999999999,495.4321724148319,0.026012993080996326,0.026013611675105585,0.011597985206493858,0.011598270167712922,0.014137925840259413,0
Electronics (General),442,0.0013125999471602574,131783.149,131875.62528338307,0.0007012386343901065,0.1644147212312556,0.16426553659592488,0.3111733705791448,0.3109405752907604,13475.883000000002,13508.394743323388,0.04538006898390998,0.045474386860899066,0.03653474579108674,0.036622889052463005,92.47628338306095,235.82699999999994
Engineering/Construction,345,0.00351794140438914,602791.2750000003,602819.798387898,4.7316607672871514e-05,0.5725293368434637,0.5725110744781902,0.4770808429202211,0.47706222734750037,63264.45999999998,63273.431322420416,0.07660582200076281,0.07661375509240077,0.042783417334560384,0.042789484308516326,28.523387897759676,73.52799999999999
Entertainment,112,0.0033135795798526864,10505.975,10510.433467542052,0.00042419444981222043,0.08785959464963794,0.08764269766278494,0.17949978406783765,0.1791010778697633,1059.2079999999999,1061.2553064915894,0.026911735390268133,0.026960478855784197,0.03935028533199472,0.0394263441368811,4.458467542051949,33.031
Environmental & Waste Services,120,0.0026551366494070735,48186.029,48188.226123842076,4.5594619657242555e-05,0.43078227081091064,0.4306727781002852,0.48218508374231256,0.48207359082887485,3534.5400000000004,3536.412575231586,0.03942051488699045,0.0394403251931966,0.10046338549677014,0.1005166103145293,2.197123842073779,23.810000000000006
Farming/Agriculture,52,0.004478500012131597,29926.048,29927.224166044914,3.930087329148469e-05,0.39799486188238437,0.39606741891623426,0.5889633928123118,0.5870129178470991,542.6329999999999,543.0167667910172,0.012884350134007305,0.012893084762213841,0.010127699046829827,0.010134861667908144,1.1761660449155897,243.152
Financial Svcs. (Non-bank & Insurance),115,0.018344813257685156,187606.902,187608.09263164306,6.34637678126075e-06,0.5748784881607074,0.5748419654741526,0.675805085164992,0.6757723429707214,1517.3650000000005,1518.091873671389,0.006042451075655811,0.006045313260520602,0.05226345522243963,0.052288491340695284,1.1906316430540755,29.134999999999998
Food Processing,231,0.0022303156219139596,101750.79799999995,101793.12930002049,0.00041585616152709745,0.2178098827513685,0.21531164900837055,0.3933107591178471,0.3898027204057028,17083.075999999994,17097.46473999589,0.08571625612953207,0.08576732704145644,0.05675026330054996,0.056798062934721824,42.33130002053804,1552.3439999999998
Food Wholesalers,14,0.0023516471012156506,855.027,855.027,0,0.27744609684607296,0.27744609684607296,0.1814370506524419,0.1814370506524419,213.087,213.087,0.05828317730645358,0.05828317730645358,0.0673528798194542,0.0673528798194542,0,0
Furn/Home Furnishings,103,0.0013048189900019738,40594.29499999999,40655.54108500941,0.0015064634087972818,0.17434186388233747,0.17366938426799935,0.30604700578144606,0.30505420373825215,15556.713000000005,15569.711782998118,0.23788380787598945,0.23783364626471692,0.08601251094043814,0.08608438074769355,61.24608500942122,251.947
Green & Renewable Energy,41,0.0019958631870495317,151075.16700000002,151077.19313582833,1.3411262059226113e-05,0.45534153989689635,0.45380615272245706,0.5878864815540796,0.5863853345089123,14346.492999999997,14346.783772834331,0.06981434444842402,0.06981495074632164,0.4073353331241738,0.4073435889431629,2.02613582831691,940.4
Healthcare Products,140,0.0023666188501221433,8992.462,9039.617865664039,0.0052165773337781544,0.039115275996876274,0.039287168305545635,0.12017924790095662,0.12066264212879271,5108.408999999998,5148.95882686719,0.12480772540473326,0.12563875838289468,0.13936846694410807,0.14047475408856527,47.155865664039084,5.987
Healthcare Support Services,75,0.0015717711172240527,39400.013999999996,39403.303867415525,8.349217178841675e-05,0.3112138186980457,0.3106343265051555,0.36357179561347713,0.3629461831822276,8750.219000000003,8752.780026516897,0.11792989852891157,0.11795812798231223,0.038377598211857454,0.03838883062177489,3.289867415529443,110.006
Heathcare Information and Technology,45,0.0017105202113298413,6385.9169999999995,6387.504341924707,0.0002485073731048119,0.05839712878157582,0.058391941253505684,0.16471152360841523,0.1646985438675716,2406.8859999999995,2408.249531615058,0.10343004928168452,0.1034810881695714,0.13617660005182536,0.13625374583247382,1.5873419247072889,2.177
Homebuilding,4,0.005799365942028985,184.031,184.031,0,0.22502326275232906,0.22502326275232906,0.24197698713135957,0.24197698713135957,19.78,19.78,0.031684507911088,0.031684507911088,0.022395833333333334,0.022395833333333334,0,0
Hospitals/Healthcare Facilities,25,0.0039502875829654956,3609.1569999999992,3609.246760310815,2.486954114709346e-05,0.08367038127908079,0.08351326439239141,0.2834795686845528,0.2830631525022548,1138.715,1138.7920479378367,0.14568086423793628,0.14568868464774137,0.1313051469740368,0.13131403136635772,0.08976031081556357,7.42
Hotel/Gaming,80,0.004221476012211641,55790.36600000002,55813.98974344194,0.00042325846173166753,0.36248678771189946,0.3575638721609166,0.49263636096273583,0.48729695914263776,419.3490000000001,422.49625131161696,0.003970686844951623,0.003999482793643352,0.013408406948919078,0.013509038228251277,23.623743441916304,1229.2050000000002
