Industry_Name,Number_of_firms,Gross_Margin,Net_Margin,Pre_tax_Pre_stock_compensation_Operating_Margin,Pre_tax_Unadjusted_Operating_Margin,After_tax_Unadjusted_Operating_Margin,Pre_tax_Lease_adjusted_Margin,After_tax_Lease_Adjusted_Margin,Pre_tax_Lease_R_D_adj_Margin,After_tax_Lease_R_D_adj_Margin,EBITDA_Sales,EBITDASG_A_Sales,EBITDAR_D_Sales,COGS_Sales,R_D_Sales,SG_A_Sales,Stock_Based_Compensation_Sales,Lease_Expense_Sales
Advertising,75,0.14263153071621187,0.015049230312077553,0.02452802424263456,0.02327703396994559,0.021180575264264277,0.023296806215407327,0.021198566711700687,0.022408773589684045,0.020310534085977404,0.02729556867544486,0.1306020898617224,0.041492018985038945,0.8573684692837882,0.014196450309594077,0.10330652118627753,0.0012509902726889704,0.0014870018745367195
Aerospace/Defense,67,0.17591725364375455,0.04247276276427194,0.055205250215790674,0.053664804562859665,0.05044197927748376,0.053664804562859665,0.05044197927748376,0.056452665797332234,0.05322984051195633,0.0822929313234603,0.1511026705143092,0.13057335075528942,0.8240827463562455,0.048280419431829105,0.0688097391908489,0.0015404456529310062,0.0014724241999433964
Air Transport,16,0.06549104772278576,-0.06441445979985023,-0.014827367417795634,-0.01603594526516441,-0.0148708711351583,-0.01603519543033909,-0.014870175778765168,-0.015658941090356787,-0.014493921438782866,-0.15140763836884744,-0.08864570767240793,-0.14822539315133773,0.9345089522772142,0.0031822452175097006,0.06276193069643951,0.0012085778473687793,0.005045081353393696
Apparel,212,0.25354473521005816,0.04387689771212567,0.06086768714947792,0.05920896228132184,0.05340274623120929,0.05923722208086671,0.05342823478641263,0.05858788032830013,0.05277889303384605,0.09195269832767917,0.2768333344002441,0.10675087110094604,0.7464552647899418,0.014798172773266859,0.18488063607256494,0.0016587248681560805,0.013306765021206523
Auto & Truck,37,0.15022852255966418,0.023052535992455648,0.022774795959821757,0.02095252948008699,0.01944329801314963,0.020970431253384703,0.01945991030397218,0.024780891929977397,0.023270370980564878,0.043621105860614746,0.12647624097948348,0.08178021086945117,0.8497714774403358,0.03815910500883644,0.08285513511886874,0.0018222664797347696,0.0016008924210726774
Auto Parts,210,0.16223835381341212,0.041670526271054685,0.04532207677592908,0.044082997441718466,0.04090380345954836,0.04411352711307549,0.04093213138072757,0.04621811764170817,0.04303672190936025,0.07640750653185027,0.14743298348352282,0.11970206950290756,0.8377616461865879,0.04329456297105729,0.07102547695167255,0.0012390793342106083,0.00185439782409925
Bank (Money Center),27,0.9984694236569204,0.44961567854787526,0.0062182474549033915,0.006213128623724997,0.00546923024920065,0.006213128623724997,0.00546923024920065,0.006213128623724997,0.00546923024920065,0.0063975571000054006,0.3731382460802812,0.0063975571000054006,0.001530576343079626,0,0.3667406889802758,5.118831178394866e-06,0.004194284844626781
Banks (Regional),37,1,0.46763373360217453,0,0,0,1.5578787510395933e-05,1.4073774065422836e-05,1.5578787510395933e-05,1.4073774065422836e-05,0,0.43114913347646133,0,0,0,0.43114913347646133,0,0.001322013697847364
Beverage (Alcoholic),45,0.6878991692101354,0.29600534454192706,0.38570227506098453,0.38375100112120525,0.32181100449476424,0.38376880449004497,0.32182593427994516,0.38365407040213206,0.3217112001920322,0.37970549104623524,0.5649449511422493,0.38423300674633315,0.3121008307898646,0.004527515700097929,0.185239460096014,0.0019512739397792786,0.001939243407274513
Beverage (Soft),5,0.4868785031236726,0.1746656168087774,0.20737456097636783,0.20672599745133183,0.1785742222462336,0.20683731158456864,0.17867037771295208,0.20782383265252274,0.1796568987809062,0.2398648998663503,0.5193170398151697,0.24481408190963622,0.5131214968763274,0.004949182043285916,0.27945213994881946,0.0006485635250360025,0.003999958558241212
