Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Advertising,75,0.4519306194129396,0.4233376630236196,0.9204070911058289,0.07959290889417109
Aerospace/Defense,67,0.26765826007493715,0.25414920031339805,0.9365932766832366,0.06340672331676339
Air Transport,16,0.22922473798380963,0.1296781150292976,0.40927208018365513,0.5907279198163449
Apparel,212,0.32623783588446403,0.28325090739888903,0.8328776513134585,0.16712234868654152
Auto & Truck,37,0.3386790627312019,0.288950348918305,0.8133953130692589,0.18660468693074106
Auto Parts,210,0.3304561936767735,0.2911645591823886,0.8494423305897338,0.1505576694102662
Bank (Money Center),27,0.16197408037684946,0.07446165129050736,0.21254376298105737,0.7874562370189426
Banks (Regional),37,0.16899427598889075,0.07186704418589003,0.12115761708215644,0.8788423829178436
Beverage (Alcoholic),45,0.290074507434938,0.28790630277271223,0.9906500847892099,0.009349915210790111
Beverage (Soft),5,0.20773896972974443,0.20498346881095572,0.9833987436091933,0.016601256390806646
Broadcasting,7,0.3553530195197216,0.29105493793547954,0.7689219983734966,0.2310780016265034
Brokerage & Investment Banking,105,0.2957426258483064,0.15279230014184902,0.3261155915074784,0.6738844084925216
Building Materials,65,0.2889188084011628,0.23974937583927478,0.7830051397775701,0.21699486022242992
Business & Consumer Services,124,0.37176218396266136,0.31485912988271064,0.805309238342618,0.194690761657382
Cable TV,11,0.2857384525460136,0.25131734069549855,0.8474337420233422,0.1525662579766578
Chemical (Basic),284,0.27763797662034645,0.2064905374196077,0.6685286875333529,0.33147131246664713
Chemical (Diversified),5,0.2770739317025301,0.23695135879603746,0.8160170275324213,0.18398297246757864
Chemical (Specialty),244,0.2778594693552718,0.23206373235071664,0.7900124991657933,0.20998750083420675
Coal & Related Energy,39,0.32755740268961075,0.2735987245443783,0.7901243054631113,0.20987569453688873
Computer Services,150,0.359581245402913,0.32288622578252724,0.8710486293328417,0.1289513706671584
Computers/Peripherals,63,0.37299988085117214,0.3125819178710034,0.7937113974603381,0.20628860253966186
Construction Supplies,55,0.2720081843488048,0.16653876036620752,0.4816697373603587,0.5183302626396413
Diversified,15,0.23716649610730173,0.10297985750511111,0.14816561561395958,0.8518343843860404
Drugs (Biotechnology),126,0.37289992152097584,0.3597112618518725,0.9556371910925393,0.04436280890746066
Drugs (Pharmaceutical),274,0.31072424657232417,0.2852550891260689,0.8966685202857149,0.10333147971428512
Education,52,0.4288800416157304,0.33888519103723197,0.7308013327309753,0.2691986672690247
Electrical Equipment,334,0.3159022435173042,0.27493466602692035,0.8355618800937389,0.16443811990626112
Electronics (Consumer & Office),29,0.34559256858684334,0.2849539511796537,0.7761015727622083,0.22389842723779177
Electronics (General),442,0.32306019905464456,0.28120759169617804,0.8357344634040751,0.16426553659592488
Engineering/Construction,345,0.3183133236538304,0.183710272900035,0.42748892552180984,0.5725110744781902
Entertainment,112,0.4216681331660082,0.3923121605459026,0.912357302337215,0.08764269766278494
Environmental & Waste Services,120,0.2807677994428052,0.18873937960746034,0.5693272218997147,0.4306727781002852
Farming/Agriculture,52,0.30219741295541724,0.21056739155192528,0.6039325810837657,0.39606741891623426
Financial Svcs. (Non-bank & Insurance),115,0.37169911441294223,0.21397402858988734,0.42515803452584744,0.5748419654741526
Food Processing,231,0.28285751742665766,0.235084086227115,0.7846883509916295,0.21531164900837055
Food Wholesalers,14,0.41450978500565505,0.3249577637328911,0.722553903153927,0.27744609684607296
Furn/Home Furnishings,103,0.2954489457064705,0.2550207733041181,0.8263306157320006,0.17366938426799935
Green & Renewable Energy,41,0.2931018480289313,0.19229459880757954,0.5461938472775429,0.45380615272245706
Healthcare Products,140,0.33605620339408704,0.32552617619415,0.9607128316944543,0.039287168305545635
Healthcare Support Services,75,0.3592459110336466,0.2727242675115587,0.6893656734948446,0.3106343265051555
Heathcare Information and Technology,45,0.3784127491930924,0.360816944151072,0.9416080587464943,0.058391941253505684
Homebuilding,4,0.43412105511810106,0.3575760383817451,0.7749767372476709,0.22502326275232906
Hospitals/Healthcare Facilities,25,0.36086831134495234,0.3369202632529996,0.9164867356076086,0.08351326439239141
Hotel/Gaming,80,0.3405963376293836,0.24680083153460336,0.6424361278390833,0.3575638721609166
Household Products,34,0.2594404247158052,0.23983749126250628,0.9048165924560824,0.0951834075439176
Information Services,3,0.254814001419472,0.2542695782654554,0.9973287747275604,0.002671225272439563
Insurance (General),6,0.3305644797757673,0.2440643286807491,0.6611707394185424,0.3388292605814575
Insurance (Life),8,0.2621537692307264,0.1572191810149525,0.46262361746822445,0.5373763825317756
Insurance (Prop/Cas.),3,0.1698605885437505,0.1291542054470628,0.6909760166383039,0.30902398336169606
Investments & Asset Management,42,0.4516306902367724,0.18657022063631754,0.07694144531517444,0.9230585546848256
Machinery,421,0.30487098047369054,0.2758931533877912,0.8799939686821106,0.12000603131788944
Metals & Mining,129,0.2950865035573305,0.2238753256035025,0.6887185076649815,0.31128149233501845
Office Equipment & Services,10,0.2920955291337081,0.2651663794803655,0.8836396481306943,0.11636035186930567
Oil/Gas (Integrated),4,0.23493592145511297,0.17619392962753783,0.6769628590167553,0.3230371409832447
Oil/Gas (Production and Exploration),15,0.3601212399445332,0.30742487581123373,0.8140458110861946,0.18595418891380544
Oil/Gas Distribution,21,0.26565094004412865,0.18287550737305155,0.5921930405192699,0.4078069594807301
Oilfield Svcs/Equip.,56,0.2940733612130657,0.24251285327450223,0.7762725515855392,0.22372744841446077
Packaging & Container,22,0.2436783961826011,0.19746479663846486,0.757479232841846,0.24252076715815396
Paper/Forest Products,47,0.3050858271086253,0.19484331510027825,0.5208849732648055,0.47911502673519446
Power,101,0.23704571751509676,0.13582411904079023,0.4209040961894115,0.5790959038105885
Precious Metals,19,0.35827017839671627,0.27819939013937567,0.7126244573257806,0.2873755426742194
Publishing & Newspapers,41,0.3467890870618602,0.33431220631809355,0.9548686542787324,0.04513134572126769
R.E.I.T.,9,0.18050262768695913,0.09607802503895353,0.3536153173470796,0.6463846826529204
Real Estate (Development),206,0.36821471507986786,0.16752652818022998,0.2015509748133516,0.7984490251866484
Real Estate (General/Diversified),56,0.29178712494481873,0.1629750515855753,0.3976216123441557,0.6023783876558443
Real Estate (Operations & Services),125,0.3358790536864097,0.22975596155645547,0.5860565204816175,0.41394347951838245
Recreation,62,0.3208315694115687,0.2896055674506101,0.8770835732385915,0.12291642676140842
Reinsurance,1,0.17299740497377286,0.07945229118565933,0.21152793926544,0.78847206073456
Restaurant/Dining,48,0.4352709789645401,0.3909076716085867,0.8712126000294271,0.12878739997057287
Retail (Automotive),28,0.3915643142810637,0.22119615359691788,0.4079480354814591,0.5920519645185409
Retail (Building Supply),7,0.27300125130261277,0.24486726930154631,0.8697628026605551,0.1302371973394449
Retail (Distributors),136,0.36358868446518233,0.2049729484986736,0.4060834328228222,0.5939165671771778
Retail (General),58,0.28502521221089927,0.19942923394176948,0.6079812549916503,0.3920187450083497
Retail (Grocery and Food),29,0.35783191157973815,0.26604737790398436,0.6682001946840697,0.3317998053159303
Retail (REITs),2,0.16373365611622165,0.11712763654196966,0.6296995412935761,0.3703004587064239
Retail (Special Lines),71,0.3424171213891998,0.2874665068232115,0.7956650673724199,0.20433493262758007
Rubber& Tires,15,0.26156741599084904,0.208593685090928,0.7404909305355674,0.2595090694644327
Semiconductor,173,0.35053007559068194,0.32042779240286073,0.8916915589224178,0.10830844107758215
Semiconductor Equip,59,0.3780387083633861,0.35060040424206224,0.9085983555040426,0.09140164449595746
Shipbuilding & Marine,56,0.24080266294198543,0.1814862969638196,0.6819710703685775,0.31802892963142254
Shoe,21,0.3921354976207287,0.35090515763743696,0.8670895909767703,0.1329104090232297
Software (Entertainment),33,0.4696202053064469,0.4253940912345172,0.8811113251733117,0.1188886748266883
Software (Internet),19,0.3399832570802881,0.2863629846119463,0.7992627579619607,0.2007372420380394
Software (System & Application),189,0.39634987043585945,0.3833703050479519,0.958934548900745,0.04106545109925495
Steel,111,0.2652892299092005,0.1893985128191136,0.6277363474668499,0.3722636525331501
Telecom (Wireless),8,0.3320147995174,0.3072018030339381,0.9058632014621534,0.09413679853784666
Telecom. Equipment,125,0.34241614692948186,0.311201135364294,0.8849559755852431,0.1150440244147569
Telecom. Services,16,0.2636929287418906,0.2125113221426076,0.7516230222241517,0.2483769777758483
Tobacco,2,0.3262013522125299,0.3232881959490882,0.9888273707136057,0.011172629286394268
Transportation,141,0.273673951316888,0.20185494774215515,0.6601479264044483,0.33985207359555164
Transportation (Railroads),10,0.24759023849803782,0.2056204740952569,0.7838821122969027,0.21611788770309723
Trucking,7,0.43909065728966656,0.33349992397972716,0.6898589659410215,0.3101410340589786
Utility (General),4,0.26327809442587036,0.17540880655397217,0.5608069529911819,0.43919304700881806
Utility (Water),38,0.21873277774802272,0.12456895926960994,0.41534117387713365,0.5846588261228663
Total Market,7504,0.3209037325949247,0.20653912895456256,0.5281440269768836,0.47185597302311644
Total Market (without financials),7161,0.3211951486316037,0.2416134121427727,0.6800266267483532,0.3199733732516468
