Industry_Name,Number_of_firms,_of_Money_Losing_firms_Trailing_,Current_PE,Trailing_PE,Forward_PE,Aggregate_Mkt_Cap_Net_Income_all_firms_,Aggregate_Mkt_Cap_Trailing_Net_Income_only_money_making_firms_,Expected_growth_next_5_years,PEG_Ratio
Aerospace/Defense,67,0.22388059701492535,75.72603920055295,138.2595903391618,53.737789085646654,75.36191618167462,47.588289826276366,0.24666666666666667,1.9292549929571499
Apparel,212,0.41509433962264153,38.88675250863606,64.71838649378086,19.351101266285358,30.93149490901169,19.1500674061143,0.1408625,1.3594865493736303
Auto & Truck,37,0.3513513513513513,45.38292721281494,50.99950236834105,17.87711239091256,37.75670372286218,15.541964301127885,0.06373749999999997,2.43843330866882
Auto Parts,210,0.1952380952380952,78.63150665125397,356.9845407057846,66.67665784491976,35.13322931613382,25.315345928010036,0.2644866666666667,0.9571501749808445
Bank (Money Center),27,0,5.12056710510626,5.0220829003478045,4.319584977935688,4.252780633229088,4.4164203213250754,0.04916875,0.8982169205694828
Banks (Regional),37,0,5.203479900617295,5.360824234999295,5.075807820335307,4.699045781065722,4.590472998449871,0.10205,0.4498258695198306
Beverage (Alcoholic),45,0.2222222222222222,74.33190855150197,103.35471938940726,72.41775007614315,28.821354164970085,25.806259887723396,0.20659166666666665,1.2491433127049365
Beverage (Soft),5,0.4,32.41398655223175,32.50027268929186,27.40018820663982,50.24291263947112,44.798216276477135,0.2025,2.2122575939001052
Brokerage & Investment Banking,105,0.3904761904761904,58.70802757355998,33.73335473782618,20.02917236566605,22.00255585648392,18.352263744989916,0.11614846153846153,1.5800694647094164
Building Materials,65,0.32307692307692304,35.68015769175028,52.573425652228586,13.942322814319613,22.965955916363544,15.540790636920658,0.174,0.8931488871793483
Business & Consumer Services,124,0.3951612903225806,76.83008541084686,1505.997074714477,22.85829208394835,79.29465668057178,29.057375191445246,0.348,0.8349820457311853
Chemical (Basic),284,0.2359154929577465,67.62687741021006,142.03446665460362,33.04928330903188,19.339740115058355,24.163629962198378,0.25057187500000005,0.9643392724023147
Chemical (Diversified),5,0,6.579889562584786,19.01483673049779,13.267767127444568,9.23592064362772,15.503759975445059,0.3,0.516791999181502
Chemical (Specialty),244,0.2295081967213115,52.33902723340017,62.0585260416724,28.3841922632861,12.014361565473155,16.650717477947627,0.16133333333333333,1.032069265162043
Computer Services,150,0.3733333333333333,77.15728848236397,89.21519163940685,38.14531355190626,58.71743507822059,36.774199564066635,0.26899999999999996,1.3670706157645591
Computers/Peripherals,63,0.4126984126984127,94.03078731608205,99.07005215186877,29.81277278917584,40.90645649769328,26.705586274577826,0.25780000000000003,1.035903268990606
Construction Supplies,55,0.3090909090909091,42.419481922550354,448.42843182630514,14.769286284797575,10.832242953041316,14.032425267753183,0.11506250000000001,1.2195480949704014
Diversified,15,0.33333333333333337,84.1411928890208,9.198721813611472,5.9116173425286815,4.327345210179207,4.659285167940235,0.02085,2.2346691452950767
Drugs (Biotechnology),126,0.5714285714285714,46.44403378026472,77.92673654007721,34.41822808545819,242.20486146317074,30.801713834032512,0.16455555555555557,1.8718124544651762
Drugs (Pharmaceutical),274,0.24452554744525545,51.85515205591352,45.954646396564485,30.22267728521351,32.610115125964384,23.32876568911249,0.13886470588235295,1.6799636409324028
Education,52,0.32692307692307687,32.94896591855449,18.78256052557711,14.873872839876652,26.098889745215516,10.10410972469133,0.054000000000000006,1.8711314304983944
Electrical Equipment,334,0.1946107784431138,56.093269554305884,74.18849932580774,26.257451829098947,26.396962046187806,21.50740326109071,0.2589730769230769,0.8304879996262732
Electronics (Consumer & Office),29,0.3448275862068966,38.402553937728236,44.98008939144733,22.001581802254055,43.35295948309078,22.055506870153277,0.24,0.9189794529230532
Electronics (General),442,0.29864253393665163,70.52933149962921,210.74463571728305,37.523728561612266,37.02749523031278,29.328662251570776,0.24848529411764708,1.1802977055730677
Engineering/Construction,345,0.3710144927536232,72.43981698777031,99.38696064330703,16.48153874620822,11.240508707482617,9.040598851033227,0.24502380952380948,0.36896817777028046
Environmental & Waste Services,120,0.35,71.69995827153483,44.54499986983769,17.28578366535606,32.840766826791715,14.48345552832828,0.00506,28.623429897881977
Financial Svcs. (Non-bank & Insurance),115,0.4956521739130435,30.00531814572168,24.86149334877511,23.379291500481138,60.23530816231291,18.667693013536155,0.08831666666666667,2.1137225529574812
Food Processing,231,0.2640692640692641,63.847438681203364,78.85887163016895,25.643413360273385,24.403865038488025,22.926284698617923,0.14591129032258068,1.571248163725541
Furn/Home Furnishings,103,0.18446601941747576,45.4466475165221,48.788070684035574,16.70121763939025,13.284573322896604,12.326425588990201,0.14704,0.838304242994437
Green & Renewable Energy,41,0.14634146341463417,23.98343431370535,42.80877170819898,13.520934007392745,21.411567850048208,20.23862507728764,0.144,1.405460074811642
Healthcare Products,140,0.23571428571428577,82.67334440922788,159.7546725719286,44.424680131062416,24.134032497623185,30.54108388038905,0.09096874999999999,3.357315988225523
Healthcare Support Services,75,0.33333333333333337,27.13395296595729,49.58176705315549,22.280516115084268,20.11725325502186,16.028887270914478,0.1399923076923077,1.1449834305285358
