Industry_Name,Number_of_firms,ROE_unadjusted_,ROE_adjusted_for_R_D_
Advertising,75,0.027095029504707758,0.023642983585433996
Aerospace/Defense,67,0.05209628143638104,0.047219209468345305
Air Transport,16,-0.1260657546219562,-0.12312775642931009
Apparel,212,0.06121570529726598,0.056708614429942295
Auto & Truck,37,0.05526986738017522,0.05096082192574627
Auto Parts,210,0.07613911405465326,0.0648188518501257
Bank (Money Center),27,0.10301435790607183,0.10301435790607183
Banks (Regional),37,0.10093941302280114,0.10093941302280114
Beverage (Alcoholic),45,0.24300275115034556,0.24016216121452671
Beverage (Soft),5,0.3408661719808327,0.3336568723304097
Broadcasting,7,-0.017599953334147555,-0.017695909659813377
Brokerage & Investment Banking,105,0.05103495379436442,0.050996921468157805
Building Materials,65,0.07718212750716336,0.06703381085615757
Business & Consumer Services,124,0.04210575765362564,0.038147191658313886
Cable TV,11,-0.014079360206075947,-0.013662286984790797
Chemical (Basic),284,0.045790084808412276,0.04285166661297216
Chemical (Diversified),5,0.13637505232314776,0.12794870894628638
Chemical (Specialty),244,0.11131243854995573,0.09933384117876422
Coal & Related Energy,39,0.1687118826115187,0.16285551588358213
Computer Services,150,0.03481605181009129,0.027425192424586402
Computers/Peripherals,63,0.07963671238653872,0.058618955609342334
Construction Supplies,55,0.032099430438052995,0.030495112871047215
Diversified,15,0.06427431024863695,0.06328439854265223
Drugs (Biotechnology),126,0.0026729161054068963,-0.0016947710407345096
Drugs (Pharmaceutical),274,0.09276403065793096,0.07954408711372012
Education,52,0.08984363604539224,0.08332845215325482
Electrical Equipment,334,0.10850438702417342,0.09388044112936075
Electronics (Consumer & Office),29,0.04994456357522298,0.031404191569891375
Electronics (General),442,0.059688379649604294,0.04690512282178529
Engineering/Construction,345,0.07953174265960843,0.06379463265522854
Entertainment,112,-0.022431412234917975,-0.02128842348912442
Environmental & Waste Services,120,0.01577482125512612,0.01492147983949946
Farming/Agriculture,52,-0.08102856219645937,-0.07585254500095505
Financial Svcs. (Non-bank & Insurance),115,0.023969691680145646,0.023515006789469512
Food Processing,231,0.08807423704183608,0.08376867150008599
Food Wholesalers,14,0.057574096500732995,0.05752124686840273
