Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Advertising,75,1749.1420000000003,332.5799999999999,518.044,1.557652294184858,0.09006554307512636,0.19013893669010284,0.39132165907966965,0.2961703509492082,0.6568910642506622
Aerospace/Defense,67,3202.54,247.53899999999996,1789.0439999999999,7.227321755359762,0.060054728823262134,0.07729458492321718,0.08315913552419045,0.5586328351870702,0.6778630674500736
Apparel,212,8793.136000000004,1777.1030000000005,3239.8270000000016,1.8230946658691143,0.09806312805357482,0.2021011616333467,0.2671868012117254,0.36844954973970606,0.4881839611553583
Auto & Truck,37,18552.31,3161.2830000000004,10030.079999999998,3.1727877573757226,0.07203099121620204,0.170398349316069,0.21631782400379157,0.5406377965870556,0.7427653161726043
Auto Parts,210,9418.316,1128.008,3744.014000000001,3.3191378075332807,0.07211837140551243,0.11976748284937562,0.12612574494775983,0.3975247804384564,0.4672926917518529
Bank (Money Center),27,319708.39999999997,41147.7,97773.1,2.376149821253679,0.119730077964868,0.1287038438777336,0.1287038438777336,0.3058196156247381,0.3058196156247381
Banks (Regional),37,33586.5,4361.759999999998,11308.790000000003,2.592712574740473,0.09660658404697933,0.1298664642043678,0.12566924210620337,0.3367064147797479,0.3367064147797479
Beverage (Alcoholic),45,32800.62899999999,8192.745,22933.809999999998,2.799282780069439,0.16140673625728907,0.2497740211018515,0.2540084561059558,0.6991881161791136,0.7054232499205108
Beverage (Soft),5,2304.6,521.9,638.44,1.2232994826595134,0.13617917219978976,0.22646012323179726,0.22876675779114272,0.27702855159246725,0.2792520503007108
Brokerage & Investment Banking,105,24595.13,3490.3480000000004,8234.61,2.3592518568349057,0.08312215679158276,0.14191215903310941,0.14849684156337253,0.33480652470631383,0.36443816154080505
Building Materials,65,2988.5519999999997,361.515,1129,3.122968618176286,0.09182767841013136,0.12096660857833494,0.12893305372431474,0.37777492243735433,0.47503799462437074
