Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Advertising,75,1.8886420751971904,1.7949418488410294,0.21177685923674186,8.918075761459416,8.475627862789738
Aerospace/Defense,67,0.7891578976087175,0.7235453537559065,0.14000867554685098,5.63649284250705,5.167860855263838
Air Transport,16,0.5969510663490896,1.1567164742602705,0.22155527847875942,2.6943662567999684,5.220893323790366
Apparel,212,0.8033683759495198,0.7903134796092789,0.13970504685432153,5.750460660073634,5.657014527423509
Auto & Truck,37,1.8648942403928366,1.5863767149170944,0.23312939871308472,7.999395403099656,6.804704699082024
Auto Parts,210,1.2738975211253816,1.251946174470747,0.19306750953479204,6.598197305154635,6.484499528104898
Bank (Money Center),27,0.39339644568833004,1.1119225535747335,0.3186688119098719,1.234499364185012,3.489273226679036
Banks (Regional),37,0.12008430639605502,0.6892061493811948,0.19382221991099016,0.6195590291515692,3.5558675867901113
Beverage (Alcoholic),45,1.3465928781483756,1.2575636114264244,0.20926918889081877,6.4347402753633665,6.009310869372788
Beverage (Soft),5,0.9359208504599398,0.8932358167566484,0.20978903758674516,4.461247647761137,4.257781183572599
Broadcasting,7,1.1913329597654687,1.13558409713981,0.23315559533067456,5.109604845964998,4.870499013884954
Brokerage & Investment Banking,105,0.49426284859947983,1.1232288766851894,0.21267107465690577,2.3240718061770056,5.281531014489169
Building Materials,65,1.2298968297366202,1.3213522325854916,0.21484695813863083,5.7245252173550645,6.15020219058854
Business & Consumer Services,124,1.0204776952530432,1.009699365036438,0.1683552009903326,6.061456309339928,5.99743494170054
Cable TV,11,1.281640124682372,1.261494446339274,0.25365525193295035,5.0526851500837555,4.9732636589473405
Chemical (Basic),284,0.9498831406781163,1.146322020693728,0.21372162438503786,4.4444877462040075,5.3636220667522645
Chemical (Diversified),5,1.044425495747563,1.1227956925814424,0.17313804909347716,6.032327967283945,6.484973686952228
Chemical (Specialty),244,0.9672285479033638,1.0267107825963844,0.2025236542099076,4.775879398763319,5.069584521382574
Coal & Related Energy,39,1.2400188578705584,1.1535580850965175,0.17946827326933515,6.909404293479845,6.427643527640828
Computer Services,150,0.9061688923935842,0.8752407393207376,0.1651300632547493,5.487607008274564,5.3003112944399895
Computers/Peripherals,63,1.3114748851154021,1.322055560827115,0.19538414320815486,6.7122892553169295,6.76644245085256
Construction Supplies,55,0.819941561313612,1.2144217303388105,0.22571849425997803,3.6325847556346877,5.380249121013823
Diversified,15,0.23210593141941505,1.1206068176652615,0.2740569995644404,0.8469257555483045,4.088955288302233
Drugs (Biotechnology),126,1.5246687383502264,1.4329456547287516,0.18943592971671533,8.0484665217957,7.564275989626651
Drugs (Pharmaceutical),274,0.9236569034440757,0.8903832044996318,0.15692577180062733,5.885947813706297,5.673913177440701
Education,52,0.8760048930713062,0.9145880325255413,0.13442557567180402,6.516653461912975,6.803675773414431
Electrical Equipment,334,0.9731152937594557,0.931587947945435,0.1765086504492995,5.51313089348544,5.277860011812991
Electronics (Consumer & Office),29,1.13678060133402,1.0925357226722,0.19955452379237199,5.6965914865292255,5.474873242206912
Electronics (General),442,1.1251764384228728,1.131488207670844,0.19614300385682126,5.736510690150434,5.768690115997192
Engineering/Construction,345,0.6276901732709591,0.9141087888904832,0.16094190211185916,3.900104106105921,5.67974391314918
Entertainment,112,1.5124049913583757,1.4091466908308807,0.20375614694978805,7.422622649667006,6.915848733526253
Environmental & Waste Services,120,0.7159822427590878,1.0260843257446013,0.15828078046914007,4.523494518013718,6.482684269709274
Farming/Agriculture,52,0.7652427952387107,1.0235030491358377,0.17810132748343496,4.29667092352181,5.74674576320063
Financial Svcs. (Non-bank & Insurance),115,0.5569917785127031,0.9395442840843511,0.164454546262828,3.3869041091909367,5.713094015551203
Food Processing,231,0.8721213828614096,0.931376110149465,0.16586017325528551,5.25817238547722,5.61542950227073
Food Wholesalers,14,0.48161641041511577,0.5375886276797884,0.12847053582830936,3.7488472147322383,4.1845285708018904
Furn/Home Furnishings,103,1.109660133781608,1.010654961862152,0.1754548308425638,6.32447752195156,5.76020025786019
