Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Local_Currency_
Advertising,75,1.7949418488410294,0.13985522608974996,0.9204070911058289,0.4519306194129396,0.058554999999999996,0.09006554307512636,0.04391625,0.07959290889417114,0.13221916390643842,0.1322191639064385
Aerospace/Defense,67,0.7235453537559065,0.07953560341645755,0.9365932766832366,0.26765826007493715,0.058554999999999996,0.060054728823262134,0.04391625,0.06340672331676345,0.07727709692965821,0.07727709692965812
Air Transport,16,1.1567164742602705,0.10392313750085323,0.40927208018365513,0.22922473798380963,0.052743,0.07265391037078761,0.03955725,0.5907279198163449,0.06590041067034133,0.06590041067034136
Apparel,212,0.7903134796092789,0.0832946489020024,0.8328776513134585,0.32623783588446403,0.058554999999999996,0.09806312805357482,0.04391625,0.16712234868654152,0.07671363838998424,0.07671363838998424
Auto & Truck,37,1.5863767149170944,0.12811300904983242,0.8133953130692589,0.3386790627312019,0.058554999999999996,0.07203099121620204,0.04391625,0.18660468693074106,0.1124014991867554,0.11240149918675546
Auto Parts,210,1.251946174470747,0.10928456962270305,0.8494423305897338,0.3304561936767735,0.058554999999999996,0.07211837140551243,0.04391625,0.15055766941026616,0.09944286776704352,0.09944286776704359
Bank (Money Center),27,1.1119225535747335,0.10140123976625749,0.21254376298105737,0.16197408037684946,0.052743,0.119730077964868,0.03955725,0.7874562370189426,0.05270180430268237,0.05270180430268234
Banks (Regional),37,0.6892061493811948,0.07760230621016127,0.12115761708215644,0.16899427598889075,0.052743,0.09660658404697933,0.03955725,0.8788423829178436,0.04416669835217984,0.04416669835217979
Beverage (Alcoholic),45,1.2575636114264244,0.1096008313233077,0.9906500847892099,0.290074507434938,0.058554999999999996,0.16140673625728907,0.04391625,0.009349915210790094,0.10898668605727853,0.10898668605727857
Beverage (Soft),5,0.8932358167566484,0.08908917648339931,0.9833987436091933,0.20773896972974443,0.052743,0.13617917219978976,0.03955725,0.016601256390806673,0.08826688427231782,0.08826688427231777
Broadcasting,7,1.13558409713981,0.1027333846689713,0.7689219983734966,0.3553530195197216,0.058554999999999996,0.032278271932098555,0.04391625,0.23107800162650338,0.08914203872826848,0.08914203872826842
Brokerage & Investment Banking,105,1.1232288766851894,0.10203778575737617,0.3261155915074784,0.2957426258483064,0.058554999999999996,0.08312215679158276,0.04391625,0.6738844084925216,0.06287058901283978,0.06287058901283982
Building Materials,65,1.3213522325854916,0.11319213069456319,0.7830051397775701,0.2889188084011628,0.058554999999999996,0.09182767841013136,0.04391625,0.21699486022242986,0.09815962064646071,0.09815962064646078
Business & Consumer Services,124,1.009699365036438,0.09564607425155147,0.805309238342618,0.37176218396266136,0.058554999999999996,0.10535689400435128,0.04391625,0.19469076165738197,0.08557475536761441,0.0855747553676145
Cable TV,11,1.261494446339274,0.10982213732890114,0.8474337420233422,0.2857384525460136,0.058554999999999996,0.027782573974933226,0.04391625,0.1525662579766578,0.09976712272049947,0.09976712272049948
Chemical (Basic),284,1.146322020693728,0.10333792976505689,0.6685286875333529,0.27763797662034645,0.058554999999999996,0.0933266400804478,0.04391625,0.3314713124666471,0.08364134758436068,0.0836413475843607
Chemical (Diversified),5,1.1227956925814424,0.1020133974923352,0.8160170275324213,0.2770739317025301,0.058554999999999996,0.1329740682449717,0.04391625,0.18398297246757866,0.09132451160480805,0.09132451160480803
Chemical (Specialty),244,1.0267107825963844,0.09660381706017644,0.7900124991657933,0.2778594693552718,0.058554999999999996,0.09899415257804105,0.04391625,0.2099875008342067,0.08554008652817532,0.08554008652817524
Coal & Related Energy,39,1.1535580850965175,0.10374532019093394,0.7901243054631113,0.32755740268961075,0.058554999999999996,0.2076282815910011,0.04391625,0.2098756945368887,0.09118865253111541,0.09118865253111541
Computer Services,150,0.8752407393207376,0.08807605362375753,0.8710486293328417,0.359581245402913,0.058554999999999996,0.07187617771511967,0.04391625,0.12895137066715834,0.08238158641808145,0.08238158641808146
Computers/Peripherals,63,1.322055560827115,0.11323172807456658,0.7937113974603381,0.37299988085117214,0.058554999999999996,0.08527985444510773,0.04391625,0.20628860253966186,0.09893273496819566,0.09893273496819566
Construction Supplies,55,1.2144217303388105,0.10717194341807504,0.4816697373603587,0.2720081843488048,0.058554999999999996,0.13792174510883476,0.04391625,0.5183302626396413,0.07438460323523156,0.07438460323523155
Diversified,15,1.1206068176652615,0.10189016383455422,0.14816561561395958,0.23716649610730173,0.052743,0.16996201930888238,0.03955725,0.8518343843860404,0.048792844551308626,0.04879284455130861
Drugs (Biotechnology),126,1.4329456547287516,0.11947484036122871,0.9556371910925393,0.37289992152097584,0.058554999999999996,0.05275616786924671,0.04391625,0.044362808907460693,0.11612284905571642,0.11612284905571646
Drugs (Pharmaceutical),274,0.8903832044996318,0.08892857441332927,0.8966685202857149,0.31072424657232417,0.058554999999999996,0.09995410389051763,0.04391625,0.10333147971428513,0.08427738432632052,0.08427738432632048
Education,52,0.9145880325255413,0.09029130623118797,0.7308013327309753,0.4288800416157304,0.058554999999999996,0.07684838873793984,0.04391625,0.26919866726902475,0.07780720289922607,0.07780720289922605
Electrical Equipment,334,0.931587947945435,0.091248401469328,0.8355618800937389,0.3159022435173042,0.058554999999999996,0.09249125744930765,0.04391625,0.16443811990626112,0.08346519147059334,0.08346519147059328
Electronics (Consumer & Office),29,1.0925357226722,0.10030976118644486,0.7761015727622083,0.34559256858684334,0.058554999999999996,0.05994166633442939,0.04391625,0.22389842723779174,0.08768334272538304,0.08768334272538314
Electronics (General),442,1.131488207670844,0.10250278609186851,0.8357344634040751,0.32306019905464456,0.058554999999999996,0.06621163827207736,0.04391625,0.1642655365959249,0.09287903730344121,0.09287903730344116
Engineering/Construction,345,0.9141087888904832,0.09026432481453421,0.42748892552180984,0.3183133236538304,0.058554999999999996,0.09692525961632584,0.04391625,0.5725110744781902,0.06372953870246968,0.06372953870246967
Entertainment,112,1.4091466908308807,0.11813495869377859,0.912357302337215,0.4216681331660082,0.058554999999999996,0.06698569250299105,0.04391625,0.08764269766278499,0.11163023084680744,0.11163023084680734
