Industry_Name,Number_of_firms,Acc_Rec_Sales,Inventory_Sales,Acc_Pay_Sales,Non_cash_WC_Sales
Advertising,75,0.27848399757291675,0.02122328568275811,0.15163396349289585,0.17665010880121274
Aerospace/Defense,67,0.7394795984133324,0.5891621061875278,0.7180885486787616,0.6595852498807534
Air Transport,16,0.05054666757437538,0.02176540268227926,0.16441731908230645,-0.14915731499761722
Apparel,212,0.13756684873900193,0.2246023232734458,0.11878255969390666,0.23639149185967634
Auto & Truck,37,0.1608480986236362,0.12602926359866523,0.35836673802774227,-0.12895819413702084
Auto Parts,210,0.27556837340069223,0.17845712187349771,0.2922067780081948,0.15486727499121386
Beverage (Alcoholic),45,0.05905128055593964,0.2960193738379816,0.0780631905301113,0.20397704609819234
Beverage (Soft),5,0.03256700614374074,0.06058888739238093,0.061615606966359655,-0.2144756063447332
Broadcasting,7,0.30766823030566076,0.12077107991252524,0.3445975159841743,0.20663614510124712
Building Materials,65,0.3243428908673643,0.1933652274558551,0.2611928340664701,0.22044082998108686
Business & Consumer Services,124,0.3746472219146276,0.0974005326692521,0.26978399863339114,0.17300154120553868
Cable TV,11,0.43788327031210206,0.19791207068827024,0.46295527125252267,0.16260124213867275
Chemical (Basic),284,0.1376001474706404,0.13409183376747788,0.1634106373126379,0.10548084653279055
Chemical (Diversified),5,0.08071371726233541,0.12396903487194327,0.09857473592823035,0.049989147735494156
Chemical (Specialty),244,0.1689918829630379,0.1890141866323444,0.17162209055025265,0.20907556580133424
Coal & Related Energy,39,0.08646289292430887,0.04190294064652382,0.16229878966275663,-0.08909956912271341
Computer Services,150,0.23089327117684189,0.15088821389047175,0.14062331034882655,0.2519709509502305
Computers/Peripherals,63,0.17261984512542897,0.14744208904042383,0.20512483261801276,-0.0840656263822695
Construction Supplies,55,0.28787424922125465,0.21512791861842148,0.25686662043448955,0.19499893386891132
Diversified,15,0.14906448586039742,0.19587049250419986,0.10683483460952631,-1.590914092758332
Drugs (Biotechnology),126,0.3832057858268645,0.2339588270548515,0.17064327806265261,0.39285213651516765
Drugs (Pharmaceutical),274,0.28773240454461996,0.1893692774600521,0.15272850500901416,0.26260535397218854
Education,52,0.03821248598594909,0.009931840311587151,0.04427328013489697,-0.23938559297377193
Electrical Equipment,334,0.38397251018557504,0.2189112393578254,0.41356508875726444,0.1969690979384909
Electronics (Consumer & Office),29,0.22805119575691007,0.16512953916140166,0.28113383169413647,0.06596611015440576
Electronics (General),442,0.2950017398617301,0.18276707284225638,0.2510521168227346,0.21079933463674985
Engineering/Construction,345,0.4333499500184115,0.21352653393520823,0.4415651395751842,0.17205096607863776
Entertainment,112,0.21091656792018967,0.14696492412198858,0.17263206096751635,0.18503796946928353
Environmental & Waste Services,120,0.7805756405836219,0.12165843290261573,0.4453190049448064,0.4198965561444552
Farming/Agriculture,52,0.057569686687533,0.15490821980958994,0.13041038389969226,0.05737707426963121
Financial Svcs. (Non-bank & Insurance),115,4.117255769830485,0.24070177103972915,0.3994153963134779,2.93356890892647
Food Processing,231,0.05194974656484286,0.15006217702336516,0.08942040373139679,0.0917078713281552
Food Wholesalers,14,0.4343466909417337,0.038914386137925375,0.03944793187809366,0.47436325361755405
Furn/Home Furnishings,103,0.11548375396772301,0.10544366344751936,0.1947245000019352,-0.029987316555875453
Green & Renewable Energy,41,0.8444018869772731,0.03032914210108644,0.2654844429427873,0.28654760671032536
Healthcare Products,140,0.2383730225203376,0.2379257041118046,0.13901284389853433,0.36709391449441525
Healthcare Support Services,75,0.3642911807166439,0.11486443886936912,0.24493224547597442,0.19741617861415237
Heathcare Information and Technology,45,0.3624613431371551,0.15157688316772977,0.13753514903189523,0.4010542163562237
Homebuilding,4,0.758118206521739,0.022712862318840583,0.47319972826086953,0.2275815217391303
Hospitals/Healthcare Facilities,25,0.1335201354199818,0.0465539627410554,0.22873338960457917,-0.1300574935311129
Hotel/Gaming,80,0.09717170987252469,0.14974503662340757,0.1365105381025404,0.0201729619876273
Household Products,34,0.15489489982846916,0.17474954909120455,0.1417676684703018,0.1745017921526854
Information Services,3,0.43262531860662695,0.01011894647408666,0.09518266779949024,0.2537638062871707
Insurance (General),6,0.0008787910135552078,0,0.006630853043456296,0.09084342345680053
Insurance (Life),8,0.018785937860148497,0.001327774604753125,0.07726489802193563,-0.013556993273951072
Insurance (Prop/Cas.),3,0.0012238797851543716,0,0.0037744585244056223,0.07624200580961472
Investments & Asset Management,42,11.607844485485131,1.6633230943130932,0.5700404123483963,10.178646506332296
Machinery,421,0.40829023069584675,0.3228246322325451,0.32158421826948996,0.4051003115253726
Metals & Mining,129,0.07150296431130466,0.14508401668652676,0.0859414278112461,0.13032803378746538
