Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_,Cash_Firm_Value
Advertising,154,18.34,58021.62199999998,22726.958000000006,56185.11476365438,20696.806934216853,5162.021763654369,39919.96299999999,8264.986,2165.218,1688.5174472691256,1145.9560000000001,0.08521739200564699
Aerospace/Defense,131,30.023622047244096,227125.44999999995,59260.404,224529.72209406985,76905.47709406992,25851.941094069894,88067.08500000002,18283.316,8614.666,5848.327781186019,4807.938,0.09894031926208363
Air Transport,78,34.282051282051285,236458.55,65144.721999999994,414715.4588292721,259422.85082927204,218816.73282927214,181916.09000000005,33829.191000000006,26227.704999999998,4466.023634145589,3745.3079999999995,0.07803659905089279
Apparel,936,36.55952380952381,281240.491,125912.75599999996,313403.7422815273,171125.3782128183,66109.48128152733,242917.5859999999,55694.846000000056,19303.533999999996,13512.023743694532,9234.226000000015,0.07705101211087965
Auto & Truck,86,41.1025641025641,501913.55100000015,252765.261,579697.6676382602,400564.0156073639,198375.91263826017,653906.6579999998,131852.952,53627.14299999999,35595.96567234797,27971.501999999993,0.13380602749076603
Auto Parts,545,33.737827715355806,398334.22599999944,175012.79299999998,425750.64497211564,217495.96797211582,78678.6619721158,342831.42700000026,60741.14800000004,28691.076999999965,17059.07740557684,13334.510999999993,0.0959059323913181
Bank (Money Center),459,54.97560975609756,3550548.3599999994,4110793.6799999997,8182087.599620329,9301871.17138868,7036732.250620329,1274076.4300000002,1265152.03,8433.235,7754.798875934051,492435.26399999985,0.2430896533279162
Banks (Regional),100,37.142857142857146,174923.9,321366.83,1056506.610271698,1245288.5672716978,1020180.6802716983,78790.73999999999,77996.231,28.112999999999992,-22.973054339641543,32419.206000000006,0.12819276398542265
Beverage (Alcoholic),126,64.3529411764706,750277.7000000001,135314.279,718533.5602573841,105199.05625738416,21702.472257384157,134874.40999999992,77949.554,44539.04999999999,40181.54374852314,30897.660000000014,0.04324535102292264
Beverage (Soft),40,48,128123.68,16920.656999999992,127720.58318538048,16499.83818538047,6772.189185380472,31956.20099999999,14164.682000000004,6308.325000000001,4981.797962923903,3546.733,0.04158966797593059
Broadcasting,63,30.903225806451612,22305.449999999997,19251.98,24584.679262735208,29622.849262735213,6677.908262735207,14296.61,4373.092,1718.866,736.869347452958,256.79800000000006,0.07938347979108706
Brokerage & Investment Banking,431,29.616504854368934,468263.21200000023,418569.5599999999,1356101.1996727753,1348208.3106727754,1056858.8666727752,154750.58499999996,107794.63599999998,2266.6940000000004,2017.9212654450416,24220.599,0.09638815618371493
Building Materials,255,35.50396825396825,89667.50700000007,44492.54999999998,103669.59866951713,62367.878669517115,24064.35366951711,64573.06099999999,16063.296999999993,7766.629999999999,4899.953066096576,3506.1520000000005,0.07025085299691197
Business & Consumer Services,338,25.246246246246248,115118.43099999998,34317.406,118156.94757522902,36791.06357522897,17736.345575228985,67585.559,13735.008000000003,4908.458000000002,3596.0874849542065,2601.2550000000015,0.09353805849179411
Cable TV,32,23.1875,29951.486000000004,20044.006,35435.91357327989,24720.774573279887,10423.467573279886,13523.737000000001,5574.097000000001,2396.8030000000003,387.17568534402324,-216.17300000000006,0.12429901029178327
Chemical (Basic),707,34.26676176890157,756818.8559999998,434227.67500000005,960925.7148931297,688785.4738931298,312565.75489312987,665341.9910000002,91082.144,58924.440999999955,26493.013421373988,14707.620999999988,0.07817439946032276
Chemical (Diversified),30,49.1,65941.81000000001,34178.11,77794.44817387148,46931.47917387147,19428.259173871473,46622.600000000006,14447.93,8743.407,6632.901565225706,3714.456,0.04773866547951047
Chemical (Specialty),656,32.83204930662558,536635.0179999998,210094.61600000024,590217.294873324,291574.18287332397,115615.03487332376,299900.0999999999,73708.96100000001,50056.563000000024,37819.42522533523,25776.305000000004,0.055227062461889895
Coal & Related Energy,95,28.58695652173913,335597.66899999994,191202.32699999996,329389.3910000001,226090.43700000003,73156.64500000002,266522.3039999999,101716.90799999998,78381.66200000004,62338.79499999998,39847.06799999999,0.22611056414580352
Computer Services,603,25.73344651952462,612274.7409999999,118751.12899999997,624490.7259938174,128913.76835612305,44633.96499381811,346110.63000000006,59670.413999999924,28973.479000000007,25267.06120123636,18824.928999999996,0.04100195820602661
Computers/Peripherals,228,27.678571428571427,735398.4500000002,354333.013,698868.8233582478,363885.04246538645,84521.75635824785,645561.859,119354.00800000003,54897.94299999997,20859.597728350433,34672.44900000003,0.1121809555494745
Construction Supplies,552,40.95918367346939,597338.9000000007,408772.4460000003,722153.6301864302,566855.5731864304,252341.86618643062,555665.8439999995,116995.40700000014,58540.375,33967.45436271391,22601.454999999998,0.13531743456859954
Diversified,212,55.72682926829268,708513.5300000007,567788.5100000001,1350416.1213753717,1512289.1003753715,792390.266375372,876940.5830000003,234882.96999999994,146277.537,112097.9129249257,47181.096999999994,0.11588501686934174
Drugs (Biotechnology),332,16.330218068535824,287747.5949999999,74546.05699999999,280429.70389498974,70516.67416246672,16968.319894989814,39480.554000000004,20640.241000000016,1847.5520000000015,-491.9725789979621,-970.8449999999991,0.06166711498891563
Drugs (Pharmaceutical),717,38.447976878612714,749155.0529999994,243285.45299999972,755432.3658903452,273420.1747820906,77919.28789034487,264105.58200000017,122405.37200000006,39824.43600000003,29907.347221931042,22766.295999999995,0.07463809668547566
Education,155,24.44,43023.901,24685.165999999994,51740.84025140988,31644.642367197273,16006.630251409879,18478.152000000006,9487.585,4643.6929999999975,3394.2085497180246,1608.8049999999998,0.12026292749475083
