Industry_Name,Number_of_Firms,Beta,ROE,Cost_of_Equity,_ROE_COE_,BV_of_Equity,Equity_EVA,ROC,Cost_of_Capital,_ROC_WACC_,BV_of_Capital,EVA,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,Tax_Rate2
Advertising,154,1.6134431636228455,0.05042276225441169,0.1659393212934802,-0.11551655903906852,22726.958000000006,-2625.3399855854314,0.0717707217983304,0.15344876693467885,-0.08167804513634845,20728.721066695263,-1693.0814149043126,0.8857955689661209,0.41561040150307615,0.075255,0.11420443103387916,0.0565691835,0.11420443103387916
Aerospace/Defense,131,0.9449840091861004,0.08113238647512426,0.11326473992386471,-0.03213235344874045,59260.404,-1904.1762468431525,0.08116489537651599,0.10753135873804098,-0.026366463361524997,68410.8636940699,-1803.7525311199747,0.8988742408142167,0.30648514524161513,0.075255,0.1011257591857833,0.0565691835,0.1011257591857833
Air Transport,78,1.3341046904993525,0.057492117319957244,0.14392744961134896,-0.08643533229139172,65144.721999999994,-5630.805693100336,0.015714099352628602,0.13396520039537904,-0.11825110104275044,253649.1898292721,-29994.295975913043,0.8859610010657518,0.268877154169354,0.075255,0.11403899893424821,0.0565691835,0.11403899893424821
Apparel,936,0.8043143651734884,0.07333828829860588,0.10217997197567089,-0.028841683677065008,125912.75599999996,-3631.535879459468,0.07338306712586468,0.096165604068233,-0.02278253694236833,159077.3516815273,-3624.1856413785144,0.8681371642885325,0.3387783498578605,0.075255,0.1318628357114675,0.0565691835,0.1318628357114675
Auto & Truck,86,1.2932820518883044,0.11066197106888036,0.14071062568879839,-0.030048654619918028,252765.261,-7595.256027702436,0.08274117121263258,0.13090913911727997,-0.04816796790464739,400952.02925741643,-19313.044476574476,0.8835117830577989,0.31234168668946355,0.075255,0.11648821694220116,0.0565691835,0.11648821694220116
Auto Parts,545,1.3227085420235596,0.07619163588801188,0.1430294331114565,-0.06683779722344461,175012.79299999998,-11697.469570042686,0.07024222946629713,0.13120000162308915,-0.06095777215679202,216798.88525806452,-13215.577051407592,0.86318069238144,0.3198145166431276,0.075255,0.13681930761855995,0.0565691835,0.13681930761855995
Bank (Money Center),459,0.7813609786752927,0.1197908001065137,0.10037124511961307,0.019419554986900636,4110793.6799999997,79829.78390856361,0.0007270476144033359,0.0901586673349187,-0.08943161972051536,8404851.302622417,-751659.4655036061,0.7879929817329239,0.2023868474663595,0.069443,0.21200701826707616,0.052200303100000005,0.21200701826707616
Banks (Regional),100,0.7835726226510902,0.10087912931150986,0.1005455226649059,0.0003336066466039511,321366.83,107.21011048604204,-1.6365639621453086e-05,0.09304665000552191,-0.09306301564514337,1192784.5558716985,-111004.12778437327,0.8448890556941957,0.21158234445196528,0.069443,0.15511094430580427,0.052200303100000005,0.15511094430580427
Beverage (Alcoholic),126,0.7975729165737366,0.22833998176940376,0.10164874582601044,0.12669123594339332,135314.279,17143.133247299153,0.3642453660240997,0.09431361925495226,0.26993174676914744,92336.40785738415,24924.527863332136,0.8372848760595464,0.2568860929584996,0.075255,0.16271512394045362,0.0565691835,0.16271512394045362
Beverage (Soft),40,0.44007083605137,0.20960965049997773,0.07347758188084796,0.13613206861912977,16920.656999999992,2303.4440398047573,0.32261041451036077,0.07074545524899949,0.25186495926136127,13493.30978538047,3398.4919193957794,0.8715941704769261,0.24354815765831578,0.069443,0.12840582952307383,0.052200303100000005,0.12840582952307383
Broadcasting,63,1.041471526165343,0.013338783854959338,0.12086795626182903,-0.1075291724068697,19251.98,-2070.1494765936072,0.030932116299677497,0.11248384272635661,-0.08155172642667911,20621.165862735208,-1681.691677036956,0.8696069430978373,0.34435988675470985,0.075255,0.13039305690216269,0.0565691835,0.13039305690216269
Brokerage & Investment Banking,431,0.9150536866013019,0.057865170606290636,0.11090623050418259,-0.05304105989789196,418569.5599999999,-22201.373103394275,0.0014270034368057973,0.10440099374781298,-0.10297399031100718,1253030.7086727752,-129029.5720542648,0.8802798989818331,0.336784722661935,0.075255,0.11972010101816692,0.0565691835,0.11972010101816692
Building Materials,255,1.0316138656624652,0.07880312546707262,0.12009117261420225,-0.041288047147129636,44492.54999999998,-1837.0105020960218,0.06983360791595164,0.11176151393878357,-0.04192790602283193,60304.34606951712,-2528.434954771048,0.8688696813249455,0.2983906430133178,0.075255,0.13113031867505456,0.0565691835,0.13113031867505456
Business & Consumer Services,338,0.9580645423211414,0.07579987251950224,0.11429548593490593,-0.038495613415403696,34317.406,-1321.0695947954555,0.08604027202507908,0.10682141648341595,-0.02078114445833687,36578.456775228995,-760.1421943090647,0.8705257545307358,0.3552101824082538,0.075255,0.12947424546926425,0.0565691835,0.12947424546926425
Cable TV,32,1.0132354806560642,-0.01078491994065458,0.11864295587569786,-0.12942787581635243,20044.006,-2594.2531194302233,0.016400198775297206,0.11314000909588996,-0.09673981032059276,21394.417173279886,-2069.6918592627285,0.9113482785208922,0.31933711848895735,0.075255,0.08865172147910785,0.0565691835,0.08865172147910785
Chemical (Basic),707,1.085672259003882,0.033870759158775375,0.1243509740095059,-0.09048021485073052,434227.67500000005,-39289.01332813319,0.03812832148591284,0.11512786017737399,-0.07699953869146114,610108.6634931299,-46978.085640634905,0.8639293272897766,0.2881063834822014,0.075255,0.13607067271022347,0.0565691835,0.13607067271022347
Chemical (Diversified),30,1.0611761692284847,0.10867938572378637,0.12242068213520459,-0.013741296411418219,34178.11,-469.6515402920572,0.11378962192157467,0.10658341539051422,0.007206206531060452,45324.29317387147,326.61621748525124,0.7744633828201009,0.2436955194177624,0.069443,0.2255366171798991,0.052200303100000005,0.2255366171798991
Chemical (Specialty),656,1.0025606302667978,0.12268903168846543,0.11780177766502366,0.00488725402344177,210094.61600000024,1026.7857573494548,0.1237878554492584,0.10892820257700872,0.014859652872249676,259681.94967332383,3858.783629334602,0.8550841229411186,0.3011878636923943,0.075255,0.14491587705888143,0.0565691835,0.14491587705888143
Coal & Related Energy,95,0.7544277177119801,0.20840263099936018,0.09824890415570403,0.11015372684365615,191202.32699999996,21061.64890022942,0.2879259035013908,0.08995099557500566,0.19797490792638514,173809.44519999993,34409.90891020607,0.8009125673071713,0.3591204772846801,0.075255,0.1990874326928287,0.0565691835,0.1990874326928287
Computer Services,603,1.0088955409935285,0.15852421074666162,0.11830096863029005,0.04022324211637157,118751.12899999997,4776.555413359472,0.16691178454843117,0.11039081379270639,0.05652097075572478,131966.49196778546,7458.874233246791,0.8718625288271089,0.3543206236377449,0.075255,0.12813747117289112,0.0565691835,0.12813747117289112
Computers/Peripherals,228,1.322763321249197,0.0978527196956385,0.14303374971443672,-0.045181030018798224,354333.013,-16009.13049700422,0.02425281297319097,0.1320761053976891,-0.10782329242449813,438307.7283033138,-47259.782360765676,0.8732701175002476,0.3210462723610615,0.075255,0.1267298824997524,0.0565691835,0.1267298824997524
Construction Supplies,552,1.003058241605434,0.055291043271541794,0.11784098943850821,-0.06254994616696641,408772.4460000003,-25568.6944918392,0.054423378696470424,0.1087670573631529,-0.05434367866668247,529216.5833864306,-28759.575952631756,0.8519068936133234,0.27799625591652655,0.075255,0.14809310638667658,0.0565691835,0.14809310638667658
Diversified,212,0.8885916584420943,0.08309625180685672,0.10882102268523702,-0.025724770878380307,567788.5100000001,-14606.229327126948,0.08372332286662025,0.1011358250784746,-0.01741250221185435,1142803.5777692418,-19899.069825621988,0.8529200555119647,0.259112968922331,0.075255,0.14707994448803524,0.0565691835,0.14707994448803524
Drugs (Biotechnology),332,1.357110199734937,-0.013023425236293844,0.14574028373911302,-0.15876370897540687,74546.05699999999,-11835.20849881209,-0.008520472555415378,0.14159093253162375,-0.15011140508703913,82934.44723878874,-12449.406405131489,0.9534675338045315,0.3893550934004017,0.075255,0.04653246619546844,0.0565691835,0.04653246619546844
Drugs (Pharmaceutical),717,0.884814966445048,0.0935785338550432,0.10852341935586977,-0.01494488550082658,243285.45299999972,-3635.873239101722,0.09340859486552133,0.10146431573208274,-0.008055720866561408,281329.49458209076,-2266.3118798841233,0.864128429424499,0.3006607098453748,0.075255,0.13587157057550103,0.0565691835,0.13587157057550103
