Industry_Name,Number_of_firms,Number_of_Employees,Market_Capitalization_millions_,Revenues_millions_,Mkt_Cap_per_Employee_,Revenues_per_Employee_,Stock_based_Compensation_millions_,Stock_based_Compensation_as_of_Revenue
Advertising,154,86083,5940.379999999999,10523.198,69007.58570217116,122244.78700788773,83.96899999999998,0.002103433813302883
Aerospace/Defense,131,402477,13536.3,17149.609999999997,33632.480862260454,42610.161574450205,184.02400000000003,0.0020895888628538117
Air Transport,78,748477,44149.5,41311.13,58985.780458183755,55193.586442869986,165.00699999999998,0.0009070500580789743
Apparel,936,2203080,82745.82400000001,73348.08900000002,37559.15536430816,33293.42965303122,212.53599999999994,0.0008749304795083879
Auto & Truck,86,1958637,60979.3,109491.50000000001,31133.53827176756,55901.88483113513,722.0799999999999,0.001104255463935038
Auto Parts,545,1284616,53531.21999999998,138215.96999999994,41670.98961868759,107593.21851821862,482.2869999999999,0.0014067759313092366
Bank (Money Center),459,6653225,692399.8,170331.6,104069.80073573343,25601.358739558636,1931.0009999999995,0.0015156084474461232
Banks (Regional),100,493774,32028.959999999995,19933.72,64865.62678472337,40370.1288443701,13.044999999999998,0.0001655651412843692
Beverage (Alcoholic),126,459638,60083.30000000001,26359.570000000003,130718.7395298039,57348.54385407648,242.36200000000002,0.0017969457660648909
Beverage (Soft),40,168976,88510.94999999998,22051.642,523807.81886185013,130501.62153205188,11.109,0.00034763206051933407
Broadcasting,63,120140,5549.1,5899.82,46188.613284501414,49107.8741468287,6.828,0.0004775957377308327
Brokerage & Investment Banking,431,442310,25006.417,35631.39999999998,56535.952160249595,80557.5275259433,458.916,0.002965520291894212
Building Materials,255,430975,15026.828000000003,19180.170000000002,34867.05261326064,44504.135970763964,65.387,0.0010126049313350658
Business & Consumer Services,338,1168357,11760.019999999991,10104.844000000001,10065.433767247503,8648.764033595897,204.59999999999997,0.0030272739180865543
Cable TV,32,83927,182.88,347.8,2179.0365436629454,4144.077591240006,28.141000000000002,0.0020808597505260567
Chemical (Basic),707,1221997,84895.55,81056.14700000003,69472.79739639295,66330.88870103612,586.9430000000001,0.0008821673784903198
Chemical (Diversified),30,118668,12139.099999999999,29802,102294.63713890854,251137.62766710485,63.153,0.0013545576608769137
Chemical (Specialty),656,777460,34890.55999999999,34231.86999999999,44877.627144804865,44030.39384662875,574.923,0.001917048377109578
Coal & Related Energy,95,1055146,29766.980000000007,47074.324,28211.242804313344,44614.03824683977,74.19,0.0002783631946990824
Computer Services,603,2641398,310346.11499999993,114046.76999999999,117493.12863869812,43176.67008152501,461.65799999999996,0.001333845192792836
Computers/Peripherals,228,918736,70321.76000000001,97680.129,76541.85750857701,106320.12787133627,1240.4620000000002,0.0019215230619750727
Construction Supplies,552,1999863,71458.97499999999,89072.65899999999,35731.93513755692,44539.38044756065,243.421,0.0004380708345283865
Diversified,212,2911327,130091.43000000001,324183.8170000001,44684.581979282986,111352.59522547625,178.56400000000002,0.00020362154912381328
Drugs (Biotechnology),332,198892,56532.500000000015,8790.69,284237.1739436479,44198.308629809144,652.7460000000001,0.01653335462313928
Drugs (Pharmaceutical),717,1605944,108417.88999999997,83501.70000000001,67510.38018760303,51995.39959052122,626.815,0.0023733500642178764
Education,155,272202,15479.989999999998,8785.504000000003,56869.49397873637,32275.677621766194,121.881,0.006595951802972503
Electrical Equipment,726,1567329,123851.77000000003,96066.56700000002,79020.91392426225,61293.172652327645,826.2890000000002,0.0016419830452888838
Electronics (Consumer & Office),77,258542,2591.5099999999998,12482.54,10023.555167052162,48280.511483627415,42.626,0.0003808416953486226
Electronics (General),1024,4003576,57778.18999999999,65634.994,14431.645608825705,16394.09218158966,1456.2490000000003,0.0017959472588711647
Engineering/Construction,890,3091890,33790.48000000002,112567.87899999997,10928.74584800883,36407.46566016255,291.9919999999999,0.00019353142385501035
Entertainment,335,185138,61641.210000000036,25141.475,332947.3689896188,135798.56647473777,498.732,0.008670944881277842
Environmental & Waste Services,203,688200,10663.14,13934.63,15494.245858761988,20247.936646323742,38.579999999999984,0.0008804763810841442
Farming/Agriculture,297,1148014,39822.719999999994,97444.88000000002,34688.35745905537,84881.26451419583,105.02799999999998,0.00052121297038983
Financial Svcs. (Non-bank & Insurance),672,1035306,136961.101,49717.405999999995,132290.45422319585,48021.943270878364,847.104,0.005381864583193294
Food Processing,957,3609803,149029.89999999994,208389.61900000015,41284.773712028036,57728.80653043951,520.8989999999995,0.0006613535736913946
Food Wholesalers,103,105620,11298.930000000002,15716.740000000003,106977.18235182733,148804.5824654422,38.76,0.0004531209335581855
Furn/Home Furnishings,275,936208,62461.95,66659.55,66718.02633602789,71201.64536085998,402.145,0.001936173379758291
Green & Renewable Energy,137,94148,89286.54000000001,7801.101999999998,948363.6402260272,82859.98640438456,32.095,0.0006178945020076421
Healthcare Products,343,375989,43159.4,11637.320999999998,114788.99648659934,30951.227296543246,517.467,0.01086427741596785
Healthcare Support Services,217,667535,13205.263000000003,11342.985,19782.128277918015,16992.344970675695,238.24999999999997,0.0009305044882498307
Heathcare Information and Technology,129,181798,103390.00000000001,12908.89,568708.126602053,71006.77675221949,518.6469999999999,0.022029714482799934
Homebuilding,43,48888,1638.1599999999999,3155.7,33508.427425953196,64549.582719685815,7.6690000000000005,0.000657379351087976
Hospitals/Healthcare Facilities,147,643570,31597.800000000007,13596.820000000003,49097.68945103098,21127.181192411088,115.55699999999997,0.002269167436837561
Hotel/Gaming,412,764378,84300.95000000001,27505.609,110286.99151466947,35984.30226929608,311.428,0.003991673098292268
Household Products,309,522175,48036.58999999998,28950.518999999993,91993.27811557426,55442.17743093789,118.47299999999998,0.0014325187227523617
Information Services,39,299606,6859,5207.9,22893.399998664914,17382.495677656654,94.8,0.010286527535232981
Insurance (General),135,264222,18377.78,14760.189999999999,69554.31417520116,55862.835040231315,94.33200000000001,0.0006453387495852301
Insurance (Life),82,1215745,43972.46999999999,93976.92,36169.155538373576,77299.86140185647,408.312,0.0005615470561434146
Insurance (Prop/Cas.),144,460444,34593.65,69644.56999999999,75131.06914195864,151255.24493749512,311.637,0.0011902444299163935
Investments & Asset Management,481,137353,20424.843999999997,5126.792000000001,148703.29734334158,37325.66452862333,90.91899999999998,0.003642905143829022
Machinery,911,1283063,50040.47999999999,37863.64,39000.79731081014,29510.351401295182,563.3370000000003,0.0024734824574784565
Metals & Mining,331,952074,120817.14299999995,86140.658,126898.8996653621,90476.85158926721,367.137,0.0006841412791572698
Office Equipment & Services,71,64697,2068.921,2199.64,31978.62342921619,33999.10351330046,6.446,0.0005853084314832737
Oil/Gas (Integrated),16,1069830,9206.9,12990.5,8605.946739201556,12142.58340110111,106.80000000000001,6.611501167600394e-05
Oil/Gas (Production and Exploration),103,126853,10282.000000000002,6452.209999999999,81054.44885024399,50863.67685431168,176.195,0.0014415786378753803
Oil/Gas Distribution,111,128229,14895.36,45485.39,116162.17860234424,354719.99313727784,96.35700000000001,0.0006683799719990293
Oilfield Svcs/Equip.,225,855108,8147.859999999999,63264.829999999994,9528.457224116719,73984.60779223208,62.31099999999999,8.163798336627432e-05
Packaging & Container,320,310672,11346.919999999998,11531.409999999998,36523.79358294277,37117.63531956532,27.003000000000004,0.00048539453715708384
Paper/Forest Products,188,352337,12708.430000000002,30286.65499999999,36068.96238544349,85959.3372254404,99.50099999999998,0.0010609914000207028
Power,321,1285613,179600.80000000008,297295.26999999996,139700.51640734813,231247.87163788787,302.909,0.0003758931546680834
Precious Metals,62,325546,45017.1,27023.499999999996,138281.84035435852,83009.77434832558,168.03000000000003,0.0014029840886257779
