Industry_Name,Number_of_firms,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Quarter_1,Quarter_2,Quarter_3,Quarter_4,2018_12_31_00_00_00,2019_12_31_00_00_00,2020_12_31_00_00_00,2021_12_31_00_00_00,2022_12_31_00_00_00,2023_12_31_00_00_00,2019,2020_0,2021_0,2022_0,2023_0
Advertising,154,64695.106,56526.28800000002,55423.537,54425.20900000003,0.16186491018194626,-0.12626639795597483,-0.01950863994465768,-0.15874302764107018,35603.950000000004,47387.404,67990.997,74562.16000000005,55682.124,58021.62199999998,0.33095917728229574,0.4347904983358024,0.09664754585081381,-0.2532120314111076,0.042015243527707025
Aerospace/Defense,131,193234.5799999999,213348.04999999996,207949.06999999995,206905.36000000007,0.06611699742930743,0.10408835727021559,-0.025305973033266538,0.07074706814898346,88013.45000000003,101115.62000000004,179397.0300000001,227495.33000000002,181250.82000000004,227125.44999999995,0.14886554270966545,0.7741772240530198,0.2681109046231138,-0.2032767441863531,0.2531002618360563
Air Transport,78,274375.8000000001,256646.02999999997,236445.73,227815.78,0.050603623868343606,-0.06461856329895033,-0.07870879592409807,-0.16969433893222396,183351.21,219468.73000000004,210620.73999999996,240037.5400000001,261160.1499999999,236458.55,0.19698544667362738,-0.040315492781136,0.1396671571849959,0.08799711078525396,-0.09458410863985156
Apparel,936,285136.94599999976,273425.00600000005,271443.8569999997,272714.1910000001,-0.0003522293875805049,-0.04107478937506659,-0.007245675986198297,-0.043567679230174794,189351.3629999999,206383.21999999997,259811.3030000001,346938.2739999997,285237.41500000027,281240.491,0.0899484256683174,0.2588780376621711,0.33534711536395156,-0.1778439094903651,-0.014012621731270047
Auto & Truck,86,438038.1450000001,451873.253,477665.03700000007,481151.42000000004,0.05582913503851983,0.031584253923822025,0.057077474333272926,0.09842356308946565,283575.8,281887.79699999996,476660.832,525070.2420000001,414875.97800000006,501913.55100000015,-0.00595256365317498,0.6909594422776664,0.1015594459416378,-0.20986575735137547,0.2097917874628068
Auto Parts,545,354390.27999999997,373059.4310000001,379327.5099999998,372975.53600000014,0.067633998520094,0.05267963613449034,0.016801824264830456,0.05244290560113596,196970.23500000002,208420.0140000001,285070.8699999997,381918.5700000003,331939.85999999975,398334.22599999944,0.058129488447836275,0.36777109131179486,0.33973201120128715,-0.1308622149480726,0.20001926252544577
Bank (Money Center),459,3284311.3999999994,3127687.2699999996,3362477.5700000003,3373889.97,-0.0033335816266177876,-0.047688574840984876,0.07506834275026497,0.027274688386734747,2974869.399999999,3351952.4599999995,3106569.600000001,3524896.4400000004,3295296.5400000005,3550548.3599999994,0.1267561728928337,-0.07320594875023934,0.13465876959589096,-0.06513663703549821,0.07745943859729199
Banks (Regional),100,194321.5100000001,185641.33,186219.49999999997,184979.63,-0.0425914884127957,-0.04466916709323687,0.0031144465513146535,-0.048074348537123335,142343.86000000002,189672.49,204051.4799999999,224756.5,202966.13999999996,174923.9,0.33249505809382973,0.07580957048647341,0.10146958992897348,-0.09695096693532801,-0.13816215847628555
Beverage (Alcoholic),126,910503.5799999997,785742.5500000002,780135.7500000005,759611.2500000003,0.0629676440926068,-0.13702420587956343,-0.007135670583195086,-0.16572403811965175,360736.1100000001,622870.91,1022551.1969999999,1035091.6800000003,856567.5399999999,750277.7000000001,0.7266663711597929,0.6416743511107299,0.012263916991923862,-0.1724718142841225,-0.1240881016808083
Beverage (Soft),40,118220.48999999999,115786.35000000002,118275.09000000001,114855.74999999993,0.04019443513241683,-0.020589831762666266,0.02149424349243234,-0.02846156364264829,25279.090000000004,29838.409999999996,109825.63,117985.33999999997,113652.3,128123.68,0.18035934046676494,2.6806797010966745,0.07429695600198216,-0.036725240610400944,0.12733028720052286
Broadcasting,63,22989.670000000002,21259.326,21084.664,21327.08,-0.05046509704931168,-0.07526615214572463,-0.008215782569964802,-0.07231900240412326,29161.81,25935.809,29132.115999999998,35974.52,24211.505999999994,22305.449999999997,-0.11062416907592498,0.12323914785152823,0.23487494008330878,-0.3269818193543653,-0.07872521436708635
Brokerage & Investment Banking,431,455989.4999999999,438604.12600000034,460614.9809999999,452465.6109999999,0.05410478026604726,-0.03812669809282787,0.05018387583522088,-0.007728004701862634,283658.02799999993,472580.1480000002,616546.4429999999,601199.4030000003,432584.60500000004,468263.21200000023,0.6660207057492493,0.3046388969347895,-0.024891944758165696,-0.2804640143662953,0.0824777548428941
Building Materials,255,96686.53700000001,91591.73799999998,90223.28300000002,85534.55799999996,0.005253895170856726,-0.05269398572005979,-0.014940812674610005,-0.11534159093938845,47183.581000000006,60540.271000000015,95056.41100000001,121336.34899999999,96181.21099999997,89667.50700000007,0.2830791923148013,0.5701352080171558,0.2764667603534914,-0.20731741318506314,-0.06772324794288453
Business & Consumer Services,338,104780.10200000006,103192.822,109902.41900000001,107095.88400000003,0.06065469115330524,-0.015148677751812611,0.06501999722422558,0.02210135279310932,54713.418,71112.99099999997,93433.56399999994,120269.51899999997,98788.13799999996,115118.43099999998,0.29973585272994585,0.31387476023895533,0.2872196441099051,-0.17861035097346667,0.165306213181182
