Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Advertising,154,1590.4140000000002,0.07684344764170647,528.831,0.013247281817370426,509.47800000000007,547.5120000000001,549.8130000000002,527.841,549.3410000000001,-0.0075812101323492476
Aerospace/Defense,131,10758.211600000004,0.13988875703665007,3656.5609999999997,0.04152017748742335,3648.158999999999,3645.7030000000004,3464.685,3049.1380000000013,2996.8730000000014,0.040592992022099095
Air Transport,78,696.4760000000001,0.002684713385014629,242.54,0.0013332520504370994,239.45,231.81999999999996,216.71000000000004,183.00000000000006,195.99100000000004,0.0435408366572434
Apparel,936,5488.5614,0.03207333393398966,1792.7599999999989,0.0073801161518211355,1833.5479999999995,1883.7249999999995,1832.7380000000003,1828.1639999999986,1869.1550000000002,-0.008311293682279453
Auto & Truck,86,63733.15639999999,0.15910854174797306,21800.267999999993,0.033338501349224677,21548.882,21051.445,20843.20600000001,18628.16700000001,18300.713,0.03561603079456477
Auto Parts,545,29861.783400000026,0.13729810110240054,10097.319999999998,0.029452725756090006,10064.750000000004,10044.991000000004,9717.455999999996,8993.431999999997,9149.117000000013,0.019918308150924657
Banks (Regional),100,1.6065999999999998,1.290142736570608e-06,0.492,6.244388617241063e-06,0.539,0.539,0.597,0.606,0.734,-0.0768892499195013
Beverage (Alcoholic),126,1122.5646000000002,0.010670861887329953,364.8970000000001,0.0027054576179425015,375.74600000000004,384.743,382.7569999999999,365.611,367.07900000000006,-0.0011916817361538046
Beverage (Soft),40,145.79060000000004,0.008835880592403412,51.868,0.0016230965626984264,52.56399999999999,49.484,39.227000000000004,32.451,30.733,0.11034747487762209
Broadcasting,63,174.85459999999998,0.005902693506932927,57.373999999999995,0.004013119193990743,57.288999999999994,59.388000000000005,58.796,62.49100000000001,63.55799999999999,-0.020264191829819533
