Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_,2020,2021_0,2022_0,2022_0,Average_2020_24
Advertising,154,1.6134431636228455,0.0889672088735191,0.11420443103387916,1.5121539342983468,0.1107648844403276,1.700510818611361,0.4412160142731265,0.41561040150307615,0.2383551277905243,0.68,0.73,0.83,0.90361402776565,0.9688249692754022
Aerospace/Defense,131,0.9449840091861004,0.11382229994071515,0.1011257591857833,0.8703940186691539,0.11245142847339155,0.9806719841507398,0.29302548372910003,0.30648514524161513,0.2628765384022048,1.2,1.07,1.14,0.9033574147118228,1.0588058797725126
Air Transport,78,1.3341046904993525,0.925391502355369,0.11403899893424821,0.7862811662669913,0.08908857021172814,0.8631807007293244,0.2834304055761095,0.268877154169354,3.6604292237145275,0.67,0.96,1.0,0.7849558593753849,0.8556273120209419
Apparel,936,0.8043143651734884,0.23506388090300745,0.1318628357114675,0.6833715452277421,0.09772918586124583,0.7573907240699587,0.3190343096108435,0.3387783498578605,0.2566778805403726,0.92,1.04,1.07,1.0336800505581054,0.9642141549256129
Auto & Truck,86,1.2932820518883044,0.3952392045263988,0.11648821694220116,0.9966911020758582,0.17220278507901793,1.2040280930046352,0.34995142318533856,0.31234168668946355,0.2237224962457933,0.8,0.69,0.74,0.8604210001918171,0.8588898186392904
Auto Parts,545,1.3227085420235596,0.19751921084510551,0.13681930761855995,1.1514707740382006,0.10746511109569115,1.2901129001822729,0.31813539381545464,0.3198145166431276,0.08133703578998694,1.3,1.17,1.29,1.1829793538383109,1.246618450804117
Bank (Money Center),459,0.7813609786752927,1.981871963749377,0.21200701826707616,0.3135286958099073,0.22717760107229978,0.4056930754658921,0.20278449200052728,0.2023868474663595,0.43946008552430343,0.32,0.28,0.42,0.3686115410275469,0.3588609232986878
Banks (Regional),100,0.7835726226510902,5.8321400350192185,0.15511094430580427,0.14534779681262583,0.1159714156299951,0.16441526821919072,0.21811943026159214,0.21158234445196528,0.7484816125714412,0.2,0.23,0.29,0.24305769551689896,0.22549459274721798
Beverage (Alcoholic),126,0.7975729165737366,0.028925919372765785,0.16271512394045362,0.7805733369918781,0.06923314085090321,0.8386346476769436,0.26631046810632336,0.2568860929584996,0.3046792275617945,0.45,0.47,0.52,0.5066604785684935,0.5570590252490873
Beverage (Soft),40,0.44007083605137,0.05285665526763259,0.12840582952307383,0.4232281437511375,0.05319129520667066,0.44700491409563065,0.2608148236388401,0.24354815765831578,0.45448634696968426,0.52,0.65,0.68,0.7148642327405521,0.6023738293672366
Broadcasting,63,1.041471526165343,0.299384601643778,0.13039305690216269,0.8498986945077066,0.1517656773975539,1.0019621605267681,0.35438078150390867,0.34435988675470985,0.22032867132074233,1.03,0.75,0.82,0.8005285058203548,0.8804981332694245
Brokerage & Investment Banking,431,0.9150536866013019,2.256976075824583,0.11972010101816692,0.3389995132559194,0.11082449160206828,0.3812515190243042,0.34718646961270705,0.336784722661935,0.7308188489626771,0.95,0.73,0.9,0.6959319603512203,0.7314366958751048
Building Materials,255,1.0316138656624652,0.26837317635603597,0.13113031867505456,0.8582062799848413,0.08847355473449078,0.9415045328003218,0.286086614271513,0.2983906430133178,0.3262282023148966,0.87,0.83,0.94,1.0371856315464538,0.9237380328693551
Business & Consumer Services,338,0.9580645423211414,0.15407042487600434,0.12947424546926425,0.8584810627810663,0.11063079084459838,0.9652696022570102,0.3513854359497715,0.3552101824082538,0.1844727120098226,0.87,0.85,0.97,0.9120782185944735,0.9134695641702967
Cable TV,32,1.0132354806560642,0.3480117004304856,0.08865172147910785,0.8028692722498582,0.12232930475166305,0.9147727918871511,0.3130146268296086,0.31933711848895735,0.39526831845494476,0.51,0.54,0.41,0.333771033882859,0.541708765154002
Chemical (Basic),707,1.085672259003882,0.4129994283508311,0.13607067271022347,0.8281586026955321,0.10142178491741821,0.9216321838154311,0.2801178185804808,0.2881063834822014,0.4302748883627508,0.7,0.75,0.87,0.9008276745282723,0.8284919716687407
Chemical (Diversified),30,1.0611761692284847,0.2946273263331939,0.2255366171798991,0.8685173768127399,0.08873860678935247,0.9530935725837044,0.2507344629657134,0.2436955194177624,0.3526937107500084,1.44,1.08,1.03,0.783591228675912,1.0573369602519234
Chemical (Specialty),656,1.0025606302667978,0.2154444473344522,0.14491587705888143,0.8626343330597603,0.09510579221378387,0.9532985465451893,0.2915262221690316,0.3011878636923943,0.656914022491726,1.07,0.89,0.91,1.0252780342177283,0.9697153161525837
Coal & Related Energy,95,0.7544277177119801,0.21798913329162614,0.1990874326928287,0.6480647300045129,0.19416290001528896,0.8042130723651324,0.3306208753402067,0.3591204772846801,0.6817224534375128,1.1,1.19,1.95,1.4007450881176893,1.2889916320965642
Computer Services,603,1.0088955409935285,0.07289858948112007,0.12813747117289112,0.9564030279564371,0.049349292685892776,1.006050929745355,0.3615539783241994,0.3543206236377449,0.2530461486384436,0.99,0.91,0.97,0.9974962569770381,0.9747094373444785
Computers/Peripherals,228,1.322763321249197,0.1149332805341755,0.1267298824997524,1.2174163106905356,0.14763800435857163,1.428285537032177,0.3595457314201768,0.3210462723610615,0.30176448483492213,1.38,0.93,0.99,1.017063224016954,1.149069752209826
