Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Advertising,154,504.03799999999995,460.4879999999999,1.094573582807804,137.36099999999993,-7.966000000000804,0.004332293594560678,0.138713488048622,1.9258285579489611
Aerospace/Defense,131,4560.814000000001,2409.8599999999997,1.8925638833791183,454.988,295.6494000000039,0.032947512683087044,0.5822049244519505,1.2873260216949136
Air Transport,78,17889.46,13190.557999999997,1.3562322382419305,-843.418,29.145800000001145,0.02135396489667297,2.292367051995381,0.7171956280343152
Apparel,936,10389.212000000001,5462.260999999998,1.9019984581476437,-42.59999999999999,-56.705999999992855,0.019873592025568758,0.4728507425400296,1.5270406719262002
Auto & Truck,86,41106.886999999995,18036.043999999998,2.2791520690457396,808.617,1725.7854000000007,0.039157340098531314,1.0161196634019214,1.630885019365205
Auto Parts,545,24923.953999999987,9190.151999999996,2.7120284844037394,1270.702,503.3707999999933,0.051068465202287215,1.3091321828366096,1.5813339011956362
Beverage (Alcoholic),126,7293.268999999997,4127.701000000001,1.7669082620083176,1481.985,-10.290199999988545,0.03438208033681119,0.14788921823302842,1.460685044281956
Beverage (Soft),40,1857.6799999999996,1251.1819999999998,1.4847400298277948,159.943,10.976200000001882,0.024327585121898625,0.20997661148684063,2.368299661705197
Broadcasting,63,1504.2,801.0390000000001,1.8778111927134633,45.77499999999999,-2.9303999999999633,0.05218059386106217,1.6975944954036506,0.6932978520790428
Brokerage & Investment Banking,431,4814.712,1451.0569999999993,3.3180722742111457,358.5390000000001,11.743599999999788,0.024128746266128827,2.097210626329625,0.12350103148223207
Building Materials,255,5353.352999999999,2561.116000000001,2.0902423006220716,110.14499999999998,-46.15060000000267,0.04423255388187338,0.7104535940223597,1.070786190526998
Business & Consumer Services,338,2386.274000000001,1248.7060000000001,1.9109974645753287,306.95699999999994,16.733600000003207,0.02162087022169934,0.5140190521822061,1.8476875450297583
Cable TV,32,1960.9960000000005,2068.207,0.948162345451882,15.835,-1.979199999999878,-0.006903062370999898,-0.29939647969541283,0.6321152331688751
Chemical (Basic),707,70647.09300000005,27096.53400000001,2.6072372577245497,6853.165000000001,374.3280000000159,0.0763187243355576,2.458467993031931,1.0905303117491172
Chemical (Diversified),30,5227.288,1817.489,2.8761043395585886,26.224,20.494800000000396,0.07413824625825242,0.7034630229232918,1.0286448333821339
Chemical (Specialty),656,35494.40099999997,11765.496000000005,3.016821475269717,2589.163000000001,-193.3183999999892,0.08711150679843048,0.856465593325879,1.1548746471492144
Coal & Related Energy,95,24210.082000000006,14287.787999999999,1.6944597722194652,4669.094999999999,116.31720000001224,0.05518377253710077,0.30362988277985553,1.533416689140896
Computer Services,603,4151.05,3833.8850000000025,1.0827267901880202,1314.077,-2.6411999999800173,0.00470543421333236,0.08443289050248508,2.622716000395689
Computers/Peripherals,228,53280.04800000002,7818.480000000006,6.814629953648277,630.201,-7585.868000000008,0.05964711276413869,2.2156406254233585,1.4728507332028244
Construction Supplies,552,34522.93100000002,22735.141999999996,1.5184831922316573,1085.3859999999997,-135.35399999999936,0.02292352703975095,0.49708064979640415,1.0499781402244075
Diversified,212,49518.46099999999,24385.366999999995,2.030662938146471,5464.551999999999,68.75479999999516,0.03496975894887963,0.33797467090048794,0.7673589758196179
Drugs (Pharmaceutical),717,15902.554999999991,9549.554000000004,1.6652667758096331,1964.1850000000009,434.80379999996876,0.033138223485181584,0.3589421039948028,0.9387767265295935
Education,155,2202.1239999999993,1196.1419999999996,1.8410222197698936,405.61599999999993,-36.00900000000138,0.07444407860699478,0.452551096280066,0.6265823564894577
Electrical Equipment,726,45751.32799999998,12114.745,3.776499464082816,2640.7470000000003,1306.6595999999408,0.0746860646789605,1.264583148492758,1.5173673370072591
Electronics (Consumer & Office),77,4123.7159999999985,3080.965000000001,1.33844947930275,4.760000000000004,-118.72720000000163,0.008298212288376449,0.3881285373926736,2.182341453579094
Electronics (General),1024,53740.101,30878.49800000002,1.740372896375982,1761.4919999999988,-34.56860000000961,0.030324275991098507,1.1403838673386972,1.4189576251414429
Engineering/Construction,890,52042.66299999999,17932.119000000002,2.902203749595906,1423.4589999999998,856.8046000000322,0.02411971838290686,0.6761031779277882,1.7043881608553262
Entertainment,335,2386.525,3288.0139999999997,0.7258256807908969,918.9169999999993,-168.95980000000236,-0.002634528936504654,-0.06696210391517732,0.688627440137527
Environmental & Waste Services,203,5515.607000000001,2575.6469999999995,2.1414452368666987,1073.6270000000002,-2.87460000000101,0.09153285483466317,1.1783560427604831,0.4917635707882126
Farming/Agriculture,297,10689.157,5686.614999999999,1.879704710095549,370.1569999999999,83.98799999999392,0.02707940777466549,0.6785288086085153,1.2489112726547458
Financial Svcs. (Non-bank & Insurance),672,7605.017,4124.653000000001,1.8437955871681806,238.70199999999997,242.7065999999959,0.025170136892997297,0.3610010600103673,0.16515461781542323
Food Processing,957,37717.49099999999,23151.451,1.6291631569874383,2547.312,22.86280000003171,0.021756802945529532,0.4823368972022464,1.8474624900726442
Food Wholesalers,103,1548.9369999999997,1233.9690000000003,1.2552479033103743,486.121,2.9063999999998487,0.009399049180198307,0.3559057321434497,2.753554237158841
Furn/Home Furnishings,275,7649.955000000001,4265.011999999998,1.7936538044910553,319.88199999999995,105.47700000000623,0.01834513745350506,0.2664608010764803,2.1503119772396397
Green & Renewable Energy,137,24605.285000000007,10111.416000000003,2.433416348412527,10134.988000000003,35.756600000004255,0.4748443414109026,1.415130039826611,0.22519244891606338
Healthcare Products,343,5485.901000000002,2099.014000000001,2.613560938612129,1772.4109999999998,126.81980000000385,0.1109826331586086,1.2790052818183235,0.7229660249138875
Healthcare Support Services,217,3141.1139999999987,2333.488999999998,1.3461019100582865,600.84,-48.681800000000294,0.005310742374173002,0.1728947202311957,3.1928048324903626
Heathcare Information and Technology,129,3882.2870000000003,972.2409999999999,3.993132361214967,1013.8870000000001,145.67520000000195,0.1728580454583974,1.61339606979902,0.6240612212318334
Homebuilding,43,151.06999999999994,104.75100000000002,1.442181936210632,27.143,7.497399999999743,0.00693976239880971,0.1191639415871303,0.7835658314590949
Hospitals/Healthcare Facilities,147,4857.126999999998,2525.232,1.9234379257034593,491.3669999999999,14.472000000000662,0.05572395949364207,0.48151277426763783,1.1024955277739912
Hotel/Gaming,412,6621.175999999998,7665.368,0.8637779686506893,773.217,13.214599999998427,-0.003303798163572553,-0.05168125180518667,0.4108954352052438
Household Products,309,3392.3099999999968,2297.6199999999994,1.4764451911108005,1013.7739999999999,1.9615999999932683,0.025518254665416372,0.33322295273178304,1.497722914276013
Information Services,39,188.28900000000002,214.06500000000003,0.8795879756148833,17.27,-14.060600000000022,-0.002448649285618026,-0.028692480546937665,2.8520978144954743
Insurance (General),135,1286.608,978.1639999999999,1.3153295357424728,1394.914,1.3260000000009313,0.011661987883199222,0.17943809849344114,1.836636118310991
Insurance (Life),82,4653.452,4724.999999999997,0.9848575661375668,10742.015,0,0.014674977300509059,0.16961242190352036,1.1118167563501173
Insurance (Prop/Cas.),144,2157.8049999999994,1330.3790000000001,1.6219475803511625,-118.571,0,0.002707350909450368,0.03566162202262027,1.7827126271991425
