Industry_Name,Number_of_firms,Book_Debt_to_Capital,Market_Debt_to_Capital_Unadjusted_,Market_D_E_unadjusted_,Market_Debt_to_Capital_adjusted_for_leases_,Market_D_E_adjusted_for_leases_,Interest_Coverage_Ratio,Debt_to_EBITDA,Effective_tax_rate,Institutional_Holdings,Std_dev_in_Stock_Prices,EBITDA_EV,Net_PP_E_Total_Assets,Capital_Spending_Total_Assets
Advertising,154,0.18111443400375948,0.08365514532361956,0.09129220827366735,0.08169870327459275,0.0889672088735191,6.709061294060952,2.4149978894141344,0.11420443103387916,0.0862928260869565,0.41561040150307615,0.03853721771519204,0.0960023228669522,0.012660177475273692
Aerospace/Defense,131,0.24490660196439942,0.10233113145987423,0.11399652482801906,0.10219071744817239,0.11382229994071515,5.855987504373569,3.297918486432845,0.1011257591857833,0.11491728813559315,0.30648514524161513,0.038367597481774665,0.15245875302526837,0.023128651716019702
Air Transport,78,0.7198414761365566,0.47737966938440857,0.9134349381741539,0.4806251098663932,0.925391502355369,0.45916472466282077,53.81494505522548,0.11403899893424821,0.11434333333333331,0.268877154169354,0.06324265093478776,0.6194845997481251,0.04335684602360761
Apparel,936,0.31575982439162975,0.19030213104627358,0.23502856848589435,0.19032528158069226,0.23506388090300745,4.090122581973667,3.0924598623312356,0.1318628357114675,0.07102818511796737,0.3387783498578605,0.061593182836533686,0.2496788820718073,0.03995104837060331
Auto & Truck,86,0.3803468409299342,0.283421554193643,0.3955206242279758,0.2832770203447367,0.3952392045263988,6.83986128553982,4.7341187397252815,0.11648821694220116,0.11138226666666666,0.31234168668946355,0.09250881277215024,0.20855613491315844,0.047644091871812365
Auto Parts,545,0.2758047430953017,0.16544211074763004,0.19823922687477036,0.16494032751734608,0.19751921084510551,5.116679301637271,2.942659867619787,0.13681930761855995,0.08645875878220138,0.3198145166431276,0.06738939174567563,0.28049746337585746,0.06222125238151377
Bank (Money Center),459,0.6016403222932815,0.6645226584947963,1.9808272460764345,0.6646401950999232,1.981871963749377,1.527312789398052,1470.8581030121295,0.21200701826707616,0.14475926509186343,0.2023868474663595,0.001030694782636075,0.007452063884784162,0.001187716455673606
Banks (Regional),100,0.7362814555905008,0.8536084254121974,5.830994220915495,0.8536329766552879,5.8321400350192185,-5.863192182410423,12930.046644761702,0.15511094430580427,0.11343474358974358,0.21158234445196528,2.6609393378779023e-05,0.0052797691307251435,0.0006693725178219948
Beverage (Alcoholic),126,0.12301801980529657,0.027875347826542513,0.028674664061053644,0.02811273273240026,0.028925919372765785,26.633518186363986,0.52602868540032,0.16271512394045362,0.11374221052631577,0.2568860929584996,0.06198603998962243,0.2031576092928864,0.03346410449885875
Beverage (Soft),40,0.24984106844516982,0.05018928615968866,0.05284135610216629,0.050203087954263446,0.05285665526763259,14.607762160640112,1.182825060900248,0.12840582952307383,0.10390692307692306,0.24354815765831578,0.04939160817049951,0.336605418204966,0.05166833328989811
Broadcasting,63,0.18703505790718059,0.23029807274735598,0.2992042303562582,0.23040491727010115,0.299384601643778,1.3880693223261988,2.6359637002267347,0.13039305690216269,0.08765745098039215,0.34435988675470985,0.06991614499544888,0.24115085198505337,0.03412886425665124
Brokerage & Investment Banking,431,0.6948036023856946,0.6929673736115102,2.256982854762462,0.6929667345662569,2.256976075824583,4.023829859924838,700.87290334937,0.11972010101816692,0.09120749049429668,0.336784722661935,0.001671478500680443,0.009086167907182604,0.0020764414131238386
Building Materials,255,0.3281409441111761,0.21180877940568102,0.2687276562735259,0.21158849884152933,0.26837317635603597,4.458340157147897,3.014028939903435,0.13113031867505456,0.08110236263736263,0.2983906430133178,0.07491714156971738,0.35366673245586466,0.05503299135183702
Business & Consumer Services,338,0.3338109719901178,0.13348050615815701,0.15404212727673483,0.13350175306031084,0.15407042487600434,5.053830330122438,3.7353562556582056,0.12947424546926425,0.11217683962264148,0.3552101824082538,0.04154184836972748,0.15867746559481757,0.029081857723440387
Cable TV,32,0.31334720399629,0.2581778552085541,0.3480320141711833,0.25816667638667273,0.3480117004304856,0.8617887632414071,3.152567875095766,0.08865172147910785,0.05837884615384616,0.31933711848895735,0.06763768048602778,0.36344207107340737,0.04390032604285709
Chemical (Basic),707,0.38396421877491227,0.292227415211034,0.4128832078147903,0.29228563017386316,0.4129994283508311,2.480401788870735,3.7374273076016036,0.13607067271022347,0.08151255898366606,0.2881063834822014,0.06132049552503993,0.43270153810020606,0.06970275945725113
Chemical (Diversified),30,0.34960642293753663,0.2275762424810816,0.2946261560002675,0.2275769407460867,0.2946273263331939,7.35992845238333,1.8449950546161271,0.2255366171798991,0.15855370370370367,0.2436955194177624,0.11239114365151591,0.469119995486366,0.07601180873708112
Chemical (Specialty),656,0.3191932950748418,0.17750890398865204,0.2158186329912597,0.17725569260440963,0.2154444473344522,8.124445457510166,1.6238990402308533,0.14491587705888143,0.08412498993963778,0.3011878636923943,0.08481039683993581,0.3768538384043012,0.07765249936077533
Coal & Related Energy,95,0.23770855257357262,0.17905635463548003,0.21811040946175353,0.17897461260800301,0.21798913329162614,15.654816673882317,0.719021714105094,0.1990874326928287,0.07788196969696971,0.3591204772846801,0.23796049339063263,0.42091691904480866,0.05552058145340732
Computer Services,603,0.2505371985248879,0.06795402814097892,0.07290845107719372,0.06794546119813206,0.07289858948112007,10.74847976639949,1.4947679395172795,0.12813747117289112,0.08593763231197771,0.3543206236377449,0.04639537113043829,0.08652687845720826,0.016087645148167684
