Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Advertising,154,1921.52592,1145.9560000000001,1.6767885677984145,1146.5099999999998,1.0004834391547317,597.867,618.8459999999998,15.984999999999673,0.9660998051211451,37.401751642165294,0.5217189839749519,0.1107648844403276
Apparel,936,5354.335490000004,9234.226000000015,0.5798358725463287,5335.926000000006,0.5778422577051934,1889.1490000000044,2510.262000000012,2443.173000000017,0.7525704488216749,0.7732358699117874,0.2045811960850862,0.09772918586124583
Auto & Truck,86,8874.621000000001,27971.501999999993,0.31727366660539014,7847.902999999999,0.28056780790677605,4016.935,6110.47199999999,6830.357999999978,0.657385386922648,0.5881002137808901,0.14360812658540828,0.17220278507901793
Bank (Money Center),459,152874.40190000006,492435.26399999985,0.3104456830695214,125610.02300000003,0.255079260529969,82502.40100000003,433815.9009999999,615604.6259999992,0.19017837015614614,0.13401848770382718,0.16753958749794176,0.22717760107229978
Banks (Regional),100,7500.1037,32419.206000000006,0.23134754441549243,5301.841,0.16354012494938955,317.34199999999964,29370.833000000006,15624.05100000021,0.010804664614040725,0.02031112161628219,0.009788703646844392,0.1159714156299951
Beverage (Alcoholic),126,15152.515239999992,30897.660000000014,0.49040979931813555,15194.244999999995,0.49176037926496663,14370.242999999995,20187.73800000002,22598.925000000017,0.7118302704344578,0.6358817067625997,0.4650916282980649,0.06923314085090321
Beverage (Soft),40,1900.9100999999998,3546.733,0.5359608687769842,2170.265,0.6119053788373694,2079.2999999999997,2546.9450000000006,2976.282000000003,0.8163898317395936,0.6986233159357875,0.5862578322078373,0.05319129520667066
Brokerage & Investment Banking,431,19758.927899999995,24220.599,0.8157902246761113,22108.406,0.9127935275258882,13129.589,66811.13900000001,84325.06900000037,0.1965179638682705,0.1557020842757916,0.5420835793532605,0.11082449160206828
Building Materials,255,2159.5170200000002,3506.1520000000005,0.615922247523781,2276.0150000000003,0.6491489815615524,1007.9440000000002,553.1720000000029,959.564000000004,1.8221168099614495,1.0504187318407068,0.28747869459167774,0.08847355473449078
Chemical (Diversified),30,1776.1270000000002,3714.456,0.4781661163842027,1682.603,0.45298773225473665,1651.6390000000001,453.96100000000024,1734.9289999999964,3.63828390544562,0.9519922717298538,0.444651652893452,0.08873860678935247
Coal & Related Energy,95,32645.997460000002,39847.06799999999,0.8192822985119008,32971.780000000006,0.827458120632615,29310.365000000005,31149.809999999987,23379.033000000018,0.9409484359615682,1.2537030509345697,0.7355714352684621,0.19416290001528896
Computer Services,603,13457.652239999998,18824.928999999996,0.7148846213443886,16909.461999999996,0.8982483811758334,13699.089999999997,17854.332,15555.420000000013,0.7672698144069461,0.8806634600672939,0.7277100487337826,0.049349292685892776
Diversified,212,19701.908299999996,47181.096999999994,0.4175805471415808,20270.442999999996,0.4296305997293789,18061.127999999997,9025.110000000004,25618.03299999988,2.0012086279280794,0.7050161891820532,0.38280432521524455,0.10026470408258158
Drugs (Pharmaceutical),717,10221.391359999992,22766.295999999995,0.4489703270132302,11926.430999999997,0.5238634778358324,7749.518999999993,11292.01400000001,12484.716000000051,0.6862831555114957,0.6207204873542947,0.3403943706960498,0.08662096193538961
Electronics (Consumer & Office),77,1019.7726200000001,1501.0479999999998,0.6793737575347358,1079.202,0.7189656826430602,827.551,2064.679000000003,2962.4559999999983,0.40081339520574333,0.2793462586448543,0.5513154809173325,0.20881891846445103
Electronics (General),1024,21240.133650000018,24467.81099999999,0.8680847522485777,24722.263000000006,1.0103994591097674,11040.300999999994,611.0960000000046,3237.207999999693,18.06639382355622,3.4104391809241297,0.4512173565506125,0.1477002404788887
Farming/Agriculture,297,4355.008100000002,4674.672000000001,0.931617897469598,4462.4800000000005,0.954608152186934,3408.7300000000005,3413.961000000002,1030.4070000000102,0.998467762226926,3.308139405108823,0.7291912673231404,0.08489097722794545
Financial Svcs. (Non-bank & Insurance),672,13102.556880000006,31871.13899999998,0.41111040556159645,13815.335000000006,0.4334747810550484,9672.758000000005,31413.09399999998,112009.2409999998,0.30792121272740636,0.08635678550843874,0.3034958367819867,0.07974747430567927
Food Processing,957,17651.41090000001,26703.397999999997,0.6610174068483723,18699.059000000005,0.7002501704090246,12362.000000000004,5039.685000000015,16602.119000000006,2.4529310859706444,0.7446037460639813,0.46293733853646657,0.09151296782763256
Furn/Home Furnishings,275,8705.759800000002,15830.096000000003,0.5499499055470036,9631.657,0.6084395824257792,7220.976,11816.951,12127.451000000001,0.6110693020560042,0.5954240507753854,0.45615490897844196,0.18950876420314475
Hospitals/Healthcare Facilities,147,2352.8992999999996,4534.6,0.5188769240947381,2434.7149999999997,0.536919463679266,1318.8590000000002,1380.625000000002,1008.2020000000048,0.9552622906292427,1.3081297200362565,0.2908435143121775,0.03414117318364556
Household Products,309,3883.437120000004,6773.651,0.5733152062307321,3921.6240000000034,0.5789527686029298,2860.8960000000034,5555.632000000002,4299.35,0.5149541942302878,0.6654252386988738,0.4223565695959245,0.07146350939770622
Information Services,39,185.5811,634.8810000000001,0.292308479856855,416.095,0.6553905377543192,299.605,456.33700000000016,216.84700000000043,0.6565433002364479,1.3816423561312787,0.4719073338153134,0.056570409681112856
Insurance (General),135,5159.408300000001,8111.324999999997,0.6360746610448974,5220.067000000001,0.6435529337068855,5115.381000000001,5109.185999999998,3181.171999999997,1.0012125219164076,1.6080177368592476,0.6306467808896824,0.1926691539455454
Insurance (Life),82,16714.7078,30326.995,0.5511494890937926,21126.988999999998,0.6966397099349935,18071.192,31088.284999999993,12500.493000000017,0.5812862304884301,1.4456383440237097,0.5958780947469408,0.16183048185862078
Insurance (Prop/Cas.),144,4191.9806,17592.898000000005,0.23827686603992126,4139.689,0.2353045530076966,4024.128,10506.110000000004,10252.253000000004,0.38302740024614235,0.3925115776990676,0.22873593651256313,0.07132222879446057
