Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Advertising,154,1921.52592,0.0055164491353829875,1.6767885677984145,0.033117411298843054,58021.62199999998,0.05042276225441169,0.0862928260869565,0.41561040150307615,-0.4588349895079536,-0.7706937810538884,-0.2395819795919281,0.08521739200564699
Apparel,936,5354.335490000004,0.008545411486720262,0.5798358725463287,0.019038280977826925,281240.491,0.07333828829860588,0.07102818511796737,0.3387783498578605,0.11723996651050143,0.38262140095050984,0.09745312825558573,0.07705101211087965
Auto & Truck,86,8874.621000000001,0,0.31727366660539014,0.01768157281730773,501913.55100000015,0.11066197106888036,0.11138226666666666,0.31234168668946355,0.008269472315682145,0.0060664810244800554,0.007279943365569977,0.13380602749076603
Auto Parts,545,5419.841889999998,0.0016734805524003956,0.40645224185573814,0.013606267140097586,398334.22599999944,0.07619163588801188,0.08645875878220138,0.3198145166431276,-0.9441621009878539,-0.3674308778166502,-0.09337542429467215,0.0959059323913181
Bank (Money Center),459,152874.40190000006,0.014551160772194649,0.3104456830695214,0.04305656095893877,3550548.3599999994,0.1197908001065137,0.14475926509186343,0.2023868474663595,0.051719478234912124,0.03435947119543021,0.045798179305153966,0.2430896533279162
Banks (Regional),100,7500.1037,0,0.23134754441549243,0.04287638052890428,174923.9,0.10087912931150986,0.11343474358974358,0.21158234445196528,-0.6179259636698768,-0.31660735857064376,-0.40022399322331487,0.12819276398542265
Beverage (Alcoholic),126,15152.515239999992,0.2509616350664698,0.49040979931813555,0.020195875793722763,750277.7000000001,0.22833998176940376,0.11374221052631577,0.2568860929584996,0.39581239295742077,0.44632570391036575,0.358954574336815,0.04324535102292264
Beverage (Soft),40,1900.9100999999998,0,0.5359608687769842,0.014836524364582722,128123.68,0.20960965049997773,0.10390692307692306,0.24354815765831578,0.2506550709660213,0.2904032381877504,0.2400726236180022,0.04158966797593059
Broadcasting,63,411.7160999999999,0.11682807643422254,1.6032683276349498,0.018458094322239632,22305.449999999997,0.013338783854959338,0.08765745098039215,0.34435988675470985,-0.5051843992866166,-0.8438749520917908,-0.27341116211236804,0.07938347979108706
Brokerage & Investment Banking,431,19758.927899999995,0.002709306915381781,0.8157902246761113,0.042196199474239256,468263.21200000023,0.057865170606290636,0.09120749049429668,0.336784722661935,0.04928103424369258,0.02280620395988309,0.08955401315517342,0.09638815618371493
Building Materials,255,2159.5170200000002,0.007101587928211836,0.615922247523781,0.024083607231324036,89667.50700000007,0.07880312546707262,0.08110236263736263,0.2983906430133178,0.1307027057365052,0.11190018895470089,0.03526369085696618,0.07025085299691197
Business & Consumer Services,338,1739.5321599999997,-0.0030123041818324306,0.6687280408879556,0.01511080497613801,115118.43099999998,0.07579987251950224,0.11217683962264148,0.3552101824082538,-1.8187084905366282,-6.485132442673222,-0.6479636975560644,0.09353805849179411
Chemical (Basic),707,23350.571600000007,0.005291947542731672,1.587651163978187,0.030853580635416954,756818.8559999998,0.033870759158775375,0.08151255898366606,0.2881063834822014,0.4903289513902451,0.21677840617982438,0.06550550650052939,0.07817439946032276
Chemical (Specialty),656,15099.781210000001,0.0026914297256893827,0.5858008434490514,0.028137897646478238,536635.0179999998,0.12268903168846543,0.08412498993963778,0.3011878636923943,0.14522152999917226,0.10946988336273668,0.037040476985137204,0.055227062461889895
Coal & Related Energy,95,32645.997460000002,0.01149911257758212,0.8192822985119008,0.09727718776258845,335597.66899999994,0.20840263099936018,0.07788196969696971,0.3591204772846801,0.7122280219039001,0.7218636945930378,0.5090992687630366,0.22611056414580352
Computer Services,603,13457.652239999998,0.01385902954496319,0.7148846213443886,0.021979760618607652,612274.7409999999,0.15852421074666162,0.08593763231197771,0.3543206236377449,1.0465955899821011,1.1382936449675773,0.7140886884291318,0.04100195820602661
Construction Supplies,552,14992.200100000002,0.0023018636204035193,0.6633289803687419,0.025098315378422508,597338.9000000007,0.055291043271541794,0.09407112149532704,0.27799625591652655,0.5059006625273559,2.978482386868964,0.1606889171497016,0.13531743456859954
Diversified,212,19701.908299999996,0.01706839737955739,0.4175805471415808,0.027807384708658952,708513.5300000007,0.08309625180685672,0.1324180838323353,0.259112968922331,0.6452421898578331,0.2019277243940848,0.2683313671433004,0.11588501686934174
Drugs (Pharmaceutical),717,10221.391359999992,0.0081534888025264,0.4489703270132302,0.01364389296857616,749155.0529999994,0.0935785338550432,0.0953554884547069,0.3006607098453748,0.07787444446761965,0.09348278972152439,0.019384651593327532,0.07463809668547566
Entertainment,335,2067.1998000000003,0.07948917177720313,0.003118238462644587,0.011452143263112943,180507.6789999997,-0.005347534224753208,0.07672749999999996,0.3945954782504927,-136.79617639755384,-204.76017724412068,-4.771540014256298,0.08621298204638814
Financial Svcs. (Non-bank & Insurance),672,13102.556880000006,0.00965033017280822,0.41111040556159645,0.021365368383319264,613261.4540000001,0.12189569028424026,0.13099763593380603,0.34618436666643426,0.30795190183763405,0.07721576281213335,0.2229543389858112,0.08843497345522769
Food Processing,957,17651.41090000001,0.06398349720588054,0.6610174068483723,0.02401737103856066,734943.5070000002,0.0937069816426397,0.08778191358024691,0.2951380294659029,5.825214426882184,0.9012944252877636,0.27965773507662156,0.07509426316738568
Furn/Home Furnishings,275,8705.759800000002,0.0011601514666186859,0.5499499055470036,0.03784558485794366,230033.69700000001,0.16293905272358766,0.08936478494623659,0.27788289439332303,0.7145208022703695,0.6568319432004763,0.49743052383752157,0.13285478221505478
Healthcare Products,343,3341.210969999999,0.010797582171232969,0.7374354690905812,0.01279569794055005,261119.86900000004,0.05948574514946571,0.11137225925925928,0.3507028170970805,-0.17109536962052313,-0.1732735116396311,-0.10680946847236092,0.07816318490072678
Household Products,309,3883.437120000004,0.00020986563572838256,0.5733152062307321,0.015228763794033507,255006.72100000002,0.1134288757105452,0.0802713432835821,0.30541413055085687,-0.11541934281284488,-0.5017841145299681,-0.06691454226224824,0.05210720670451807
Insurance (General),135,5159.408300000001,0.0005698327848951205,0.6360746610448974,0.04710759907423682,109523.90700000004,0.11602909225299309,0.10848134831460675,0.2313588694310793,0.47156637450675065,0.6047353744036326,0.3781947687735462,0.22149350672888227
Insurance (Life),82,16714.7078,0,0.5511494890937926,0.030445947207462208,548996.1499999999,0.0843074556836884,0.13850508474576273,0.26220374181476147,0.3152628311461793,0.17631800128930045,0.2642768038161179,0.18364895809773849
Insurance (Prop/Cas.),144,4191.9806,0.001999055052878823,0.23827686603992126,0.027227557907915447,153960.94699999996,0.13823997870244925,0.18624616279069772,0.28540042127265985,0.40905723725577753,0.3184496099932276,0.36010976371387277,0.09941071876944926
Investments & Asset Management,481,5371.9638799999975,0.06017594444436216,1.1000217425714758,0.05047658010939884,106424.878,0.04680034228265566,0.15549940993788808,0.3217572836011524,-0.7310200419117713,-0.44195729589932164,-0.5993671764917441,0.03250192491433221
Metals & Mining,331,18759.752,0.005421180407928634,0.8120345456875024,0.036531570011886935,513521.6470000003,0.09060363937026933,0.08302861660079054,0.3331053026240699,0.4624114488085736,0.6534939848108361,0.23120054366723494,0.09384778962360557
