Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Advertising,154,1921.52592,50.108999999999995,548.6429999999998,498.5339999999998,0.021935799766955158,4641.753999999999,4038.892999999999,-602.8609999999999,-0.11714502847591438,45.447000000000116
Aerospace/Defense,131,2155.7295099999997,34.159,4381.369,4347.21,0.07335775166163228,21339.418,22935.799,1596.3809999999976,0.06271042359109041,282.23799999999915
Air Transport,78,5676.883000000001,202.619,9615.526999999998,9412.907999999998,0.14449225832907842,87261.974,57830.263999999996,-29431.710000000006,-0.1364661532761744,4276.1310000000085
Apparel,936,5354.335490000004,336.41600000000005,3446.7770000000014,3110.3610000000012,0.024702509092883348,46221.902999999984,46154.81399999999,-67.08899999999267,-0.001017135247195182,88.47400000001653
Auto & Truck,86,8874.621000000001,1504.4540000000004,3830.9679999999994,2326.513999999999,0.009204247414362843,105667.197,106387.08299999998,719.885999999984,0.0036325926466265397,740.3580000000038
Auto Parts,545,5419.841889999998,851.6260000000002,7259.454000000004,6407.828000000004,0.0366134834497499,56856.09699999998,62422.20400000005,5566.107000000069,0.07082135118102349,1608.2499999999995
Bank (Money Center),459,152874.40190000006,5600.492999999999,43107.622,37507.129,0.009124060198516215,2471979.314000001,2653768.0390000003,181788.72499999916,0.025847989525107928,-61.898000000000025
Banks (Regional),100,7500.1037,766.3459999999999,4984.499000000001,4218.153000000001,0.01312566390252535,815690.1839999999,801943.4020000001,-13746.781999999774,-0.01347749821626426,3.0599999999999987
Beverage (Alcoholic),126,15152.515239999992,53.073,824.002,770.929,0.005697321862092617,8432.896,10844.083,2411.187,0.11218579653717546,726.5850000000003
Beverage (Soft),40,1900.9100999999998,296.636,90.965,-205.67100000000002,-0.012155024476886454,2934.1539999999986,3363.4910000000004,429.3370000000018,0.06341543247650881,15.175000000000296
Broadcasting,63,411.7160999999999,3.0100000000000002,30.346000000000007,27.336000000000006,0.0014199059005878879,2004.030999999999,2397.2989999999995,393.2680000000005,0.05892639744316849,13.420000000000528
Brokerage & Investment Banking,431,19758.927899999995,2987.126000000001,8978.817,5991.690999999998,0.014314684039613392,627510.8039999997,645024.734,17513.9300000004,0.016579904275956032,12.594000000000012
Building Materials,255,2159.5170200000002,190.33299999999997,1268.0710000000001,1077.7380000000003,0.02422288675295079,15502.644000000002,15909.036000000002,406.3919999999998,0.016983093757925713,476.0210000000005
Business & Consumer Services,338,1739.5321599999997,180.54199999999994,1274.798,1094.256,0.03188632614015174,10250.812000000005,10070.95,-179.86200000000463,-0.01018159331502587,460.0659999999989
Cable TV,32,393.61159999999995,59.58,26.445999999999998,-33.134,-0.001653062765995979,3229.5800000000004,3525.4449999999993,295.8649999999989,0.02839129463497458,61.60500000000002
Chemical (Basic),707,23350.571600000007,2274.438,9673.537,7399.099,0.01703967624818017,175752.85199999996,210655.31199999998,34902.46000000002,0.11173575497227012,2462.0399999999986
Chemical (Diversified),30,1776.1270000000002,69.355,30.964,-38.391000000000005,-0.001123262813537671,10777.526000000002,12058.493999999999,1280.9679999999971,0.06593349804937987,94.91999999999996
Chemical (Specialty),656,15099.781210000001,1136.5769999999998,5739.292000000002,4602.715000000002,0.021907819855792956,75361.33999999995,89323.36900000004,13962.029000000082,0.12081049883799164,1697.7769999999994
Coal & Related Energy,95,32645.997460000002,675.3840000000001,3661.415,2986.031,0.015617126877331366,42492.05799999998,34721.28100000001,-7770.776999999973,-0.1062210685030727,5132.689999999988
Computer Services,603,13457.652239999998,3734.764,3210.372,-524.3920000000003,-0.004415890648079652,108673.495,106374.58300000001,-2298.911999999982,-0.051558318435645574,574.6519999999955
Computers/Peripherals,228,14299.810180000004,974.855,2156.3550000000005,1181.5000000000005,0.00333443387054652,120019.45300000002,107383.53800000003,-12635.914999999994,-0.14987768683892824,570.7770000000005
Construction Supplies,552,14992.200100000002,3517.5280000000002,6890.755000000001,3373.2270000000008,0.008252089965966049,149758.10600000003,155528.06800000012,5769.962000000087,0.022874998454341974,3328.6900000000023
Diversified,212,19701.908299999996,1503.5279999999998,2209.315,705.7870000000003,0.0012430455839974642,394127.2200000001,410720.143,16592.922999999893,0.021236735646526866,2970.4190000000053
Drugs (Biotechnology),332,2113.00251,1054.3719999999998,4853.651999999999,3799.2799999999993,0.050965539330940064,8430.176,11316.612999999996,2886.4369999999963,0.17050430325276003,181.21899999999982
Drugs (Pharmaceutical),717,10221.391359999992,2341.581,4176.912000000004,1835.3310000000038,0.00754394057420279,56984.39000000001,58177.09200000004,1192.7020000000339,0.015332916237230682,1088.9520000000034
Education,155,939.5999000000003,86.785,605.6599999999997,518.8749999999998,0.02101970875950358,4648.458000000001,4052.3289999999997,-596.1290000000017,-0.03734923431529087,673.7339999999995
Electrical Equipment,726,10569.296310000018,913.2160000000002,16053.179999999998,15139.963999999998,0.05708293984248801,92808.26999999992,117084.99900000004,24276.729000000123,0.15722840041752054,2438.1290000000076
Electronics (Consumer & Office),77,1019.7726200000001,78.845,251.65099999999995,172.80599999999995,0.004962228785779894,13715.478000000003,14613.255,897.7769999999964,0.04399738812110641,-11.569999999999936
Electronics (General),1024,21240.133650000018,4229.641999999999,13681.962000000012,9452.320000000014,0.021695331789509838,161254.45200000005,163880.56399999975,2626.1119999997027,0.011408906891735947,1762.7330000000138
Engineering/Construction,890,30249.31578,10779.042999999998,21782.02899999999,11002.985999999994,0.025122190053895165,308805.1410000002,371638.447,62833.30599999981,0.0972965461054158,-8909.444000000069
Entertainment,335,2067.1998000000003,680.27,1183.521,503.251,0.006355030241107408,14270.189999999999,13444.897000000003,-825.292999999996,-0.02956404820761094,635.9810000000002
Environmental & Waste Services,203,2317.12626,493.51000000000005,1946.4569999999997,1452.9469999999997,0.029417571377720057,22964.229000000003,25722.295000000002,2758.065999999999,0.050695531376722565,513.0699999999988
Farming/Agriculture,297,4355.008100000002,353.647,1053.75,700.1030000000001,0.007810863010757371,31014.632000000005,28631.078000000012,-2383.553999999993,-0.026680038135415664,756.393999999997
Financial Svcs. (Non-bank & Insurance),672,13102.556880000006,3950.8789999999995,4142.577,191.69800000000077,0.0007331761828815844,268791.87000000017,349388.017,80596.14699999982,0.0903326073352865,47.20499999999947
Food Processing,957,17651.41090000001,1779.5510000000008,6337.059000000002,4557.508000000002,0.015993107637169764,222320.40899999993,233882.8429999999,11562.43399999998,0.041599241930663326,-2486
Food Wholesalers,103,812.52847,13.467,206.47599999999997,193.00899999999996,0.008368649120205485,5846.97,3714.2309999999998,-2132.7390000000005,-0.09764352711070318,-538.8349999999998
Furn/Home Furnishings,275,8705.759800000002,1103.0169999999996,2410.6809999999996,1307.664,0.013459775192818635,31830.791999999994,32141.291999999994,310.5,0.006605022625127423,1117.7819999999988
Green & Renewable Energy,137,9700.1022,374.719,5379.495999999999,5004.776999999999,0.04540808535830208,76780.024,92643.62299999999,15863.598999999987,0.0823644693417848,191.60100000000023
Healthcare Products,343,3341.210969999999,683.4589999999997,3445.667,2762.208,0.03626514420197687,6139.93,7916.930999999993,1777.000999999993,0.13899050711795968,326.38099999999986
Healthcare Support Services,217,3283.2764799999995,2288.1160000000004,1852.656,-435.4600000000005,-0.006077525476591557,52765.850000000006,54772.76800000001,2006.9180000000051,0.03867426524661768,175.28400000000147
Heathcare Information and Technology,129,836.9733400000002,305.16100000000006,1170.566,865.405,0.022110043200434543,4352.008000000001,4917.1900000000005,565.1819999999998,0.06187803857450005,147.61700000000008
Homebuilding,43,258.3032,9.3,377.86699999999996,368.56699999999995,0.045305940821652436,3359.4970000000003,4092.523,733.0259999999998,0.08040672733630844,58.113
Hospitals/Healthcare Facilities,147,2352.8992999999996,109.002,1115.8559999999995,1006.8539999999996,0.026156433999981812,8058.274000000001,7685.851000000003,-372.42299999999796,-0.013352103998865855,207.51099999999997
Hotel/Gaming,412,1865.4873999999998,652.2049999999999,1890.5350000000003,1238.3300000000004,0.010963416524020874,25907.762999999984,22969.165999999994,-2938.5969999999907,-0.02713897169919348,1440.3430000000017
Household Products,309,3883.437120000004,237.76600000000002,1060.7279999999998,822.9619999999998,0.013780995568342932,12103.42,10847.137999999999,-1256.282000000001,-0.07011591924302973,46.95800000000031
Information Services,39,185.5811,233.887,116.49,-117.397,-0.028096362935785966,1037.774,798.2840000000001,-239.48999999999978,-0.10235232122961245,-13.701999999999998
Insurance (General),135,5159.408300000001,75.678,104.686,29.00800000000001,0.0004149472383457482,8344.003,6415.989,-1928.014000000001,-0.05013712195246269,-73.40300000000002
Insurance (Life),82,16714.7078,5188.054999999999,3055.797,-2132.2579999999994,-0.005927565419560692,212595.309,194007.51700000002,-18587.791999999987,-0.04107417006841261,-14.548000000000684
Insurance (Prop/Cas.),144,4191.9806,331.01800000000003,115.561,-215.45700000000002,-0.001692999703135527,10434.904999999999,10181.048,-253.85699999999815,-0.006644149157650546,-231.4620000000009
Investments & Asset Management,481,5371.9638799999975,6046.768000000002,2760.443,-3286.3250000000016,-0.031493992913709044,33853.876,25320.30099999999,-8533.575000000008,-0.03209039714163889,-78.69900000000013
Machinery,911,7284.866570000003,747.1299999999998,10503.660000000003,9756.530000000004,0.058648344274538564,49865.86500000004,54288.41200000007,4422.547000000028,0.06199398429946359,1514.9059999999945
Metals & Mining,331,18759.752,872.2310000000001,7906.551000000002,7034.320000000002,0.027587679788170148,127456.064,139763.95099999994,12307.886999999944,0.06847706755226228,2084.030000000004
