Industry_Name,Number_of_Firms,ROC,Reinvestment_Rate,Expected_Growth_in_EBIT
Advertising,154,0.0717707217983304,0.5265610365801897,0.03779166566623727
Aerospace/Defense,131,0.08116489537651599,1.1620113966807701,0.09431453343791392
Air Transport,78,0.015714099352628602,-3.689569807914554,-0.057978266530028126
Apparel,936,0.07338306712586468,0.648861806196136,0.04761546947950084
Auto & Truck,86,0.08274117121263258,0.9681093921026169,0.08010250496452027
Auto Parts,545,0.07024222946629713,1.7816769477214385,0.12514896099666115
Bank (Money Center),459,0.0007270476144033359,12.69887414826808,0.009232686155106503
Beverage (Alcoholic),126,0.3642453660240997,0.38848990515834547,0.14150564770106933
Beverage (Soft),40,0.32261041451036077,0.3162023311283142,0.1020101651144478
Broadcasting,63,0.030932116299677497,4.212211422104104,0.13029261358735408
Brokerage & Investment Banking,431,0.0014270034368057973,-23.713511566356118,-0.0338392625039242
Building Materials,255,0.06983360791595164,0.7504365036927514,0.0524056885646972
Business & Consumer Services,338,0.08604027202507908,1.0795344724492817,0.09288343966998644
Cable TV,32,0.016400198775297206,1.6503629938656301,0.027066281150790936
Chemical (Basic),707,0.03812832148591284,2.734873095038906,0.10427612059081685
Chemical (Diversified),30,0.11378962192157467,0.6730769959297264,0.07658917689095282
Chemical (Specialty),656,0.1237878554492584,1.0225201110424327,0.1265755716996803
Coal & Related Energy,95,0.2879259035013908,0.2783399067616303,0.08014126913483527
Computer Services,603,0.16691178454843117,0.11830930300751347,0.019747216893665147
Computers/Peripherals,228,0.02425281297319097,2.1690928917473733,0.05260660422502701
Construction Supplies,552,0.054423378696470424,0.9936982408804516,0.05408041567345331
Diversified,212,0.08372332286662025,0.4815000883289091,0.04031278735546743
Drugs (Pharmaceutical),717,0.09340859486552133,0.5689792977411455,0.0531475567095715
Education,155,0.10187117886983994,0.5526082592621272,0.05629485482424305
Electrical Equipment,726,0.09820298019022247,1.7787549121269257,0.1746790333988614
Electronics (Consumer & Office),77,0.05261786307560241,-0.2831608371139883,-0.014899318155636793
Electronics (General),1024,0.04270096518988239,1.186535867362381,0.05066622676878793
