Industry_Name,Number_of_Firms,ROE,Retention_Ratio,Fundamental_Growth_
Advertising,154,0.05042276225441169,-0.6767885677984145,-0.03412554905060324
Aerospace/Defense,131,0.08113238647512426,0.5516311753604144,0.04475515371106818
Air Transport,78,0.057492117319957244,-0.5157319504831115,-0.029650521802825427
Apparel,936,0.07333828829860588,0.42016412745367127,0.030814117911929527
Auto & Truck,86,0.11066197106888036,0.6827263333946099,0.07555184175407709
Auto Parts,545,0.07619163588801188,0.5935477581442619,0.04522337467067334
Bank (Money Center),459,0.1197908001065137,0.6895543169304785,0.08260226334200255
Banks (Regional),100,0.10087912931150986,0.7686524555845076,0.07754099046251912
Beverage (Alcoholic),126,0.22833998176940376,0.5095902006818644,0.11635981713356373
Beverage (Soft),40,0.20960965049997773,0.46403913122301577,0.09726708011396965
Broadcasting,63,0.013338783854959338,-0.6032683276349498,-0.008046865828865388
Brokerage & Investment Banking,431,0.057865170606290636,0.1842097753238887,0.010659330076463287
Building Materials,255,0.07880312546707262,0.384077752476219,0.030266527317494747
Business & Consumer Services,338,0.07579987251950224,0.33127195911204443,0.025110372269978726
Cable TV,32,-0.01078491994065458,0.9964395064147266,-0.010746520302388193
Chemical (Basic),707,0.033870759158775375,-0.587651163978187,-0.019904191044479186
Chemical (Diversified),30,0.10867938572378637,0.5218338836157973,0.05671258592122268
Chemical (Specialty),656,0.12268903168846543,0.41419915655094863,0.05081769344341499
Coal & Related Energy,95,0.20840263099936018,0.18071770148809918,0.03766204445827686
Computer Services,603,0.15852421074666162,0.28511537865561143,0.04519769037311638
Computers/Peripherals,228,0.0978527196956385,0.5875742673959953,0.057495740087870464
Construction Supplies,552,0.055291043271541794,0.3366710196312581,0.01861489191470599
Diversified,212,0.08309625180685672,0.5824194528584192,0.04839687351193492
Drugs (Biotechnology),332,-0.013023425236293844,0.9928408938064621,-0.012930189152023616
Drugs (Pharmaceutical),717,0.0935785338550432,0.5510296729867699,0.051564548908725825
Education,155,0.06517294637597333,0.415964085143942,0.027109605015416937
Electrical Equipment,726,0.103099616659247,0.613481298179317,0.06324968666990478
Electronics (Consumer & Office),77,0.04310350100365346,0.32062624246526417,0.013820113563899152
Electronics (General),1024,0.05615946961254142,0.13191524775142227,0.0074082903475268715
Engineering/Construction,890,0.08461556632422568,0.18377061336128442,0.015549854523315395
Entertainment,335,-0.005347534224753208,0.9968817615373554,-0.005330859337853274
Environmental & Waste Services,203,0.02099798772827468,-1.2342361006653144,-0.025916474495563863
Farming/Agriculture,297,0.05215407248965251,0.068382102530402,0.0035664051323654362
Financial Svcs. (Non-bank & Insurance),672,0.12189569028424026,0.5888895944384036,0.0717831036152755
Food Processing,957,0.0937069816426397,0.3389825931516277,0.03176503563363398
Food Wholesalers,103,0.06216298246481212,0.43325911671035355,0.026932678874785693
Furn/Home Furnishings,275,0.16293905272358766,0.4500500944529964,0.07333073606833239
Green & Renewable Energy,137,0.12290934082758909,0.28395572058356877,0.03490081044114951
