Industry_Name,Number_of_Firms,Goodwill_in_millions_,Change_in_Goodwill_in_last_year,Goodwill_as_of_Total_Assets,Impairment_of_Goodwill_in_LTM_in_millioins,Impairment_as_of_Goodwill
Advertising,154,1485.515,-227.41999999999962,0.037312431884463475,337.3689999999999,0.2271057512041278
Aerospace/Defense,131,1763.2979999999998,-219.75300000000038,0.008941979504876562,282.11600000000004,0.15999337604874506
Air Transport,78,4821.038,773.8879999999999,0.011684254429142142,27.900000000000002,0.005787135467507206
Apparel,936,4486.852999999998,56.620999999997366,0.01725390541985152,137.59399999999997,0.030666036975136028
Auto & Truck,86,1616.8189999999995,443.3539999999996,0.001873940806466123,50.89999999999999,0.03148156967477498
Auto Parts,545,17277.295999999995,201.31000000000859,0.04313179982943792,359.59600000000006,0.020813210585730553
Bank (Money Center),459,36091.28899999999,-2045.4020000000019,0.0006848315261143898,382.3860000000001,0.010594966558273942
Banks (Regional),100,3001.0030000000006,-578.1719999999991,0.0006383122046745506,384.9,0.12825711936975734
Beverage (Alcoholic),126,16491.874000000003,1205.1330000000034,0.07567056623278423,7.574,0.00045925647988821636
Beverage (Soft),40,3424.9790000000003,101.34600000000091,0.09526019361940807,0,0
Broadcasting,63,1665.0300000000002,-78.32000000000016,0.03777794365992023,6.601,0.003964493132255875
Brokerage & Investment Banking,431,7486.584,815.9259999999977,0.00322873996625973,145.41899999999998,0.019423945553806648
Building Materials,255,979.414,91.17599999999993,0.010068471515304168,140.05599999999998,0.14299979375422445
Business & Consumer Services,338,2314.478000000001,284.96800000000076,0.028206869747578384,82.94499999999998,0.035837454492978524
Cable TV,32,3719.465,-129.66399999999976,0.08326673088828096,-465.68300000000005,-0.12520160829581675
Chemical (Basic),707,16701.564,2379.869999999997,0.016478315647777384,740.394,0.044330818359286595
Chemical (Diversified),30,1064.559,2.903999999999769,0.015480121833221805,3.94,0.0037010630693085117
Chemical (Specialty),656,9074.202000000001,151.86100000000624,0.019851989191324762,311.172,0.03429194104341076
Coal & Related Energy,95,2489.6459999999997,101.45099999999957,0.005709464079186087,33.83,0.013588277208888333
Computer Services,603,17073.704000000005,867.0409999999993,0.06617017171964953,221.96299999999997,0.013000283945416876
Computers/Peripherals,228,14152.256,113.98999999999796,0.018765431419084332,35.834999999999994,0.0025321051286805434
Construction Supplies,552,35919.669,703.0880000000034,0.034342307285599574,875.689,0.024379094361921875
Diversified,212,76580.55600000001,1151.8020000000106,0.02320051304693101,1790.86,0.023385309451135348
Drugs (Biotechnology),332,5925.451000000001,1593.0090000000027,0.0496744333934531,184.804,0.031188174537263066
Drugs (Pharmaceutical),717,16339.858999999999,-227.86200000000645,0.03681778588939737,945.6110000000001,0.05787142961270352
Education,155,5901.441999999997,347.15599999999904,0.10044907979891869,140.45000000000005,0.02379926804330198
Electrical Equipment,726,9748.729999999998,-265.6050000000014,0.012692951271715103,465.8529999999999,0.047786019307130265
Electronics (Consumer & Office),77,744.858,-30.571000000000026,0.007629023182107852,16.015,0.021500742423388085
Electronics (General),1024,16905.376,-2255.10200000001,0.01692255367809735,659.1619999999997,0.03899126526378353
Engineering/Construction,890,6963.823,-358.55399999999827,0.002933133508688659,612.9249999999998,0.08801559143591096
Entertainment,335,11941.049999999996,-2254.8530000000046,0.08520415099528002,1521.6189999999997,0.12742757127723275
Environmental & Waste Services,203,2804.1489999999985,255.45999999999913,0.0193988780088688,292.46899999999994,0.1042986660123981
Farming/Agriculture,297,2349.199,-64.21199999999953,0.01078123010170474,34.656,0.014752262366874836
Financial Svcs. (Non-bank & Insurance),672,13837.108000000004,501.69000000000597,0.007493745012493859,349.461,0.025255349600509003
Food Processing,957,41357.77399999999,1331.6479999999792,0.052083210272885136,612.2549999999999,0.014803867345471736
Food Wholesalers,103,8924.395,356.10599999999977,0.13935006346986414,27.821000000000005,0.0031174101997950565
Furn/Home Furnishings,275,6095.067000000001,-4667.822999999997,0.03082536628173903,63.643,0.01044172278992175
Green & Renewable Energy,137,1671.2959999999998,432.297,0.004340320704579113,67.874,0.040611597227540784
Healthcare Products,343,5946.097,1294.590000000002,0.05108211213338957,211.90300000000002,0.035637326468101686
Healthcare Support Services,217,20790.657999999996,1757.8179999999957,0.09055923501603536,227.972,0.010965117121353257
Heathcare Information and Technology,129,4098.408,160.4590000000003,0.06266495886740925,47.5,0.011589866113866651
Homebuilding,43,132.69600000000003,30.875000000000043,0.004624620731332454,2.273,0.01712937842889009
Hospitals/Healthcare Facilities,147,10935.130000000001,389.654999999997,0.1110876973559705,181.815,0.016626688480155243
Hotel/Gaming,412,4660.795999999999,10.440000000001419,0.016525317019783166,245.73499999999999,0.05272382657382988
Household Products,309,8993.139000000001,337.369999999999,0.08245999344658114,125.354,0.013938848270887394
Information Services,39,2920.2470000000003,67.79300000000057,0.27423352578140553,5.077,0.0017385515677269764
Insurance (General),135,1890.5800000000002,-2.8170000000002346,0.0028926598376405347,4.49,0.0023749325603782965
Insurance (Life),82,5485.353000000001,485.2570000000014,0.0009679142755796566,35.917,0.006547801025749846
Insurance (Prop/Cas.),144,588.98,-1.4279999999998836,0.000871797021473164,30.94,0.052531495127169
Investments & Asset Management,481,6782.589999999999,49.10100000000057,0.012977986783129584,67.494,0.009951065890758545
Machinery,911,8483.873000000009,-510.2979999999952,0.02137905749508072,737.2610000000002,0.0869014658753142
Metals & Mining,331,9919.842999999999,685.0909999999985,0.016565267202172565,59.18300000000001,0.005966122649320157
Office Equipment & Services,71,202.808,-16.85099999999997,0.016992810179866993,35.101,0.17307502662616858
Oil/Gas (Integrated),16,35872.356,-165.01499999999942,0.021770758590403498,0,0
Oil/Gas (Production and Exploration),103,5098.349999999999,-31.989999999998872,0.015746418163571415,277.792,0.05448664764090343
Oil/Gas Distribution,111,993.2319999999999,208.0799999999998,0.006021120308643886,0.28800000000000003,0.00028996246596968287
Oilfield Svcs/Equip.,225,5587.263,439.05499999999756,0.00707127609631618,330.65299999999996,0.05917978086945253
Packaging & Container,320,1708.6849999999993,-235.6380000000006,0.02265206597152967,162.91000000000003,0.09534232465316901
