Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Advertising,154,0.20444929411764715,0.2906086290322581,0.0862928260869565,0.30820243055555563
Aerospace/Defense,131,0.14765035087719292,0.35517074468085114,0.11491728813559315,0.2503488775510204
Air Transport,78,0.053985238095238086,0.4378544999999999,0.11434333333333331,0.11858304347826092
Apparel,936,0.16658563506261195,0.316196348228043,0.07102818511796737,0.37760302992518746
Auto & Truck,86,0.10746380952380952,0.44226770270270277,0.11138226666666666,0.14252333333333334
Auto Parts,545,0.163418943661972,0.34048491484184923,0.08645875878220138,0.29864652078774606
Bank (Money Center),459,0.004979018404907979,0.4048108722741432,0.14475926509186343,0.07390388554216866
Banks (Regional),100,0.020503823529411765,0.5020150602409639,0.11343474358974358,0.062002337662337655
Beverage (Alcoholic),126,0.11991871794871793,0.4898601941747574,0.11374221052631577,0.14492308510638302
Beverage (Soft),40,0.16253117647058826,0.4377838709677419,0.10390692307692306,0.3183164285714285
Broadcasting,63,0.10642045454545457,0.4488046,0.08765745098039215,0.2422814893617021
Brokerage & Investment Banking,431,0.14211059459459463,0.3602387278106511,0.09120749049429668,0.3191197406340057
Building Materials,255,0.14260375939849632,0.36667303370786514,0.08110236263736263,0.3105275925925925
Business & Consumer Services,338,0.19640953757225424,0.3283669298245616,0.11217683962264148,0.33956943262411365
Cable TV,32,0.11271874999999999,0.506875,0.05837884615384616,0.08546238095238096
Chemical (Basic),707,0.13192340782122897,0.3475594936708859,0.08151255898366606,0.2596223366013071
Chemical (Diversified),30,0.04986944444444444,0.3909942307692307,0.15855370370370367,0.14784999999999998
Chemical (Specialty),656,0.1412927220630372,0.34142593429158125,0.08412498993963778,0.28526526126126134
Coal & Related Energy,95,0.07951289473684212,0.5165282666666667,0.07788196969696971,0.166521076923077
Computer Services,603,0.1736374921630095,0.2977309571788414,0.08593763231197771,0.33999384912959413
Computers/Peripherals,228,0.12638784810126583,0.2699503278688524,0.0933121153846154,0.24774653061224483
Construction Supplies,552,0.10659560869565217,0.4109805476190477,0.09407112149532704,0.2213088143176735
Diversified,212,0.08463806451612907,0.4385192405063292,0.1324180838323353,0.19537358823529416
Drugs (Biotechnology),332,0.12683948571428574,0.24076346341463428,0.08443869888475841,0.21812920754716994
Drugs (Pharmaceutical),717,0.12536914786967412,0.30081470588235265,0.0953554884547069,0.27299246376811603
Education,155,0.1686240000000001,0.29432295918367346,0.11218095652173914,0.3669527819548869
Electrical Equipment,726,0.1374203030303031,0.3182544380952385,0.09017856127886319,0.272297413509061
Electronics (Consumer & Office),77,0.11143131578947368,0.3656785714285714,0.07353833333333333,0.234999649122807
Electronics (General),1024,0.13611022573363443,0.2631599686520374,0.09057971882640585,0.2715154777927321
Engineering/Construction,890,0.19241898514851483,0.3533815306122448,0.08648484313725496,0.3211721311475412
Entertainment,335,0.1738055479452054,0.3000182845188284,0.07672749999999996,0.3090297192982457
Environmental & Waste Services,203,0.16937841463414643,0.30575759999999985,0.08442937499999995,0.32636465408805043
Farming/Agriculture,297,0.14209889763779526,0.39636547008547013,0.0862243455497382,0.2599127490039839
Financial Svcs. (Non-bank & Insurance),672,0.1065264210526316,0.39019820075757555,0.13099763593380603,0.2707556529516997
Food Processing,957,0.14346883620689646,0.4116923204419891,0.08778191358024691,0.29801667924528313
Food Wholesalers,103,0.14912320754716984,0.3782102500000001,0.07662916666666666,0.3545197752808989
Furn/Home Furnishings,275,0.19945732876712316,0.37180335106383,0.08936478494623659,0.3504276890756302
Green & Renewable Energy,137,0.12580469387755103,0.45040019417475713,0.13802221153846156,0.18858909999999995
Healthcare Products,343,0.16421073033707853,0.245879074074074,0.11137225925925928,0.31535452898550725
Healthcare Support Services,217,0.20053418181818167,0.3708584558823528,0.1285585271317829,0.3290003932584269
Heathcare Information and Technology,129,0.12186932203389828,0.28360914634146345,0.10656666666666666,0.26189638095238094
Homebuilding,43,0.16782928571428574,0.3292535714285714,0.197255641025641,0.38162068965517243
Hospitals/Healthcare Facilities,147,0.16859292682926827,0.33862878260869567,0.12002339622641513,0.33410333333333325
Hotel/Gaming,412,0.1223889333333333,0.48086050314465417,0.11571374501992038,0.23521657407407393
Household Products,309,0.2097627407407408,0.36185674757281566,0.0802713432835821,0.34534173745173746
Information Services,39,0.13097000000000006,0.3953870967741935,0.1308026923076923,0.2996656756756757
Insurance (General),135,0.07146806451612901,0.42467019417475754,0.10848134831460675,0.1407163829787234
Insurance (Life),82,0.01215166666666667,0.4720845161290322,0.13850508474576273,0.0955867692307692
Insurance (Prop/Cas.),144,0.0370218181818182,0.3888187804878047,0.18624616279069772,0.1935072566371682
Investments & Asset Management,481,0.10879064516129035,0.3442752112676057,0.15549940993788808,0.23470651757188513
Machinery,911,0.1521096932515338,0.301357009202454,0.08696078147612153,0.30403908256880696
Metals & Mining,331,0.11411948051948047,0.3812678764478764,0.08302861660079054,0.22707569343065678
Office Equipment & Services,71,0.18424648648648653,0.3659168085106384,0.06311583333333333,0.3583975438596492
Oil/Gas (Integrated),16,4.6666666666666665e-05,0.42482615384615385,0.09867999999999999,0.006193
Oil/Gas (Production and Exploration),103,0.03328526315789473,0.37103690476190493,0.16708306818181812,0.13706523809523807
Oil/Gas Distribution,111,0.13467113636363634,0.4394411249999999,0.15868839506172835,0.19876799999999994
Oilfield Svcs/Equip.,225,0.12112420454545456,0.4319465697674418,0.09468870967741937,0.1928100555555555
Packaging & Container,320,0.15238411428571424,0.38388782426778273,0.06645775510204083,0.3350042857142857
Paper/Forest Products,188,0.08043391752577317,0.3533237162162164,0.07965023076923076,0.265386686746988
Power,321,0.05330084210526317,0.53585171875,0.10192045112781964,0.10565632850241545
Precious Metals,62,0.03747666666666668,0.42485340425531926,0.16345166666666663,0.1643775
Publishing & Newspapers,170,0.18671909090909086,0.4213240833333334,0.07713907407407407,0.26538847328244275
R.E.I.T.,213,0.005985531914893619,0.29653371428571434,0.2209306249999999,0.0675542268041237
Real Estate (Development),773,0.14105435233160626,0.4075415319865317,0.07669472972972978,0.3048737790697672
Real Estate (General/Diversified),218,0.09026855072463764,0.4325717901234566,0.08711333333333336,0.21329550000000005
Real Estate (Operations & Services),374,0.09877716216216215,0.45362787545787525,0.11104636363636365,0.2802341379310345
Recreation,143,0.18251033898305086,0.3249179787234042,0.06736722772277226,0.31628836363636365
Reinsurance,29,0.01213875,0.20339500000000002,0.29674807692307686,0.06834749999999999
Restaurant/Dining,158,0.12196260869565219,0.4123364646464647,0.13827887640449432,0.2996455645161291
Retail (Automotive),107,0.16341340425531914,0.4003907352941176,0.0976884722222222,0.27568682926829263
Retail (Building Supply),46,0.16835,0.39292299999999997,0.16171,0.30027891891891884
Retail (Distributors),673,0.18204581993569138,0.3468060132158588,0.07282294117647053,0.37357547169811367
Retail (General),146,0.12360937499999997,0.4334377678571429,0.11538223140495861,0.18887183486238523
Retail (Grocery and Food),86,0.12496888888888885,0.4560616923076921,0.11771234374999999,0.24520702702702704
Retail (REITs),40,0.009005294117647058,0.3216240000000001,0.2264671052631579,0.08650518518518517
Retail (Special Lines),251,0.1870922222222222,0.3838277272727272,0.10894117318435749,0.32382990697674413
Rubber& Tires,72,0.11812305555555552,0.420225,0.0826817543859649,0.26411983606557377
Semiconductor,513,0.10082773869346745,0.25386458064516115,0.11358601941747577,0.18255709198813055
Semiconductor Equip,277,0.17432075187969928,0.2481105882352941,0.10985186440677969,0.2594618918918917
Shipbuilding & Marine,240,0.11923292682926827,0.4764386363636363,0.0937202366863905,0.19416433862433868
Shoe,58,0.10995687500000002,0.3836932558139536,0.11778153846153847,0.2919686792452831
Software (Entertainment),66,0.16116893617021283,0.2317004347826087,0.1138855357142857,0.29369090909090906
Software (Internet),42,0.20388961538461534,0.24883448275862066,0.10759666666666666,0.28842684210526315
Software (System & Application),521,0.1670300692041522,0.22845467422096327,0.10819887728459529,0.3128952370689657
Steel,536,0.1336956692913386,0.38026574572127125,0.07164831550802138,0.30336146993318547
Telecom (Wireless),63,0.05145076923076923,0.49437796296296305,0.14117555555555553,0.09842931818181823
